hnit	infinitive
hnak	номинативхэрэг
hkak	ялгалхэрэг
htak	сэдэвхэрэг
hpap	аав
hmam	ээж
hyat	эцэг,эхбайх
hcan	Сайнуу
hwik	vocativeхэрэг
hsuc	өвөгдээдэс
htat	өвөө,эмээ
hcac	олон
hnik	genitiveхэрэг
hcit	тэмдэгнэр
hwan	болон
hman	би
hnan	Та
hwam	АНУ-ын
htit	энэнь
htac	очиххэрэг
htik	өгөхоршихынтийнялгалхэрэг
hyit	realisсэтгэлийнбайдал
htim	deonticсэтгэлийнбайдал
hcut	нөхцөлтсэтгэлийнбайдал
hsit	epistemicсэтгэлийнбайдал
hyak	багажийнхэрэг
htan	дотооднөхцөлбайдал
hpan	хүнтухайн
htin	биедаасанзаалт
hyan	хамааралтайзаалт
hfap	perfectiveасуудал
hkat	өнгөрсөнцаг
hnin	эрхүйсийн
hmak	comitativeхэрэг
hnat	Одооцаг
hpak	benefactiveхэрэг
swik	essiveхэрэг
htut	negatoryquantifier
hsan	гадаргуугийннөхцөл
hpin	adpositionalхэрэг
hwin	байршилхэрэг
hkan	зайнөхцөл
hnac	аргазамхэрэг
hyut	interrogativeсэтгэлийнбайдал
hnam	болонэсвэл
hkit	онцгой,эсвэл
hsuk	эхүүсвэрхэрэг
hpik	гуужуулахэмчилгээхэрэг
hcat	ойрхонбайх
hmat	demonstrative
hkuk	заалтсүүл
hlan	гэхдээ
hsut	бүх
hyin	нийтийнquantifier
hcin	эмэгтэйлэгхүйсийн
hpac	олонтоонытоо
hyik	нэг
htic	тэдний
hkik	хэн
tcat	ирээдүйцаг
hsin	нийгмийннөхцөл
hkac	үед
hmip	imperfectiveасуудал
klan	Тэнд
hlak	elativeхэрэг
hlik	illativeхэрэг
htam	удирдамжсэтгэлийнбайдал
hlat	сонгонquantifier
hkam	ямар
hwat	асуултүг
htap	copula
hpat	хүн
nyan	эр
hkas	болох
tcan	бусад
hnuc	тоо
twit	нааштайquantifier
hsak	цагхугацаанөхцөлбайдал
htuk	материаллагхэрэг
htun	зөвхөн
htum	hortativeсэтгэлийнбайдал
hyip	буцаанасуудал
hlit	volitiveсэтгэлийнбайдал
pcic	байхёстой
tyut	хоёр
hsat	харах
hkut	мэдэх
hcic	доошнь
hcap	дараа
hpam	эхний
hlac	alienableэзэмших
hkap	хэзээч
hnic	салшгүйэзэмших
tyat	хуучин
tcit	зөвлөлдөхсэтгэлийнбайдал
tcin	өдөр
hlam	ирж
hwak	эгшиг
hkin	явах
lwak	perlativeхэрэг
hpip	дэвшилтэттал
lyan	урт
hsac	гэжхэлэх
kyan	Хэрхэн
htas	дахин
hsic	энд
hcik	бодох
hcak	нөхцөлдор
hfan	олдлоо
hsun	гар
hyac	мөн
nwan	залуу
tyit	эсрэг
tlan	бурхан
twak	delativeхэрэг
hmin	юучбиш
hyas	нэгудаа
hlap	semelfactiveасуудал
kcac	зүүн
hyic	харсан
hcas	байшин
hwac	дэлхийн
tyin	гурван
hnun	нео
hcuk	анхааралхандуулах
pyan	хайртай
hsis	үргэлж
hyam	шөнийн
hyap	хаан
hkic	хооронд
hmas	оюунухаан
cyit	зүрх
pluc	paucalдугаар
kyik	учирнь
ksak	учиршалтгааныхэрэг
tcun	дууссаныхаа
hnim	нэр
tsan	зохихнэрүг
klac	улс
hpun	гэжасуув
cyat	харагдахуйцнотлох
pcac	илүүсайн
hmac	мөч
hnas	чадахгүй
hwic	ус
twim	desiderativeсэтгэлийнбайдал
kwan	гэрэл
tlat	үг
tyan	хаалганы
hsas	өглөө
syat	хүртэл
twik	terminativeхэрэг
hpit	цагаан
pcan	мөнгө
hyis	ядуу
mwan	үхэл
hfam	хэлбэр
nwik	inessiveхэрэг
kcat	хамт
tsac	ньихэвчлэн
pyat	найз
psan	хагас
hpim	чухалсэтгэлийнбайдал
hyuc	дугуй
hfat	илгээсэн
hcis	эхнэр
kcan	итгэжбайна
hsik	олоннийтийн
htus	төрийннөхцөлбайдал
hpas	хүү
clat	хүүхдүүд
tyak	ийн
cwan	гэдэгтнайдажбайна
syin	хонгорминь
hkuc	өндөр
tyac	уншсан
syit	хот
hlic	альхэдийн
hfit	factiveнотлох
tcac	охин
hcun	сонсох
ksan	наадзахнь
hyaf	магадгүй
kyat	үнэхээр
tcic	байгууллага
hwit	буцах
cwat	агаар
hfaf	хууль
hput	Туслаач
lyat	Захиа
ksas	дөрвөн
hpic	optativeсэтгэлийнбайдал
hfuk	гал
hcam	цаг
twat	дайн
kyak	хэдхэдэн
tlit	хоёрдахь
pcin	ард
hmut	алдсан
clan	мянган
hfac	гэрбүл
twan	сүнс
hwas	асуулт
syan	үнэн
htis	гаргах
tsat	боломжитсэтгэлийнбайдал
lwik	allativeхэрэг
nyin	anthropicхүйсийн
hfak	таван
tcak	ижилзүйлмаркер
htuc	өөрөөрзүйл
hnap	хариултнь
hmit	далайн
hcuc	айдас
pcat	ойлгох
syas	нэртомьёо
hcaf	сэжиг
twut	dubitativeсэтгэлийнбайдал
hkis	хар
tlak	авчирдаг
hyus	сайхан
nyit	төрөл
htip	арван
ksis	түүх
hpuk	ном
hlin	электрон
hkun	данс
lyas	хүү
lyit	бичих
pwat	ор
hnis	нас
hnut	эсрэгбаримтыгболзол
slas	урлаг
hwis	vialisхэрэг
pyak	ахдүү
lyin	шугам
tyas	хүснэгт
hyun	голын
kyac	нүд
tfan	гэнэт
kcin	гүн
hmuc	зорилго
cyac	цусны
hmap	өссөн
tlin	хүйтэн
hyif	урагш
tyam	орой
hnaf	бодох
hkip	бараг
myan	уурхай
tsin	мэдлэг
hkup	хуулбар
hsam	нөхөрнь
hlis	зургаан
cwit	амьдрах
cyan	амарамгалан
myat	санажбайна
tyic	байгалийн
hfut	унах
swas	үйлчилгээ
hsap	бусад
pcit	Зохиогчийнэрх
hyim	цэргийн
kyas	морь
plic	ирээдүй
pcak	баруун
hpis	төлөх
hyuk	улаан
hwun	алт
twin	хүсэл
plan	тоглох
hpus	оффис
syun	Засгийнгазар
kyic	сүм
htaf	хүч
hlun	уртнь
kyin	Тускомпани
kyis	цаасан
mlan	магадлал
hcim	ялангуяа
cyas	үүрэх
twac	цонх
nyat	гоосайхан
hcus	сүүлийнх
htup	үүрэг
htif	зайн
pyas	хөл
hlas	зэрлэг
ksin	ногоон
hmaf	гай
myac	инээмсэглэл
hsim	унтах
kyit	иштатсан
kwik	quotativeхэрэг
fwan	айлчлал
slan	дагах
psit	байгааэсэх
hmic	сайхан
hmuf	агшин
hfin	баян
tcam	дайсан
psuk	эвдэрсэн
kcap	хөлөгонгоц
pwan	хамааруулсанхүн
hfic	нөлөө
tcuc	гарчирэх
hkim	нууц
pyin	үү
pwit	precativeсэтгэлийнбайдал
pyit	эелдэгбүртгэл
cwak	муу
myak	жагсан
tcas	газрууд
hlaf	байх
psat	оронднь
nlan	хөх
psac	боломжгүй
kcuk	сургуулийн
kcit	гэрбүл
kcak	хоолхүнс
syis	хорин
tlac	намгүм
hcip	ирээдүйнасуудал
kwin	өгөх
tsit	зогслоо
pyac	хэл
hsus	долоохоногт
hcup	танхим
cyap	гайхдаг
tfin	төрөлхийн
fyat	шүүх
hnip	gnomicасуудал
tsak	хүндэтгэх
tlas	үнэцэнэ
syuc	мод
plat	ханын
cyak	тэнгэр
twip	inchoativeасуудал
mlat	тушаал
swit	jussiveсэтгэлийнбайдал
mwas	Сараар
hwaf	төгс
tyap	туршлага
ksac	нөхцөлбайдал
syac	шинэ
hnuk	гүн
kwak	хамрагдсан
tyuk	зүүн
pwac	чулуу
hkif	сайхан
nyac	чиглэл
cyis	дарга
tyuc	хүлээж
tsun	тосгон
tyik	хүлээнзөвшөөрчбайна
hnum	зөвшөөрсөнсэтгэлийнбайдал
slak	амжилт
tsic	оролдох
slat	уулархаг
hmik	дуухөгжим
hkus	хашхирах
hsip	Долоо
hpaf	хувийн
nwas	мэдээ
tfac	дүрзураг
fyan	бэлчээрийнмалажахуйн
cwas	Эхлэх
hfik	хуваарилалтынхэрэг
lyac	сурах
syik	улстөр
clin	Хенри
cyin	худал
tsas	хаягдах
cyik	эрхбүхийбайгууллага
tlap	шал
cyam	зуны
tcut	шашиншүтлэг
tcap	зугтахыг
hlut	зохиогч
pyun	бор
tcuk	өвдөлт
swan	хавар
hmun	зөөлөн
kyun	булан
nyak	бараанытэмдэг
tsis	шударгаёс
psas	үйлдвэрлэх
cyaf	инээд
hwut	мартах
hyup	Европ,АНУ-
hwap	найман
psak	авбал
kyap	аймшигтай
pyic	шаардлагатай
hmim	дунд
hsaf	амьсгал
