ni	infinitive
na	အမည်ခံအမှု
ka	ကမ္မကာရကအမှု
ta	ခေါင်းစဉ်အမှု
ca	ဟလို
wu	vocativeအမှု
kcah	ငတ်သော
ti	လိင်အင်္ဂါအမှု
ci	နာမဝိသေသန
wa	နှင့်
mi	ငါ့ကို
sa	သငျသညျ
nyah	ကျွန်တော်တို့ကို
ya	က
ma	ဦးတည်ရာကိုအမှု
yi	ဆိုက်ရောက်ရာပြကမ္မကာရကအမှု
li	realisစိတ်ဓါတ်များ
tu	deonticစိတ်ဓါတ်များ
cu	အခြေအနေအရစိတ်ဓါတ်များ
si	epistemicစိတ်ဓါတ်များ
yu	ဆာအမှု
nu	အတွင်းပိုင်းအခြေအနေတွင်
pa	လူတစ်ဦးအခြေအနေတွင်
tyah	လွတ်လပ်သောအပိုဒ်
la	မှီခိုအပိုဒ်
fa	စုံလင်သောရှုထောင့်
ki	တင်းမာနေအတိတ်
ne	ပုလ်လိင်ကွဲပြားမှု
mwah	comitativeအမှု
ra	တင်းမာနေလက်ဆောင်
pwah	benefactiveအမှု
swih	essiveအမှု
no	negatoryquantifier
pi	မျက်နှာပြင်အခြေအနေတွင်
da	adpositionalအမှု
te	တည်နေရာအမှု
to	အာကာသအခြေအနေတွင်
ga	လမ်းအမှု
ri	စစ်ကြောရေးစိတ်ဓါတ်များ
ba	နှင့်သို့မဟုတ်
ku	သီးသန့်သို့မဟုတ်
so	အရင်းအမြစ်အမှု
pwih	ablativeအမှု
ksah	နီးကပ်ခြင်း
tsah	သရုပ်ပြ
ko	အပိုဒ်အမြီး
pyah	ဒါပေမဲ့
wi	တစ်လောကလုံးquantifier
ji	ဣတ္ထိလိင်
pu	အများကိန်းအရေအတွက်
bi	အနာဂတ်တင်းမာနေ
co	လူမှုရေးအခြေအနေတွင်
me	မစုံလငျရှုထောင့်
klah	အဲဒီမှာ
twah	elativeအမှု
twih	illativeအမှု
di	ညွှန်ကြားချက်စိတ်ဓါတ်များ
tlah	Electivequantifier
kyah	ဘာ
tcah	မေးခွန်းစကားလုံး
ja	copula
cyah	လူ
clah	အခြား
do	ဂဏန်း
tlih	တဖက်သတ်ဆန်ဆန်quantifier
se	အချိန်အခြေအနေတွင်
myah	ယာယီအမှု
tyuh	သာ
tcih	hortativeစိတ်ဓါတ်များ
tyih	နောက်ကြောင်းပြန်ရှုထောင့်
lo	ပြုမူမှုစိတ်ဓါတ်များ
cwah	ပြီးနောက်
nlah	ဂြိုလ်သားအပိုင်
nlih	inalienableအပိုင်
cyih	deliberativeစိတ်ဓါတ်များ
lwah	Perlအမှု
pfih	တိုးတက်သောရှုထောင့်
tsih	ဒီမှာ
ce	ရှေ့နောက်စကားအောက်မှာ
pcah	လည်း
lwih	delativeအမှု
swah	semelfactiveရှုထောင့်
nyih	လက်သစ်
fu	အာရုံ
plah	ချစ်ခြင်းမေတ္တာ
po	paucalအရေအတွက်
kyih	ဘာဖြစ်လို့လဲဆိုတော့
ksih	ကြောင်းကျိုးဆက်စပ်ကိစ္စတွင်
gi	နာမတျောကို
tfah	သငျ့လျြောသောနာမ်
crih	မြင်နိုင်evidential
kceh	ပိုကောင်း
dwih	desiderativeစိတ်ဓါတ်များ
wo	စကားလုံး
srah	မှီတိုငျအောငျ
tweh	Terminatorအမှု
nwih	inessiveအမှု
pcih	အလွန်အရေးကြီးသည်စိတ်ဓါတ်များ
crah	ယုံကြည်
ro	ပြည်နယ်အခြေအနေတွင်
cwih	မျှော်လင့်ချက်
kwih	factiveevidential
fi	ပြန်လာ
psih	optativeစိတ်ဓါတ်များ
tseh	အလားအလာစိတ်ဓါတ်များ
lweh	allativeအမှု
nrih	မျက်ဝါးထင်ထင်မြင်တွေ့ကျား,မ
tceh	တူညီတဲ့ဘာသာရပ်အမှတ်အသား
