hnit	infinitive
hnak	အမည်ခံအမှု
hkak	ကမ္မကာရကအမှု
htak	ခေါင်းစဉ်အမှု
hpap	အဘ
hmam	mom,
hyat	မိဘ
hcan	ဟလို
hwik	vocativeအမှု
hsuc	ဘိုးဘွား
htat	ဘိုးဘွား
hcac	ငတ်သော
hnik	လိင်အင်္ဂါအမှု
hcit	နာမဝိသေသန
hwan	နှင့်
hman	ငါ့ကို
hnan	သငျသညျ
hwam	ကျွန်တော်တို့ကို
htit	က
htac	ဦးတည်ရာကိုအမှု
htik	ဆိုက်ရောက်ရာပြကမ္မကာရကအမှု
hyit	realisစိတ်ဓါတ်များ
htim	deonticစိတ်ဓါတ်များ
hcut	အခြေအနေအရစိတ်ဓါတ်များ
hsit	epistemicစိတ်ဓါတ်များ
hyak	ဆာအမှု
htan	အတွင်းပိုင်းအခြေအနေတွင်
hpan	လူတစ်ဦးအခြေအနေတွင်
htin	လွတ်လပ်သောအပိုဒ်
hyan	မှီခိုအပိုဒ်
hfap	စုံလင်သောရှုထောင့်
hkat	တင်းမာနေအတိတ်
hnin	ပုလ်လိင်ကွဲပြားမှု
hmak	comitativeအမှု
hnat	တင်းမာနေလက်ဆောင်
hpak	benefactiveအမှု
swik	essiveအမှု
htut	negatoryquantifier
hsan	မျက်နှာပြင်အခြေအနေတွင်
hpin	adpositionalအမှု
hwin	တည်နေရာအမှု
hkan	အာကာသအခြေအနေတွင်
hnac	လမ်းအမှု
hyut	စစ်ကြောရေးစိတ်ဓါတ်များ
hnam	နှင့်သို့မဟုတ်
hkit	သီးသန့်သို့မဟုတ်
hsuk	အရင်းအမြစ်အမှု
hpik	ablativeအမှု
hcat	နီးကပ်ခြင်း
hmat	သရုပ်ပြ
hkuk	အပိုဒ်အမြီး
hlan	ဒါပေမဲ့
hsut	အားလုံး
hyin	တစ်လောကလုံးquantifier
hcin	ဣတ္ထိလိင်
hpac	အများကိန်းအရေအတွက်
hyik	တစ်
htic	သူတို့၏
hkik	အဘယ်သူသည်
tcat	အနာဂတ်တင်းမာနေ
