hnit	infinitive
hnak	निस्क्रियगर्नुहोस्मामला
hkak	कर्ताकारकमामला
htak	विषयमामला
hpap	पिताजी
hmam	आमा
hyat	अभिभावकको
hcan	नमस्ते
hwik	सक्रियपार्नुहोस्मामला
hsuc	पुर्खा
htat	Grandparent
hcac	भोक
hnik	genitiveमामला
hcit	विशेषण
hwan	र
hman	मलाई
hnan	तपाईं
hwam	हामीलाई
htit	यसलाई
htac	गन्तव्यमामला
htik	समयजनाउनेब्याकरणिकशब्दमामला
hyit	realisमुड
htim	deonticमुड
hcut	ससर्तमुड
hsit	epistemicमुड
hyak	सहायकमामला
htan	भित्रीसन्दर्भ
hpan	व्यक्तिसन्दर्भ
htin	स्वतन्त्रखण्ड
hyan	निर्भरखण्ड
hfap	perfectiveपक्ष
hkat	भुतकाल
hnin	पुरुषलिङ्ग
hmak	comitativeमामला
hnat	बर्तमानकाल
hpak	benefactiveमामला
swik	essiveमामला
htut	negatoryपरिमाणक
hsan	सतहसन्दर्भ
hpin	adpositionalमामला
hwin	स्थानमामला
hkan	ठाउँसन्दर्भ
hnac	बाटोमामला
hyut	interrogativeमुड
hnam	रवा
hkit	विशेषवा
hsuk	स्रोतमामला
hpik	ablativeमामला
hcat	निकटता
hmat	demonstrative
hkuk	दफापुच्छर
hlan	तर
hsut	सबै
hyin	विश्वव्यापीपरिमाणक
hcin	स्त्रीलिङ्ग
hpac	बहुसंख्यकनम्बर
hyik	एक
htic	उनीहरुको
hkik	को
tcat	भविष्यमाकाल
hsin	सामाजिकसन्दर्भ
hkac	जब
hmip	imperfectiveपक्ष
klan	त्यहाँ
hlak	elativeमामला
hlik	illativeमामला
htam	निर्देशनमुड
hlat	ऐच्छिकपरिमाणक
hkam	के
hwat	प्रश्नशब्द
htap	copula
hpat	व्यक्ति
nyan	पुरुष
hkas	सकेजति
tcan	अन्य
hnuc	नम्बर
twit	दाबीपरिमाणक
hsak	समयसन्दर्भ
htuk	अस्थायीमामला
htun	मात्र
htum	hortativeमुड
hyip	पूर्वव्यापीपक्ष
hlit	volitiveमुड
pcic	पर्छ
tyut	दुई
hsat	हेर्न
hkut	चिन्छु
hcic	तल
hcap	पछि
hpam	पहिलो
hlac	alienableसम्पत्ति
hkap	कहिल्यै
hnic	inalienableसम्पत्ति
tyat	पुरानो
tcit	deliberativeमुड
tcin	दिन
hlam	आउन
hwak	स्वर
hkin	जाने
lwak	perlativeमामला
hpip	प्रगतिशीलपक्ष
lyan	लामो
hsac	भन्न
kyan	कसरी
htas	फेरि
hsic	यहाँ
hcik	लाग्छ
hcak	सन्दर्भअन्तर्गत
hfan	फेला
hsun	हात
hyac	पनि
nwan	जवान
tyit	विरुद्ध
tlan	भगवान
twak	delativeमामला
hmin	केही
hyas	एकपटक
hlap	semelfactiveपक्ष
kcac	बाँकी
hyic	देख्यो
hcas	घर
hwac	विश्व
tyin	तीन
hnun	नव
hcuk	ध्यान
pyan	प्रेम
hsis	सधैं
hyam	रात
hyap	राजा
hkic	बीच
hmas	मन
cyit	मुटु
pluc	paucalनम्बर
kyik	किनभने
ksak	causalमामला
tcun	सम्पन्न
hnim	नाम
tsan	उचितसंज्ञा
klac	देश
hpun	सोधे
cyat	देखिनेप्रमाणिक
pcac	राम्रो
hmac	क्षण
hnas	सकदिन
hwic	पानी
twim	चाहतभरामुड
kwan	प्रकाश
tlat	शब्द
tyan	ढोका
hsas	बिहान
syat	सम्म
twik	terminativeमामला
hpit	सेतो
pcan	पैसा
hyis	गरिब
mwan	मृत्यु
hfam	फारम
nwik	inessiveमामला
kcat	सँगै
tsac	अक्सर
pyat	मित्र
psan	आधा
hpim	जरूरीमुड
hyuc	गोलो
hfat	पठाइयो
hcis	पत्नी
kcan	विश्वास
hsik	सार्वजनिक
htus	राज्यसन्दर्भ
hpas	छोरा
clat	बच्चाहरु
tyak	यसरी
cwan	आशा
