ni	infinitive
na	निस्क्रियगर्नुहोस्मामला
ka	कर्ताकारकमामला
ta	विषयमामला
ca	नमस्ते
wu	सक्रियपार्नुहोस्मामला
kcah	भोक
ti	genitiveमामला
ci	विशेषण
wa	र
mi	मलाई
sa	तपाईं
nyah	हामीलाई
ya	यसलाई
ma	गन्तव्यमामला
yi	समयजनाउनेब्याकरणिकशब्दमामला
li	realisमुड
tu	deonticमुड
cu	ससर्तमुड
si	epistemicमुड
yu	सहायकमामला
nu	भित्रीसन्दर्भ
pa	व्यक्तिसन्दर्भ
tyah	स्वतन्त्रखण्ड
la	निर्भरखण्ड
fa	perfectiveपक्ष
ki	भुतकाल
ne	पुरुषलिङ्ग
mwah	comitativeमामला
ra	बर्तमानकाल
pwah	benefactiveमामला
swih	essiveमामला
no	negatoryपरिमाणक
pi	सतहसन्दर्भ
da	adpositionalमामला
te	स्थानमामला
to	ठाउँसन्दर्भ
ga	बाटोमामला
ri	interrogativeमुड
ba	रवा
ku	विशेषवा
so	स्रोतमामला
pwih	ablativeमामला
ksah	निकटता
tsah	demonstrative
ko	दफापुच्छर
pyah	तर
wi	विश्वव्यापीपरिमाणक
ji	स्त्रीलिङ्ग
pu	बहुसंख्यकनम्बर
bi	भविष्यमाकाल
co	सामाजिकसन्दर्भ
me	imperfectiveपक्ष
klah	त्यहाँ
twah	elativeमामला
twih	illativeमामला
di	निर्देशनमुड
tlah	ऐच्छिकपरिमाणक
kyah	के
tcah	प्रश्नशब्द
ja	copula
cyah	व्यक्ति
clah	अन्य
do	नम्बर
tlih	दाबीपरिमाणक
se	समयसन्दर्भ
myah	अस्थायीमामला
tyuh	मात्र
tcih	hortativeमुड
tyih	पूर्वव्यापीपक्ष
lo	volitiveमुड
cwah	पछि
nlah	alienableसम्पत्ति
nlih	inalienableसम्पत्ति
cyih	deliberativeमुड
lwah	perlativeमामला
pfih	प्रगतिशीलपक्ष
tsih	यहाँ
ce	सन्दर्भअन्तर्गत
pcah	पनि
lwih	delativeमामला
swah	semelfactiveपक्ष
nyih	नव
fu	ध्यान
plah	प्रेम
po	paucalनम्बर
kyih	किनभने
ksih	causalमामला
gi	नाम
tfah	उचितसंज्ञा
crih	देखिनेप्रमाणिक
kceh	राम्रो
dwih	चाहतभरामुड
wo	शब्द
srah	सम्म
tweh	terminativeमामला
nwih	inessiveमामला
pcih	जरूरीमुड
crah	विश्वास
ro	राज्यसन्दर्भ
cwih	आशा
kwih	factiveप्रमाणिक
fi	फर्किनु
psih	optativeमुड
tseh	सम्भावितमुड
lweh	allativeमामला
nrih	anthropicलिङ्ग
tceh	एउटैविषयमार्कर
re	विभिन्नविषय
croh	डर
mrah	बुझ्न
cyuh	पक्कै
twuh	dubitativeमुड
myih	सुन्दर
lyih	चासो
flah	counterfactualससर्त
we	vialisमामला
clih	चिसो
pyih	शान्ति
su	बाहेक
kwah	इच्छा
le	लम्बाइ
bo	सम्भावना
mlah	समस्या
syah	मुस्कान
slih	निद्रामा
zi	उद्धृत
twoh	quotativeमामला
mo	समावेशीव्यक्ति
kcih	कृपया
rwih	precativeमुड
mrih	भद्ररजिस्टर
rwah	सम्भावितपक्ष
cyeh	आश्चर्य
go	gnomicपक्ष
tsoh	आदर
za	inchoativeपक्ष
jwih	jussiveमुड
mwih	अनुमोदकमुड
sloh	सफलता
prih	निजी
de	distributiveमामला
tcoh	दुखाइ
ryah	हाँस
mlih	बुद्धिमानी
ye	possessiveमार्कर
ke	commissiveमुड
creh	व्यर्थमा
mweh	completiveपक्ष
nrah	न्यानो
nroh	क्रोध
bwah	बावजूद
trah	गर्व
mroh	नैतिक
slah	स्वास्थ्य
syih	सामाजिक
pe	cessativeपक्ष
krih	उत्सुक
tfih	intensifier
fe	अन्तमा
prah	अलग
trih	प्रमाणिक
nwah	प्रमाणिकमामला
srih	दुःखी
zo	zoicलिङ्ग
nweh	eventiveमुड
cwoh	एउटैघटनामार्कर
plih	multiplicativeमामला
dwah	इच्छित
kcoh	थकित
drah	सन्तुष्ट
lu	speculativeमुड
frih	परिचितरजिस्टर
frah	घाइते
mruh	मूर्ख
djih	सहानुभूति
krah	धन्यवाद
cruh	लाज
fyah	वाक्यांशमार्कर
ryih	preordained
kruh	तीतो
tyeh	पाठ
kreh	क्रूर
tleh	hesternalकाल
kfah	बलिदान
dyih	घृणा
cloh	तर्कसंगतलिङ्ग
nloh	आनन्द
psah	निराश
sleh	vegetalलिङ्ग
nruh	निर्दोष
drih	प्रशंसा
sroh	माफी
brih	आधार
kluh	भ्रम
bwih	benedictiveमुड
klih	दोषी
grih	नजान्ने
nyeh	पहलमामला
nleh	नम्र
dlih	ढिलाइजरूरी
proh	रिपोर्टप्रमाणिक
mloh	melancholy
du	Singular
jrih	धैर्य
freh	referential
kloh	एक्लो
kroh	आकर्षण
tcuh	उत्साह
kcuh	आगमनात्मकमुड
xa	भाषणलेसन्दर्भ
nreh	स्नायु
pseh	पक्ष
ge	एजेन्ट
mu	admonitiveमुड
byah	महत्त्वाकाङ्क्षालाई
pcoh	भीड
treh	प्रत्यक्षप्रमाणिक
yo	चिन्तितमुड
cwuh	आघात
tloh	हालभूतकाल
dlah	निश्चितलेख
cluh	कुरूप
myuh	हास्य
dyah	distaldemonstrative
rwuh	डाह
troh	imprecativeमुड
dzih	भावशून्यता
swuh	assumptiveमुड
bzah	हंसी
gwih	अर्थात्
dloh	hodiernalकाल
dweh	delimitativeपक्ष
kweh	विशेषव्यक्ति
truh	तापमान
tfeh	telicपक्ष
lyeh	atelicपक्ष
ru	prohibitiveमुड
kfih	बालकजस्तो
cyoh	शंकास्पद
nluh	लोयल्टी
cweh	पासोमा
nwoh	एनिमेसन
sruh	thrill
ksoh	यौन
lyah	अल्छी
mreh	momentaneपक्ष
pceh	खेद
bjih	पूर्वमृतक
pcuh	अनिश्चितता
xi	बानीपक्ष
blih	यसद्वारासीमाबद्ध
tsuh	तुच्छ
fwih	राजसी
grah	चापलूसी
brah	मनपरी
cleh	benevolent
sreh	औपचारिकरजिस्टर
pfah	लाभदायी
droh	श्रवणप्रमाणिक
flih	inferentialप्रमाणिक
sweh	sublativeमामला
ksuh	declarativeमुड
pleh	सुअवसरपाउनुभएको
psoh	अजेय
be	मौखिक
mwoh	reverie
kleh	wretchedness
glah	लोभ
kseh	सकारात्मकमुड
zrah	dissatisfaction
dyoh	ideophone
syoh	awed
gwah	exessiveमामला
zlih	irrealisमुड
zrih	लजाउने
byih	मिलाइएको
ryeh	सर्वनाममार्कर
fwah	frugal
bjah	खुश
kxah	equanimity
gvih	pegativeमामला
pxih	vindication
xrah	समाप्तहुँदैछ
tfoh	henceforward
kxih	contrition
ryoh	prosecutiveमामला
qyah	preoccupation
r6	participle
txah	रिमोटभूतकाल
xrih	ऐतिहासिककाल
dxah	दोहोरोनम्बर
syuh	सुपर
vweh	overworked
n6	संवेदीप्रमाणिकमुड
bweh	obsession
xlih	उल्लसित
txih	twinge
sluh	आत्मसन्तुष्ट
txoh	गतिउकालो
xe	पूर्वव्यापी
pxah	entrap
vwah	गतिओरालो
xyih	कुलीन
fleh	विभक्ति
psuh	superessiveमामला
syeh	satyr
qi	transitive
xruh	cower
zwah	वाह
tr6h	गतिupriver
qwah	unambitious
xlah	विश्वव्यापी
tyoh	intransitive
tluh	anticlimax
qa	वर्तमानसान्दर्भिकतामार्कर
kxoh	कुकुरथकित
rwoh	ordinal
ve	सदिश
kyoh	किलो
swoh	क्रमिक
pxeh	partitiveमामला
txeh	augmentative
dxih	predicative
pxoh	prolativeमामला
pfoh	समर्थकवाक्यांश
blah	blase
fyih	गैरमानव
xo	अभिनेताभूमिका
pc6h	परीक्षणनम्बर
greh	केंद्रितमामला
groh	लक्ष्यट्रिगर
dxoh	मध्यआवाज
rweh	अप्रत्यक्षमामला
xwah	रोगीमामला
xu	prehodiernal
xroh	थाक्नु
ks6h	causative
vi	बाइनरीमूल्य
dleh	मोडेलमामला
gjeh	अरूभने
xreh	सहकर्मी
lwoh	locativeमामला
ml6h	multalनम्बर
gjih	ग्यालेक्सीलिङ्ग
qlah	तारालिङ्ग
bvih	abessiveमामला
dvah	adessiveमामला
je	agentiveमामला
t6	एजेन्टट्रिगर
kxeh	मामलागर्न
gxih	साधारणलिङ्ग
tc6h	दृष्टान्तफारम
ts6h	ट्रान्सअंक
ryuh	प्रत्यक्षवस्तु
gveh	ergativeमामला
pyoh	सुस्तआवाज
qe	परिमितक्रिया
xwih	प्राथमिकवस्तु
myoh	gnomicमुड
vrih	अन्तिमकण
va	evitativeमामला
bveh	subessiveमामला
dxeh	नजिकैमामला
dvih	lativeमामला
tsa7h	antessiveमामला
dyeh	adverbialमामला
mleh	लिङ्गचेतन
pfeh	समानुभूतिशीलआनन्द
xleh	वाहनलिङ्ग
qlih	खनिजलिङ्ग
xloh	मौखिकसंज्ञा
dreh	दोस्रोभाषा
bvah	आत्मविश्वास
qrah	घटनाकोपरिवर्तन
fo	विभिन्नघटना
sl6h	crastinalकाल
fyoh	reflexiveआवाज
bxih	ब्रह्माण्डकोलिङ्ग
jlih	transitiveक्रिया
kyeh	ईलाकालिङ्ग
txuh	अनुसन्धानलिङ्ग
s6	कलात्मकलिङ्ग
preh	रोगीट्रिगर
sr6h	सारलिङ्ग
nyoh	अप्रत्यक्षबोली
zreh	exocentricमामला
kfeh	विगतकाperfective
jo	आवेकहिनक्रिया
kxuh	सामूहिकसंज्ञा
bu	absolutiveमामला
qrih	ग्रहलिङ्ग
kfoh	कोरbenefactive
kwoh	associativeमामला
pluh	सर्वोत्कृष्टमामला
jrah	बिजुलीवर्तमान
glih	inanimateलिङ्ग
p6	propositiveमुड
vrah	पारस्परिकआवाज
lyuh	क्रमिकखण्ड
gleh	चाँडैभविष्यमाकाल
lyoh	applicativeआवाज
ps6h	antipassiveआवाज
