ni	infinitief
na	nominatiefgeval
ka	accusatiefgeval
ta	onderwerpgeval
ca	Hallo
wu	vocatiefgeval
kcah	hongerig
ti	genitiefgeval
ci	bijvoeglijknaamwoord
wa	en
mi	me
sa	u
nyah	ons
ya	het
ma	bestemminggeval
yi	datiefgeval
li	Realishumeur
tu	deontischehumeur
cu	voorwaardelijkhumeur
si	epistemischehumeur
yu	instrumentaalgeval
nu	interieurcontext
pa	persooncontext
tyah	hoofdzin
la	afhankelijkclausule
fa	perfectieveaspect
ki	verledengespannen
ne	mannelijkgeslacht
mwah	comitativegeval
ra	aanweziggespannen
pwah	benefactivegeval
swih	essivegeval
no	ontkennendquantifier
pi	oppervlakcontext
da	adpositionalgeval
te	plaatsgeval
to	ruimtecontext
ga	maniergeval
ri	vragendehumeur
ba	enof
ku	exclusiefof
so	brongeval
pwih	ablatiefgeval
ksah	nabijheid
tsah	aanwijzend
ko	clausulestaart
pyah	maar
wi	universeelquantifier
ji	vrouwelijkgeslacht
pu	meervoudaantal
bi	toekomstgespannen
co	sociaalcontext
me	onvoltooidaspect
klah	er
twah	familielidgeval
twih	eind-geval
di	richtlijnhumeur
tlah	electievequantifier
kyah	wat
tcah	vraagwoord
ja	copula
cyah	persoon
clah	anders
do	aantal
tlih	zelfbewustquantifier
se	tijdcontext
myah	tijdelijkgeval
tyuh	alleen
tcih	hortativehumeur
tyih	metterugwerkendekrachtaspect
lo	wilskrachtighumeur
cwah	na
nlah	vervreemdbaarbezit
nlih	onvervreemdbaarbezit
cyih	deliberatievehumeur
lwah	perlativegeval
pfih	progressiefaspect
tsih	hier
ce	ondercontext
pcah	ook
lwih	delativegeval
swah	semelfactiveaspect
nyih	neo
fu	focus
plah	liefde
po	paucalaantal
kyih	omdat
ksih	oorzakelijkgeval
gi	naam
tfah	gepastzelfstandignaamwoord
crih	zichtbaarbewijskracht
kceh	beter
dwih	desiderativehumeur
wo	woord
srah	tot
tweh	afdoendgeval
