hnit	infinitief
hnak	nominatiefgeval
hkak	accusatiefgeval
htak	onderwerpgeval
hpap	pa
hmam	mam
hyat	ouderlijk
hcan	Hallo
hwik	vocatiefgeval
hsuc	Voorvader
htat	grootvader
hcac	hongerig
hnik	genitiefgeval
hcit	bijvoeglijknaamwoord
hwan	en
hman	me
hnan	u
hwam	ons
htit	het
htac	bestemminggeval
htik	datiefgeval
hyit	Realishumeur
htim	deontischehumeur
hcut	voorwaardelijkhumeur
hsit	epistemischehumeur
hyak	instrumentaalgeval
htan	interieurcontext
hpan	persooncontext
htin	hoofdzin
hyan	afhankelijkclausule
hfap	perfectieveaspect
hkat	verledengespannen
hnin	mannelijkgeslacht
hmak	comitativegeval
hnat	aanweziggespannen
hpak	benefactivegeval
swik	essivegeval
htut	ontkennendquantifier
hsan	oppervlakcontext
hpin	adpositionalgeval
hwin	plaatsgeval
hkan	ruimtecontext
hnac	maniergeval
hyut	vragendehumeur
hnam	enof
hkit	exclusiefof
hsuk	brongeval
hpik	ablatiefgeval
hcat	nabijheid
hmat	aanwijzend
hkuk	clausulestaart
hlan	maar
hsut	alle
hyin	universeelquantifier
hcin	vrouwelijkgeslacht
hpac	meervoudaantal
hyik	een
htic	hun
hkik	wie
tcat	toekomstgespannen
hsin	sociaalcontext
hkac	wanneer
hmip	onvoltooidaspect
klan	er
hlak	familielidgeval
hlik	eind-geval
htam	richtlijnhumeur
hlat	electievequantifier
hkam	wat
hwat	vraagwoord
htap	copula
hpat	persoon
nyan	mannetje
hkas	kon
tcan	anders
hnuc	aantal
twit	zelfbewustquantifier
hsak	tijdcontext
htuk	tijdelijkgeval
htun	alleen
htum	hortativehumeur
hyip	metterugwerkendekrachtaspect
hlit	wilskrachtighumeur
pcic	moet
tyut	twee
hsat	bekijken
hkut	weten
hcic	naarbeneden
hcap	na
hpam	eerste
hlac	vervreemdbaarbezit
hkap	nooit
hnic	onvervreemdbaarbezit
tyat	oud
tcit	deliberatievehumeur
tcin	dag
hlam	komen
hwak	klinker
hkin	Gaan
lwak	perlativegeval
hpip	progressiefaspect
lyan	lang
hsac	zeg
kyan	hoe
htas	weer
hsic	hier
hcik	denken
hcak	ondercontext
hfan	gevonden
hsun	hand-
hyac	ook
nwan	jong
tyit	tegen
tlan	god
twak	delativegeval
hmin	niks
hyas	eenmaal
hlap	semelfactiveaspect
kcac	links
hyic	zag
hcas	huis
hwac	wereld-
tyin	drie
hnun	neo
hcuk	focus
pyan	liefde
hsis	altijd
hyam	nacht
hyap	koning
hkic	tussen
hmas	geest
cyit	hart-
pluc	paucalaantal
kyik	omdat
ksak	oorzakelijkgeval
tcun	gedaan
hnim	naam
tsan	gepastzelfstandignaamwoord
klac	land
hpun	gevraagd
cyat	zichtbaarbewijskracht
pcac	beter
hmac	moment
hnas	kanniet
hwic	water
twim	desiderativehumeur
kwan	licht
tlat	woord
tyan	deur-
hsas	ochtend-
syat	tot
twik	afdoendgeval
hpit	wit
pcan	geld
hyis	arm
mwan	dood
hfam	formulier
nwik	inessiefgeval
kcat	samen
tsac	vaak
pyat	vriend
psan	helft
hpim	gebiedendewijshumeur
hyuc	ronde
hfat	verzonden
hcis	vrouw
kcan	geloven
hsik	publiek
htus	staatcontext
hpas	zoon
clat	kinderen
tyak	dus
cwan	hoop
syin	Geachte
hkuc	hoog
tyac	lezen
syit	stad
hlic	al
hfit	Factivebewijskracht
tcac	meisje
hcun	horen
ksan	minst
hyaf	misschien
kyat	inderdaad
tcic	lichaam
hwit	terugkeer
cwat	lucht
hfaf	wet
hput	hulp
lyat	brief
ksas	vier
hpic	optatiefhumeur
hfuk	brand
hcam	uur
twat	oorlog
kyak	verscheidene
tlit	tweede
pcin	achter
hmut	verloren
clan	duizend
hfac	familie
twan	ziel
hwas	vraag
syan	waarheid
htis	making
tsat	potentieelhumeur
lwik	allatiefgeval
nyin	antropischegeslacht
hfak	vijf
tcak	dezelfdeonderwerpenfiche
htuc	verschillendonderwerpen
hnap	antwoord
hmit	zee
hcuc	angst
pcat	begrijpen
syas	termen
hcaf	twijfel
twut	dubitativehumeur
hkis	zwart
tlak	brengen
hyus	mooi
nyit	soort
htip	tien
ksis	verhaal
hpuk	boek
hlin	elektronisch
hkun	account
lyas	interesseren
lyit	schrijven
pwat	bed
hnis	leeftijd
hnut	counterfactualvoorwaardelijk
slas	kunst
hwis	Vialisgeval
pyak	broer
lyin	lijn
tyas	tafel
hyun	rivier-
kyac	oog
tfan	plotseling
kcin	diep
hmuc	doel
cyac	bloed
hmap	roos
tlin	koude
hyif	vooruit
tyam	laat
hnaf	veronderstellen
hkip	bijna
myan	mijn
tsin	kennis
hkup	kopiëren
hsam	man
