ni	infinitive
na	chonchonominative
ka	chonchoaccusative
ta	tsankhani
ca	Moni
wu	chonchogramalawosonya
kcah	njala
ti	chonchogenitive
ci	adjective
wa	ndi
mi	ine
sa	inu
nyah	ife
ya	izo
ma	kopitankhani
yi	chonchodative
li	maganizorealis
tu	maganizodeontic
cu	maganizomakonzedwe
si	maganizoepistemic
yu	chonchozoimbidwa
nu	mkatinkhani
pa	munthunkhani
tyah	mzerapalokha
la	mzerayozungulira
fa	perfectivembali
ki	kale
ne	wamphongojenda
mwah	chonchocomitative
ra	pakalipano
pwah	chonchobenefactive
swih	chonchoessive
no	negatoryquantifier
pi	pamwambankhani
da	chonchoadpositional
te	locationnkhani
to	dangankhani
ga	njirankhani
ri	maganizointerrogative
ba	ndipokapena
ku	yekhakapena
so	chonchogwero
pwih	chonchoablative
ksah	moyandikana
tsah	woonekeratu
ko	mzeramchira
pyah	koma
wi	quantifierchilengedwe
ji	zachikazijenda
pu	mochulukitsanumber
bi	tsogoloyomangika
co	nkhanichikhalidwe
me	imperfectivembali
klah	Apo
twah	chonchoelative
twih	chonchoillative
di	maganizolangizo
tlah	kusankidwaquantifier
kyah	chani
tcah	mawufunso
ja	copula
cyah	munthu
clah	ena
do	number
tlih	quantifierochangamuka
se	nthawinkhani
myah	nkhanizosatha
tyuh	okha
tcih	maganizohortative
tyih	retrospectivembali
lo	maganizovolitive
cwah	pambuyo
nlah	alienablechuma
nlih	kwachikhalirechuma
cyih	maganizodeliberative
lwah	chonchoperlative
pfih	mwapang&#39;onopang&#39;onombali
tsih	Pano
ce	pansipankhani
pcah	komanso
lwih	chonchodelative
swah	semelfactivembali
nyih	Wachiwiri
fu	cholinga
plah	kukonda
po	numberpaucal
kyih	chifukwa
ksih	chonchocausal
gi	dzina
tfah	moyeneranauni
crih	loonekawosonyezakutin&#39;zoona
kceh	bwino
dwih	maganizodesiderative
wo	mawu
srah	mpaka
tweh	chonchoterminative
nwih	chonchoinessive
pcih	maganizoMotelo
crah	ndikukhulupirira
ro	bomankhani
cwih	ndikuyembekeza
kwih	factivewosonyezakutin&#39;zoona
fi	obwereza
psih	maganizooptative
tseh	maganizokuthekera
lweh	chonchoallative
nrih	Anthropicjenda
tceh	phunzirolomwelopentopeni
re	nkhanizosiyanasiyana
croh	mantha
mrah	kumvetsa
cyuh	kukayika
twuh	maganizodubitative
myih	kukongola
lyih	chidwi
flah	counterfactualmakonzedwe
we	vialisnkhani
clih	kuzizira
pyih	mtendere
su	kupatula
kwah	chilakolako
le	kutalika
bo	Mwina
mlah	vuto
syah	kumwetulira
slih	tulo
zi	undefined
twoh	chonchoquotative
mo	munthuPonena
kcih	Chonde
rwih	maganizoprecative
mrih	aulemum&#39;kaundula
rwah	mbalioyembekezera
