hnit	infinitive
hnak	chonchonominative
hkak	chonchoaccusative
htak	tsankhani
hpap	bambo
hmam	mayi
hyat	makolo
hcan	Moni
hwik	chonchogramalawosonya
hsuc	makolo
htat	agogo
hcac	njala
hnik	chonchogenitive
hcit	adjective
hwan	ndi
hman	ine
hnan	inu
hwam	ife
htit	izo
htac	kopitankhani
htik	chonchodative
hyit	maganizorealis
htim	maganizodeontic
hcut	maganizomakonzedwe
hsit	maganizoepistemic
hyak	chonchozoimbidwa
htan	mkatinkhani
hpan	munthunkhani
htin	mzerapalokha
hyan	mzerayozungulira
hfap	perfectivembali
hkat	kale
hnin	wamphongojenda
hmak	chonchocomitative
hnat	pakalipano
hpak	chonchobenefactive
swik	chonchoessive
htut	negatoryquantifier
hsan	pamwambankhani
hpin	chonchoadpositional
hwin	locationnkhani
hkan	dangankhani
hnac	njirankhani
hyut	maganizointerrogative
hnam	ndipokapena
hkit	yekhakapena
hsuk	chonchogwero
hpik	chonchoablative
hcat	moyandikana
hmat	woonekeratu
hkuk	mzeramchira
hlan	koma
hsut	onse
hyin	quantifierchilengedwe
hcin	zachikazijenda
hpac	mochulukitsanumber
hyik	chimodzi
htic	awo
hkik	amene
tcat	tsogoloyomangika
hsin	nkhanichikhalidwe
hkac	liti
hmip	imperfectivembali
klan	Apo
hlak	chonchoelative
hlik	chonchoillative
htam	maganizolangizo
hlat	kusankidwaquantifier
hkam	chani
hwat	mawufunso
htap	copula
hpat	munthu
nyan	mwamuna
hkas	ndikanathera
tcan	ena
hnuc	number
twit	quantifierochangamuka
hsak	nthawinkhani
htuk	nkhanizosatha
htun	okha
htum	maganizohortative
hyip	retrospectivembali
hlit	maganizovolitive
pcic	ayenela
tyut	awiri
hsat	onani
hkut	mukudziwa
hcic	pansi
hcap	pambuyo
hpam	choyamba
hlac	alienablechuma
hkap	konse
hnic	kwachikhalirechuma
tyat	akale
tcit	maganizodeliberative
tcin	tsiku
hlam	kubwera
hwak	vowel
hkin	kupita
lwak	chonchoperlative
hpip	mwapang&#39;onopang&#39;onombali
lyan	yaitali
hsac	kunena
kyan	Bwanji
htas	kachiwiri
hsic	Pano
hcik	ndikuganiza
hcak	pansipankhani
hfan	anapeza
hsun	dzanja
hyac	komanso
nwan	achinyamata
tyit	motsutsana
tlan	mulungu
twak	chonchodelative
hmin	kanthu
hyas	kamodzi
hlap	semelfactivembali
kcac	anasiya
hyic	anaona
hcas	nyumba
hwac	dziko
tyin	atatu
hnun	Wachiwiri
hcuk	cholinga
pyan	kukonda
hsis	nthawizonse
hyam	usiku
hyap	mfumu
hkic	pakati
hmas	malingaliro
cyit	mtima
pluc	numberpaucal
kyik	chifukwa
ksak	chonchocausal
tcun	tamaliza
hnim	dzina
tsan	moyeneranauni
klac	dziko
hpun	anafunsa
cyat	loonekawosonyezakutin&#39;zoona
pcac	bwino
hmac	mphindi
hnas	sindingakhoze
hwic	madzi
twim	maganizodesiderative
kwan	kuwala
tlat	mawu
tyan	chitseko
hsas	m&#39;mawa
syat	mpaka
twik	chonchoterminative
hpit	woyera
pcan	ndalama
hyis	wosauka
mwan	imfa
hfam	mawonekedwe
nwik	chonchoinessive
kcat	pamodzi
tsac	zambiri
pyat	bwenzi
psan	theka
hpim	maganizoMotelo
hyuc	kuzungulira
hfat	anatumiza
hcis	mkazi
kcan	ndikukhulupirira
hsik	boma
htus	bomankhani
hpas	mwana
clat	ana
tyak	Motero
cwan	ndikuyembekeza
syin	wokondedwa
hkuc	mkulu
tyac	werengani
syit	mzinda
hlic	kale
hfit	factivewosonyezakutin&#39;zoona
tcac	msungwana
hcun	akumva
ksan	osachepera
hyaf	mwina
kyat	poyeneradi
tcic	thupi
hwit	obwereza
cwat	mpweya
hfaf	chilamulo
hput	Thandizeni
lyat	kalata
ksas	zinayi
hpic	maganizooptative
hfuk	moto
hcam	ora
twat	nkhondo
kyak	zingapo
tlit	lachiwiri
pcin	kuseri
hmut	anataya
clan	zikwi
hfac	banja
twan	moyo
hwas	funso
syan	choonadi
htis	kupanga
tsat	maganizokuthekera
lwik	chonchoallative
nyin	Anthropicjenda
hfak	zisanu
tcak	phunzirolomwelopentopeni
htuc	nkhanizosiyanasiyana
hnap	yankho
hmit	nyanja
hcuc	mantha
pcat	kumvetsa
syas	mawu
hcaf	kukayika
twut	maganizodubitative
hkis	chakuda
tlak	kubweretsa
hyus	kukongola
nyit	mtundu
htip	khumi
ksis	nkhani
hpuk	buku
hlin	pakompyuta
hkun	nkhani
lyas	chidwi
lyit	kulemba
pwat	bedi
hnis	m&#39;badwo
hnut	counterfactualmakonzedwe
slas	art
hwis	vialisnkhani
pyak	m&#39;bale
lyin	mzere
tyas	gome
hyun	mtsinje
kyac	diso
tfan	mwadzidzidzi
kcin	kwambiri
hmuc	cholinga
cyac	magazi
hmap	ananyamuka
tlin	kuzizira
hyif	patsogolo
tyam	kumapeto
hnaf	ndikuganiza
hkip	pafupifupi
myan	zanga
tsin	chidziwitso
hkup	munditumizire
hsam	mwamuna
hlis	zisanundichimodzi
cwit	moyo
cyan	mtendere
myat	kumbukirani
tyic	achilengedwe
hfut	kugwa
swas	utumiki
hsap	kupatula
pcit	kukopera
hyim	asilikali
kyas	kavalo
plic	tsogolo
pcak	kumadzulo
hpis	kulipira
hyuk	wofiira
hwun	golidi
twin	chilakolako
plan	kusewera
hpus	ofesi
syun	boma
kyic	mpingo
htaf	mphamvu
hlun	kutalika
kyin	kampani
kyis	pepala
mlan	Mwina
hcim	makamaka
cyas	kudzachitira
twac	window
nyat	kukongola
hcus	yotsirizira
htup	ntchito
htif	mtunda
pyas	phazi
hlas	zakutchire
ksin	wobiriwira
hmaf	vuto
myac	kumwetulira
hsim	tulo
kyit	undefined
kwik	chonchoquotative
fwan	ulendo
slan	kutsatira
psit	kukhalapo
hmic	sweet
hmuf	m&#39;kamwa
hfin	wachuma
tcam	mdani
psuk	osweka
kcap	m&#39;chombo
pwan	munthuPonena
hfic	chikoka
tcuc	kuoneka
hkim	chinsinsi
pyin	Chonde
pwit	maganizoprecative
pyit	aulemum&#39;kaundula
cwak	zoipa
myak	march
tcas	malo
hlaf	kukhala
psat	m&#39;malo
nlan	buluu
psac	zosatheka
kcuk	sukulu
kcit	anakwatira
kcak	chakudya
syis	makumiawiri
tlac	chete
hcip	mbalioyembekezera
kwin	kupereka
tsit	anasiya
pyac	chilankhulo
hsus	sabata
hcup	holo
cyap	ndikudabwa
tfin	Anabadwa
fyat	khoti
hnip	gnomicmbali
tsak	kulemekeza
tlas	ofunika
syuc	mtengo
plat	wall
cyak	kumwamba
twip	inchoativembali
mlat	lamulo
swit	maganizojussive
mwas	mwezi
hwaf	wangwiro
tyap	zinachitikira
ksac	zinthu
syac	mwatsopano
hnuk	wolamulira
kwak	yokutidwa
tyuk	kum&#39;mawa
pwac	mwala
hkif	wolemekezeka
nyac	malangizo
cyis	mpando
tyuc	akuyembekezera
tsun	mudzi
tyik	kugwirizana
hnum	maganizoazilera
slak	bwino
tsic	akuyesera
slat	phiri
hmik	nyimbo
hkus	kulira
hsip	Zisanundiziwiri
hpaf	paokha
nwas	uthenga
tfac	powonekera
fyan	m&#39;munda
cwas	yamba
hfik	chonchodistributive
lyac	kuphunzira
syik	zandale
clin	Henry
cyin	bodza
tsas	adaponya
cyik	ulamuliro
tlap	pansi
cyam	chilimwe
tcut	chipembedzo
tcap	kuthawa
hlut	wolemba
pyun	bulauni
tcuk	kupweteka
swan	masika
hmun	yofewa
kyun	ngodya
nyak	chizindikiro
tsis	chilungamo
psas	panga
cyaf	Anaseka
hwut	angaiwale
hyup	Ulaya
hwap	zisanundizitatu
psak	m&#39;kupita
kyap	lowopsya
pyic	chofunika
hmim	sing&#39;anga
hsaf	mpweya
hmis	wanzeru
hsum	odzikundikirapentopeni
ksat	osangalatsa
ksit	manda
tsap	chilumba
kyam	mumsasa
tcum	kukhudza
cyun	olosera
psic	pagombe
tyun	ankalamulira
mwit	maganizocommissive
tlut	digiri
myit	yozizira
kfan	khalidwe
slac	athamanga
myin	miniti
tyip	kutsogolera
klas	galasi
pfat	bolodi
cyic	pachabe
swam	zochitika
syam	otetezeka
tsut	dokotala
hlip	completivembali
kcas	mdima
nyun	ofunda
hpuc	kumwa
tlam	Mwachitsanzo
hfun	mkwiyo
tsik	ngakhale
tsam	mwachindunji
hmup	chipewa
klak	galu
slin	zasiliva
swac	wantchito
kcam	kunyada
pyik	sitima
myut	makhalidwe
syak	kulowa
swat	lupanga
kyuk	kuukira
clac	umoyo
tyaf	ndime
swic	chikhalidwe
tfit	obwezeredwa
hkaf	boma
pcas	Mwachidule
nyam	ulemerero
tfat	thwelofu
pcut	zikugwira
pwin	vinyo
mwat	kukoma
fyac	chitsulo
syap	kugawira
myap	malonda
hyum	ntchito
fwak	woweruza
klat	kapitawo
twap	cessativembali
kcic	chidwi
kwic	lachilendo
hnif	intensifier
myun	kufunika
tlic	potsiriza
cyuk	pakhosi
syut	ufulu
pfan	mbali
kyuc	youma
pcap	pambali
tfak	wosonyezakutin&#39;zoona
tcik	chonchowosonyezakutin&#39;zoona
twun	lakutali
tyis	patsogolo
nyap	yopapatiza
plit	nyumba
hpif	tsamba
pwic	atagwira
syic	zachisoni
tsip	tchimo
syim	odwala
tcis	woonamtima
pcun	banki
ksap	kulandira
lyam	mtsinje
tcaf	mosamala
kwac	khutu
hpup	mkate
kcut	kusankha
nwam	chinyama
hsup	zoicjenda
nwit	eventivemaganizo
tcim	chomwechochochitikapentopeni
tlik	chonchomultiplicative
kyus	kuwoloka
hmus	wandiweyani
kfat	angayerekeze
nwat	kukula
myic	mvula
hpum	pamwamba
swut	woyera
clis	July
mwun	mafashoni
hfas	file
cwac	phewa
kwat	chitonthozo
nwac	aliyense
tcip	anakhumba
kfac	udzu
hmuk	kudzatunga
plin	kutsegula
kwun	June
mlik	nsomba
klin	likulu
pfut	m&#39;mawere
twam	Funsani
fyin	ndalama
nlit	zanu
mlin	miliyoni
pyut	pempherani
hluk	wotopa
ksut	kupha
cyut	mthunzi
psin	kulemera
kcis	imvi
pyam	olimbamtima
mwac	kukhuta
klam	ndikukuuzani
ksam	national
hfip	ofooka
klik	chigwa
hkum	maganizozongopeka
clas	yellow
cyuc	kutentha
mlac	zotsalira
syip	mofanana
pwak	bokosi
tcif	zisonga
psip	mfundo
ksik	zotsatira
tsim	nyengo
flan	sayansi
pcam	Zikuoneka
kcun	inabala
ksuk	amalume
mlit	mndandanda
pcik	owopsa
kwas	August
hluc	wotchuka
klit	osadziwika
flak	bwino
fyit	bwinom&#39;kaundula
lwat	owerenga
plun	akuyenda
twas	kawiri
pcis	wansembe
fyas	anavulazidwa
nlat	yachifumu
myuk	kupusitsa
pfak	mtima
tcuf	zisanundizinayi
cwap	chifundo
plac	mkangano
pyap	kuika
lyic	wovala
hcum	phokoso
lwit	mabuku
tsuk	udindo
hfup	mkuntho
kcik	mthumba
nwap	novembala
tyim	December
psaf	kulibe
nlac	anthu
kyaf	tikukuthokozani
slis	mndandanda
pyaf	mbalame
mlak	mwini
kwut	odula
hwuc	kugona
pyis	mofulumira
twuc	utsi
nwak	January
mlic	makina
tlis	mano
ksun	choyaka
clam	manyazi
klaf	khalidwe
clit	mphete
fyak	akuti
fyam	akutipentopeni
kwap	khwalala
hwip	pasabata
psis	ndakatulo
pwut	undefined
kyim	kugula
clic	m&#39;minda
pyip	April
kfap	October
psut	zinthu
kcuc	zowawa
nlap	kapolo
hsok	lotayirira
htet	lemba
hbat	zikachitika
hrit	ngongole
hzit	Mawonekedwe
hpet	fifitini
krac	wankhanza
hduc	fumbi
hrik	othandiza
hron	mtundu
hnus	mphuno
hric	wochezeka
srik	kotunga
hten	dzulo
tlet	hesternalyomangika
slap	kulephera
hban	azivala
hdat	akhungu
fran	kuuluka
hdan	mdierekezi
htec	pang&#39;onopang&#39;ono
hmon	ntchito
cran	nsembe
hran	chikumbumtima
hmos	mtumiki
nrit	mphamvu
hcet	kudana
hset	likulu
hrin	zomvekajenda
hcot	kusangalala
hrip	mwachidule
htep	kulambira
hcif	khungu
hrat	denga
kran	korona
hkon	Nyumbayi
tran	kusimidwa
