hnit	infinitive
hnak	nominativeਮਾਮਲੇ'
hkak	accusativeਮਾਮਲੇ'
htak	ਵਿਸ਼ੇਮਾਮਲੇ'
hpap	ਪਿਤਾਜੀ
hmam	ਮੰਮੀ
hyat	ਮਾਤਾ
hcan	ਸਤਸ੍ਰੀਅਕਾਲ
hwik	vocativeਮਾਮਲੇ'
hsuc	ਪੂਰਵਜ
htat	ਨਾਨੀ
hcac	ਭੁੱਖੇ
hnik	genitiveਮਾਮਲੇ'
hcit	adjective
hwan	ਅਤੇ
hman	ਮੈਨੂੰ
hnan	ਤੁਹਾਨੂੰ
hwam	ਸਾਡੇਨਾਲ
htit	ਇਸਨੂੰ
htac	ਮੰਜ਼ਿਲਮਾਮਲੇ'
htik	dativeਮਾਮਲੇ'
hyit	ਅਸਲਮੂਡ
htim	deonticਮੂਡ
hcut	ਸ਼ਰਤਮੂਡ
hsit	epistemicਮੂਡ
hyak	ਸਹਾਇਕਮਾਮਲੇ'
htan	ਅੰਦਰੂਨੀਪ੍ਰਸੰਗ
hpan	ਵਿਅਕਤੀਪ੍ਰਸੰਗ
htin	ਸੁਤੰਤਰਧਾਰਾ
hyan	ਨਿਰਭਰਧਾਰਾ
hfap	perfectiveਪਹਿਲੂ
hkat	ਪਿਛਲੇਭੂਤਕਾਲ
hnin	ਨਰਲਿੰਗ
hmak	comitativeਮਾਮਲੇ'
hnat	ਮੌਜੂਦਾਭੂਤਕਾਲ
hpak	benefactiveਮਾਮਲੇ'
swik	essiveਮਾਮਲੇ'
htut	negatoryquantifier
hsan	ਸਤਹਪ੍ਰਸੰਗ
hpin	adpositionalਮਾਮਲੇ'
hwin	ਦੀਸਥਿਤੀਮਾਮਲੇ'
hkan	ਸਪੇਸਪ੍ਰਸੰਗ
hnac	ਤਰੀਕੇਨਾਲਮਾਮਲੇ'
hyut	interrogativeਮੂਡ
hnam	ਅਤੇਜ
hkit	ਬਿਨਾਜ
hsuk	ਸਰੋਤਮਾਮਲੇ'
hpik	ablativeਮਾਮਲੇ'
hcat	ਨੇੜਤਾ
hmat	ਜ਼ਾਹਰ
hkuk	ਧਾਰਾਪੂਛ
hlan	ਪਰ
hsut	ਸਾਰੇ
hyin	ਯੂਨੀਵਰਸਲquantifier
hcin	ਵੱਸੋਲਿੰਗ
hpac	ਬਹੁਵਚਨਦਾਨੰਬਰ
hyik	ਇੱਕ
htic	ਆਪਣੇ
hkik	ਜੋ
tcat	ਭਵਿੱਖਭੂਤਕਾਲ
hsin	ਸਮਾਜਿਕਪ੍ਰਸੰਗ
hkac	ਜਦੋਂ
hmip	imperfectiveਪਹਿਲੂ
klan	ਉੱਥੇ
hlak	ਰਿਸ਼ਤੇਦਾਰਮਾਮਲੇ'
hlik	illativeਮਾਮਲੇ'
htam	ਡਾਇਰੈਕਟਿਵਮੂਡ
hlat	ਵਿਿਲਵਪਿquantifier
hkam	ਕੀ
hwat	ਸਵਾਲਦਾਸ਼ਬਦਦਾ
htap	copula
hpat	ਵਿਅਕਤੀ
nyan	ਮਰਦ
hkas	ਹੋਸਕਦਾਸੀ
tcan	ਹੋਰ
hnuc	ਦਾਨੰਬਰ
twit	ਕੱਟੜquantifier
hsak	ਵਾਰਪ੍ਰਸੰਗ
htuk	ਸੰਸਾਰੀਮਾਮਲੇ'
htun	ਸਿਰਫ
htum	hortativeਮੂਡ
hyip	ਵਿਆਪੀਪਹਿਲੂ
hlit	volitiveਮੂਡ
pcic	ਲਾਜ਼ਮੀਹੈਕਿ
tyut	ਦੋ
hsat	ਵੇਖੋ,
hkut	ਪਤਾਹੈ
hcic	ਥੱਲੇ
hcap	ਦੇਬਾਅਦ
hpam	ਪਹਿਲੀ
hlac	alienableਕਬਜ਼ਾ
hkap	ਕਦੇਵੀ
hnic	ਇਹਸੁਨਿਸ਼ਚਿਤਕੀਤਾਕਬਜ਼ਾ
tyat	ਪੁਰਾਣੇ
tcit	ਵਿਚਾਰਮੂਡ
tcin	ਦਿਨਦੇ
hlam	ਆ
hwak	ਸਵਰ
hkin	ਜਾਣ
lwak	perlativeਮਾਮਲੇ'
hpip	ਪ੍ਰਗਤੀਸ਼ੀਲਪਹਿਲੂ
lyan	ਲੰਬੇ
hsac	ਦਾਕਹਿਣਾਹੈ
kyan	ਕਿਵੇਂ
htas	ਨੂੰਫਿਰ
hsic	ਇਥੇ
hcik	ਲੱਗਦਾਹੈ
hcak	ਅਧੀਨਪ੍ਰਸੰਗ
hfan	ਪਤਾਲੱਗਿਆਹੈ
hsun	ਹੱਥ
hyac	ਇਹਵੀ
nwan	ਨੌਜਵਾਨ
tyit	ਦੇਖਿਲਾਫ
tlan	ਪਰਮੇਸ਼ੁਰਨੇ
twak	delativeਮਾਮਲੇ'
hmin	ਕੁਝ
hyas	ਇਕਵਾਰ
hlap	semelfactiveਪਹਿਲੂ
kcac	ਨੂੰਛੱਡ
hyic	ਆਰਾ
hcas	ਘਰਦੇ
hwac	ਸੰਸਾਰ
tyin	ਤਿੰਨ
hnun	ਨਿਓ
hcuk	ਫੋਕਸ
pyan	ਪਸੰਦਹੈ
hsis	ਹਮੇਸ਼ਾ
hyam	ਰਾਤਨੂੰ
hyap	ਰਾਜੇਨੇ
