ni	infinitive
na	nominativeਮਾਮਲੇ'
ka	accusativeਮਾਮਲੇ'
ta	ਵਿਸ਼ੇਮਾਮਲੇ'
ca	ਸਤਸ੍ਰੀਅਕਾਲ
wu	vocativeਮਾਮਲੇ'
kcah	ਭੁੱਖੇ
ti	genitiveਮਾਮਲੇ'
ci	adjective
wa	ਅਤੇ
mi	ਮੈਨੂੰ
sa	ਤੁਹਾਨੂੰ
nyah	ਸਾਡੇਨਾਲ
ya	ਇਸਨੂੰ
ma	ਮੰਜ਼ਿਲਮਾਮਲੇ'
yi	dativeਮਾਮਲੇ'
li	ਅਸਲਮੂਡ
tu	deonticਮੂਡ
cu	ਸ਼ਰਤਮੂਡ
si	epistemicਮੂਡ
yu	ਸਹਾਇਕਮਾਮਲੇ'
nu	ਅੰਦਰੂਨੀਪ੍ਰਸੰਗ
pa	ਵਿਅਕਤੀਪ੍ਰਸੰਗ
tyah	ਸੁਤੰਤਰਧਾਰਾ
la	ਨਿਰਭਰਧਾਰਾ
fa	perfectiveਪਹਿਲੂ
ki	ਪਿਛਲੇਭੂਤਕਾਲ
ne	ਨਰਲਿੰਗ
mwah	comitativeਮਾਮਲੇ'
ra	ਮੌਜੂਦਾਭੂਤਕਾਲ
pwah	benefactiveਮਾਮਲੇ'
swih	essiveਮਾਮਲੇ'
no	negatoryquantifier
pi	ਸਤਹਪ੍ਰਸੰਗ
da	adpositionalਮਾਮਲੇ'
te	ਦੀਸਥਿਤੀਮਾਮਲੇ'
to	ਸਪੇਸਪ੍ਰਸੰਗ
ga	ਤਰੀਕੇਨਾਲਮਾਮਲੇ'
ri	interrogativeਮੂਡ
ba	ਅਤੇਜ
ku	ਬਿਨਾਜ
so	ਸਰੋਤਮਾਮਲੇ'
pwih	ablativeਮਾਮਲੇ'
ksah	ਨੇੜਤਾ
tsah	ਜ਼ਾਹਰ
ko	ਧਾਰਾਪੂਛ
pyah	ਪਰ
wi	ਯੂਨੀਵਰਸਲquantifier
ji	ਵੱਸੋਲਿੰਗ
pu	ਬਹੁਵਚਨਦਾਨੰਬਰ
bi	ਭਵਿੱਖਭੂਤਕਾਲ
co	ਸਮਾਜਿਕਪ੍ਰਸੰਗ
me	imperfectiveਪਹਿਲੂ
klah	ਉੱਥੇ
twah	ਰਿਸ਼ਤੇਦਾਰਮਾਮਲੇ'
twih	illativeਮਾਮਲੇ'
di	ਡਾਇਰੈਕਟਿਵਮੂਡ
tlah	ਵਿਿਲਵਪਿquantifier
kyah	ਕੀ
tcah	ਸਵਾਲਦਾਸ਼ਬਦਦਾ
ja	copula
cyah	ਵਿਅਕਤੀ
clah	ਹੋਰ
do	ਦਾਨੰਬਰ
tlih	ਕੱਟੜquantifier
se	ਵਾਰਪ੍ਰਸੰਗ
myah	ਸੰਸਾਰੀਮਾਮਲੇ'
tyuh	ਸਿਰਫ
tcih	hortativeਮੂਡ
tyih	ਵਿਆਪੀਪਹਿਲੂ
lo	volitiveਮੂਡ
cwah	ਦੇਬਾਅਦ
nlah	alienableਕਬਜ਼ਾ
nlih	ਇਹਸੁਨਿਸ਼ਚਿਤਕੀਤਾਕਬਜ਼ਾ
cyih	ਵਿਚਾਰਮੂਡ
lwah	perlativeਮਾਮਲੇ'
pfih	ਪ੍ਰਗਤੀਸ਼ੀਲਪਹਿਲੂ
tsih	ਇਥੇ
ce	ਅਧੀਨਪ੍ਰਸੰਗ
pcah	ਇਹਵੀ
lwih	delativeਮਾਮਲੇ'
