hnit	bezokolicznik
hnak	mianownikowysprawa
hkak	bierniksprawa
htak	tematsprawa
hpap	tata
hmam	mama
hyat	rodzicielski
hcan	Halo
hwik	wołaczsprawa
hsuc	przodek
htat	dziadkowie
hcac	głodny
hnik	dopełniaczsprawa
hcit	przymiotnik
hwan	i
hman	mnie
hnan	ty
hwam	nas
htit	ono
htac	celsprawa
htik	celowniksprawa
hyit	realishumor
htim	deontycznahumor
hcut	warunkowyhumor
hsit	epistemicznahumor
hyak	instrumentalnysprawa
htan	wnętrzekontekst
hpan	osobakontekst
htin	niezależnaklauzula
hyan	zależnyklauzula
hfap	perfektywnyaspekt
hkat	przeszłośćczas
hnin	rodzajmęskipłeć
hmak	comitativesprawa
hnat	obecnyczas
hpak	benefactivesprawa
swik	essivesprawa
htut	przeczącykwantyfikator
hsan	powierzchniakontekst
hpin	adpositionalsprawa
hwin	Lokalizacjasprawa
hkan	przestrzeńkontekst
hnac	drogasprawa
hyut	badawczyhumor
hnam	ilub
hkit	Ekskluzywnyalbo
hsuk	źródłosprawa
hpik	narzędniksprawa
hcat	bliskość
hmat	wskazujący
hkuk	Klauzulaogon
hlan	ale
hsut	wszyscy
hyin	uniwersalnykwantyfikator
hcin	kobiecypłeć
hpac	liczbamnoganumer
hyik	jeden
htic	ich
hkik	kto
tcat	przyszłośćczas
hsin	społecznykontekst
hkac	gdy
hmip	niedokonanyaspekt
klan	tam
hlak	krewnysprawa
hlik	illativesprawa
htam	dyrektywahumor
hlat	obieralnykwantyfikator
hkam	co
hwat	pytaniesłowo
htap	spójka
hpat	osoba
nyan	męski
hkas	móc
tcan	inne
hnuc	numer
twit	stanowczykwantyfikator
hsak	czaskontekst
htuk	czasowysprawa
htun	tylko
htum	hortativehumor
hyip	zmocąwstecznąaspekt
hlit	volitivehumor
pcic	musi
tyut	dwa
hsat	widzieć
hkut	wiedzieć
hcic	nadół
hcap	po
hpam	pierwszy
hlac	przenośnyposiadanie
hkap	nigdy
hnic	niezbywalnyposiadanie
tyat	stary
tcit	obradującyhumor
tcin	dzień
hlam	chodź
hwak	samogłoska
hkin	iść
lwak	perlativesprawa
hpip	progresywnyaspekt
lyan	długi
hsac	powiedzieć
kyan	jak
htas	jeszczeraz
hsic	tutaj
hcik	myśleć
hcak	podkontekst
hfan	uznany
hsun	dłoń
hyac	również
nwan	młody
tyit	przeciwko
tlan	Bóg
twak	delativesprawa
hmin	nic
hyas	pewnegorazu
hlap	semelfactiveaspekt
kcac	lewo
hyic	Piła
hcas	dom
hwac	świat
tyin	trzy
hnun	neo
hcuk	skupiać
pyan	miłość
hsis	zawsze
hyam	noc
hyap	król
hkic	między
hmas	umysł
cyit	serce
pluc	paucalnumer
kyik	bo
ksak	przyczynowysprawa
tcun	Gotowe
hnim	imię
tsan	właściwyrzeczownik
klac	kraj
hpun	spytał
cyat	widocznydowodowy
pcac	lepiej
hmac	moment
hnas	niemogą
hwic	woda
twim	desiderativehumor
kwan	jasny
tlat	słowo
tyan	drzwi
hsas	ranek
syat	ażdo
twik	terminativesprawa
hpit	biały
pcan	pieniądze
hyis	ubogi
mwan	śmierć
hfam	forma
nwik	inessivesprawa
kcat	razem
tsac	często
pyat	przyjaciel
psan	pół
hpim	trybrozkazującyhumor
hyuc	okrągły
hfat	wysłany
hcis	żona
kcan	uwierzyć
hsik	publiczny
htus	stankontekst
hpas	syn
clat	dzieci
tyak	azatem
cwan	nadzieja
syin	drogi
hkuc	wysoki
tyac	czytać
syit	miasto
hlic	już
hfit	factivedowodowy
tcac	dziewczyna
hcun	słyszeć
ksan	najmniej
hyaf	może
kyat	wrzeczysamej
tcic	ciało
hwit	powrót
cwat	powietrze
hfaf	prawo
hput	Pomoc
lyat	list
ksas	cztery
hpic	życzącyhumor
hfuk	ogień
hcam	godzina
twat	wojna
kyak	kilka
tlit	sekunda
pcin	za
hmut	zagubiony
clan	tysiąc
hfac	rodzina
twan	dusza
hwas	pytanie
syan	prawda
htis	zrobienie
tsat	potencjałhumor
lwik	Allativussprawa
nyin	antropicznypłeć
hfak	pięciu
tcak	takiesamePrzedmiotznacznik
htuc	innyPrzedmiot
hnap	odpowiadać
hmit	morze
hcuc	strach
pcat	rozumiesz
syas	Warunki
hcaf	wątpić
twut	dubitativehumor
hkis	czarny
tlak	przynieść
hyus	Pięknie
nyit	sortować
htip	dziesięć
ksis	fabuła
hpuk	książka
hlin	elektroniczny
hkun	konto
lyas	zainteresowanie
lyit	pisać
pwat	łóżko
hnis	wiek
hnut	alternatywęwarunkowy
slas	sztuka
hwis	Vialissprawa
pyak	brat
lyin	linia
tyas	stół
hyun	rzeka
kyac	oko
tfan	nagle
kcin	głęboki
hmuc	cel
cyac	krew
hmap	róża
tlin	zimno
hyif	Naprzód
tyam	późno
hnaf	przypuszczać
hkip	prawie
myan	kopalnia
tsin	znajomość
hkup	Kopiuj
hsam	mąż
hlis	sześć
cwit	życie
cyan	pokój
myat	pamiętać
tyic	naturalny
hfut	spadek
swas	usługa
hsap	oprócz
pcit	Prawoautorskie
hyim	armia
kyas	koń
plic	przyszłość
pcak	zachód
hpis	zapłacić
hyuk	Rudy
hwun	złoto
twin	pragnienie
plan	bawićsię
hpus	Biuro
syun	rząd
kyic	kościół
htaf	wytrzymałość
hlun	długość
kyin	firma
kyis	papier
mlan	prawdopodobieństwo
hcim	zwłaszcza
cyas	Niedźwiedź
twac	okno
nyat	piękno
hcus	drugi
htup	obowiązek
htif	dystans
pyas	stopa
hlas	dziki
ksin	zielony
hmaf	problem
myac	uśmiech
hsim	sen
kyit	zacytowany
kwik	quotativesprawa
fwan	odwiedzić
slan	kierowaćsię
psit	obecność
hmic	słodki
hmuf	usta
hfin	bogaty
tcam	wróg
psuk	złamany
kcap	statek
pwan	włącznieosoba
hfic	wpływ
tcuc	pojawićsię
hkim	sekret
pyin	proszę
pwit	precativehumor
pyit	uprzejmyzarejestrować
cwak	zło
myak	Marsz
tcas	miejsc
hlaf	pobyt
psat	wzamian
nlan	niebieski
psac	niemożliwy
kcuk	szkoła
kcit	żonaty
kcak	jedzenie
syis	20
tlac	cicho
hcip	spodziewanyaspekt
