hnit	infinitive
hnak	فاعليحالت
hkak	accusativeقضيه
htak	موضوعقضيه
hpap	داد
hmam	مور
hyat	موراوپلار
hcan	سلام
hwik	vocativeقضيه
hsuc	ancestor
htat	انا
hcac	دوږو
hnik	genitiveقضيه
hcit	صفت
hwan	او
hman	ما
hnan	تاسو
hwam	موږ
htit	دا
htac	مقصدپهصورت
htik	dativeقضيه
hyit	realisمزاج
htim	deonticمزاج
hcut	شرطيمزاج
hsit	epistemicمزاج
hyak	ګټورقضيه
htan	دکورنيوچاروشرایطو
hpan	شخصشرایطو
htin	خپلواکهفقره
hyan	متکيفقره
hfap	perfectiveاړخ
hkat	پهتېروترينګلې
hnin	مذکر
hmak	comitativeقضيه
hnat	اوسنيترينګلې
hpak	benefactiveقضيه
swik	essiveقضيه
htut	negatoryquantifier
hsan	سطحيشرایطو
hpin	adpositionalقضيه
hwin	ځایپهصورت
hkan	فضاشرایطو
hnac	لارهقضيه
hyut	interrogativeمزاج
hnam	اویا
hkit	اختصاصياو
hsuk	سرچينهقضيه
hpik	ablativeقضيه
hcat	نږدې
hmat	demonstrative
hkuk	فقرهلکۍ
hlan	خو
hsut	ټول
hyin	نړیوالquantifier
hcin	مؤنثجنس
hpac	جمعشمیر
hyik	یو
htic	دهغوی
hkik	چې
tcat	راتلونکېزمانه
hsin	ټولنيزشرايط
hkac	كله
hmip	imperfectiveاړخ
klan	هلته
hlak	elativeقضيه
hlik	illativeقضيه
htam	لارښودمزاج
hlat	انتخابيquantifier
hkam	څه
hwat	پوښتنهکلمه
htap	copula
hpat	شخص
nyan	نارينه
hkas	کولی
tcan	نور
hnuc	شمیر
twit	پرېکنډهquantifier
hsak	دوختشرایطو
htuk	زمانيصورتکې
htun	یوازې
htum	hortativeمزاج
hyip	لهتفکرهاړخ
hlit	volitiveمزاج
pcic	بايد
tyut	دوه
hsat	وګورئ
hkut	پوه
hcic	ښکته
hcap	وروسته
hpam	لومړی
hlac	alienableملکيت
hkap	هيڅکله
hnic	کوششملکيت
tyat	زاړه
tcit	مشورتيمزاج
tcin	ورځ
hlam	راځي
hwak	vowel
hkin	تهلاړ
lwak	perlativeقضيه
hpip	مترقياړخ
lyan	اوږد
hsac	وايي
kyan	څهډول
htas	بيا
hsic	دلته
hcik	فکر
hcak	لاندېشرایطو
hfan	وموندلشول
hsun	دلاس
hyac	هم
nwan	ځوان
tyit	پهوړاندې
tlan	معبود
twak	delativeقضيه
hmin	هيڅ
hyas	یوځل
hlap	semelfactiveاړخ
kcac	پاتې
hyic	داره
hcas	کور
hwac	نړۍ
tyin	درې
hnun	neo
hcuk	تمرکز
pyan	مينه
hsis	تل
hyam	شپه
hyap	پاچا
hkic	ترمنځد
hmas	ذهن
cyit	هرات
pluc	paucalشمیر
kyik	ځکهچې
ksak	اتفاقیقضيه
tcun	ترسره
hnim	نوم
tsan	خاصنوم
klac	هیواد
hpun	پوښتنه
cyat	دليدووړشواهدو
pcac	ښه
hmac	شېبه
hnas	نهشي
hwic	داوبود
twim	desiderativeمزاج
kwan	رڼا
tlat	کلمه
tyan	دروازه
hsas	سهار
syat	تر
twik	terminativeقضيه
hpit	سپین
pcan	پيسې
hyis	بېوزله
mwan	دمرګ
hfam	فورمه
nwik	inessiveقضيه
kcat	پهګډه
tsac	زياتره
pyat	دوست
psan	نيمايي
hpim	اړینهمزاج
hyuc	پړاو
hfat	لیږل
hcis	ښځه
kcan	باور
hsik	دعامه
htus	دولتدشرایطو
hpas	زوی
clat	ماشومان
tyak	پهدېتوګه
cwan	هيله
syin	ګران
hkuc	دلوړ
tyac	پاتېبرخه
syit	ښار
hlic	لاد
hfit	factiveشواهدو
tcac	نجلۍ
hcun	ډرا
ksan	لږترلږه
hyaf	ښايي
kyat	پهحقیقتکی
tcic	دبدن
hwit	بېرته
cwat	دهوا
hfaf	قانون
hput	مرسته
lyat	لیک
ksas	څلور
hpic	optativeمزاج
hfuk	داور
hcam	ساعت
twat	دجګړې
kyak	څو
tlit	دوهم
pcin	ترشا
hmut	لهلاسه
clan	زره
hfac	کورنۍ
twan	روح
hwas	پوښتنه
syan	حقیقت
htis	جوړول
tsat	بالقوهمزاج
lwik	allativeقضيه
nyin	Anthropicدجندر
hfak	پنځه
tcak	عینمضمونپهمارکر
htuc	مختلفتابع
hnap	ځواب
hmit	دبحر
hcuc	ويره
pcat	پوه
syas	لهپلوه
hcaf	شک
twut	dubitativeمزاج
hkis	تور
tlak	راولي
hyus	ښکلی
nyit	ډول
htip	لس
ksis	کيسه
hpuk	کتاب
hlin	برېښنايي
hkun	ګڼون
lyas	ګټه
lyit	ولیکي
pwat	بستره
hnis	عمر
hnut	counterfactualمشروط
slas	هنر
hwis	vialisقضيه
pyak	ورور
lyin	خط
tyas	جدول
hyun	دسيند
kyac	دسترګو
tfan	ناڅاپه
kcin	ژور
hmuc	موخه
cyac	وينه
hmap	دګلابو
tlin	سوړ
hyif	مخ
tyam	پهوروستيو
hnaf	فرضکړئ
hkip	نږدې
myan	کان
tsin	پوهه
hkup	کاپي
hsam	خاوند
hlis	شپږ
cwit	ژوند
cyan	دسولې
myat	پهیاد
tyic	دطبيعي
hfut	راځي
swas	خدمت
hsap	پرتهله
pcit	دخپرونکي
hyim	پوځ
kyas	آس
plic	راتلونکي
pcak	لويديځ
hpis	ورکړي
hyuk	سور
hwun	دسروزرو
twin	ارمان
plan	ولوبوي
hpus	دفتر
syun	دحکومت
kyic	دچرچ
htaf	قوت
hlun	اوږدوالي
kyin	شرکت
kyis	کاغذ
mlan	احتمال
hcim	پهځانګړېتوګه
cyas	ګواهي
twac	کړکۍ
nyat	ښکلا
hcus	وروستنۍ
htup	دنده
htif	واټن
pyas	پښه
hlas	وحشي
ksin	شین
hmaf	ستونزې
myac	موسکا
hsim	خوب
kyit	لهخولې
kwik	quotativeقضيه
fwan	سفر
slan	تعقيب
psit	شتون
hmic	خواږه
hmuf	خوله
hfin	شتمن
tcam	دښمن
psuk	ماتشوی
kcap	کښتۍ
pwan	شمولهشخص
hfic	نفوذ
tcuc	ښکاري
hkim	پټ
pyin	مهربانيوکړه
pwit	precativeمزاج
pyit	مودبثبت
cwak	بد
myak	مارچ
tcas	ځايونو
hlaf	پاتېشي
psat	پرځای
nlan	آبي
psac	ناشونې
kcuk	دښوونځي
kcit	واده
kcak	دخوړو
syis	شل
tlac	ارام
hcip	دراتلونکياړخ
kwin	ورکول
tsit	ودرول
pyac	ژبه
hsus	اونۍ
hcup	پهتالارکې
cyap	حيران
tfin	لمريزکال
fyat	دمحکمې
hnip	gnomicاړخ
tsak	ددرناوي
tlas	ارزښت
syuc	ونې
plat	دیوال
cyak	آسمان
twip	inchoativeاړخ
mlat	دقوماندې
swit	jussiveمزاج
mwas	میاشت
hwaf	کامل
tyap	تجربه
ksac	حاالتو
syac	تازه
hnuk	Duke
kwak	ترپوښښلاندې
tyuk	ختيځ
pwac	ډبره
hkif	اصیل
nyac	جهت
cyis	دکرسۍ
tyuc	انتظار
tsun	دکلي
tyik	موافقه
hnum	اجازهمزاج
slak	برياليتوب
tsic	هڅهکوي
slat	غونډۍ
hmik	موسيقي
hkus	ژړا
hsip	اووه
hpaf	دخصوصي
nwas	خبرونه
tfac	صحنه
fyan	باغ
cwas	پيلكيدل؛شروعكيدل:اوچنېدل،راوتل
hfik	توزيعيقضيه
lyac	زده
syik	دسیاسي
clin	Henry
cyin	دروغ
tsas	اچول
cyik	واک
tlap	پوړ
cyam	داوړي
tcut	دین
tcap	دتېښتې
hlut	لیکوال
pyun	نصواري
tcuk	درد
swan	پسرلی
hmun	نرم
kyun	کونج
nyak	داسرارود
tsis	عدالت
psas	توليدول،جوړول
cyaf	خندا
hwut	هېر
hyup	داروپا
hwap	اته
psak	تېرېدو
kyap	terrible
pyic	اړتيا
hmim	متوسط
hsaf	ساه
hmis	هوښيار
hsum	possessiveمارکر
ksat	ښايسته
ksit	قبر
tsap	ټاپو
kyam	کمپ
tcum	لمس
cyun	بخت
psic	پهغاړه
tyun	چېدعامه
mwit	commissiveمزاج
tlut	درجو
myit	دژميپه
kfan	چلند
slac	چلولو
myin	دقیقې
tyip	لامل
klas	ګيلاس
pfat	بورډ
cyic	هسې
swam	چارو
syam	خوندي
tsut	ډاکټر
hlip	completiveاړخ
kcas	تياره
nyun	تاوده
hpuc	دڅښلو
tlam	مثالپهتوګه
hfun	قهر
tsik	سرهسره
tsam	پهمستقیمډول
hmup	خولۍ
klak	سپی
slin	دسپينوزرو
swac	بنده
kcam	وياړ
pyik	روزنه
myut	اخلاقي
syak	ننوځي
swat	توره
kyuk	برید
clac	روغتیا
tyaf	پاراګراف
swic	ټولنیز
tfit	دبيرتهورکړې
hkaf	چارواکي
pcas	نظر
nyam	جلال
tfat	دولس
pcut	بوخت
pwin	دانګوروشراب
mwat	خوند
fyac	داوسپنې
syap	وویشي
myap	دسوداګرۍ
hyum	دکارولو
fwak	قاضي
klat	کپتان
twap	cessativeاړخ
kcic	عجیبه
kwic	دبهرنيو
hnif	intensifier
myun	اهمیت
tlic	پهپایکې
cyuk	غاړه
syut	آزادۍ
pfan	لوریو
kyuc	وچ
pcap	يوېخواته
tfak	شواهدو
tcik	دثبوتپهصورت
twun	لرې
tyis	پرمختګ
nyap	تنګ
plit	ودانۍ
hpif	مخ
pwic	ترسره
syic	خفه
tsip	ګناه
syim	ناروغ
tcis	صادق
pcun	دبانک
ksap	ومني
lyam	دويالود
tcaf	پهدقتسره
kwac	دغوږ
hpup	ډوډۍ
kcut	غوره
nwam	دڅارويو
hsup	zoicدجندر
nwit	eventiveمزاج
tcim	ورتهپيښهمارکر
tlik	multiplicativeقضيه
kyus	واوړي
hmus	نازکه
kfat	جرات
nwat	وده
myic	باران
hpum	سطحي
swut	مقدس
clis	جولای
mwun	فېشن
hfas	ددوتنې
cwac	اوږه
kwat	ارام
nwac	څوک
tcip	دخوښېوړ
kfac	واښه
hmuk	رسم
plin	دپرانستلو
kwun	جون
mlik	کبان
klin	مرکز
pfut	سينه
twam	ادعا
fyin	لګښت
nlit	ستاسو
mlin	ميليونه
pyut	لمونځ
hluk	ستړي
ksut	وژني
cyut	سيوري
psin	دوزن
kcis	خړ
pyam	زړور
mwac	خوښ
klam	ویل
ksam	دملي
hfip	کمزوری
klik	دره
hkum	احتکاريمزاج
clas	ژیړ
cyuc	تودوخه
mlac	پاتې
syip	پهمساويتوګه
pwak	دصندوق
tcif	نوبيا
psip	اصل
ksik	نتيجه
tsim	موسم
flan	ساینس
pcam	ظاهرا
kcun	برمه
ksuk	تره
mlit	لست
pcik	خطرناک
kwas	اګست
hluc	نامتو
klit	نامعلوم
flak	اشنا
fyit	اشنادنومثبتول
lwat	لوستونکي
plun	ګرځي
twas	دوهځل
pcis	کاهن
fyas	ټپيانشول
nlat	ماڼۍ
myuk	چل
pfak	پهګټه
tcuf	نهه
cwap	خواخوږي
plac	پوړئ
pyap	اچولو
lyic	پهجامهکې
hcum	شور
lwit	ادب
tsuk	رتبې
hfup	توپان
kcik	جيب
nwap	نومبر
tyim	دسمبر
psaf	نهشتون
nlac	نفوس
kyaf	مننه
slis	لړۍ
pyaf	دمرغانود
mlak	خاوند
kwut	پوښ
hwuc	اړيکې
pyis	پهچټکۍسره
twuc	لوګي
nwak	جنوري
mlic	ماشين
tlis	غاښونه
ksun	سوځولو
clam	شرم
klaf	دکیفیت
clit	حلقوي
fyak	عبارت
fyam	عبارتمارکر
kwap	مربع
hwip	یکشنبه
psis	پهشعرکې
pwut	preordained
kyim	پېري
clic	برخوکې
pyip	اپریل
kfap	اکتوبر
psut	شيانو
kcuc	ترخې
nlap	برده
hsok	نرمه
htet	متن
hbat	ترټولو
hrit	دپور
hzit	برخی
hpet	پنځلس
krac	ظالمانه
hduc	دوړو
hrik	عملي
hron	رنګ
hnus	پوزه
hric	دوستانه
srik	رسولو
hten	پرون
tlet	hesternalترينګلې
slap	پاتېراشي
hban	واغوندي
hdat	ړانده
fran	دالوتلو
hdan	شیطان
htec	وروورو
hmon	ماموریت
cran	دقربانۍ
hran	وجدان
hmos	دوزير
nrit	دانرژۍد
hcet	کرکه
hset	مرکز
hrin	منطقيدجندر
hcot	خوند
hrip	لنډ
htep	عبادت
hcif	دپوستکي
hrat	دبام
kran	تاج
hkon	کلا
tran	نهيلۍ
hmif	مایلو
trin	دایره
hgin	زندان
hkop	پياله
hcen	غړي
swin	دمدني
hrac	پههرځایکې
hris	دګمرک
hbin	مخ
hmot	غوښه
hdut	شيدې
hwen	vegetalدجندر
nran	نادره
hbac	دکاکا،ماما،ترورزوییالور
crut	پل
hsoc	سټاک
hsom	دمالګې
nris	بېګناه
hbit	ډډهوکړي
crin	ستاینه
rwin	ملکه
hgut	حساب
hdas	نڅا
hnot	هوټل
hdin	ډکه
hton	دبنديانود
hdak	دوکان
hlet	پله
hson	عفوه
hgek	همجنس
hras	شګه
hsep	سپتمبر
hbic	دراپرځېدنې
hlen	دجواز
hcon	پهکافیاندازه
hgit	شاهد
kfon	دپخلنځي
hbak	وپلوري
tlim	درملنه
hsot	سرعت
kyut	کمپيوټر
hnen	دتلپاتې
htek	کړی
hzan	پکې
hbis	اډه
hbun	مغشوش
kcus	اشپز
hgat	دښته
hwus	بوسه
hbif	یخ
hbot	توپ
hrut	استدلال
hdit	benedictiveمزاج
hdis	مجرم
hjan	سزا
plis	دپوليسو
hgan	پټ
hsen	غزا
nrin	ناپوهه
hyen	ورېځ
frif	فبروري
hdik	ناروغۍ
hnek	نوښتپهصورت
hbam	ترور
hmen	عاجز
hdip	ځنډاړینه
prat	راپورشواهدو
hdet	نيمهشپه
hjit	دګوتې
hmoc	ځای
pran	مطبوعاتي
kcec	سیمه
hken	وروستيو
hloc	melancholy
hrak	دکارکوونکو
htes	سترګېټېټې
rwan	ثواب
hdon	مرسته
htot	تندی
hnet	فرښته
hdun	مفرد
croc	تېروتنه
hlon	سباوون
hyec	دپسونو
hjin	صبر
hrec	referential
mran	دانه،غله،جوار
htos	اکثریت
hcos	اقدامات
hkoc	کلهناکله
hlif	ګټه
clak	دبورې
hjat	دبشریت
tram	چوکاټ
hdic	ټيکلی
hkok	lonely
srat	هنرمند
crak	دتوازند
hmet	ایمیل
hden	پریکړه
gran	دوالي
crac	څانګه
hjac	ليوالتيا
hdim	inductiveمزاج
hcok	بيړه
hyet	دتیلو
pwap	پایپ
trat	چاپي
tcot	دجامدوعضوي
hdoc	اوه!
hren	بحثونوتهشرایطو
tcon	غرمه
krin	داصطکاک
plam	خطرزنګ
hnes	عصبي
tcen	ارنې
hsek	اړخ
plik	دتطبيقوړ
slik	دورېښمود
hfen	پهسلوکې
hgen	اجنټ
hnon	داتحادیېد
crik	ددوزخ
tcet	ناقص
mrat	مختلط
hdam	admonitiveمزاج
hgac	ځانپالنې
htoc	ورکړو
hdac	وکیل
nwin	داساسيقانون
srit	آله
hret	پهکلکه
nlin	آنلائن
hzat	دڅپوپه
klic	پوهن
hkek	لکۍ
nric	نسل
hgic	ګوڼې
hgak	پيشو
trit	مستقیمشواهدو
tyot	تړون
hnok	کړی
crit	پرېښودل
slen	یولس
srin	instinct
hpok	قوم
hyot	دپهمزاج
cric	دامنکور
hruc	بېادبه
cwin	Riding
hzak	ولړزوي
dyit	صنعت
hpec	مسلک
nras	نرس
hcec	دتدريس
hbut	بوټان
hmec	مبهمه
twot	دفعالیتونو
crat	شنبه
hkot	دظرفیت
hnec	دلمر
hwuf	کونډه
cren	تويه
