ni	infinitive
na	فاعليحالت
ka	accusativeقضيه
ta	موضوعقضيه
ca	سلام
wu	vocativeقضيه
kcah	دوږو
ti	genitiveقضيه
ci	صفت
wa	او
mi	ما
sa	تاسو
nyah	موږ
ya	دا
ma	مقصدپهصورت
yi	dativeقضيه
li	realisمزاج
tu	deonticمزاج
cu	شرطيمزاج
si	epistemicمزاج
yu	ګټورقضيه
nu	دکورنيوچاروشرایطو
pa	شخصشرایطو
tyah	خپلواکهفقره
la	متکيفقره
fa	perfectiveاړخ
ki	پهتېروترينګلې
ne	مذکر
mwah	comitativeقضيه
ra	اوسنيترينګلې
pwah	benefactiveقضيه
swih	essiveقضيه
no	negatoryquantifier
pi	سطحيشرایطو
da	adpositionalقضيه
te	ځایپهصورت
to	فضاشرایطو
ga	لارهقضيه
ri	interrogativeمزاج
ba	اویا
ku	اختصاصياو
so	سرچينهقضيه
pwih	ablativeقضيه
ksah	نږدې
tsah	demonstrative
ko	فقرهلکۍ
pyah	خو
wi	نړیوالquantifier
ji	مؤنثجنس
pu	جمعشمیر
bi	راتلونکېزمانه
co	ټولنيزشرايط
me	imperfectiveاړخ
klah	هلته
twah	elativeقضيه
twih	illativeقضيه
di	لارښودمزاج
tlah	انتخابيquantifier
kyah	څه
tcah	پوښتنهکلمه
ja	copula
cyah	شخص
clah	نور
do	شمیر
tlih	پرېکنډهquantifier
se	دوختشرایطو
myah	زمانيصورتکې
tyuh	یوازې
tcih	hortativeمزاج
tyih	لهتفکرهاړخ
lo	volitiveمزاج
cwah	وروسته
nlah	alienableملکيت
nlih	کوششملکيت
cyih	مشورتيمزاج
lwah	perlativeقضيه
pfih	مترقياړخ
tsih	دلته
ce	لاندېشرایطو
pcah	هم
lwih	delativeقضيه
swah	semelfactiveاړخ
nyih	neo
fu	تمرکز
plah	مينه
po	paucalشمیر
kyih	ځکهچې
ksih	اتفاقیقضيه
gi	نوم
tfah	خاصنوم
crih	دليدووړشواهدو
kceh	ښه
dwih	desiderativeمزاج
wo	کلمه
srah	تر
tweh	terminativeقضيه
