ni	infinitivo
na	nominativocaso
ka	acusativocaso
ta	temacaso
ca	Olá
wu	vocativocaso
kcah	faminto
ti	genitivocaso
ci	adjetivo
wa	e
mi	amim
sa	vocês
nyah	nos
ya	isto
ma	destinocaso
yi	dativocaso
li	realishumor
tu	deontichumor
cu	condicionalhumor
si	epistêmicahumor
yu	instrumentalcaso
nu	interiorcontexto
pa	pessoacontexto
tyah	cláusulaindependente
la	dependentecláusula
fa	perfectivoaspecto
ki	passadotenso
ne	masculinogênero
mwah	comitativecaso
ra	presentetenso
pwah	benefactivocaso
swih	essivecaso
no	negatórioquantificador
pi	superfíciecontexto
da	adpositionalcaso
te	localizaçãocaso
to	espaçocontexto
ga	caminhocaso
ri	interrogativohumor
ba	eou
ku	exclusivoou
so	fontecaso
pwih	ablativocaso
ksah	proximidade
tsah	demonstrativo
ko	cláusula-tail
pyah	mas
wi	universalquantificador
ji	femininogênero
pu	pluralnúmero
bi	futurotenso
co	socialcontexto
me	imperfeitoaspecto
klah	há
twah	relativocaso
twih	ilativocaso
di	directivahumor
tlah	eletivoquantificador
kyah	qual
tcah	questãopalavra
ja	cópula
cyah	pessoa
clah	deoutros
do	número
tlih	assertivoquantificador
se	Tempocontexto
myah	temporalcaso
tyuh	só
tcih	exortativohumor
tyih	retrospectivoaspecto
lo	volitivohumor
cwah	após
nlah	alienávelposse
nlih	inalienávelposse
cyih	deliberativohumor
lwah	perlativecaso
pfih	progressivoaspecto
tsih	Aqui
ce	debaixocontexto
pcah	também
lwih	delativecaso
swah	semelfactiveaspecto
nyih	neo
fu	foco
plah	AME
po	paucalnúmero
kyih	Porque
ksih	causalcaso
gi	nome
tfah	adequadosubstantivo
crih	visívelcomprobatório
kceh	melhor
dwih	desiderativahumor
wo	palavra
srah	até
tweh	terminativocaso
nwih	inessivecaso
pcih	imperativohumor
crah	acreditar
ro	Estadocontexto
cwih	esperança
kwih	factivecomprobatório
fi	Retorna
psih	optativohumor
tseh	potencialhumor
lweh	alativocaso
nrih	antrópicogênero
tceh	mesmosujeitomarcador
re	diferentesujeito
croh	medo
mrah	compreender
cyuh	dúvida
twuh	dubitativohumor
myih	bela
lyih	interesse
flah	contrafactualcondicional
we	Vialiscaso
clih	frio
pyih	Paz
su	exceto
kwah	desejo
le	comprimento
bo	probabilidade
mlah	problema
syah	sorrir
slih	dorme
zi	citado
twoh	quotativecaso
mo	inclusivopessoa
kcih	porfavor
rwih	precativehumor
mrih	educadoregistrar
rwah	emperspectivaaspecto
cyeh	maravilha
go	sentenciosoaspecto
tsoh	respeito
za	incoativoaspecto
jwih	jussivohumor
mwih	permissivohumor
sloh	sucesso
prih	particular
de	distributivocaso
tcoh	dor
ryah	rir
mlih	sábio
ye	possessivomarcador
ke	comissivahumor
creh	vão
mweh	completivoaspecto
nrah	caloroso
nroh	raiva
bwah	despeito
trah	orgulho
mroh	moral
slah	saúde
syih	social
pe	cessaçãoaspecto
krih	curioso
tfih	intensificador
fe	finalmente
prah	delado
trih	comprobatório
nwah	comprobatóriocaso
srih	triste
zo	zóicogênero
nweh	Eventivehumor
cwoh	mesmoeventomarcador
plih	multiplicativocaso
dwah	desejado
kcoh	cansado
drah	satisfeito
lu	especulativohumor
frih	familiarregistrar
frah	feridos
mruh	enganar
djih	simpatia
krah	obrigado
cruh	vergonha
fyah	frasemarcador
ryih	preordained
kruh	amargo
tyeh	texto
kreh	cruel
tleh	hesternaltenso
kfah	sacrifício
dyih	ódio
cloh	racionalgênero
nloh	apreciar
psah	desespero
sleh	vegetalgênero
nruh	inocente
drih	admiração
sroh	perdão
brih	base
kluh	confusão
bwih	bênçãohumor
klih	culpado
grih	ignorante
nyeh	iniciativacaso
nleh	humilde
dlih	atrasadoimperativo
proh	relatadocomprobatório
mloh	melancólico
du	singular
jrih	paciência
freh	referencial
kloh	solitário
kroh	charme
tcuh	entusiasmo
kcuh	indutivohumor
xa	discursocontexto
nreh	nervoso
pseh	aspecto
ge	agente
mu	admoestaçãohumor
byah	ambição
pcoh	lotado
treh	diretocomprobatório
yo	apreensivohumor
cwuh	choque
tloh	recentepassadotenso
dlah	definidoartigo
cluh	feio
myuh	humor
dyah	distaldemonstrativo
rwuh	ciumento
troh	imprecatóriohumor
dzih	indiferença
swuh	pretensiosohumor
bzah	brincadeira
gwih	nomeadamente
dloh	hodiernotenso
dweh	delimitativeaspecto
kweh	exclusivopessoa
truh	temperatura
tfeh	telicaspecto
lyeh	atelicaspecto
ru	proibitivohumor
kfih	infantil
cyoh	suspeito
nluh	fidelidade
cweh	armadilha
nwoh	animado
sruh	emoção
ksoh	sexual
lyah	preguiçoso
mreh	momentanéaspecto
pceh	lamentou
bjih	antigofalecido
pcuh	incerteza
xi	habitualaspecto
blih	delimitada
tsuh	trivial
fwih	majestoso
