hnit	infinitivo
hnak	nominativocaso
hkak	acusativocaso
htak	temacaso
hpap	pai
hmam	mamãe
hyat	parental
hcan	Olá
hwik	vocativocaso
hsuc	antepassado
htat	avó
hcac	faminto
hnik	genitivocaso
hcit	adjetivo
hwan	e
hman	amim
hnan	vocês
hwam	nos
htit	isto
htac	destinocaso
htik	dativocaso
hyit	realishumor
htim	deontichumor
hcut	condicionalhumor
hsit	epistêmicahumor
hyak	instrumentalcaso
htan	interiorcontexto
hpan	pessoacontexto
htin	cláusulaindependente
hyan	dependentecláusula
hfap	perfectivoaspecto
hkat	passadotenso
hnin	masculinogênero
hmak	comitativecaso
hnat	presentetenso
hpak	benefactivocaso
swik	essivecaso
htut	negatórioquantificador
hsan	superfíciecontexto
hpin	adpositionalcaso
hwin	localizaçãocaso
hkan	espaçocontexto
hnac	caminhocaso
hyut	interrogativohumor
hnam	eou
hkit	exclusivoou
hsuk	fontecaso
hpik	ablativocaso
hcat	proximidade
hmat	demonstrativo
hkuk	cláusula-tail
hlan	mas
hsut	todos
hyin	universalquantificador
hcin	femininogênero
hpac	pluralnúmero
hyik	um
htic	deles
hkik	quem
tcat	futurotenso
hsin	socialcontexto
hkac	quando
hmip	imperfeitoaspecto
klan	há
hlak	relativocaso
hlik	ilativocaso
htam	directivahumor
hlat	eletivoquantificador
hkam	qual
hwat	questãopalavra
htap	cópula
hpat	pessoa
nyan	macho
hkas	poderia
tcan	deoutros
hnuc	número
twit	assertivoquantificador
hsak	Tempocontexto
htuk	temporalcaso
htun	só
htum	exortativohumor
hyip	retrospectivoaspecto
hlit	volitivohumor
pcic	devo
tyut	dois
hsat	Vejo
hkut	conhecer
hcic	baixa
hcap	após
hpam	primeiro
hlac	alienávelposse
hkap	Nunca
hnic	inalienávelposse
tyat	velho
tcit	deliberativohumor
tcin	dia
hlam	vir
hwak	vogal
hkin	ir
lwak	perlativecaso
hpip	progressivoaspecto
lyan	grandes
hsac	dizer
kyan	como
htas	maisumavez
hsic	Aqui
hcik	acho
hcak	debaixocontexto
hfan	encontrado
hsun	mão
hyac	também
nwan	jovem
tyit	contra
tlan	Deus
twak	delativecaso
hmin	nenhumacoisa
hyas	umavez
hlap	semelfactiveaspecto
kcac	deixou
hyic	viu
hcas	casa
hwac	mundo
tyin	três
hnun	neo
hcuk	foco
pyan	AME
hsis	sempre
hyam	noite
hyap	rei
hkic	entre
hmas	mente
cyit	coração
pluc	paucalnúmero
kyik	Porque
ksak	causalcaso
tcun	feito
hnim	nome
tsan	adequadosubstantivo
klac	país
hpun	perguntei
cyat	visívelcomprobatório
pcac	melhor
hmac	momento
hnas	nãopodes
hwic	água
twim	desiderativahumor
kwan	claro
tlat	palavra
tyan	porta
hsas	manhã
syat	até
twik	terminativocaso
hpit	branco
pcan	dinheiro
hyis	pobre
mwan	morte
hfam	Formato
nwik	inessivecaso
kcat	junto
tsac	frequentemente
pyat	amigos
psan	metade
hpim	imperativohumor
hyuc	volta
hfat	enviei
hcis	esposa
kcan	acreditar
hsik	público
htus	Estadocontexto
hpas	filho
clat	crianças
tyak	assim
cwan	esperança
syin	Prezada
hkuc	alto
tyac	ler
syit	cidade
hlic	já
hfit	factivecomprobatório
tcac	menina
hcun	ouvir
ksan	mínimo
hyaf	possivelmente
kyat	defato
tcic	corpo
hwit	Retorna
cwat	ar
hfaf	lei
hput	Socorro
lyat	carta
ksas	quatro
hpic	optativohumor
hfuk	fogo
hcam	hora
twat	guerra
kyak	devárias
tlit	segundo
pcin	atrás
hmut	perdido
clan	mil
hfac	família
twan	alma
hwas	questão
syan	verdade
htis	fazer
tsat	potencialhumor
lwik	alativocaso
nyin	antrópicogênero
hfak	cinco
tcak	mesmosujeitomarcador
htuc	diferentesujeito
hnap	responda
hmit	mar
hcuc	medo
pcat	compreender
syas	condições
hcaf	dúvida
twut	dubitativohumor
hkis	preto
tlak	trazer
hyus	bela
nyit	ordenar
htip	dez
ksis	história
hpuk	reservar
