ni	infinitiv
na	cazulnominativ
ka	acuzativ
ta	cazsubiect
ca	buna
wu	cazvocativ
kcah	flămând
ti	cazulgenitiv
ci	adjectiv
wa	și
mi	pemine
sa	tu
nyah	ne
ya	aceasta
ma	cazdedestinație
yi	cazdativ
li	stareadespiritREALIS
tu	stareadespiritdeontică
cu	stareadespiritcondiționată
si	stareadespiritepistemică
yu	cazinstrumental
nu	contextulinterior
pa	context,persoana
tyah	clauzaindependenta
la	propozițiesubordonată
fa	aspectperfectiv
ki	timpultrecut
ne	genmasculin
mwah	cazcomitative
ra	timpulprezent
pwah	cazbenefactive
swih	cazessive
no	cuantificatornegatoare
pi	contextdesuprafață
da	cazadpositional
te	cazdelocație
to	contextulspațiu
ga	cazînmod
ri	stareadespiritinterogativ
ba	șisau
ku	exclusivesau
so	cazsursă
pwih	cazablativ
ksah	proximitate
tsah	demonstrativ
ko	clauzadecoadă
pyah	dar
wi	cuantificatoruniversal
ji	genfeminin
pu	numărdeplural
bi	timpulviitor
co	contextsocial
me	aspectimperfective
klah	Acolo
twah	cazelative
twih	cazillative
di	stareadespiritdedirectivă
tlah	cuantificatorelective
kyah	ce
tcah	întrebarecuvânt
ja	copula
cyah	persoană
clah	alte
do	număr
tlih	cuantificatorasertiv
se	contextuldetimp
myah	caztemporal
tyuh	numai
tcih	stareadespiritîndemn
tyih	aspectretrospectiv
lo	stareadespiritvolitivă
cwah	după
nlah	posesiaalienabil
nlih	cuoposesieinalienabilă
cyih	stareadespiritdeliberativ
lwah	cazperlative
pfih	aspectprogresiv
tsih	aici
ce	înconformitatecucontextul
pcah	deasemenea
lwih	cazdelative
swah	aspectsemelfactive
nyih	neo
fu	concentra
plah	dragoste
po	Numărulpaucal
kyih	deoarece
ksih	cazdecauzalitate
gi	Nume
tfah	substantivpropriu
crih	evidentialvizibile
kceh	maibine
dwih	stareadespiritcareexprimăundeziderat
wo	cuvânt
srah	panacand
tweh	cazterminative
nwih	cazinessive
pcih	stareadespiritimperativ
crah	crede
ro	contextuldestat
cwih	speranţă
kwih	evidentialFactive
fi	întoarcere
psih	stareadespiritoptativ
tseh	stareadespiritpotențial
lweh	cazallative
nrih	genantropică
tceh	marcatoracelașisubiect
re	altsubiect
croh	frică
mrah	aintelege
cyuh	îndoială
twuh	stareadespiritdubitativ
myih	frumoasa
lyih	interes
flah	contrafactualăcondiționată
we	cazvialis
clih	rece
pyih	pace
su	cuexceptia
kwah	dorință
le	lungime
bo	probabilitate
mlah	necaz
syah	zâmbet
slih	dormi
zi	citat
twoh	cazînclinatsprecitate
mo	persoanăinclusive
kcih	Vărog
rwih	stareadespiritprecative
mrih	registrudepoliticos
rwah	aspectulprospectiv
cyeh	mirare
go	aspectaforistic
tsoh	respect
za	aspectincoativ
jwih	stareadespiritjussive
mwih	stareadespiritpermisiv
sloh	succes
prih	privat
de	cazdeîmpărțire
tcoh	durere
ryah	râde
mlih	înţelept
ye	marcatorposesiv
ke	stareadespiritcomisiv
creh	zadar
mweh	aspectcompletive
nrah	cald
nroh	furie
bwah	ciudă
trah	mândrie
mroh	morală
slah	sănătate
syih	social
pe	aspectcessative
krih	curios
tfih	intensificator
fe	insfarsit
prah	deoparte
trih	doveditor
nwah	cazevidential
srih	trist
zo	zoicdegen
nweh	stareadespiritEventive
cwoh	marcatoracelașieveniment
plih	cazmultiplicativ
dwah	dorit
kcoh	obosit
drah	satisfăcut
lu	stareadespiritspeculativ
frih	registrudefamiliar
frah	răniți
mruh	prost
djih	simpatie
krah	mulțumire
cruh	rușine
fyah	markerdeexpresie
ryih	predeterminata
kruh	amar
tyeh	text
kreh	crud
tleh	hesternaltensionată
kfah	sacrificiu
dyih	ură
cloh	genrațional
nloh	sebucura
psah	disperare
sleh	genvegetal
nruh	nevinovat
drih	admirație
sroh	Pardon
brih	baza
kluh	confuzie
bwih	stareadespiritbenedictive
klih	vinovat
grih	ignorant
nyeh	cazinițiativă
nleh	umil
dlih	imperativîntârziat
proh	probantăaraportat
mloh	melancolie
du	singular
jrih	răbdare
freh	referențial
kloh	singuratic
kroh	farmec
tcuh	entuziasm
kcuh	stareadespiritinductiv
xa	contextuldiscursului
nreh	agitat
pseh	aspect
ge	agent
mu	stareadespiritadmonitive
byah	ambiţie
pcoh	aglomerat
treh	evidentialdirectă
yo	stareadespiritreceptiv
cwuh	şoc
tloh	recenttimpultrecut
dlah	articolhotărât
cluh	urât
myuh	umor
dyah	distaldemonstrativ
rwuh	gelos
troh	stareadespiritimprecative
dzih	indiferenţă
swuh	stareadespiritarogant
bzah	glumă
gwih	șianume
dloh	hodiernaltensionată
dweh	aspectdelimitative
kweh	persoanăexclusivă
truh	temperatura
tfeh	aspectTelic
lyeh	aspectatelic
ru	stareadespiritprohibitive
kfih	copilăresc
cyoh	suspicios
nluh	loialitate
cweh	capcană
nwoh	animat
sruh	fior
ksoh	sexual
lyah	leneş
mreh	aspectmomentane
pceh	regretat
bjih	fostuldecedat
pcuh	incertitudine
xi	aspectobișnuit
blih	delimitate
tsuh	banal
fwih	maiestuos
grah	măgulitor
brah	arbitrar
cleh	binevoitor
sreh	registrudeformale
pfah	benefică
droh	evidentialauditiv
flih	evidentialinferențială
sweh	cazsublative
ksuh	stareadespiritdeclarativ
pleh	privilegiat
psoh	deneinvins
be	verbal
mwoh	reverie
kleh	nemernicie
