hnit	infinitiv
hnak	cazulnominativ
hkak	acuzativ
htak	cazsubiect
hpap	tata
hmam	mama
hyat	părintesc
hcan	buna
hwik	cazvocativ
hsuc	strămoş
htat	bunic
hcac	flămând
hnik	cazulgenitiv
hcit	adjectiv
hwan	și
hman	pemine
hnan	tu
hwam	ne
htit	aceasta
htac	cazdedestinație
htik	cazdativ
hyit	stareadespiritREALIS
htim	stareadespiritdeontică
hcut	stareadespiritcondiționată
hsit	stareadespiritepistemică
hyak	cazinstrumental
htan	contextulinterior
hpan	context,persoana
htin	clauzaindependenta
hyan	propozițiesubordonată
hfap	aspectperfectiv
hkat	timpultrecut
hnin	genmasculin
hmak	cazcomitative
hnat	timpulprezent
hpak	cazbenefactive
swik	cazessive
htut	cuantificatornegatoare
hsan	contextdesuprafață
hpin	cazadpositional
hwin	cazdelocație
hkan	contextulspațiu
hnac	cazînmod
hyut	stareadespiritinterogativ
hnam	șisau
hkit	exclusivesau
hsuk	cazsursă
hpik	cazablativ
hcat	proximitate
hmat	demonstrativ
hkuk	clauzadecoadă
hlan	dar
hsut	toate
hyin	cuantificatoruniversal
hcin	genfeminin
hpac	numărdeplural
hyik	unu
htic	allor
hkik	care
tcat	timpulviitor
hsin	contextsocial
hkac	cand
hmip	aspectimperfective
klan	Acolo
hlak	cazelative
hlik	cazillative
htam	stareadespiritdedirectivă
hlat	cuantificatorelective
hkam	ce
hwat	întrebarecuvânt
htap	copula
hpat	persoană
nyan	masculin
hkas	arputea
tcan	alte
hnuc	număr
twit	cuantificatorasertiv
hsak	contextuldetimp
htuk	caztemporal
htun	numai
htum	stareadespiritîndemn
hyip	aspectretrospectiv
hlit	stareadespiritvolitivă
pcic	trebuiesa
tyut	Două
hsat	vedea
hkut	ști
hcic	jos
hcap	după
hpam	primul
hlac	posesiaalienabil
hkap	nu
hnic	cuoposesieinalienabilă
tyat	vechi
tcit	stareadespiritdeliberativ
tcin	zi
hlam	veni
hwak	vocală
hkin	merge
lwak	cazperlative
hpip	aspectprogresiv
lyan	lung
hsac	Spune
kyan	Cum
htas	dinnou
hsic	aici
hcik	gândi
hcak	înconformitatecucontextul
hfan	găsite
hsun	mana
hyac	deasemenea
nwan	tineri
tyit	împotriva
tlan	dumnezeu
twak	cazdelative
hmin	nimic
hyas	osinguradata
hlap	aspectsemelfactive
kcac	stânga
hyic	avăzut
hcas	casă
hwac	lume
tyin	Trei
hnun	neo
hcuk	concentra
pyan	dragoste
hsis	mereu
hyam	noapte
hyap	rege
hkic	între
hmas	minte
cyit	inimă
pluc	Numărulpaucal
kyik	deoarece
ksak	cazdecauzalitate
tcun	Terminat
hnim	Nume
tsan	substantivpropriu
klac	țară
hpun	întrebă
cyat	evidentialvizibile
pcac	maibine
hmac	moment
hnas	nupoti
hwic	apă
twim	stareadespiritcareexprimăundeziderat
kwan	ușoară
tlat	cuvânt
tyan	uşă
hsas	dimineaţă
syat	panacand
twik	cazterminative
hpit	alb
pcan	bani
hyis	sărac
mwan	moarte
hfam	formă
nwik	cazinessive
kcat	împreună
tsac	demulteori
pyat	prieten
psan	jumătate
hpim	stareadespiritimperativ
hyuc	rundă
hfat	trimis
hcis	soție
kcan	crede
hsik	public
htus	contextuldestat
hpas	fiu
clat	copii
tyak	prinurmare
cwan	speranţă
syin	dragă
hkuc	înalt
tyac	citit
syit	oraș
hlic	deja
hfit	evidentialFactive
tcac	fată
hcun	auzi
ksan	celmaipuţin
hyaf	poate
kyat	intr-adevar
tcic	corp
hwit	întoarcere
cwat	aer
hfaf	lege
hput	Ajutor
lyat	scrisoare
ksas	patru
hpic	stareadespiritoptativ
hfuk	foc
hcam	ora
twat	război
kyak	maimulți
tlit	aldoilea
pcin	inspate
hmut	pierdut
clan	mie
hfac	familie
twan	suflet
hwas	întrebare
syan	adevăr
htis	luare
tsat	stareadespiritpotențial
lwik	cazallative
nyin	genantropică
hfak	cinci
tcak	marcatoracelașisubiect
htuc	altsubiect
hnap	Răspuns
hmit	mare
hcuc	frică
pcat	aintelege
syas	termeni
hcaf	îndoială
twut	stareadespiritdubitativ
hkis	negru
tlak	aduce
hyus	frumoasa
nyit	fel
htip	zece
ksis	poveste
hpuk	carte
hlin	electronic
hkun	cont
lyas	interes
lyit	scrie
pwat	pat
hnis	vârstă
hnut	contrafactualăcondiționată
slas	artă
hwis	cazvialis
pyak	frate
lyin	linia
tyas	masa
hyun	râu
kyac	ochi
tfan	brusc
kcin	profund
hmuc	scop
cyac	sânge
hmap	Trandafir
tlin	rece
hyif	redirecţiona
tyam	târziu
hnaf	presupune
hkip	aproape
myan	amea
tsin	cunoştinţe
hkup	copie
hsam	soț
hlis	şase
cwit	viaţă
cyan	pace
myat	tineminte
tyic	natural
hfut	cădea
swas	serviciu
hsap	cuexceptia
pcit	drepturideautor
hyim	armată
kyas	cal
plic	viitor
pcak	vest
hpis	aplati
hyuk	roșu
hwun	aur
twin	dorință
plan	Joaca
hpus	birou
syun	Guvern
kyic	biserică
htaf	putere
hlun	lungime
kyin	companie
kyis	hârtie
mlan	probabilitate
hcim	inmoddeosebit
cyas	urs
twac	fereastră
nyat	frumuseţe
hcus	dinurmă
htup	datorie
htif	distanţă
pyas	picior
hlas	sălbatic
ksin	verde
hmaf	necaz
myac	zâmbet
hsim	dormi
kyit	citat
kwik	cazînclinatsprecitate
fwan	vizita
slan	urma
psit	prezenţă
hmic	dulce
hmuf	gură
hfin	bogat
tcam	dusman
psuk	spart
kcap	navă
pwan	persoanăinclusive
hfic	influență
tcuc	apărea
hkim	secret
pyin	Vărog
pwit	stareadespiritprecative
pyit	registrudepoliticos
cwak	rău
myak	Martie
tcas	locuri
hlaf	stau
psat	inschimb
nlan	albastru
psac	imposibil
kcuk	şcoală
kcit	căsătorit
kcak	alimente
syis	douăzeci
tlac	Liniște
hcip	aspectulprospectiv
kwin	dând
tsit	oprit
pyac	limba
hsus	săptămână
hcup	hol
cyap	mirare
tfin	născut
fyat	curte
hnip	aspectaforistic
tsak	respect
tlas	invaloarede
syuc	copac
plat	perete
cyak	cer
twip	aspectincoativ
mlat	comanda
swit	stareadespiritjussive
mwas	lună
hwaf	perfect
tyap	experienţă
ksac	circumstanțe
syac	proaspăt
hnuk	duce
kwak	acoperit
tyuk	Orientul
pwac	piatră
hkif	nobil
nyac	direcţie
cyis	scaun
tyuc	aşteptare
tsun	sat
tyik	deacord
hnum	stareadespiritpermisiv
slak	succes
tsic	încercat
slat	deal
hmik	muzică
hkus	strigăt
hsip	Șapte
hpaf	privat
nwas	știri
tfac	scenă
fyan	grădină
cwas	ÎNCEPE
hfik	cazdeîmpărțire
lyac	învăța
syik	politic
clin	henry
cyin	minciună
tsas	arunca
cyik	autoritate
tlap	podea
cyam	vară
tcut	religie
tcap	evadare
hlut	autor
pyun	maro
tcuk	durere
swan	arc
hmun	moale
kyun	colţ
nyak	marcă
tsis	justiţie
psas	legumeşifructe
cyaf	râde
hwut	auita
hyup	Europa
hwap	opt
psak	trecere
kyap	teribil
pyic	necesar
hmim	mediu
hsaf	suflare
hmis	înţelept
hsum	marcatorposesiv
ksat	placut
ksit	mormânt
tsap	insulă
kyam	tabara
tcum	atingere
cyun	avere
psic	ţărm
tyun	domeniu
mwit	stareadespiritcomisiv
tlut	grad
myit	iarnă
kfan	conduce
slac	alergare
myin	minut
tyip	conduce
klas	sticlă
pfat	bord
cyic	zadar
swam	afaceri
syam	Sigur
tsut	doctor
hlip	aspectcompletive
kcas	întuneric
nyun	cald
hpuc	băutură
tlam	exemplu
hfun	furie
tsik	ciudă
tsam	direct
hmup	pălărie
klak	câine
slin	argint
swac	servitor
kcam	mândrie
pyik	tren
myut	morală
syak	introduce
swat	sabie
kyuk	atac
clac	sănătate
tyaf	paragraf
swic	social
tfit	restituire
hkaf	oficial
pcas	privire
nyam	glorie
tfat	doisprezece
pcut	angajat
pwin	vin
mwat	gust
fyac	fier
syap	distribui
myap	comerț
hyum	folosind
fwak	judecător
klat	căpitan
twap	aspectcessative
kcic	curios
kwic	străin
hnif	intensificator
myun	importanţă
tlic	insfarsit
cyuk	gât
syut	libertate
pfan	fete
kyuc	uscat
pcap	deoparte
tfak	doveditor
tcik	cazevidential
twun	îndepărtat
tyis	progres
nyap	îngust
plit	clădire
hpif	pagină
pwic	deținere
syic	trist
tsip	păcat
syim	bolnav
tcis	sincer
pcun	bancă
ksap	Accept
lyam	curent
tcaf	cugrija
kwac	ureche
hpup	pâine
kcut	alege
nwam	animal
hsup	zoicdegen
nwit	stareadespiritEventive
tcim	marcatoracelașieveniment
tlik	cazmultiplicativ
kyus	cruce
hmus	gros
kfat	aindrazni
nwat	crește
myic	ploaie
hpum	suprafaţă
swut	sfânt
clis	iulie
mwun	Modă
hfas	fişier
cwac	umăr
kwat	confort
nwac	oricine
tcip	dorit
kfac	iarbă
hmuk	adesena
plin	deschidere
kwun	iunie
mlik	peşte
klin	capital
pfut	sân
twam	cerere
fyin	cheltuială
nlit	ata
mlin	milion
pyut	ruga
hluk	obosit
ksut	ucide
cyut	umbră
psin	greutate
kcis	gri
pyam	curajos
mwac	satisfăcut
klam	spune
ksam	naţional
hfip	slab
klik	vale
hkum	stareadespiritspeculativ
clas	galben
cyuc	căldură
mlac	rămășițe
syip	inaceeasimasura
pwak	cutie
tcif	ascuţit
psip	principiu
ksik	consecinţă
tsim	sezon
flan	ştiinţă
pcam	aparent
kcun	plictiseală
ksuk	unchi
mlit	listă
pcik	periculos
kwas	August
hluc	popular
klit	necunoscut
flak	familiar
fyit	registrudefamiliar
lwat	cititor
plun	mers
twas	dedouăori
pcis	preot
fyas	răniți
nlat	palat
myuk	prost
pfak	favoare
tcuf	nouă
cwap	simpatie
plac	izbucni
pyap	punând
lyic	tăbăcit
hcum	zgomot
lwit	literatură
tsuk	rang
hfup	furtună
kcik	buzunar
nwap	noiembrie
tyim	decembrie
psaf	absență
nlac	populație
kyaf	mulțumire
slis	serie
pyaf	pasăre
mlak	proprietar
kwut	haină
hwuc	relaţii
pyis	rapid
twuc	fum
nwak	ianuarie
mlic	maşină
tlis	dantură
ksun	ardere
clam	rușine
klaf	calitate
clit	inel
fyak	fraza
fyam	markerdeexpresie
kwap	pătrat
hwip	duminică
psis	poezie
pwut	predeterminata
kyim	acumpara
clic	câmpuri
pyip	Aprilie
kfap	octombrie
psut	obiecte
kcuc	amar
nlap	sclav
hsok	liber
htet	text
hbat	celmairău
hrit	credit
hzit	caracteristici
hpet	cincisprezece
krac	crud
hduc	praf
hrik	practic
hron	culoare
hnus	nas
hric	prietenos
srik	livra
hten	ieri
tlet	hesternaltensionată
slap	eșua
hban	purta
hdat	ORB
fran	azbura
hdan	diavol
htec	treptat
hmon	misiune
cran	sacrificiu
hran	conştiinţă
hmos	ministru
nrit	energie
hcet	ură
hset	centru
hrin	genrațional
hcot	sebucura
hrip	scurt
htep	cult
hcif	piele
hrat	acoperiş
kran	coroană
hkon	castel
tran	disperare
hmif	milă
trin	cerc
hgin	închisoare
hkop	ceașcă
hcen	membru
swin	civil
hrac	pretutindeni
hris	personalizat
hbin	devenire
hmot	carne
hdut	lapte
hwen	genvegetal
nran	rar
hbac	văr
crut	pod
hsoc	stoc
hsom	sare
nris	nevinovat
