ni	инфинитив
na	именительныйдело
ka	винительныйдело
ta	темадело
ca	Здравствуйте
wu	звательныйдело
kcah	голодный
ti	родительныйдело
ci	имяприлагательное
wa	атакже
mi	меня
sa	вы
nyah	нас
ya	Это
ma	местоназначениядело
yi	дательныйдело
li	REALiSнастроение
tu	деонтическиенастроение
cu	условныйнастроение
si	эпистемическоенастроение
yu	инструментальныйдело
nu	интерьерконтекст
pa	человекконтекст
tyah	независимыйпункт
la	зависимыйпункт
fa	совершенныйаспект
ki	мимонапряженный
ne	мужскойПол
mwah	comitativeдело
ra	настоящеевремянапряженный
pwah	благословляющийдело
swih	щийдело
no	негативныйквантификатором
pi	поверхностьконтекст
da	adpositionalдело
te	местонахождениядело
to	пространствоконтекст
ga	путьдело
ri	вопросительныйнастроение
ba	атакжеили
ku	Эксклюзивныйили
so	источникдело
pwih	аблятивдело
ksah	близость
tsah	демонстративный
ko	Предложениехвост
pyah	но
wi	универсальныйквантификатором
ji	женскийПол
pu	множественноечислономер
bi	будущеенапряженный
co	Социальноеконтекст
me	несовершенныйаспект
klah	там
twah	относительныйдело
twih	выражающийзаключениедело
di	директиванастроение
tlah	факультативныйквантификатором
kyah	какие
tcah	вопросслово
ja	связка
cyah	человек
clah	Другие
do	номер
tlih	утвердительныйквантификатором
se	времяконтекст
myah	временнойдело
tyuh	только
tcih	наставительныйнастроение
tyih	ретроспективныйаспект
lo	волевыхнастроение
cwah	после
nlah	отчуждаемыйвладение
nlih	неотъемлемоевладение
cyih	совещательныйнастроение
lwah	perlativeдело
pfih	прогрессивныйаспект
tsih	Вот
ce	подконтекст
pcah	также
lwih	delativeдело
swah	semelfactiveаспект
nyih	нео
fu	фокус
plah	люблю
po	paucalномер
kyih	потомукак
ksih	причинныйдело
gi	имя
tfah	надлежащийимясуществительное
crih	видимыйдоказательный
kceh	лучше
dwih	дезидеративныйнастроение
wo	слово
srah	до
tweh	terminativeдело
nwih	инессивдело
pcih	императивнастроение
crah	считают,
ro	государствоконтекст
cwih	надеяться
kwih	каузальныйдоказательный
fi	вернуть
psih	оптативнастроение
tseh	потенциалнастроение
lweh	allativeдело
nrih	антропныйПол
tceh	однаитажепредметмаркер
re	другойпредмет
croh	страх
mrah	Понимаю
cyuh	сомнение
