hnit	инфинитив
hnak	именительныйдело
hkak	винительныйдело
htak	темадело
hpap	папа
hmam	Мама
hyat	родительский
hcan	Здравствуйте
hwik	звательныйдело
hsuc	предок
htat	бабушкаилидедушка
hcac	голодный
hnik	родительныйдело
hcit	имяприлагательное
hwan	атакже
hman	меня
hnan	вы
hwam	нас
htit	Это
htac	местоназначениядело
htik	дательныйдело
hyit	REALiSнастроение
htim	деонтическиенастроение
hcut	условныйнастроение
hsit	эпистемическоенастроение
hyak	инструментальныйдело
htan	интерьерконтекст
hpan	человекконтекст
htin	независимыйпункт
hyan	зависимыйпункт
hfap	совершенныйаспект
hkat	мимонапряженный
hnin	мужскойПол
hmak	comitativeдело
hnat	настоящеевремянапряженный
hpak	благословляющийдело
swik	щийдело
htut	негативныйквантификатором
hsan	поверхностьконтекст
hpin	adpositionalдело
hwin	местонахождениядело
hkan	пространствоконтекст
hnac	путьдело
hyut	вопросительныйнастроение
hnam	атакжеили
hkit	Эксклюзивныйили
hsuk	источникдело
hpik	аблятивдело
hcat	близость
hmat	демонстративный
hkuk	Предложениехвост
hlan	но
hsut	все
hyin	универсальныйквантификатором
hcin	женскийПол
hpac	множественноечислономер
hyik	один
htic	их
hkik	кто
tcat	будущеенапряженный
hsin	Социальноеконтекст
hkac	когда
hmip	несовершенныйаспект
klan	там
hlak	относительныйдело
hlik	выражающийзаключениедело
htam	директиванастроение
hlat	факультативныйквантификатором
hkam	какие
hwat	вопросслово
htap	связка
hpat	человек
nyan	мужской
hkas	мог
tcan	Другие
hnuc	номер
twit	утвердительныйквантификатором
hsak	времяконтекст
htuk	временнойдело
htun	только
htum	наставительныйнастроение
hyip	ретроспективныйаспект
hlit	волевыхнастроение
pcic	должен
tyut	два
hsat	видеть
hkut	знать
hcic	вниз
hcap	после
hpam	первый
hlac	отчуждаемыйвладение
hkap	никогда
hnic	неотъемлемоевладение
tyat	старый
tcit	совещательныйнастроение
tcin	день
hlam	приехать
hwak	гласнаябуква
hkin	идти
lwak	perlativeдело
hpip	прогрессивныйаспект
lyan	длинный
hsac	сказать
kyan	как
htas	ещераз
hsic	Вот
hcik	думать
hcak	подконтекст
hfan	найденный
hsun	рука
hyac	также
nwan	молодой
tyit	против
tlan	Бог
twak	delativeдело
hmin	ничего
hyas	одинраз
