hnit	infinitive
hnak	nominativeصورت
hkak	accusativeصورت
htak	موضوعصورت
hpap	داد
hmam	مام
hyat	والدين
hcan	هيلو
hwik	vocativeصورت
hsuc	جد
htat	grandparent
hcac	بکايل
hnik	genitiveصورت
hcit	صفت
hwan	۽
hman	مونکي
hnan	توهان
hwam	اسان
htit	ان
htac	منزلصورت
htik	dativeصورت
hyit	realisمزاج
htim	deonticمزاج
hcut	conditionalمزاج
hsit	epistemicمزاج
hyak	instrumentalصورت
htan	گهروسلسلي
hpan	ماڻهوسلسلي
htin	آزادشق
hyan	منحصرشق
hfap	perfectiveپاسو
hkat	گذريلزمان
hnin	مذڪرجنس
hmak	comitativeصورت
hnat	زمانحال
hpak	benefactiveصورت
swik	essiveصورت
htut	negatoryquantifier
hsan	مٿاڇريسلسلي
hpin	adpositionalصورت
hwin	هنڌصورت
hkan	تارنجيسلسلي
hnac	واٽصورت
hyut	interrogativeمزاج
hnam	۽يا
hkit	سچايا
hsuk	مصدرصورت
hpik	ablativeصورت
hcat	قرب
hmat	demonstrative
hkuk	شقدم
hlan	پر
hsut	سڀ
hyin	آفاقيquantifier
hcin	مؤنثجنس
hpac	جمعجوتعداد
hyik	هڪ
htic	سندن
hkik	جو
tcat	زمانمستقبل
hsin	سماجيسلسلي
hkac	جڏهن
hmip	imperfectiveپاسو
klan	نه
hlak	elativeصورت
hlik	illativeصورت
htam	هدايتمزاج
hlat	چونڊquantifier
hkam	ڇا
hwat	سواللفظ
htap	copula
hpat	ماڻهو
nyan	مرد
hkas	ٿيسگهي
tcan	ٻئي
hnuc	تعداد
twit	assertivequantifier
hsak	وقتراقم
htuk	عارضيصورت
htun	صرف
htum	hortativeمزاج
hyip	retrospectiveپاسو
hlit	volitiveمزاج
pcic	هجي
tyut	ٻه
hsat	ڏسڻ
hkut	خبر
hcic	نازل
hcap	پوء
hpam	پهريون
hlac	alienableقبضو
hkap	ڪڏهنبه
hnic	سڀاويڪقبضو
tyat	پراڻي
tcit	deliberativeمزاج
tcin	ڏينهن
hlam	اچي
hwak	اسمن
hkin	وڃو
lwak	perlativeصورت
hpip	ترقيپسندپاسو
lyan	ايتري
hsac	چونٿا
kyan	ڪيئن
htas	ٻيهر
hsic	هتي
hcik	خيال
hcak	راقمهيٺ
hfan	مليو
hsun	هٿ
hyac	به
nwan	جوان
tyit	خلاف
tlan	خدا
twak	delativeصورت
hmin	ڪجھبهنه
hyas	هڪدفعو
hlap	semelfactiveپاسو
kcac	کاٻو
hyic	کين
hcas	گھر
hwac	دنيا
tyin	ٽي
hnun	جيneo
hcuk	وڌائڻ
pyan	عشق
hsis	هميشه
hyam	رات
hyap	بادشاهه
hkic	جيوچ۾
hmas	من
cyit	دل
pluc	paucalتعداد
kyik	ڇاڪاڻته
ksak	causalصورت
tcun	مڪملٿيو
hnim	نالو
tsan	مناسباچار
klac	ملڪ
hpun	چيو
cyat	نظرevidential
pcac	ڀلي
hmac	پلپل
hnas	نهڪريسگهي
hwic	پاڻي
twim	desiderativeمزاج
kwan	نور
tlat	لفظ
tyan	در
hsas	صبح
syat	ايتريقدر
twik	terminativeصورت
hpit	اڇو
pcan	رقم
hyis	غريب
mwan	موت
hfam	فارم
nwik	inessiveصورت
kcat	گڏ
tsac	اڪثر
pyat	دوست
psan	اڌ
hpim	لکندڙنمزاج
hyuc	لکين
hfat	موڪليو
hcis	زال
kcan	ايمان
hsik	عوامي
htus	رياستجيسلسلي
hpas	پُٽ
clat	ٻارن
tyak	اهڙيءطرح
cwan	اميد
syin	پيارا
hkuc	تيز
tyac	پڙهڻ
syit	شهر
hlic	اڳ۾ئي
hfit	factiveevidential
tcac	ڇوڪري
hcun	ٻڌي
ksan	گهٽ
hyaf	مان
kyat	بيشڪ
tcic	جسم
hwit	موٽڻ
cwat	هوائي
hfaf	قانون
hput	مدد
lyat	خط
ksas	چار
hpic	optativeمزاج
hfuk	باهه
hcam	ڪلاڪ
twat	جنگ
kyak	ڪيترنئي
tlit	ٻيون
pcin	پويان
hmut	گم
clan	هزار
hfac	خاندان
twan	جان
hwas	سوال
syan	سچ
htis	ميڪنگ
tsat	امڪانيمزاج
lwik	allativeصورت
nyin	anthropicجنس
hfak	پنج
tcak	ساڳئيموضوعنشانن
htuc	مختلفموضوع
hnap	جواب
hmit	سمنڊ
hcuc	خوف
pcat	سمجهڻ
syas	اصطلاح
hcaf	شڪ
twut	dubitativeمزاج
hkis	ڪارو
tlak	آڻيو
hyus	خوبصورت
nyit	جيحسابسان
htip	ڏهه
ksis	ڪهاڻي
hpuk	ڪتاب
hlin	اليڪٽرانڪ
hkun	حساب
lyas	فائدي
lyit	لکڻ
pwat	پلنگ
hnis	عمر
hnut	counterfactualconditional
slas	فن
hwis	vialisصورت
pyak	ڀاءُ
lyin	ليڪ
tyas	ميز
hyun	سنڌوء
kyac	اک
tfan	اوچتو
kcin	رڙيون
hmuc	مقصد
cyac	رت
hmap	گلاب
tlin	ڀڌ
hyif	اڳتي
tyam	شهيد
hnaf	ڀانئيان
hkip	سمجهي
myan	منهنجو
tsin	علم
hkup	ڪاپي
hsam	مڙس
hlis	ڇهه
cwit	جيئري
cyan	سلام
myat	ياد
tyic	قدرتي
hfut	گر
swas	خدمت
hsap	کانسواء
pcit	ڪاپيرائيٽ
hyim	فوج
kyas	گهوڙي
plic	مستقبل
pcak	اولهه
hpis	ادا
hyuk	ڳاڙهو
hwun	هونءبه
twin	اميدون
plan	راند
hpus	آفيس
syun	حڪومت
kyic	گرجاگھر
htaf	زور
hlun	ڊيگهه
kyin	ڪمپني
kyis	پيپر
mlan	ممڪن
hcim	خاصطورتي
cyas	کڻندو
twac	دري
nyat	حسن
hcus	جنهنڪري
htup	فرض
htif	فاصلي
pyas	دامن
hlas	جهنگلي
ksin	سائو
hmaf	ڏکي
myac	مرڪ
hsim	ننڊ
kyit	undefined
kwik	quotativeصورت
fwan	دوري
slan	جيتابعداريڪريو
psit	موجودگي
hmic	مٺي
hmuf	وات
hfin	امير
tcam	دشمن
psuk	ٽٽل
kcap	ٻيڙي
pwan	جنهنجيشخص
hfic	اثر
tcuc	ظاهر
hkim	خفيه
pyin	مهربانيڪري
pwit	precativeمزاج
pyit	politeتيگهڻن
cwak	ڏک
myak	مارچ
tcas	جايون
hlaf	رهو
psat	بدران
nlan	نيرو
psac	ناممڪن
kcuk	اسڪول
kcit	سانشادي
kcak	کاڌو
syis	ويهه
tlac	پهر
hcip	prospectiveپاسو
kwin	ڪاري
tsit	رک
pyac	ٻولي
hsus	هفتو
hcup	هال
cyap	عجب
tfin	ڄائو
fyat	سپريمڪورٽ
hnip	gnomicپاسو
tsak	عزت
tlas	لڳي
syuc	وڻ
plat	ڀت
cyak	آسمان
twip	inchoativeپاسو
mlat	حڪم
swit	jussiveمزاج
mwas	مهينو
hwaf	ڀرپور
tyap	تجربو
ksac	حالتن
syac	تازو
hnuk	رولو
kwak	ٻ
tyuk	اوڀر
pwac	پٿر
hkif	سڳوري
nyac	رخ
cyis	شخصيتن
tyuc	انتظار
tsun	ڳوٺ
tyik	متفق
hnum	permissiveمزاج
slak	ڪاميابي
tsic	ڪوشش
slat	ٽڪريء
hmik	موسيقي
hkus	رڙ
hsip	ست
hpaf	نجي
nwas	خبر
tfac	منظر
