ni	infinitive
na	nominativeصورت
ka	accusativeصورت
ta	موضوعصورت
ca	هيلو
wu	vocativeصورت
kcah	بکايل
ti	genitiveصورت
ci	صفت
wa	۽
mi	مونکي
sa	توهان
nyah	اسان
ya	ان
ma	منزلصورت
yi	dativeصورت
li	realisمزاج
tu	deonticمزاج
cu	conditionalمزاج
si	epistemicمزاج
yu	instrumentalصورت
nu	گهروسلسلي
pa	ماڻهوسلسلي
tyah	آزادشق
la	منحصرشق
fa	perfectiveپاسو
ki	گذريلزمان
ne	مذڪرجنس
mwah	comitativeصورت
ra	زمانحال
pwah	benefactiveصورت
swih	essiveصورت
no	negatoryquantifier
pi	مٿاڇريسلسلي
da	adpositionalصورت
te	هنڌصورت
to	تارنجيسلسلي
ga	واٽصورت
ri	interrogativeمزاج
ba	۽يا
ku	سچايا
so	مصدرصورت
pwih	ablativeصورت
ksah	قرب
tsah	demonstrative
ko	شقدم
pyah	پر
wi	آفاقيquantifier
ji	مؤنثجنس
pu	جمعجوتعداد
bi	زمانمستقبل
co	سماجيسلسلي
me	imperfectiveپاسو
klah	نه
twah	elativeصورت
twih	illativeصورت
di	هدايتمزاج
tlah	چونڊquantifier
kyah	ڇا
tcah	سواللفظ
ja	copula
cyah	ماڻهو
clah	ٻئي
do	تعداد
tlih	assertivequantifier
se	وقتراقم
myah	عارضيصورت
tyuh	صرف
tcih	hortativeمزاج
tyih	retrospectiveپاسو
lo	volitiveمزاج
cwah	پوء
nlah	alienableقبضو
nlih	سڀاويڪقبضو
cyih	deliberativeمزاج
lwah	perlativeصورت
pfih	ترقيپسندپاسو
tsih	هتي
ce	راقمهيٺ
pcah	به
lwih	delativeصورت
swah	semelfactiveپاسو
nyih	جيneo
fu	وڌائڻ
plah	عشق
po	paucalتعداد
kyih	ڇاڪاڻته
ksih	causalصورت
gi	نالو
tfah	مناسباچار
crih	نظرevidential
kceh	ڀلي
dwih	desiderativeمزاج
wo	لفظ
srah	ايتريقدر
tweh	terminativeصورت
nwih	inessiveصورت
pcih	لکندڙنمزاج
crah	ايمان
ro	رياستجيسلسلي
cwih	اميد
kwih	factiveevidential
fi	موٽڻ
psih	optativeمزاج
tseh	امڪانيمزاج
lweh	allativeصورت
nrih	anthropicجنس
tceh	ساڳئيموضوعنشانن
re	مختلفموضوع
croh	خوف
mrah	سمجهڻ
cyuh	شڪ
twuh	dubitativeمزاج
myih	خوبصورت
lyih	فائدي
flah	counterfactualconditional
we	vialisصورت
clih	ڀڌ
pyih	سلام
su	کانسواء
kwah	اميدون
le	ڊيگهه
bo	ممڪن
mlah	ڏکي
syah	مرڪ
slih	ننڊ
zi	undefined
twoh	quotativeصورت
mo	جنهنجيشخص
kcih	مهربانيڪري
rwih	precativeمزاج
mrih	politeتيگهڻن
rwah	prospectiveپاسو
cyeh	عجب
go	gnomicپاسو
tsoh	عزت
za	inchoativeپاسو
jwih	jussiveمزاج
mwih	permissiveمزاج
sloh	ڪاميابي
prih	نجي
de	distributiveصورت
tcoh	درد
ryah	کلڻ
mlih	حڪمتوارو
ye	possessiveنشانن
ke	commissiveمزاج
creh	چٽ
mweh	completiveپاسو
nrah	گرم
nroh	ڪاوڙ
bwah	چوندارھيا
trah	ناز
mroh	اخلاقي
slah	صحت
syih	سماجي
pe	cessativeپاسو
krih	عجيب
tfih	intensifier
fe	آخر۾
prah	منھن
trih	evidential
nwah	evidentialصورت
srih	اداس
zo	zoicجنس
nweh	eventiveمزاج
cwoh	ساڳئيواقعينشانن
plih	multiplicativeصورت
dwah	جوارادوڪيو
kcoh	ٿڪل
drah	مطمئن
lu	نينمزاج
frih	واقفتيگهڻن
frah	زخمي
mruh	گهڙيل
djih	همدردي
krah	آنو
cruh	شرم
fyah	جملينشانن
ryih	undefined
kruh	ڪڙو
tyeh	متن
kreh	ظالم
tleh	hesternalزمان
kfah	قرباني
dyih	نفرت
cloh	ناليماترجنس
nloh	لطفاندوز
psah	نااميد
sleh	vegetalجنس
nruh	معصوم
drih	سندستعريف
sroh	معافي
brih	بنياديطور
kluh	مونجهاري
bwih	benedictiveمزاج
klih	ڏوهاري
grih	اڻڄاڻ
nyeh	شروعاتصورت
nleh	عاجز
dlih	لکندڙندير
proh	ٻڌايوevidential
mloh	دردن
du	مانسمجھان
jrih	صبر
freh	referential
kloh	اڪيلو
kroh	چارم
tcuh	جوش
kcuh	inductiveمزاج
xa	وڪيپيڊياسلسلي
nreh	نروس
pseh	پاسو
ge	ايجنٽ
mu	admonitiveمزاج
byah	لوڀ
pcoh	ڀريل
treh	سڌيevidential
yo	apprehensiveمزاج
cwuh	صدمو
tloh	زمانماضيحال
dlah	قطعيمضمون
cluh	بدصورت
myuh	مزاح
dyah	distaldemonstrative
rwuh	حاسد
troh	imprecativeمزاج
dzih	بيحسي
swuh	assumptiveمزاج
bzah	ڪريوٺندو
gwih	ڇهن
dloh	hodiernalزمان
dweh	delimitativeپاسو
kweh	سچاانسان
truh	گرميپد
tfeh	telicپاسو
lyeh	atelicپاسو
ru	prohibitiveمزاج
kfih	childish
cyoh	ڳجهه
nluh	وفاداري
cweh	چانديءجو
nwoh	پراين
sruh	جوش
ksoh	جنسي
lyah	سست
mreh	momentaneپاسو
pceh	undefined
bjih	اڳوڻيميت
pcuh	غيريقيني
xi	عاديپاسو
blih	هوندو
tsuh	trivial
fwih	باقيرھنديجو
grah	undefined
brah	ماني
cleh	undefined
sreh	رواجيتيگهڻن
pfah	فائدو
droh	auditoryevidential
flih	inferentialevidential
sweh	sublativeصورت
ksuh	declarativeمزاج
pleh	جوشرفحاصل
psoh	undefined
be	زباني
mwoh	undefined
kleh	undefined
glah	لالچ
kseh	affirmativeمزاج
zrah	عدماطمينان
dyoh	ideophone
syoh	undefined
gwah	exessiveصورت
zlih	irrealisمزاج
zrih	shyness
byih	پاڪستان
ryeh	فاعلينشانن
fwah	frugal
bjah	undefined
kxah	equanimity
gvih	pegativeصورت
pxih	vindication
xrah	undefined
tfoh	undefined
kxih	contrition
ryoh	prosecutiveصورت
qyah	preoccupation
r6	Participle
txah	ٻاهرينگذريلزمان
xrih	تاريخيزمان
dxah	ٻٽيشهريتجوتعداد
syuh	سپر
vweh	undefined
n6	بيحسيevidentialمزاج
bweh	اربين
xlih	مزاحیہ
txih	undefined
sluh	undefined
txoh	تحرڪuphill
xe	retrospective
pxah	undefined
vwah	تحرڪجلوا
xyih	اشراف
fleh	inflected
psuh	superessiveصورت
syeh	undefined
qi	transitive
xruh	cower
zwah	واہ
tr6h	تحرڪupriver
qwah	undefined
xlah	عالمي
tyoh	intransitive
tluh	anticlimax
qa	موجودهجهڙينشانن
kxoh	undefined
rwoh	ordinal
ve	vector
kyoh	undefined
swoh	ترتيبوار
pxeh	partitiveصورت
txeh	augmentative
dxih	predicative
pxoh	prolativeصورت
pfoh	نوازجملي
blah	blase
fyih	غيرانساني
xo	اداڪارڪردار
pc6h	پرکجوتعداد
greh	Centricصورت
groh	مقصدڪٺور
dxoh	وچآواز
rweh	obliqueصورت
xwah	صبرصورت
xu	prehodiernal
xroh	ٻاهرپائڻ
ks6h	causative
vi	انگنجوقدر
dleh	modalصورت
gjeh	ٻيوته
xreh	coworker
lwoh	locativeصورت
ml6h	multalتعداد
gjih	ڪيتريجنس
qlah	تاروجنس
bvih	abessiveصورت
dvah	adessiveصورت
je	agentiveصورت
t6	ايجنٽڪٺور
kxeh	صورتکي
gxih	عامجنس
tc6h	citationفارم
ts6h	transڏونائي
ryuh	سڌياعتراض
gveh	ergativeصورت
pyoh	اهڙنآواز
qe	مائرنفعل
xwih	بنياديشئي
myoh	gnomicمزاج
vrih	آخريparticle
va	evitativeصورت
bveh	subessiveصورت
dxeh	مالڪصورت
dvih	lativeصورت
tsa7h	antessiveصورت
dyeh	adverbialصورت
mleh	جنسذي
pfeh	empatheticخوشي
xleh	گاڏيجنس
qlih	معدنيجنس
xloh	زبانياچار
dreh	ٻيوٻولي
bvah	خوداعتمادي
