hnit	ඉන්ෆිනිටිව්
hnak	nominativeනඩුව
hkak	accusativeනඩුව
htak	මාතෘකාවනඩුව
hpap	තාත්තා
hmam	අම්මා
hyat	දෙමාපියන්ගේ
hcan	හෙලෝ
hwik	vocativeනඩුව
hsuc	පිය
htat	grandparent
hcac	බඩගිනි
hnik	genitiveනඩුව
hcit	නාමසඳහානාමවිශේෂනයක්
hwan	සහ
hman	මට
hnan	ඔබ
hwam	අප
htit	එය
htac	ගමනාන්තයනඩුව
htik	dativeනඩුව
hyit	realisමනෝභාවය
htim	deonticමනෝභාවය
hcut	කොන්දේසිගතමනෝභාවය
hsit	ක්රමාණුකූලවසැකසුණුමනෝභාවය
hyak	හෙබවූයේනඩුව
htan	අභ්යන්තරසන්දර්භය
hpan	පුද්ගලයාසන්දර්භය
htin	ස්වාධීනවගන්තිය
hyan	රඳාවගන්තිය
hfap	perfectiveඅංශයක්
hkat	අතීතකාලය
hnin	ලිංගභේදය
hmak	comitativeනඩුව
hnat	වර්තමානකාල
hpak	benefactiveනඩුව
swik	essiveනඩුව
htut	negatoryquantifier
hsan	මතුපිටසන්දර්භය
hpin	adpositionalනඩුව
hwin	ස්ථානයනඩුව
hkan	අවකාශයසන්දර්භය
hnac	මාර්ගයනඩුව
hyut	interrogativeමනෝභාවය
hnam	සහහෝ
hkit	සහලකුණින්බැහැරවහෝ
hsuk	ප්රභවයනඩුව
hpik	ක්ෂයවනනඩුව
hcat	ආසන්නයේ
hmat	නිදර්ශක
hkuk	වගන්තියවලිගය
hlan	එහෙත්
hsut	සෑම
hyin	විශ්වීයquantifier
hcin	ස්ත්රීපුරුෂ
hpac	බහුවචනසංඛ්යාව
hyik	එක
htic	ඔවුන්ගේ
hkik	කවුද
tcat	අනාගතකාලය
hsin	සමාජසන්දර්භය
hkac	කවදාද
hmip	imperfectiveඅංශයක්
klan	එතන
hlak	elativeනඩුව
hlik	illativeනඩුව
htam	නියෝගයමනෝභාවය
hlat	ඡන්දයෙන්quantifier
hkam	මොනවාද
hwat	ප්රශ්නයවචනය
htap	copula
hpat	පුද්ගලයා
nyan	පිරිමි
hkas	හැකි
tcan	අනික්
hnuc	අංකය
twit	දැඩිquantifier
hsak	කාලයසන්දර්භය
htuk	ලෞකිකනඩුව
htun	එකම
htum	hortativeමනෝභාවය
hyip	නෙත්යොමාබලනඅංශයක්
hlit	volitiveමනෝභාවය
pcic	කලයුතු
tyut	දෙක
hsat	බලන්න
hkut	දැන
hcic	පහළ
hcap	අනතුරුව
hpam	පලමු
hlac	alienableසතුව
hkap	කවදාවත්
hnic	අහිමිකළනොහැකිසතුව
tyat	පැරණි
tcit	එමඟින්මනෝභාවය
tcin	දවස
hlam	එන්න
hwak	ස්වර
hkin	යන්න
lwak	perlativeනඩුව
hpip	ප්රගතිශීලීඅංශයක්
lyan	දිගු
hsac	කියන්න
kyan	කෙසේද
htas	නැවතත්
hsic	මෙහි
hcik	හිතන්න
hcak	සන්දර්භයයටතේ
hfan	සොයා
hsun	අත
hyac	තවද
nwan	තරුණ
tyit	එරෙහි
tlan	දෙවි
twak	delativeනඩුව
hmin	කිසිවක්
hyas	වරක්
hlap	semelfactiveඅංශයක්
kcac	වම්
hyic	කියත්
hcas	නිවසක්
hwac	ලෝකය
tyin	තුන්
hnun	නව
hcuk	අවධානයයොමු
pyan	ආදරය
hsis	සැමවිටම
hyam	රෑ
hyap	රජ
hkic	අතර
hmas	මනස
cyit	හදවත
pluc	paucalඅංකය
kyik	නිසා
ksak	පොදුනඩුව
tcun	සිදු
hnim	නාමය
tsan	නිසිනාමපදයක්
klac	රට
hpun	ඉල්ලා
cyat	දෘශ්යමානසාක්ෂිමය
pcac	වඩාහොඳ
hmac	මොහොත
hnas	කළනොහැකි
hwic	ජලය
twim	desiderativeමනෝභාවය
kwan	ආලෝකය
tlat	වචනය
tyan	දොර
hsas	උදෑසන
syat	තුරු
twik	terminativeනඩුව
hpit	සුදු
pcan	මුදල
hyis	දුප්පත්
mwan	මරණ
hfam	ආකෘති
nwik	inessiveනඩුව
kcat	එක්ව
tsac	බොහෝවිට
pyat	මිතුරා
psan	අර්ධ
hpim	අත්යවශ්යමනෝභාවය
hyuc	වටයේ
hfat	එවා
hcis	බිරිඳ
kcan	විශ්වාස
hsik	පොදු
htus	රාජ්යසන්දර්භය
hpas	පුතා
clat	දරුවන්
tyak	මේඅනුව
cwan	බලාපොරොත්තුව
syin	ආදරණීය
hkuc	අධි
tyac	කියවන්න
syit	නගරය
hlic	දැනටමත්
hfit	factiveසාක්ෂිමය
tcac	දැරිය
hcun	සවන්
ksan	අවම
hyaf	සමහරවිට
kyat	ඇත්තවශයෙන්ම
tcic	සිරුර
hwit	ආපසු
cwat	ගුවන්
hfaf	නීතිය
hput	උදව්
lyat	ලිපිය
ksas	සිව්
hpic	optativeමනෝභාවය
hfuk	ගිනි
hcam	පැය
twat	යුද්ධය
kyak	කිහිපයක්
tlit	දෙවැනි
pcin	පිටුපස
hmut	අහිමි
clan	දහසක්
hfac	පවුලක්
twan	ආත්මය
hwas	ප්රශ්නය
syan	සත්යය
htis	සෑදීම
tsat	විභවමනෝභාවය
lwik	allativeනඩුව
nyin	Anthropicස්ත්රීපුරුෂ
hfak	පහ
tcak	එමවිෂයමාකර්
htuc	විවිධවිෂය
hnap	පිළිතුර
hmit	මුහුදු
hcuc	බිය
pcat	තේරුම්
syas	කොන්දේසි
hcaf	සැකයක්
twut	dubitativeමනෝභාවය
hkis	කලු
tlak	ගෙන
hyus	ලස්සන
nyit	ආකාරයක
htip	දස
ksis	කතාව
hpuk	පොත
hlin	ඉලෙක්ට්රොනික
hkun	ගිණුම
lyas	පොලී
lyit	ලියන්න
pwat	ඇඳ
hnis	වයස
hnut	counterfactual,කොන්දේසි
slas	කලාව
hwis	vialisනඩුව
pyak	සහෝදරයා
lyin	රේඛාව
tyas	වගුව
hyun	ගඟ
kyac	ඇස
tfan	හදිසියේ
kcin	ගැඹුරු
hmuc	අරමුණ
cyac	ලේ
hmap	රෝස
tlin	සීතල
hyif	ඉදිරියට
tyam	නැසීගිය
hnaf	සිතමු
hkip	ආසන්න
myan	බිම්බෝම්බ
tsin	දැනුම
hkup	පිටපතක්
