ni	ඉන්ෆිනිටිව්
na	nominativeනඩුව
ka	accusativeනඩුව
ta	මාතෘකාවනඩුව
ca	හෙලෝ
wu	vocativeනඩුව
kcah	බඩගිනි
ti	genitiveනඩුව
ci	නාමසඳහානාමවිශේෂනයක්
wa	සහ
mi	මට
sa	ඔබ
nyah	අප
ya	එය
ma	ගමනාන්තයනඩුව
yi	dativeනඩුව
li	realisමනෝභාවය
tu	deonticමනෝභාවය
cu	කොන්දේසිගතමනෝභාවය
si	ක්රමාණුකූලවසැකසුණුමනෝභාවය
yu	හෙබවූයේනඩුව
nu	අභ්යන්තරසන්දර්භය
pa	පුද්ගලයාසන්දර්භය
tyah	ස්වාධීනවගන්තිය
la	රඳාවගන්තිය
fa	perfectiveඅංශයක්
ki	අතීතකාලය
ne	ලිංගභේදය
mwah	comitativeනඩුව
ra	වර්තමානකාල
pwah	benefactiveනඩුව
swih	essiveනඩුව
no	negatoryquantifier
pi	මතුපිටසන්දර්භය
da	adpositionalනඩුව
te	ස්ථානයනඩුව
to	අවකාශයසන්දර්භය
ga	මාර්ගයනඩුව
ri	interrogativeමනෝභාවය
ba	සහහෝ
ku	සහලකුණින්බැහැරවහෝ
so	ප්රභවයනඩුව
pwih	ක්ෂයවනනඩුව
ksah	ආසන්නයේ
tsah	නිදර්ශක
ko	වගන්තියවලිගය
pyah	එහෙත්
wi	විශ්වීයquantifier
ji	ස්ත්රීපුරුෂ
pu	බහුවචනසංඛ්යාව
bi	අනාගතකාලය
co	සමාජසන්දර්භය
me	imperfectiveඅංශයක්
klah	එතන
twah	elativeනඩුව
twih	illativeනඩුව
di	නියෝගයමනෝභාවය
tlah	ඡන්දයෙන්quantifier
kyah	මොනවාද
tcah	ප්රශ්නයවචනය
ja	copula
cyah	පුද්ගලයා
clah	අනික්
do	අංකය
tlih	දැඩිquantifier
se	කාලයසන්දර්භය
myah	ලෞකිකනඩුව
tyuh	එකම
tcih	hortativeමනෝභාවය
tyih	නෙත්යොමාබලනඅංශයක්
lo	volitiveමනෝභාවය
cwah	අනතුරුව
nlah	alienableසතුව
nlih	අහිමිකළනොහැකිසතුව
cyih	එමඟින්මනෝභාවය
lwah	perlativeනඩුව
pfih	ප්රගතිශීලීඅංශයක්
tsih	මෙහි
ce	සන්දර්භයයටතේ
pcah	තවද
lwih	delativeනඩුව
swah	semelfactiveඅංශයක්
nyih	නව
fu	අවධානයයොමු
plah	ආදරය
po	paucalඅංකය
kyih	නිසා
ksih	පොදුනඩුව
gi	නාමය
tfah	නිසිනාමපදයක්
crih	දෘශ්යමානසාක්ෂිමය
kceh	වඩාහොඳ
dwih	desiderativeමනෝභාවය
wo	වචනය
srah	තුරු
tweh	terminativeනඩුව
nwih	inessiveනඩුව
pcih	අත්යවශ්යමනෝභාවය
crah	විශ්වාස
ro	රාජ්යසන්දර්භය
cwih	බලාපොරොත්තුව
kwih	factiveසාක්ෂිමය
fi	ආපසු
psih	optativeමනෝභාවය
tseh	විභවමනෝභාවය
lweh	allativeනඩුව
nrih	Anthropicස්ත්රීපුරුෂ
tceh	එමවිෂයමාකර්
re	විවිධවිෂය
croh	බිය
mrah	තේරුම්
cyuh	සැකයක්
twuh	dubitativeමනෝභාවය
myih	ලස්සන
lyih	පොලී
flah	counterfactual,කොන්දේසි
we	vialisනඩුව
clih	සීතල
pyih	සාම
su	හැර
kwah	ආශාව
le	දිග
bo	සම්භාවිතාව
mlah	කරදර
syah	සිනහව
slih	නින්ද
zi	උපුටා
twoh	quotativeනඩුව
mo	ඇතුළුපුද්ගලයා
kcih	කරුණාකර
rwih	precativeමනෝභාවය
mrih	ආචාරශීලීලේඛනය
rwah	අනාගතඅංශයක්
cyeh	පුදුමයක්
go	gnomicඅංශයක්
tsoh	ගරු
za	inchoativeඅංශයක්
jwih	jussiveමනෝභාවය
mwih	ලිහිල්මනෝභාවය
sloh	සාර්ථකත්වය
prih	පුද්ගලික
de	distributiveනඩුව
tcoh	වේදනාව
ryah	හිනා
mlih	ප්රඥාවන්ත
ye	possessiveමාකර්
ke	commissiveමනෝභාවය
creh	නිෂ්ඵල
mweh	completiveඅංශයක්
nrah	උණුසුම්
nroh	කෝපය
bwah	තිබියදීත්
trah	අභිමානය
mroh	සදාචාරාත්මක
slah	සෞඛ්ය
syih	සමාජ
pe	cessativeඅංශයක්
krih	කුතුහලයෙන්
tfih	තීවකාරක
fe	අවසාන
prah	පසෙකට
trih	සාක්ෂිමය
nwah	සාක්ෂිමයනඩුව
srih	දුක
zo	zoicස්ත්රීපුරුෂ
nweh	eventiveමනෝභාවය
cwoh	එකමසිදුවීමක්මාකර්
plih	ගුණාකාරනඩුව
dwah	අපේක්ෂිත
kcoh	වෙහෙසටපත්
drah	සෑහීමටපත්
lu	සමපේක්ෂනමනෝභාවය
frih	හුරුපුරුදුලේඛනය
frah	තුවාල
mruh	මෝඩයෙකු
djih	අනුකම්පාව
krah	ස්තුති
cruh	ලජ්ජාවට
fyah	වැකියමාකර්
ryih	preordained
kruh	කටුක
tyeh	පෙළ
kreh	කෲර
tleh	hesternalනොසන්සුන්කාරී
kfah	පූජාව
dyih	වෛරය
cloh	තාර්කිකස්ත්රීපුරුෂ
nloh	භුක්ති
psah	බලාපොරොත්තුසුන්
sleh	vegetalස්ත්රීපුරුෂ
nruh	අහිංසක
drih	අගයකිරීම
sroh	සමාව
brih	පදනම
kluh	ව්යාකූලත්වය
bwih	benedictiveමනෝභාවය
klih	වරද
grih	නූගත්
nyeh	වැඩසටහනනඩුව
nleh	නිහතමානී
dlih	අත්යවශ්යප්රමාද
proh	වාර්තාසාක්ෂිමය
mloh	විෂාදයට
du	ඒකවචන
jrih	ඉවසීම
freh	referential
kloh	පාළු
kroh	යක්ෂභූතාදීන්
tcuh	උද්යෝගය
kcuh	උද්ගාමීමනෝභාවය
xa	කතිකාවසන්දර්භය
nreh	කැලඹීමට
pseh	අංශයක්
ge	නියෝජිතයා
mu	admonitiveමනෝභාවය
byah	අභිලාෂය
pcoh	ජනාකීර්ණ
treh	සෘජුසාක්ෂිමය
yo	භීතියටපත්වෙයිමනෝභාවය
cwuh	කම්පන
tloh	නොසන්සුන්කාරීපසුගියමෑත
dlah	නිශ්චිතලිපි
cluh	කැත
myuh	හාස්ය
dyah	distalනිදර්ශක
rwuh	ඊර්ෂ්යා
troh	imprecativeමනෝභාවය
dzih	නොතැකීම
swuh	assumptiveමනෝභාවය
bzah	විහිලුවේ
gwih	එනම්
dloh	hodiernalනොසන්සුන්කාරී
dweh	delimitativeඅංශයක්
kweh	සුවිශේෂීපුද්ගලයෙකු
truh	උෂ්ණත්වය
tfeh	ටෙලික්අංශයක්
lyeh	atelicඅංශයක්
ru	වළක්වනලදිමනෝභාවය
kfih	බොළඳ
cyoh	සැකසහිත
nluh	පක්ෂපාතිත්වය
cweh	උගුලක්
nwoh	සජීවිකරණ
sruh	සංත්රාසයට
ksoh	ලිංගික
lyah	කම්මැලි
mreh	momentaneඅංශයක්
pceh	කනගාටු
bjih	හිටපුමියගිය
pcuh	අවිනිශ්චිත
xi	පුරුද්දක්අංශයක්
blih	මායිම්
tsuh	නොවැදගත්
fwih	මහේශාක්ය
grah	අලංකරණයෙන්
brah	අත්තනෝමතික
cleh	ත්යාගශීලී
sreh	විධිමත්ලේඛනය
pfah	ප්රයෝජනවත්
droh	auditoryසාක්ෂිමය
flih	inferentialසාක්ෂිමය
sweh	sublativeනඩුව
ksuh	declarativeමනෝභාවය
pleh	වරප්රසාදිත
psoh	අනභිභවනීය
be	වාචික
mwoh	reverie
kleh	කාලකන්නිබවේ
glah	කෑදරකම
kseh	සොළීරජුමනෝභාවය
zrah	නොසතුට
dyoh	ideophone
syoh	awed
gwah	exessiveනඩුව
zlih	irrealisමනෝභාවය
zrih	shyness
byih	අනුවර්තනය
ryeh	සර්වනාමයකිමාකර්
fwah	අරපිරිමැස්මෙන්
bjah	ජාතිවාදයවපුරා
kxah	පැවරුවේ
gvih	pegativeනඩුව
pxih	තමනිර්දෝෂීභාවය
xrah	යුදවැදුණු
tfoh	henceforward
kxih	පසුතැවිලි
ryoh	prosecutiveනඩුව
qyah	සිතයොමුකිරීමෙන්
r6	කෘදන්ත
txah	දුරස්ථඅතීතකාලය
xrih	ඓතිහාසිකනොසන්සුන්කාරී
dxah	ද්විත්වඅංකය
syuh	සුපිරි
vweh	අධිතේරුමක්
