ni	lahayn
na	kiiskaNOMINATIVE
ka	kiiskaACCUSATIVE
ta	kiiskatopic
ca	hello
wu	VOCATIVECASE
kcah	gaajaysan
ti	kiiskayaalna
ci	sifo
wa	iyo
mi	i
sa	aad
nyah	noo
ya	waxaa
ma	kiiskacaga
yi	lasonin
li	niyaddarealis
tu	niyaddadeontic
cu	niyaddashuruud
si	niyaddaepistemic
yu	kiiskaxarkaha
nu	gudahamacnaha
pa	qofkamacnaha
tyah	laguburburinkaromadax-bannaan
la	burburinkutiirsan
fa	dhinacahagaagsan
ki	eelasoodhaafaykacsan
ne	ragahjinsiga
mwah	kiiskacomitative
ra	joogowaqti
pwah	kiiskabenefactive
swih	kiiskaessive
no	quantifiernegatory
pi	macnahadusha
da	kiiskaadpositional
te	kiiskagoobta
to	meelbannaanoomacnaha
ga	habkiiska
ri	niyaddainterrogative
ba	iyoama
ku	gaarahama
so	kiiskail
pwih	kiiskaabuuruhu
ksah	dhawaanshaha
tsah	saaraya
ko	dabadalaguburburinkaro
pyah	laakiin
wi	quantifieruniversal
ji	dhedigjinsiga
pu	tiradajamac
bi	mustaqbalkakacsan
co	macnahabulshada
me	dhinacamidaanhagaagsanayn
klah	waxaa
twah	kiiskaelative
twih	kiiskaillative
di	niyaddadardaaranka
tlah	quantifierdoorashada
kyah	waamaxay
tcah	eraygiisu&#39;aal
ja	copula
cyah	qof
clah	kale
do	tirada
tlih	quantifierxaqaagii
se	markiilaeego
myah	kiiskatemporal
tyuh	ookeliya
tcih	niyaddahortative
tyih	dhinacayallow
lo	niyaddavolitive
cwah	kadib
nlah	haysashadaalienable
nlih	oohanti-katashigiisa
cyih	niyaddadeliberative
lwah	kiiskaperlative
pfih	dhinacahorumarinta
tsih	halkan
ce	hoosmacnaha
pcah	sidookale
lwih	kiiskadelative
swah	dhinacasemelfactive
nyih	neo
fu	diirada
plah	jeclahay
po	tiradapaucal
kyih	maxaayeelay,
ksih	kiiskasababaha
gi	magaca
tfah	magacsaxah
crih	caddaymahalaarkikaro
kceh	wanaagsan
dwih	niyaddadesiderative
wo	erayga
srah	ilaa
tweh	kiiskaterminative
nwih	kiiskainessive
pcih	niyaddalagamamaarmaanah
crah	rumaysan
ro	macnahagobolka
cwih	rajaynayaa
kwih	caddaymahafactive
fi	soolaabtay
psih	niyaddahubin
tseh	niyaddakara
lweh	kiiskaallative
nrih	anthropicjinsiga
tceh	islacalaamadeysanayaanmaado
re	maaddoookaladuwan
croh	cabsi
mrah	fahmo
cyuh	shaki
twuh	niyaddadubitative
myih	quruxbadan
lyih	xiisaha
flah	counterfactualshuruud
we	kiiskavialis
clih	qabow
pyih	nabadda
su	markalagareebo
kwah	rabitaan
le	dhererka
bo	itimaalka
mlah	dhibaato
syah	dhoola
slih	hurdo
zi	undefined
twoh	kiiskaquotative
mo	qofkaloodhanyahay
kcih	fadlan
rwih	niyaddaprecative
mrih	diiwaankaedeb
rwah	arrinlafilayo
cyeh	layaabeen
go	dhinacagnomic
tsoh	ixtiraam
za	dhinacainchoative
jwih	niyaddalit.
mwih	niyaddaogolaanaya
sloh	guul
prih	gaarkaah
de	kiiskafurfurista
tcoh	xanuun
ryah	qosli
mlih	kuwacaqligaleh
ye	calaamadeysanayaankuleeyihiin
ke	niyaddacommissive
creh	waxtarla&#39;aan
mweh	dhinacacompletive
nrah	diiran
nroh	xanaaq
bwah	inkastoo
trah	kibirka
mroh	moral
slah	caafimaadka
syih	bulshada
pe	dhinacacessative
krih	cajiibah
tfih	intensifier
fe	ugudambeyntii
prah	geesu
trih	caddaymaha
nwah	kiiskacaddaymaha
srih	murugo
zo	zoicjinsiga
nweh	eventiveniyadda
cwoh	calaamadeysanayaandhacdolamidah
plih	kiiskadhufashada
dwah	jeclaystay
kcoh	daal
drah	dhergi
lu	niyaddakuteen
frih	diiwaankayaqaan
frah	dhaawacay
mruh	Doqon
djih	naxariis
krah	mahad
cruh	ceeb
fyah	calaamadeysanayaanweedha
ryih	undefined
kruh	qadhaadh
tyeh	text
kreh	nacabkaa
tleh	hesternalkacsan
kfah	allabarigii
dyih	necbahay
cloh	maangalkajinsiga
nloh	raaxaysan
psah	quusan
sleh	vegetaljinsiga
nruh	ooaanwaxbagalabsan
drih	jaceylka
sroh	cafis
brih	saldhig
kluh	jahwareer
bwih	niyaddabenedictive
klih	eed
grih	jaahil
nyeh	kiiskainitiative
nleh	kuwais-hoosaysiiya
dlih	lagamamaarmaanahdhac
proh	caddaymahasheegay
mloh	Walbahaar
du	keli
jrih	samir
freh	referential
kloh	cidlo
kroh	jiidashada
tcuh	xamaasad
kcuh	niyaddayeelista
xa	macnahahadal
nreh	dareemayaasha
pseh	dhinaca
ge	wakiilka
mu	niyaddaadmonitive
byah	hamiga
pcoh	buuxo
treh	caddaymahasitoosah
yo	niyaddaCabsan
cwuh	lamafilaanah
tloh	dhawaanlasoodhaafaykacsan
dlah	articleqeexan
cluh	foolxun
myuh	kaftan
dyah	distalsaaraya
rwuh	masayr
troh	niyaddaimprecative
dzih	warheynta
swuh	niyaddaassumptive
bzah	Ciyaari
gwih	kuwaasoo
dloh	hodiernalkacsan
dweh	dhinacadelimitative
kweh	qofgaarah
truh	heerkulka
tfeh	dhinacatelic
lyeh	dhinacaatelic
ru	niyaddakahorjoogsadey
kfih	caruureed
cyoh	lagashakiyo
nluh	daacad
cweh	dabin
nwoh	aamusnaanah
sruh	reyreyn
ksoh	galmada
lyah	caajis
mreh	dhinacamomentane
pceh	undefined
bjih	horeeegeeriyooday
pcuh	hubin
xi	dhinacacaadaysi
blih	kumyadu
tsuh	Ciyaalle
fwih	haybad
grah	undefined
brah	aaboyeelin
cleh	undefined
sreh	diiwaankarasmigaah
pfah	faa&#39;iido
droh	caddaymahamaqalka
flih	caddaymahainferential
sweh	kiiskasublative
ksuh	niyaddadeclarative
pleh	Shafar
psoh	undefined
be	afka
mwoh	undefined
kleh	undefined
glah	damac
kseh	niyaddakuraaca
zrah	qanacsanayn
dyoh	ideophone
syoh	undefined
gwah	kiiskaexessive
zlih	niyaddairrealis
zrih	xishood
byih	qabsashada
ryeh	calaamadeysanayaanyaalka
fwah	tashiilid
bjah	undefined
kxah	lahow
gvih	kiiskapegative
pxih	vindication
xrah	undefined
tfoh	undefined
kxih	contrition
ryoh	kiiskaprosecutive
qyah	walwalka
r6	QAYB
txah	fogeelasoodhaafaykacsan
xrih	taariikhiahmidkacsan
dxah	tiradadual
syuh	super
vweh	undefined
n6	niyaddacaddaymahadareen
bweh	jaceeylka
xlih	qosol
txih	undefined
sluh	undefined
txoh	mooshintaag
xe	yallow
pxah	undefined
vwah	mooshinmidmarwalba
xyih	kooxaha
fleh	ereyadani
psuh	kiiskasuperessive
syeh	undefined
qi	Transitive
xruh	mujrimiintu
zwah	wow
tr6h	mooshinNiilka
qwah	undefined
xlah	dunidaoodhan
tyoh	intransitive
tluh	anticlimax
qa	calaamadeysanayaantacaluqahadda
kxoh	undefined
rwoh	horsanaanta
ve	dulinka
kyoh	undefined
swoh	iskuxigxiga
pxeh	kiiskapartitive
txeh	hadalada
dxih	predicative
pxoh	kiiskaprolative
pfoh	weedhapro
blah	blase
fyih	aadanahanon
xo	dooractor
pc6h	tiradamaxkamad
greh	kiiskawadaaagin
groh	keebkagool
dxoh	codkadhexe
rweh	kiiskauugu
xwah	kiiskabukaanka
xu	prehodiernal
xroh	duugoobin
ks6h	sababaya
vi	qiimahabinary
dleh	kiiskamodal
gjeh	kalehaddii
xreh	booskaas
lwoh	kiiskaLOCATIVE
ml6h	tiradamultal
gjih	Galaxyjinsiga
qlah	xiddigajinsiga
bvih	kiiskaabessive
dvah	kiiskaadessive
je	kiiskaagentive
t6	keebkawakiilka
kxeh	inkiiska
gxih	caadijinsiga
tc6h	foomkayeerida
ts6h	nidaamnambarotrans
ryuh	shaytoosah
gveh	kiiskaergative
pyoh	codkadadban
qe	faluguna
xwih	waxhoose
myoh	niyaddagnomic
vrih	walxahafinal
va	kiiskaevitative
bveh	kiiskasubessive
dxeh	kiiskahantiyeen
dvih	kiiskalative
tsa7h	kiiskaantessive
dyeh	kiiskaadoommadiisa
mleh	nooleynjinsiga
pfeh	farxadfahmadna
xleh	jinsigagaari
qlih	jinsigamacdanta
xloh	magacafkaah
dreh	luqadlabaad
bvah	iskalsoonida
qrah	isbedelkadhacdada
fo	Haddiiaydhacdoookaladuwan
sl6h	crastinalkacsan
fyoh	codkaawtomatik
bxih	koonkanjinsiga
jlih	Transitivefal
kyeh	degaankajinsiga
txuh	jinsigacilmi
s6	farshaxankajinsiga
preh	keebkabukaanka
sr6h	aanlataabankarinjinsiga
nyoh	hadalaantoosahayn
zreh	kiiskaexocentric
kfeh	hagaagsaneelasoodhaafay
jo	falaanahayn
kxuh	magacwadareed
bu	kiiskaabsolutive
qrih	Planetaryjinsiga
kfoh	benefactivecore
kwoh	kiiskaisraacinayo
pluh	kiiskasedaxaad
jrah	haddakorontada
glih	walaxjinsiga
p6	niyaddapropositive
vrah	codkaisdhaafsi
lyuh	burburinxigta
gleh	ugudhakhsahabadanmustaqbalkakacsan
lyoh	codkaapplicative
ps6h	codkaantipassive
tfuh	dhinacacontinutive
nr6h	niyaddanecessitative
pr6h	QAYBdadban
sy6h	laguburburinkarojiritaanka
qyih	xooggaiskaIftoYuuna
gluh	tiradasingulative
kwuh	durationxad-dhaafah
xyah	halfaltallaabo
vlih	degreesedaxaad
djah	QAYBjoogo
m6	qadarooahwalaxda
ti7	walxahaconnective
f6	morphemeepenthetic
tli7h	mustaqbalkafogkacsan
si_	kiiskapostpositional
l6	heshiiskaallocutive
k6	dhinacafrequentative
bzih	yaalkafurfurista
tu7	sabayntirodhibic
vo	falaffix
ki7	QAYBdadbaneelasoodhaafay
ta_	kiiskajihoLOCATIVE
