hnit	lahayn
hnak	kiiskaNOMINATIVE
hkak	kiiskaACCUSATIVE
htak	kiiskatopic
hpap	Aabaha
hmam	hooyo
hyat	waalidka
hcan	hello
hwik	VOCATIVECASE
hsuc	awoowe
htat	ayeeyo
hcac	gaajaysan
hnik	kiiskayaalna
hcit	sifo
hwan	iyo
hman	i
hnan	aad
hwam	noo
htit	waxaa
htac	kiiskacaga
htik	lasonin
hyit	niyaddarealis
htim	niyaddadeontic
hcut	niyaddashuruud
hsit	niyaddaepistemic
hyak	kiiskaxarkaha
htan	gudahamacnaha
hpan	qofkamacnaha
htin	laguburburinkaromadax-bannaan
hyan	burburinkutiirsan
hfap	dhinacahagaagsan
hkat	eelasoodhaafaykacsan
hnin	ragahjinsiga
hmak	kiiskacomitative
hnat	joogowaqti
hpak	kiiskabenefactive
swik	kiiskaessive
htut	quantifiernegatory
hsan	macnahadusha
hpin	kiiskaadpositional
hwin	kiiskagoobta
hkan	meelbannaanoomacnaha
hnac	habkiiska
hyut	niyaddainterrogative
hnam	iyoama
hkit	gaarahama
hsuk	kiiskail
hpik	kiiskaabuuruhu
hcat	dhawaanshaha
hmat	saaraya
hkuk	dabadalaguburburinkaro
hlan	laakiin
hsut	oodhan
hyin	quantifieruniversal
hcin	dhedigjinsiga
hpac	tiradajamac
hyik	midkamidah
htic	ay
hkik	kuwaasoo
tcat	mustaqbalkakacsan
hsin	macnahabulshada
hkac	Goorma
hmip	dhinacamidaanhagaagsanayn
klan	waxaa
hlak	kiiskaelative
hlik	kiiskaillative
htam	niyaddadardaaranka
hlat	quantifierdoorashada
hkam	waamaxay
hwat	eraygiisu&#39;aal
htap	copula
hpat	qof
nyan	lab
hkas	waayeen
tcan	kale
hnuc	tirada
twit	quantifierxaqaagii
hsak	markiilaeego
htuk	kiiskatemporal
htun	ookeliya
htum	niyaddahortative
hyip	dhinacayallow
hlit	niyaddavolitive
pcic	waain
tyut	laba
hsat	arki
hkut	ogaan
hcic	hoos
hcap	kadib
hpam	uguhoreysay
hlac	haysashadaalienable
hkap	marna
hnic	oohanti-katashigiisa
tyat	jir
tcit	niyaddadeliberative
tcin	maalintii
hlam	yimaado
hwak	shaqallada
hkin	tago
lwak	kiiskaperlative
hpip	dhinacahorumarinta
lyan	dheer
hsac	odhan
kyan	sida
htas	markale
hsic	halkan
hcik	qabaa
hcak	hoosmacnaha
hfan	lagahelay
hsun	gacanta
hyac	sidookale
nwan	dhallinyaradaah
tyit	kadhankaah
tlan	ilaah
twak	kiiskadelative
hmin	waxba
hyas	mar
hlap	dhinacasemelfactive
kcac	katagay
hyic	miinshaar
