ni	инфинитив
na	номинативслучај
ka	акузативслучај
ta	темаслучај
ca	Zdravo
wu	вокативслучај
kcah	гладан
ti	генитивслучај
ci	придев
wa	и
mi	ми
sa	vi
nyah	нас
ya	to
ma	дестинацијаслучај
yi	дативслучај
li	РЕАЛиСрасположење
tu	деонтицрасположење
cu	условнирасположење
si	епистемичкарасположење
yu	инструменталслучај
nu	унутрашњостконтекст
pa	лицеконтекст
tyah	независниклаузула
la	зависанклаузула
fa	свршенаспект
ki	прошлостнапет
ne	мушкипол
mwah	цомитативеслучај
ra	поклоннапет
pwah	бенефацтивеслучај
swih	ессивеслучај
no	којинегираквантификатор
pi	површинаконтекст
da	адпоситионалслучај
te	локацијаслучај
to	просторконтекст
ga	начинслучај
ri	упитнирасположење
ba	иили
ku	ексклузивни-или
so	изворслучај
pwih	аблативслучај
ksah	близина
tsah	демонстративан
ko	клаузулареп
pyah	ali
wi	универзаланквантификатор
ji	женскипол
pu	множинаброј
bi	будућностнапет
co	друштвениконтекст
me	трајанаспект
klah	тамо
twah	уодносуслучај
twih	закључанслучај
di	директиварасположење
tlah	изборниквантификатор
kyah	Šta
tcah	питањереч
ja	копула
cyah	лице
clah	други
do	број
tlih	самопоузданквантификатор
se	времеконтекст
myah	временскислучај
tyuh	само
tcih	бодрећирасположење
tyih	ретроспективанаспект
lo	волитиверасположење
cwah	после
nlah	отуђивпоседовање
nlih	неотуђивпоседовање
cyih	саветодавнирасположење
lwah	перлативеслучај
pfih	прогресиванаспект
tsih	овде
ce	исподконтекст
pcah	такође
lwih	делативеслучај
swah	семелфацтивеаспект
nyih	neo
fu	фокус
plah	ljubav
po	пауцалброј
kyih	јер
ksih	узрочнислучај
gi	име
tfah	правиименица
crih	видљивдоказни
kceh	боље
dwih	десидеративерасположење
wo	реч
srah	svedok
tweh	терминативеслучај
nwih	инессивеслучај
pcih	императиврасположење
crah	веровати
ro	државаконтекст
cwih	nadatise
kwih	фацтиведоказни
fi	повратак
psih	оптативанрасположење
tseh	потенцијалрасположење
lweh	аллативеслучај
nrih	антропичкапол
tceh	иститемамаркер
re	различиттема
croh	страх
mrah	разумети
cyuh	сумња
twuh	дубитативерасположење
myih	lep
lyih	интерес
flah	противчињеничниусловни
we	виалисслучај
clih	хладан
pyih	мир
su	осим
kwah	жеља
le	дужина
bo	вероватноћа
mlah	проблем
syah	осмех
slih	сан
zi	цитирао
twoh	куотативеслучај
mo	укључујућилице
kcih	Molimovas
rwih	прецативерасположење
mrih	учтиврегистровати
rwah	Потенцијалниаспект
cyeh	Питамсе
go	гномскиаспект
tsoh	поштовање
za	којизапочињеаспект
jwih	заповеднирасположење
mwih	попустљиврасположење
sloh	успех
prih	приватан
de	дистрибутиванслучај
tcoh	бол
ryah	смех
mlih	мудар
ye	посесиванмаркер
ke	цоммиссиверасположење
creh	сујетан
mweh	довршиваспект
nrah	топао
nroh	љутња
bwah	инат
trah	понос
mroh	моралан
slah	здравља
syih	друштвени
pe	престанакаспект
krih	радознао
tfih	појачивач
fe	коначно
prah	пострани
trih	доказни
nwah	доказнислучај
srih	тужан
zo	Зоицпол
nweh	евентиверасположење
cwoh	истидогађајмаркер
plih	мултипликативнислучај
dwah	жељени
kcoh	уморан
drah	задовољан
lu	спекулативанрасположење
frih	упознатрегистровати
frah	рањен
mruh	будала
djih	симпатија
krah	захвалити
cruh	срамота
fyah	фразамаркер
ryih	предодређено
kruh	горак
tyeh	текст
kreh	окрутан
tleh	хестерналнапет
kfah	жртвовање
dyih	мрзети
cloh	рационаланпол
nloh	уживати
psah	очајање
sleh	биљнипол
nruh	невин
drih	дивљење
sroh	помиловање
brih	база
kluh	забуна
bwih	благословрасположење
klih	крив
grih	неук
nyeh	иницијативаслучај
nleh	скроман
dlih	одложенимператив
proh	пријавиодоказни
mloh	меланхолија
du	једнина
jrih	стрпљење
freh	референтна
kloh	усамљен
kroh	шарм
tcuh	ентузијазам
kcuh	индуктиванрасположење
xa	дискурсконтекст
nreh	нервозан
pseh	аспект
ge	заступник
mu	укоррасположење
byah	амбиција
pcoh	препун
treh	директандоказни
yo	престрашенрасположење
cwuh	шок
tloh	скорашњипрошлостнапет
dlah	одређенчланак
cluh	ружан
myuh	хумор
dyah	дисталнидемонстративан
rwuh	љубоморан
troh	проклињућирасположење
dzih	равнодушност
swuh	претпостављенрасположење
bzah	лакрдија
gwih	tojest
dloh	данашњинапет
dweh	делимитативеаспект
kweh	ексклузиванлице
truh	температура
tfeh	Телицаспект
lyeh	ателицаспект
ru	заштитнирасположење
kfih	детињаст
cyoh	сумњив
nluh	лојалност
cweh	замка
nwoh	анимирани
sruh	узбуђење
ksoh	полни
lyah	лењ
mreh	моментанеаспект
pceh	жали
bjih	бившипокојни
pcuh	несигурност
xi	уобичајенаспект
blih	ограничен
tsuh	тривијалан
fwih	величанствен
grah	ласкав
brah	произвољан
cleh	благонаклон
sreh	формаланрегистровати
pfah	благотворан
droh	слушнидоказни
flih	инференцијалнедоказни
sweh	сублативеслучај
ksuh	којитумачирасположење
pleh	привилегован
psoh	непобедив
be	усмен
mwoh	сањарење
kleh	јад
glah	похлепа
kseh	потврданрасположење
zrah	незадовољство
dyoh	идиофониинструменти
syoh	страхопоштовање
gwah	прекомеранслучај
zlih	ирреалисрасположење
zrih	снебивљивост
byih	адаптација
ryeh	заменицамаркер
fwah	штедљив
bjah	усхићен
kxah	сталоженост
gvih	пегативеслучај
pxih	оправдање
xrah	истиче
tfoh	убудуће
kxih	кајање
ryoh	просецутивеслучај
qyah	преокупација
r6	партицип
txah	даљинскипрошлостнапет
xrih	историјскинапет
dxah	Дуалброј
syuh	супер
vweh	презапослени
n6	чулнидоказнирасположење
bweh	опсесија
xlih	смешан
txih	пробадање
sluh	самозадовољни
txoh	кретањеузбрдо
xe	ретроспективан
pxah	довестиунеприлику
vwah	кретањенизбрдо
xyih	елита
fleh	инфлецтед
psuh	суперессивеслучај
syeh	похотљивац
qi	прелазан
xruh	најежитисе
zwah	вау
tr6h	кретањеузводно
qwah	неславољубив
xlah	светски
tyoh	непрелазан
tluh	антиклимакс
qa	струјарелевантностмаркер
kxoh	пасуморан
rwoh	редни
ve	вектор
kyoh	килограм
swoh	Секуентиал
pxeh	партитивнислучај
txeh	аугментативан
dxih	предикативни
pxoh	пролативеслучај
pfoh	професионалацфраза
blah	блазиран
fyih	нељудски
xo	глумацулога
pc6h	суђењеброј
greh	центричнислучај
groh	циљокидач
dxoh	средњиглас
rweh	посреданслучај
xwah	пацијентслучај
xu	предданашњи
xroh	похабатисе
ks6h	узрочни
vi	бинарнавредност
dleh	модалнислучај
gjeh	друго-ако
xreh	сарадник
lwoh	локативслучај
ml6h	мулталброј
gjih	галаксијапол
qlah	Звездапол
bvih	абессивеслучај
dvah	адессивеслучај
je	агентивеслучај
t6	заступникокидач
kxeh	дослучај
gxih	заједничкипол
tc6h	цитатобразац
ts6h	transцифра
ryuh	директанобјекат
gveh	ергативеслучај
pyoh	пасиванглас
qe	ограниченглагол
xwih	Примарнаобјекат
myoh	гномскирасположење
vrih	коначничестица
va	евитативеслучај
bveh	субессивеслучај
dxeh	запоседнутслучај
dvih	лативнислучај
tsa7h	антессивеслучај
dyeh	прилошкислучај
mleh	анимиратипол
pfeh	говернанцерадост
xleh	возилопол
qlih	минералпол
xloh	усменименица
dreh	другијезик
bvah	самповерење
qrah	променаоддогађај
fo	различитдогађај
sl6h	црастиналнапет
fyoh	рефлексиванглас
bxih	свемирпол
jlih	прелазанглагол
kyeh	локалитетпол
txuh	истраживањепол
s6	уметничкипол
preh	пацијентокидач
sr6h	апстрактанпол
nyoh	индиректанговор
zreh	ексцентричнихслучај
kfeh	прошлостсвршен
jo	безличанглагол
kxuh	колективанименица
bu	абсолутивеслучај
qrih	планетарнипол
kfoh	језгробенефацтиве
kwoh	асоцијационислучај
pluh	суперлативслучај
jrah	електричниструја
glih	неживпол
p6	пропоситиверасположење
vrah	реципрочанглас
lyuh	узастопниклаузула
gleh	ускоробудућностнапет
lyoh	апликативниглас
ps6h	антипассивеглас
tfuh	цонтинуативеаспект
nr6h	нецесситативерасположење
pr6h	пасиванпартицип
sy6h	егзистенцијалниклаузула
qyih	светлосниинтензитет
gluh	сингулативеброј
kwuh	прекомерантрајање
xyah	синглакцијаглагол
vlih	суперлативстепен
djah	поклонпартицип
m6	износодсупстанца
ti7	везникчестица
f6	епентетскиморфема
tli7h	даљинскибудућностнапет
si_	постпоситионалслучај
l6	беседадоговор
k6	учесталиаспект
bzih	дистрибутиванзаменица
tu7	флоатинг-поинт-број
vo	глагол-суфикс
ki7	прошлостпасиванпартицип
ta_	локативусмеренслучај
