hnit	инфинитив
hnak	номинативслучај
hkak	акузативслучај
htak	темаслучај
hpap	тата
hmam	мама
hyat	родитељски
hcan	Zdravo
hwik	вокативслучај
hsuc	предак
htat	деда
hcac	гладан
hnik	генитивслучај
hcit	придев
hwan	и
hman	ми
hnan	vi
hwam	нас
htit	to
htac	дестинацијаслучај
htik	дативслучај
hyit	РЕАЛиСрасположење
htim	деонтицрасположење
hcut	условнирасположење
hsit	епистемичкарасположење
hyak	инструменталслучај
htan	унутрашњостконтекст
hpan	лицеконтекст
htin	независниклаузула
hyan	зависанклаузула
hfap	свршенаспект
hkat	прошлостнапет
hnin	мушкипол
hmak	цомитативеслучај
hnat	поклоннапет
hpak	бенефацтивеслучај
swik	ессивеслучај
htut	којинегираквантификатор
hsan	површинаконтекст
hpin	адпоситионалслучај
hwin	локацијаслучај
hkan	просторконтекст
hnac	начинслучај
hyut	упитнирасположење
hnam	иили
hkit	ексклузивни-или
hsuk	изворслучај
hpik	аблативслучај
hcat	близина
hmat	демонстративан
hkuk	клаузулареп
hlan	ali
hsut	све
hyin	универзаланквантификатор
hcin	женскипол
hpac	множинаброј
hyik	један
htic	њихов
hkik	ko
tcat	будућностнапет
hsin	друштвениконтекст
hkac	kada
hmip	трајанаспект
klan	тамо
hlak	уодносуслучај
hlik	закључанслучај
htam	директиварасположење
hlat	изборниквантификатор
hkam	Šta
hwat	питањереч
htap	копула
hpat	лице
nyan	Muški
hkas	mogao
tcan	други
hnuc	број
twit	самопоузданквантификатор
hsak	времеконтекст
htuk	временскислучај
htun	само
htum	бодрећирасположење
hyip	ретроспективанаспект
hlit	волитиверасположење
pcic	морати
tyut	два
hsat	видети
hkut	знати
hcic	доле
hcap	после
hpam	први
hlac	отуђивпоседовање
hkap	никад
hnic	неотуђивпоседовање
tyat	стар
tcit	саветодавнирасположење
tcin	дан
hlam	доћи
hwak	самогласник
hkin	ићи
lwak	перлативеслучај
hpip	прогресиванаспект
lyan	дугачак
hsac	рећи
kyan	kako
htas	опет
hsic	овде
hcik	мислити
hcak	исподконтекст
hfan	našao
hsun	рука
hyac	такође
nwan	млади
tyit	против
tlan	бог
twak	делативеслучај
hmin	ništa
hyas	једном
hlap	семелфацтивеаспект
kcac	лево
hyic	тестера
hcas	кућа
hwac	свет
tyin	три
hnun	neo
hcuk	фокус
pyan	ljubav
hsis	увек
hyam	ноћ
hyap	краљ
hkic	између
hmas	ум
cyit	срце
pluc	пауцалброј
kyik	јер
ksak	узрочнислучај
tcun	Готово
hnim	име
tsan	правиименица
klac	земља
hpun	питао
cyat	видљивдоказни
pcac	боље
hmac	тренутак
hnas	немогу
hwic	вода
twim	десидеративерасположење
kwan	светло
tlat	реч
tyan	врата
hsas	јутро
syat	svedok
twik	терминативеслучај
hpit	бео
pcan	новац
hyis	слаб
mwan	смрт
hfam	образац
nwik	инессивеслучај
kcat	заједно
tsac	често
pyat	пријатељ
psan	пола
hpim	императиврасположење
hyuc	круг
hfat	послао
hcis	жена
kcan	веровати
hsik	јавни
htus	државаконтекст
hpas	син
clat	деца
tyak	тако
cwan	nadatise
syin	драг
hkuc	висок
tyac	читати
syit	град
