hnit	infinitive
hnak	kasusnominative
hkak	kasusakusatip
htak	kasustopik
hpap	bapa
hmam	mom
hyat	parental
hcan	Halo
hwik	kasusvocative
hsuc	ninimoyang
htat	Embah
hcac	lapar
hnik	kasusgenitive
hcit	kecapsipat
hwan	jeung
hman	abdi
hnan	anjeun
hwam	urang
htit	eta
htac	kasustujuan
htik	kasusdatip
hyit	moodrealis
htim	mooddeontic
hcut	moodkondisional
hsit	moodepistemic
hyak	kasusinstrumental
htan	konteksinterior
hpan	konteksjalma
htin	klausabebas
hyan	klausagumantung
hfap	aspékperfective
hkat	baheulatense
hnin	maskulingender
hmak	kasuscomitative
hnat	hadirtense
hpak	kasusbenefactive
swik	kasusessive
htut	quantifiernegatory
hsan	kontekspermukaan
hpin	kasusadpositional
hwin	kasuslokasi
hkan	konteksruang
hnac	kasusjalan
hyut	moodinterogatif
hnam	jeungatawa
hkit	ekslusifatawa
hsuk	kasussumber
hpik	kasusablative
hcat	nupangdeukeutna
hmat	demonstrative
hkuk	klausabuntut
hlan	tapi
hsut	sadaya
hyin	quantifieruniversal
hcin	feminingender
hpac	jumlahjamak
hyik	hiji
htic	maranéhanana
hkik	saha
tcat	hareuptense
hsin	kontekssosial
hkac	iraha
hmip	aspékimperfective
klan	Tuh
hlak	kasuselative
hlik	kasusillative
htam	mooddiréktif
hlat	quantifierelective
hkam	naon
hwat	kecapPatarosan
htap	copula
hpat	jelema
nyan	lalaki
hkas	bisa
tcan	nulain
hnuc	jumlah
twit	quantifiertegas
hsak	kontekswaktu
htuk	kasustemporal
htun	ngan
htum	moodhortative
hyip	aspékretrospective
hlit	moodvolitive
pcic	kudu
tyut	dua
hsat	tempo
hkut	nyaho
hcic	turun
hcap	saatos
hpam	kahiji
hlac	nilikalienable
hkap	teukungsi
hnic	nilikinalienable
tyat	kolot
tcit	mooddeliberative
tcin	poe
hlam	datang
hwak	pokal
hkin	indit
lwak	kasusperlative
hpip	aspékkutang
lyan	lila
hsac	ngomong
kyan	Kumaha
htas	deui
hsic	Ieuh
hcik	mikir
hcak	dinakonteks
hfan	kapanggih
hsun	panangan
hyac	oge
nwan	ngora
tyit	ngalawan
tlan	Allah
twak	kasusdelative
hmin	euweuh
hyas	sakali
hlap	aspéksemelfactive
kcac	kenca
hyic	ragaji
hcas	imah
hwac	dunya
tyin	tilu
hnun	neo
hcuk	fokus
pyan	bogoh
hsis	salawasna
hyam	wengi
hyap	raja
hkic	antawis
hmas	pikiran
cyit	jajantung
pluc	jumlahpaucal
kyik	margi
ksak	kasuskausal
tcun	Puguh
hnim	nami
tsan	nominaditangtoskeun
klac	nagara
hpun	ditanya
cyat	evidentialkatempo
pcac	leuwihalus
hmac	waktu
hnas	teubisa
hwic	cai
twim	mooddesiderative
kwan	cahaya
tlat	kecap
tyan	panto
hsas	isuk
syat	tepi
twik	kasusterminative
hpit	bodas
pcan	duit
hyis	malarat
mwan	tilardunya
hfam	wujud
nwik	kasusinessive
kcat	bareng
tsac	remen
pyat	babaturan
psan	satengah
hpim	moodimperatif
hyuc	buleud
hfat	dikirim
hcis	pamajikan
kcan	percaya
hsik	masarakat
htus	konteksstate
hpas	putera
clat	barudak
tyak	sahingga
cwan	harepan
syin	dear
hkuc	luhur
tyac	maca
syit	kota
hlic	enggeus
hfit	evidentialfactive
tcac	mojang
hcun	ngadangu
ksan	sahenteuna
hyaf	meureun
kyat	lerespisan
tcic	awak
hwit	kasumpingan
cwat	hawa
hfaf	hukum
hput	Tulung
lyat	aksara
ksas	opat
hpic	moodoptative
hfuk	seuneu
hcam	jam
twat	perang
kyak	sababaraha
tlit	kadua
pcin	tinggaleun
hmut	leungit
clan	rebu
hfac	kulawarga
twan	jiwa
hwas	tatanya
syan	kaleresan
htis	pembuatan
tsat	poténsialmood
lwik	kasusallative
nyin	anthropicgender
hfak	lima
tcak	subjékanusaruakamajuan
htuc	subjékbeda
hnap	jawaban
hmit	sagara
hcuc	sieun
pcat	ngarti
syas	watesan
hcaf	cangcaya
twut	mooddubitative
hkis	hideung
tlak	ngabawa
hyus	geulis
nyit	dipilihan
