ni	infinitive
na	kasusnominative
ka	kasusakusatip
ta	kasustopik
ca	Halo
wu	kasusvocative
kcah	lapar
ti	kasusgenitive
ci	kecapsipat
wa	jeung
mi	abdi
sa	anjeun
nyah	urang
ya	eta
ma	kasustujuan
yi	kasusdatip
li	moodrealis
tu	mooddeontic
cu	moodkondisional
si	moodepistemic
yu	kasusinstrumental
nu	konteksinterior
pa	konteksjalma
tyah	klausabebas
la	klausagumantung
fa	aspékperfective
ki	baheulatense
ne	maskulingender
mwah	kasuscomitative
ra	hadirtense
pwah	kasusbenefactive
swih	kasusessive
no	quantifiernegatory
pi	kontekspermukaan
da	kasusadpositional
te	kasuslokasi
to	konteksruang
ga	kasusjalan
ri	moodinterogatif
ba	jeungatawa
ku	ekslusifatawa
so	kasussumber
pwih	kasusablative
ksah	nupangdeukeutna
tsah	demonstrative
ko	klausabuntut
pyah	tapi
wi	quantifieruniversal
ji	feminingender
pu	jumlahjamak
bi	hareuptense
co	kontekssosial
me	aspékimperfective
klah	Tuh
twah	kasuselative
twih	kasusillative
di	mooddiréktif
tlah	quantifierelective
kyah	naon
tcah	kecapPatarosan
ja	copula
cyah	jelema
clah	nulain
do	jumlah
tlih	quantifiertegas
se	kontekswaktu
myah	kasustemporal
tyuh	ngan
tcih	moodhortative
tyih	aspékretrospective
lo	moodvolitive
cwah	saatos
nlah	nilikalienable
nlih	nilikinalienable
cyih	mooddeliberative
lwah	kasusperlative
pfih	aspékkutang
tsih	Ieuh
ce	dinakonteks
pcah	oge
lwih	kasusdelative
swah	aspéksemelfactive
nyih	neo
fu	fokus
plah	bogoh
po	jumlahpaucal
kyih	margi
ksih	kasuskausal
gi	nami
tfah	nominaditangtoskeun
crih	evidentialkatempo
kceh	leuwihalus
dwih	mooddesiderative
wo	kecap
srah	tepi
tweh	kasusterminative
nwih	kasusinessive
pcih	moodimperatif
crah	percaya
ro	konteksstate
cwih	harepan
kwih	evidentialfactive
fi	kasumpingan
psih	moodoptative
tseh	poténsialmood
lweh	kasusallative
nrih	anthropicgender
tceh	subjékanusaruakamajuan
re	subjékbeda
croh	sieun
mrah	ngarti
cyuh	cangcaya
twuh	mooddubitative
myih	geulis
lyih	bunga
flah	counterfactualkondisional
we	kasusvialis
clih	tiis
pyih	katentreman
su	kajabi
kwah	kahayang
le	panjang
bo	probability
mlah	kasulitan
syah	imut
slih	sare
zi	dikutip
twoh	kasusquotative
mo	jalmainklusif
kcih	Punten
rwih	moodprecative
mrih	registersopan
rwah	calonaspék
cyeh	kaajaiban
go	aspékgnomic
tsoh	rasaajen
za	aspékinchoative
jwih	moodjussive
mwih	moodpermisif
sloh	sukses
prih	pribados
de	kasusdistributive
tcoh	nyeri
ryah	seuri
mlih	wijaksana
ye	kamajuanpossessive
ke	moodcommissive
creh	euweuhhartina
mweh	aspékcompletive
nrah	haneut
nroh	ambek-ambekan
bwah	spite
trah	kareueus
mroh	moril
slah	kasehatan
syih	sosial
pe	aspékcessative
krih	hayangweruh
tfih	intensifier
fe	tungtungna
prah	kumisan
trih	evidential
nwah	kasusevidential
srih	nelangsa
zo	zoicgender
nweh	moodeventive
cwoh	kajadiansaruakamajuan
plih	kasusmultiplicative
dwah	dipikahoyong
kcoh	cape
drah	wareg
lu	moodspekulatif
frih	registerdalit
frah	tatu
mruh	jelemanuboloho
djih	resep
krah	ngahaturnuhun
cruh	rasaisin
fyah	frasekamajuan
ryih	undefined
kruh	pait
tyeh	naskah
kreh	jahat
tleh	hesternaltense
kfah	pangorbanan
dyih	mikangewa
cloh	genderrasional
nloh	ngaraosan
psah	putusharepan
sleh	vegetalgender
nruh	murni
drih	rasareueus
sroh	hampura
brih	dasar
kluh	kabingungan
bwih	moodbenedictive
klih	kaliru
grih	goblog
nyeh	kasusprakarsa
nleh	sederhana
dlih	imperatifnyangsang
proh	dilaporkeunevidential
mloh	Melancholy
du	tunggal
jrih	kasabaran
freh	referential
kloh	sorangan
kroh	jampe
tcuh	sumangetpisan
kcuh	moodinduktif
xa	kontekswacana
nreh	marudah
pseh	aspék
ge	agen
mu	moodadmonitive
byah	ambisi
pcoh	rame
treh	evidentiallangsung
yo	moodhariwang
cwuh	reuwas
tloh	anyarkaliwattense
dlah	artikeldefinite
cluh	awon
myuh	ocon
dyah	distaldemonstrative
rwuh	timburu
troh	moodimprecative
dzih	indifference
swuh	moodassumptive
bzah	jest
gwih	nyaéta
dloh	hodiernaltense
dweh	aspékdelimitative
kweh	jalmaekslusif
truh	suhu
