ni	infinitiv
na	nominativfall
ka	ackusativfall
ta	ämnefall
ca	Hallå
wu	vokativfall
kcah	hungrig
ti	genitiv-fall
ci	adjektiv
wa	och
mi	mig
sa	dig
nyah	oss
ya	Det
ma	destinationfall
yi	dativfall
li	Realishumör
tu	deontichumör
cu	villkorlighumör
si	epistemiskhumör
yu	instrumentalfall
nu	interiörsammanhang
pa	personsammanhang
tyah	huvudsats
la	beroendeklausul
fa	perfektivaspekt
ki	dåtidspänd
ne	maskulinkön
mwah	comitativefall
ra	presenteraspänd
pwah	benefactivefall
swih	essivefall
no	Negatorykvantifierare
pi	ytasammanhang
da	adpositionalfall
te	platsfall
to	utrymmesammanhang
ga	sättfall
ri	frågandehumör
ba	ocheller
ku	exeller-eller
so	källafall
pwih	ablativfall
ksah	anslutning
tsah	demonstrativ
ko	klausul-tail
pyah	men
wi	universellkvantifierare
ji	femininkön
pu	flertalantal
bi	framtidaspänd
co	socialsammanhang
me	imperfectiveaspekt
klah	det
twah	relativfall
twih	SLUT-fall
di	direktivhumör
tlah	valfrikvantifierare
kyah	vad
tcah	frågaord
ja	copula
cyah	person
clah	andra
do	antal
tlih	bestämdkvantifierare
se	tidsammanhang
myah	timligfall
tyuh	endast
tcih	MANANDEhumör
tyih	retrospektivaspekt
lo	volitivehumör
cwah	efter
nlah	oförytterligbesittning
nlih	omistligbesittning
cyih	deliberativhumör
lwah	perlativefall
pfih	progressivaspekt
tsih	här
ce	undersammanhang
pcah	också
lwih	delativefall
swah	semelfactiveaspekt
nyih	neo
fu	fokus
plah	kärlek
po	paucalantal
kyih	därföratt
ksih	orsaksfall
gi	namn
tfah	rättsubstantiv
crih	synligbevis
kceh	bättre
dwih	desiderativehumör
wo	ord
srah	framtills
tweh	terminativefall
nwih	inessivefall
pcih	nödvändigthumör
crah	tro
ro	angesammanhang
cwih	hoppas
kwih	factivebevis
fi	kommatillbaka
psih	OPTATIVhumör
tseh	potentialhumör
lweh	allativefall
nrih	antropiskakön
tceh	sammaämnemarkör
re	olikämne
croh	rädsla
mrah	förstå
cyuh	tvivel
twuh	tvivelaktighumör
myih	vacker
lyih	intressera
flah	kontravillkorlig
we	Vialisfall
clih	kall
pyih	fred
su	bortsettfrån
kwah	önskan
le	längd
bo	sannolikhet
mlah	problem
syah	leende
slih	sova
zi	citerade
twoh	quotativefall
mo	inclusiveperson
kcih	snälladu
rwih	BEDJANDEhumör
mrih	artigregistrera
rwah	blivandeaspekt
cyeh	undra
go	gnomicaspekt
tsoh	respektera
za	inchoativeaspekt
jwih	jussivehumör
mwih	toleranthumör
sloh	framgång
prih	privat
de	distributivfall
tcoh	smärta
ryah	skratta
mlih	klok
ye	possessivmarkör
ke	commissivehumör
creh	fåfäng
mweh	completiveaspekt
nrah	värma
nroh	ilska
bwah	trots
trah	stolthet
mroh	moralisk
slah	hälsa
syih	social
pe	upphörandeaspekt
krih	nyfiken
tfih	intensifierings
fe	slutligen
prah	åtsidan
trih	bevis
nwah	bevisfall
srih	ledsen
zo	Zoickön
nweh	eventivehumör
cwoh	sammahändelsemarkör
plih	multiplikativfall
dwah	önskad
kcoh	trött
drah	nöjd
lu	spekulativhumör
frih	bekantregistrera
frah	sårad
mruh	lura
djih	sympati
krah	tacka
cruh	skam
fyah	frasmarkör
ryih	förutbestämda
kruh	bitter
tyeh	text
kreh	grym
tleh	hesternalspänd
kfah	offra
dyih	hat
cloh	rationellkön
nloh	njutav
psah	förtvivlan
sleh	vegetalkön
nruh	oskyldig
drih	beundran
sroh	förlåta
brih	bas
kluh	förvirring
bwih	välsignelsehumör
klih	skyldig
grih	okunnig
nyeh	initiativfall
nleh	ödmjuk
dlih	försenadnödvändigt
proh	rapporteradbevis
mloh	melankoli
du	singularis
jrih	tålamod
freh	referential
kloh	ensam
kroh	charm
tcuh	entusiasm
kcuh	induktivhumör
xa	samtalasammanhang
nreh	nervös
pseh	aspekt
ge	ombud
mu	förmaninghumör
byah	ambition
pcoh	fulltmedfolk
treh	direktbevis
yo	orolighumör
cwuh	chock
tloh	nyligendåtidspänd
dlah	bestämdartikel
cluh	ful
myuh	humör
dyah	distalademonstrativ
rwuh	svartsjuk
troh	FÖRBANNANDEhumör
dzih	likgiltighet
swuh	assumptivehumör
