hnit	infinitiv
hnak	nominativfall
hkak	ackusativfall
htak	ämnefall
hpap	pappa
hmam	mamma
hyat	föräldra
hcan	Hallå
hwik	vokativfall
hsuc	förfader
htat	farförälder
hcac	hungrig
hnik	genitiv-fall
hcit	adjektiv
hwan	och
hman	mig
hnan	dig
hwam	oss
htit	Det
htac	destinationfall
htik	dativfall
hyit	Realishumör
htim	deontichumör
hcut	villkorlighumör
hsit	epistemiskhumör
hyak	instrumentalfall
htan	interiörsammanhang
hpan	personsammanhang
htin	huvudsats
hyan	beroendeklausul
hfap	perfektivaspekt
hkat	dåtidspänd
hnin	maskulinkön
hmak	comitativefall
hnat	presenteraspänd
hpak	benefactivefall
swik	essivefall
htut	Negatorykvantifierare
hsan	ytasammanhang
hpin	adpositionalfall
hwin	platsfall
hkan	utrymmesammanhang
hnac	sättfall
hyut	frågandehumör
hnam	ocheller
hkit	exeller-eller
hsuk	källafall
hpik	ablativfall
hcat	anslutning
hmat	demonstrativ
hkuk	klausul-tail
hlan	men
hsut	alla
hyin	universellkvantifierare
hcin	femininkön
hpac	flertalantal
hyik	en
htic	deras
hkik	som
tcat	framtidaspänd
hsin	socialsammanhang
hkac	när
hmip	imperfectiveaspekt
klan	det
hlak	relativfall
hlik	SLUT-fall
htam	direktivhumör
hlat	valfrikvantifierare
hkam	vad
hwat	frågaord
htap	copula
hpat	person
nyan	manlig
hkas	kunde
tcan	andra
hnuc	antal
twit	bestämdkvantifierare
hsak	tidsammanhang
htuk	timligfall
htun	endast
htum	MANANDEhumör
hyip	retrospektivaspekt
hlit	volitivehumör
pcic	måste
tyut	två
hsat	se
hkut	kännatill
hcic	ner
hcap	efter
hpam	först
hlac	oförytterligbesittning
hkap	aldrig
hnic	omistligbesittning
tyat	gammal
tcit	deliberativhumör
tcin	dag
hlam	komma
hwak	vokal
hkin	gå
lwak	perlativefall
hpip	progressivaspekt
lyan	lång
hsac	säga
kyan	hur
htas	igen
hsic	här
hcik	tror
hcak	undersammanhang
hfan	hittades
hsun	hand
hyac	också
nwan	ung
tyit	mot
tlan	gud
twak	delativefall
hmin	ingenting
hyas	engång
hlap	semelfactiveaspekt
kcac	vänster
hyic	ficksynpå
hcas	hus
hwac	värld
tyin	tre
hnun	neo
hcuk	fokus
pyan	kärlek
