hnit	nauni
hnak	nominativekesi
hkak	accusativekesi
htak	madakesi
hpap	baba
hmam	mama
hyat	wazazi
hcan	hodi
hwik	vocativekesi
hsuc	babu
htat	grandparent
hcac	njaa
hnik	genitivekesi
hcit	kivumishi
hwan	na
hman	mimi
hnan	wewe
hwam	sisi
htit	ni
htac	marudiokesi
htik	dativekesi
hyit	realismood
htim	deonticmood
hcut	mashartimood
hsit	epistemicmood
hyak	instrumentalkesi
htan	mamboyandanimazingira
hpan	mtumazingira
htin	kifunguhuru
hyan	tegemezikifungu
hfap	perfectivekipengele
hkat	sikuzanyumauliopo
hnin	masculinejinsia
hmak	comitativekesi
hnat	sasauliopo
hpak	benefactivekesi
swik	essivekesi
htut	negatorywatakwimu
hsan	usomazingira
hpin	adpositionalkesi
hwin	eneokesi
hkan	nafasimazingira
hnac	njiakesi
hyut	interrogativemood
hnam	naau
hkit	kipekee-au
hsuk	chanzokesi
hpik	ablativekesi
hcat	ukaribu
hmat	demonstrative
hkuk	kifungumkia
hlan	lakini
hsut	zote
hyin	wotewatakwimu
hcin	kikejinsia
hpac	wingiidadi
hyik	moja
htic	yao
hkik	ambao
tcat	baadayeuliopo
hsin	kijamiimazingira
hkac	lini
hmip	imperfectivekipengele
klan	kuna
hlak	jamaakesi
hlik	illativekesi
htam	agizomood
hlat	electivewatakwimu
hkam	nini
hwat	swalineno
htap	copula
hpat	mtu
nyan	kiume
hkas	naweza
tcan	wengine
hnuc	idadi
twit	assertivewatakwimu
hsak	wakatimazingira
htuk	mudakesi
htun	tu
htum	hortativemood
hyip	retrospectivekipengele
hlit	volitivemood
pcic	lazima
tyut	mbili
hsat	ona
hkut	kujua
hcic	chini
hcap	baadaya
hpam	kwanza
hlac	alienablemilki
hkap	kamwe
hnic	inalienablemilki
tyat	umriwa
tcit	taamalimood
tcin	siku
hlam	kuja
hwak	vowel
hkin	kwenda
lwak	perlativekesi
hpip	maendeleokipengele
lyan	mudamrefu
hsac	kusema
kyan	jinsi
htas	tena
hsic	hapa
hcik	kufikiri
hcak	chiniyamazingira
hfan	kupatikana
hsun	mkono
hyac	pia
nwan	vijana
tyit	dhidiya
tlan	mungu
twak	delativekesi
hmin	kitu
