ni	nauni
na	nominativekesi
ka	accusativekesi
ta	madakesi
ca	hodi
wu	vocativekesi
kcah	njaa
ti	genitivekesi
ci	kivumishi
wa	na
mi	mimi
sa	wewe
nyah	sisi
ya	ni
ma	marudiokesi
yi	dativekesi
li	realismood
tu	deonticmood
cu	mashartimood
si	epistemicmood
yu	instrumentalkesi
nu	mamboyandanimazingira
pa	mtumazingira
tyah	kifunguhuru
la	tegemezikifungu
fa	perfectivekipengele
ki	sikuzanyumauliopo
ne	masculinejinsia
mwah	comitativekesi
ra	sasauliopo
pwah	benefactivekesi
swih	essivekesi
no	negatorywatakwimu
pi	usomazingira
da	adpositionalkesi
te	eneokesi
to	nafasimazingira
ga	njiakesi
ri	interrogativemood
ba	naau
ku	kipekee-au
so	chanzokesi
pwih	ablativekesi
ksah	ukaribu
tsah	demonstrative
ko	kifungumkia
pyah	lakini
wi	wotewatakwimu
ji	kikejinsia
pu	wingiidadi
bi	baadayeuliopo
co	kijamiimazingira
me	imperfectivekipengele
klah	kuna
twah	jamaakesi
twih	illativekesi
di	agizomood
tlah	electivewatakwimu
kyah	nini
tcah	swalineno
ja	copula
cyah	mtu
clah	wengine
do	idadi
tlih	assertivewatakwimu
se	wakatimazingira
myah	mudakesi
tyuh	tu
tcih	hortativemood
tyih	retrospectivekipengele
lo	volitivemood
cwah	baadaya
nlah	alienablemilki
nlih	inalienablemilki
cyih	taamalimood
lwah	perlativekesi
pfih	maendeleokipengele
tsih	hapa
ce	chiniyamazingira
pcah	pia
lwih	delativekesi
swah	semelfactivekipengele
nyih	mamboleo
fu	lengo
plah	upendo
po	paucalidadi
kyih	kwasababu
ksih	causalkesi
gi	jina
tfah	sahihinoun
crih	inayoonekanaevidential
kceh	bora
dwih	desiderativemood
wo	neno
srah	mpaka
tweh	terminativekesi
nwih	inessivekesi
pcih	muhimumood
crah	kuamini
ro	halimazingira
cwih	matumaini
kwih	factiveevidential
fi	kurudi
psih	optativemood
tseh	uwezomood
lweh	allativekesi
nrih	anthropicjinsia
tceh	sawasomomarker
re	tofautisomo
croh	hofu
mrah	kuelewa
cyuh	shaka
twuh	dubitativemood
myih	nzuri
lyih	maslahi
flah	counterfactualmasharti
we	vialiskesi
clih	baridi
pyih	amani
su	isipokuwa
kwah	hamu
le	urefu
bo	uwezekano
mlah	shida
syah	tabasamu
slih	usingizi
zi	alinukuliwa
twoh	quotativekesi
mo	umojamtu
kcih	tafadhali
rwih	precativemood
mrih	politekusajili
rwah	wanaotazamiwakipengele
cyeh	ajabu
go	gnomickipengele
tsoh	heshima
za	inchoativekipengele
jwih	jussivemood
mwih	permissivemood
sloh	mafanikio
prih	binafsi
de	distributivekesi
tcoh	maumivu
ryah	kicheko
mlih	busara
ye	kutochukuamarker
ke	commissivemood
creh	bure
mweh	completivekipengele
nrah	joto
nroh	hasira
bwah	licha
trah	kiburi
mroh	maadili
slah	afya
syih	kijamii
pe	kukomakipengele
krih	curious
tfih	intensifier
fe	hatimaye
prah	kando
trih	evidential
nwah	evidentialkesi
srih	kusikitisha
zo	Zoicjinsia
nweh	eventivemood
cwoh	sawatukiomarker
plih	multiplicativekesi
dwah	taka
kcoh	uchovu
drah	kuridhika
lu	mapemamnomood
frih	ukookusajili
frah	waliojeruhiwa
mruh	kumdanganya
djih	huruma
krah	kuwashukuru
cruh	aibu
fyah	manenomarker
ryih	limeagizwakimbele
kruh	uchungu
tyeh	Nakala
kreh	kikatili
tleh	hesternaluliopo
kfah	sadaka
dyih	chuki
cloh	mantikijinsia
nloh	kufurahia
psah	kukatatamaa
sleh	vegetaljinsia
nruh	wasionahatia
drih	Pongezi
sroh	msamaha
brih	msingi
kluh	mkanganyiko
bwih	barakamood
klih	hatia
grih	wajinga
nyeh	mpangokesi
nleh	wanyenyekevu
dlih	kuchelewamuhimu
proh	taarifaevidential
mloh	melancholy
du	umoja
jrih	uvumilivu
freh	rejea
kloh	upweke
kroh	charm
tcuh	shauku
kcuh	kufatamood
xa	mjadalamazingira
nreh	neva
pseh	kipengele
ge	wakala
mu	mawaidhamood
byah	tamaa
pcoh	msongamano
treh	mojakwamojaevidential
yo	apprehensivemood
cwuh	mshtuko
tloh	hivikaribunisikuzanyumauliopo
dlah	uhakikamakala
cluh	ugly
myuh	ucheshi
dyah	distaldemonstrative
rwuh	wivu
troh	imprecatorymood
dzih	kutojali
swuh	assumptivemood
bzah	mzaha
gwih	yaani
dloh	hodiernaluliopo
dweh	delimitativekipengele
kweh	kipekeemtu
truh	joto
tfeh	telickipengele
lyeh	atelickipengele
ru	kikwazomood
kfih	kitoto
cyoh	tuhuma
nluh	uaminifu
cweh	mtego
nwoh	animated
sruh	thrill
ksoh	ngono
lyah	wavivu
mreh	momentanekipengele
pceh	kujutia
bjih	zamanimarehemu
pcuh	kutokuwanauhakika
xi	habitualkipengele
blih	imepakana
tsuh	yasiyonamaana
fwih	Mkuu
grah	kujipendekeza
brah	holela
cleh	wema
sreh	rasmikusajili
pfah	manufaa
droh	auditoryevidential
flih	inferentialevidential
sweh	sublativekesi
ksuh	declarativemood
pleh	upendeleo
psoh	hauonekani
be	matusi
mwoh	reverie
kleh	unyonge
glah	uchoyo
kseh	usawawakijinsiamood
zrah	kutoridhika
dyoh	idiophone
syoh	kunyenyekewa
gwah	kupindukiakesi
zlih	irrealismood
zrih	shyness
byih	kukabiliananahali
ryeh	pronounmarker
fwah	frugal
bjah	ecstatic
kxah	equanimity
gvih	pegativekesi
pxih	uthibitisho
xrah	expiring
tfoh	Tangu
kxih	toba
ryoh	prosecutivekesi
qyah	preoccupation
r6	Mmoja
txah	kijijinisikuzanyumauliopo
xrih	kihistoriauliopo
dxah	mbiliidadi
syuh	super
vweh	overworked
n6	hisiaevidentialmood
bweh	obsession
xlih	hilarious
txih	kichomi
sluh	binafsiameridhika
txoh	mwendouphill
xe	retrospective
pxah	kumnasa
vwah	mwendokuteremka
xyih	wasomi
fleh	Inflected
psuh	superessivekesi
syeh	satyr
qi	elekezi
xruh	cower
zwah	wow
tr6h	mwendoupriver
qwah	unambitious
xlah	dunianikote
tyoh	intransitive
tluh	anticlimax
qa	sasaumuhimumarker
kxoh	mbwauchovu
rwoh	makutano
ve	vector
kyoh	kilo
swoh	utaratibuwakudumu
pxeh	partitivekesi
txeh	augmentative
dxih	predicative
pxoh	prolativekesi
pfoh	promaneno
