hnit	తుమర్థం
hnak	విభక్తికేసు
hkak	నిందారోపణకేసు
htak	విషయంకేసు
hpap	తండ్రి
hmam	అమ్మ
hyat	తల్లిదండ్రుల
hcan	హలో
hwik	సంభోదనావిభక్తికేసు
hsuc	పూర్విక
htat	తాత
hcac	ఆకలితో
hnik	షష్ఠీకేసు
hcit	విశేషణంగా
hwan	మరియు
hman	నాకు
hnan	మీరు
hwam	మాకు
htit	ఇది
htac	గమ్యంకేసు
htik	చతుర్ధీవిభక్తికేసు
hyit	నిజమైనమూడ్
htim	deonticమూడ్
hcut	నియతమూడ్
hsit	జ్ఞానాన్వేషణలక్షణమూడ్
hyak	వాయిద్యకేసు
htan	అంతర్గతసందర్భం
hpan	వ్యక్తిసందర్భం
htin	స్వతంత్రనిబంధన
hyan	ఆధారపడినిబంధన
hfap	సంపూర్ణకారక
hkat	గతకాలం
hnin	పురుషలింగ
hmak	comitativeకేసు
hnat	ప్రస్తుతంకాలం
hpak	benefactiveకేసు
swik	essiveకేసు
htut	negatoryగణనకర్త
hsan	ఉపరితలసందర్భం
hpin	adpositionalకేసు
hwin	నగరకేసు
hkan	స్థలంసందర్భం
hnac	మార్గంకేసు
hyut	interrogativeమూడ్
hnam	మరియులేదా
hkit	ప్రత్యేకలేదా
hsuk	మూలంకేసు
hpik	పంచమీకేసు
hcat	సామీప్యత
hmat	తావు
hkuk	నిబంధనతోక
hlan	కానీ
hsut	అన్ని
hyin	సార్వత్రికగణనకర్త
hcin	స్త్రీలింగ
hpac	బహువచనంసంఖ్య
hyik	ఒకటి
htic	వారి
hkik	ఎవరు
tcat	భవిష్యత్తుకాలం
hsin	సామాజికసందర్భం
hkac	ఎప్పుడు
hmip	అసంపూర్ణకారక
klan	అక్కడ
hlak	సంబంధితకేసు
hlik	చట్టవ్యతిరేకమైనకేసు
htam	నిర్దేశకంమూడ్
hlat	ఎన్నికగణనకర్త
hkam	ఏమి
hwat	ప్రశ్నపదం
htap	కలుపుసన్నటిఅవయవకణజాలము
hpat	వ్యక్తి
nyan	పురుషుడు
hkas	చేయగలిగి
tcan	ఇతర
hnuc	సంఖ్య
twit	దృఢమైనగణనకర్త
hsak	సమయంసందర్భం
htuk	తత్కాలకేసు
htun	మాత్రమే
htum	hortativeమూడ్
hyip	పునరావృత్తకారక
hlit	volitiveమూడ్
pcic	తప్పక
tyut	ఇద్దరు
hsat	చూడండి
hkut	తెలుసు
hcic	డౌన్
hcap	తరువాత
hpam	ప్రధమ
hlac	పరసతమయ్యేస్వాధీనం
hkap	ఎప్పుడూ
hnic	శాశ్వతస్వాధీనం
tyat	పాత
tcit	డెలిబరేట్మూడ్
tcin	రోజు
hlam	వచ్చి
hwak	అచ్చు
hkin	వెళ్ళండి
lwak	perlativeకేసు
hpip	ప్రగతిశీలకారక
lyan	కాలం
hsac	చెప్పటానికి
kyan	ఎలా
htas	మళ్ళీ
hsic	ఇక్కడ
hcik	అనుకుంటున్నాను
hcak	కిందసందర్భం
hfan	కనుగొన్నారు
hsun	చేతి
hyac	కూడా
nwan	యువ
tyit	వ్యతిరేకంగా
tlan	దేవుడు
twak	delativeకేసు
hmin	ఏమీ
hyas	ఒకసారి
hlap	semelfactiveకారక
kcac	వదిలి
hyic	చూసాను
hcas	హౌస్
hwac	ప్రపంచ
tyin	మూడు
hnun	నయా
hcuk	దృష్టి
pyan	ప్రేమ
hsis	ఎల్లప్పుడూ
hyam	రాత్రి
hyap	రాజు
hkic	మధ్య
hmas	మనసు
cyit	గుండె
pluc	paucalసంఖ్య
kyik	ఎందుకంటే
ksak	కారణకేసు
tcun	పూర్తి
hnim	పేరు
tsan	సరైననామవాచకం
klac	దేశంలో
hpun	కోరారు
cyat	కనిపించేప్రామాణిక
pcac	మంచి
hmac	క్షణం
hnas	కాదు
hwic	నీటి
twim	desiderativeమూడ్
kwan	కాంతి
tlat	పదం
tyan	తలుపు
hsas	ఉదయం
syat	వరకు
twik	పురియగునట్టికేసు
hpit	తెలుపు
pcan	డబ్బు
hyis	పేద
mwan	మరణం
hfam	రూపం
nwik	inessiveకేసు
kcat	కలిసి
tsac	తరచూ
pyat	స్నేహితుడు
psan	సగం
hpim	అత్యవసరంమూడ్
hyuc	రౌండ్
hfat	పంపిన
hcis	భార్యను
kcan	నమ్మకం
hsik	ప్రజా
htus	రాష్ట్రసందర్భం
hpas	కుమారుడు
clat	పిల్లలు
tyak	అందువలన
cwan	ఆశిస్తున్నాము
syin	ప్రియమైన
hkuc	అధిక
tyac	చదవండి
syit	నగరంలో
hlic	ఇప్పటికే
hfit	factiveప్రామాణిక
tcac	అమ్మాయి
hcun	విను
ksan	కనీసం
hyaf	బహుశా
kyat	నిజానికి
tcic	శరీర
hwit	తిరిగి
cwat	ఎయిర్
hfaf	చట్టం
hput	సహాయం
lyat	లేఖ
ksas	నాలుగు
hpic	ఆశీరార్థకమైనమూడ్
hfuk	అగ్ని
hcam	గంట
twat	యుద్ధం
kyak	అనేక
tlit	రెండవ
pcin	వెనుక
hmut	కోల్పోయిన
clan	వెయ్యి
hfac	కుటుంబం
twan	ఆత్మ
hwas	ప్రశ్న
syan	సత్యం
htis	మేకింగ్
tsat	సంభావ్యమూడ్
lwik	allativeకేసు
nyin	సంబంధలింగ
hfak	ఐదు
tcak	అదేవిషయంమార్కర్
htuc	వివిధవిషయం
hnap	సమాధానం
hmit	సముద్ర
hcuc	భయం
pcat	అర్థం
syas	నిబంధనలు
hcaf	సందేహం
twut	dubitativeమూడ్
hkis	బ్లాక్
tlak	తీసుకుని
hyus	అందమైన
nyit	విధమైన
htip	పది
ksis	కథ
hpuk	పుస్తకం
hlin	ఎలక్ట్రానిక్
hkun	ఖాతా
lyas	వడ్డీ
lyit	వ్రాయడానికి
pwat	మంచం
hnis	వయస్సు
hnut	ప్రతికూలించునియత
slas	కళా
hwis	vialisకేసు
pyak	సోదరుడు
lyin	లైన్
tyas	పట్టిక
hyun	నదీ
kyac	కంటి
tfan	అకస్మాత్తుగా
kcin	లోతైన
hmuc	ప్రయోజనం
cyac	రక్త
hmap	పెరిగింది
tlin	చల్లని
hyif	ఎదురు
tyam	ఆలస్యం
hnaf	అనుకుందాం
hkip	దాదాపు
myan	గని
tsin	జ్ఞానం
hkup	కాపీని
hsam	భర్త
hlis	ఆరు
cwit	జీవించిఉన్న
cyan	శాంతి
myat	గుర్తు
tyic	సహజ
hfut	వస్తాయి
swas	సేవ
hsap	మినహా
pcit	కాపీరైట్
hyim	సైన్యాన్ని
kyas	గుర్రం
plic	భవిష్యత్తు
pcak	పశ్చిమ
hpis	చెల్లించాల్సి
hyuk	ఎరుపు
hwun	బంగారం
twin	కోరిక
plan	ప్లే
hpus	ఆఫీసు
syun	ప్రభుత్వం
kyic	చర్చి
htaf	బలం
hlun	పొడవు
kyin	కంపెనీ
kyis	కాగితం
mlan	సంభావ్యత
hcim	ముఖ్యంగా
cyas	భరించలేదని
twac	కిటికీ
nyat	అందం
hcus	తరువాతి
