hnit	รูปกริยาในภาษาอังกฤษ
hnak	ประธานของประโยคกรณี
hkak	กรรมการกกรณี
htak	หัวข้อกรณี
hpap	พ่อ
hmam	แม่
hyat	ผู้ปกครอง
hcan	สวัสดี
hwik	การกที่เป็นนามเรียกขานกรณี
hsuc	บรรพบุรุษ
htat	ปู่ย่าตายาย
hcac	หิว
hnik	สัมพันธการกกรณี
hcit	คำคุณศัพท์
hwan	และ
hman	ผม
hnan	คุณ
hwam	พวกเรา
htit	มัน
htac	ปลายทางกรณี
htik	สัมปทานการกกรณี
hyit	REALISอารมณ์
htim	deonticอารมณ์
hcut	เงื่อนไขอารมณ์
hsit	epistemicอารมณ์
hyak	เป็นเครื่องมือกรณี
htan	ภายในบริบท
hpan	คนบริบท
htin	ข้อที่เป็นอิสระ
hyan	ขึ้นอยู่กับประโยค
hfap	เพอร์เฟแง่มุม
hkat	อดีตเครียด
hnin	เพศชายเพศ
hmak	comitativeกรณี
hnat	นำเสนอเครียด
hpak	benefactiveกรณี
swik	essiveกรณี
htut	negatoryปริมาณ
hsan	พื้นผิวบริบท
hpin	adpositionalกรณี
hwin	ที่ตั้งกรณี
hkan	ช่องว่างบริบท
hnac	ทางกรณี
hyut	ปุจฉาอารมณ์
hnam	และหรือ
hkit	แต่เพียงผู้เดียวหรือ
hsuk	แหล่งกรณี
hpik	ระเหยกรณี
hcat	ความใกล้ชิด
hmat	เป็นการสาธิต
hkuk	ข้อหาง
hlan	แต่
hsut	ทั้งหมด
hyin	สากลปริมาณ
hcin	ของผู้หญิงเพศ
hpac	พหูพจน์จำนวน
hyik	หนึ่ง
htic	ของพวกเขา
hkik	ใคร
tcat	อนาคตเครียด
hsin	สังคมบริบท
hkac	เมื่อ
hmip	imperfectiveแง่มุม
klan	ที่นั่น
hlak	ญาติกรณี
hlik	เกี่ยวกับการสรุปกรณี
htam	คำสั่งอารมณ์
hlat	วิชาเลือกปริมาณ
hkam	อะไร
hwat	คำถามคำ
htap	เชื่อม
hpat	คน
nyan	ชาย
hkas	ได้
tcan	อื่นๆ
hnuc	จำนวน
twit	แน่วแน่ปริมาณ
hsak	เวลาบริบท
htuk	ชั่วขณะกรณี
htun	เท่านั้น
htum	เกี่ยวกับการหมุนนำอารมณ์
hyip	มีผลย้อนหลังแง่มุม
hlit	volitiveอารมณ์
pcic	ต้อง
tyut	สอง
hsat	ดู
hkut	ทราบ
hcic	ลง
hcap	หลังจาก
hpam	เป็นครั้งแรก
hlac	โอนกันได้สมบัติ
hkap	ไม่เคย
hnic	เอาไปไม่ได้สมบัติ
tyat	เก่า
tcit	อภิปรายอารมณ์
tcin	วัน
hlam	มา
hwak	สระ
hkin	ไป
lwak	perlativeกรณี
hpip	ความก้าวหน้าแง่มุม
lyan	ยาว
hsac	พูด
kyan	อย่างไร
htas	อีกครั้ง
hsic	ที่นี่
hcik	คิด
hcak	ภายใต้บริบท
hfan	พบ
hsun	มือ
hyac	นอกจากนี้ยังมี
nwan	หนุ่มสาว
tyit	ต่อต้าน
tlan	พระเจ้า
twak	delativeกรณี
hmin	ไม่มีอะไร
hyas	ครั้งหนึ่ง
hlap	semelfactiveแง่มุม
kcac	ซ้าย
hyic	เลื่อย
hcas	บ้าน
hwac	โลก
tyin	สาม
hnun	นีโอ
hcuk	โฟกัส
pyan	ความรัก
hsis	เสมอ
hyam	กลางคืน
hyap	กษัตริย์
hkic	ระหว่าง
hmas	ใจ
cyit	หัวใจ
pluc	paucalจำนวน
kyik	เพราะ
ksak	เกี่ยวกับสาเหตุกรณี
tcun	เสร็จแล้ว
hnim	ชื่อ
tsan	เหมาะสมคำนาม
klac	ประเทศ
hpun	ถาม
cyat	มองเห็นได้ซึ่งเป็นพยานหลักฐาน
pcac	ดีกว่า
hmac	ขณะ
hnas	ไม่ได้
hwic	น้ำ
twim	desiderativeอารมณ์
kwan	เบา
tlat	คำ
tyan	ประตู
hsas	ตอนเช้า
syat	จนกระทั่ง
twik	terminativeกรณี
hpit	ขาว
pcan	เงิน
hyis	น่าสงสาร
mwan	ความตาย
hfam	รูปแบบ
nwik	inessiveกรณี
kcat	ด้วยกัน
tsac	บ่อยครั้ง
pyat	เพื่อน
psan	ครึ่ง
hpim	ความจำเป็นอารมณ์
hyuc	รอบ
hfat	ส่ง
hcis	ภรรยา
kcan	เชื่อ
hsik	สาธารณะ
htus	สถานะบริบท
hpas	บุตรชาย
clat	เด็กๆ
tyak	ดังนั้น
cwan	หวัง
syin	ที่รัก
hkuc	สูง
tyac	อ่าน
syit	เมือง
hlic	แล้ว
hfit	factiveซึ่งเป็นพยานหลักฐาน
tcac	สาว
hcun	ได้ยิน
ksan	น้อยที่สุด
hyaf	บางที
kyat	จริง
tcic	ตัว
hwit	กลับ
cwat	อากาศ
hfaf	กฎหมาย
hput	ช่วยด้วย
lyat	จดหมาย
ksas	สี่
hpic	รูปประโยคประสงค์อารมณ์
hfuk	ไฟ
hcam	ชั่วโมง
twat	สงคราม
kyak	หลาย
tlit	ที่สอง
pcin	หลัง
hmut	สูญหาย
clan	พัน
hfac	ครอบครัว
twan	จิตวิญญาณ
hwas	คำถาม
syan	ความจริง
htis	การทำ
tsat	ที่อาจเกิดขึ้นอารมณ์
lwik	allativeกรณี
nyin	มานุษยวิทยาเพศ
hfak	ห้า
tcak	เหมือนกันเรื่องเครื่องหมาย
htuc	ต่างเรื่อง
hnap	ตอบ
hmit	ทะเล
hcuc	กลัว
pcat	เข้าใจ
syas	ข้อตกลงและเงื่อนไข
hcaf	สงสัย
twut	dubitativeอารมณ์
hkis	สีดำ
tlak	นำมาซึ่ง
hyus	สวย
nyit	ประเภท
htip	สิบ
ksis	เรื่องราว
hpuk	book
hlin	อิเล็กทรอนิกส์
hkun	บัญชี
lyas	ดอกเบี้ย
lyit	เขียน
pwat	เตียง
hnis	อายุ
hnut	counterfactualเงื่อนไข
slas	ศิลปะ
hwis	VIALISกรณี
pyak	พี่ชาย
lyin	สาย
tyas	ตาราง
hyun	แม่น้ำ
kyac	ตา
tfan	ทันใดนั้น
kcin	ลึก
hmuc	วัตถุประสงค์
cyac	เลือด
hmap	ดอกกุหลาบ
tlin	หนาว
hyif	ข้างหน้า
tyam	ปลาย
hnaf	สมมติ
hkip	เกือบ
myan	เหมือง
tsin	ความรู้
hkup	สำเนา
hsam	สามี
hlis	หก
cwit	การดำรงชีวิต
cyan	ความสงบสุข
myat	จำ
tyic	โดยธรรมชาติ
hfut	ตก
swas	บริการ
hsap	ยกเว้น
pcit	ลิขสิทธิ์
hyim	กองทัพบก
kyas	ม้า
plic	อนาคต
pcak	ไปทางทิศตะวันตก
hpis	จ่ายเงิน
hyuk	สีแดง
hwun	ทอง
twin	ปรารถนา
plan	เล่น
hpus	สำนักงาน
syun	รัฐบาล
kyic	โบสถ์
htaf	ความแข็งแรง
hlun	ความยาว
kyin	บริษัท
kyis	กระดาษ
mlan	ความน่าจะเป็น
hcim	โดยเฉพาะอย่างยิ่ง
cyas	หมี
twac	หน้าต่าง
nyat	ความงาม
hcus	ระยะหลัง
htup	หน้าที่
htif	ระยะทาง
pyas	เท้า
hlas	ป่า
ksin	สีเขียว
hmaf	ปัญหา
myac	ยิ้ม
hsim	การนอนหลับ
kyit	ที่ยกมา
kwik	quotativeกรณี
fwan	การเยี่ยมชม
slan	ปฏิบัติตาม
psit	การแสดงตน
hmic	หวาน
hmuf	ปาก
hfin	รวย
tcam	ศัตรู
psuk	แตก
kcap	เรือ
pwan	รวมทั้งคน
hfic	มีอิทธิพล
tcuc	ปรากฏ
hkim	ลับ
pyin	กรุณา
