ni	รูปกริยาในภาษาอังกฤษ
na	ประธานของประโยคกรณี
ka	กรรมการกกรณี
ta	หัวข้อกรณี
ca	สวัสดี
wu	การกที่เป็นนามเรียกขานกรณี
kcah	หิว
ti	สัมพันธการกกรณี
ci	คำคุณศัพท์
wa	และ
mi	ผม
sa	คุณ
nyah	พวกเรา
ya	มัน
ma	ปลายทางกรณี
yi	สัมปทานการกกรณี
li	REALISอารมณ์
tu	deonticอารมณ์
cu	เงื่อนไขอารมณ์
si	epistemicอารมณ์
yu	เป็นเครื่องมือกรณี
nu	ภายในบริบท
pa	คนบริบท
tyah	ข้อที่เป็นอิสระ
la	ขึ้นอยู่กับประโยค
fa	เพอร์เฟแง่มุม
ki	อดีตเครียด
ne	เพศชายเพศ
mwah	comitativeกรณี
ra	นำเสนอเครียด
pwah	benefactiveกรณี
swih	essiveกรณี
no	negatoryปริมาณ
pi	พื้นผิวบริบท
da	adpositionalกรณี
te	ที่ตั้งกรณี
to	ช่องว่างบริบท
ga	ทางกรณี
ri	ปุจฉาอารมณ์
ba	และหรือ
ku	แต่เพียงผู้เดียวหรือ
so	แหล่งกรณี
pwih	ระเหยกรณี
ksah	ความใกล้ชิด
tsah	เป็นการสาธิต
ko	ข้อหาง
pyah	แต่
wi	สากลปริมาณ
ji	ของผู้หญิงเพศ
pu	พหูพจน์จำนวน
bi	อนาคตเครียด
co	สังคมบริบท
me	imperfectiveแง่มุม
klah	ที่นั่น
twah	ญาติกรณี
twih	เกี่ยวกับการสรุปกรณี
di	คำสั่งอารมณ์
tlah	วิชาเลือกปริมาณ
kyah	อะไร
tcah	คำถามคำ
ja	เชื่อม
cyah	คน
clah	อื่นๆ
do	จำนวน
tlih	แน่วแน่ปริมาณ
se	เวลาบริบท
myah	ชั่วขณะกรณี
tyuh	เท่านั้น
tcih	เกี่ยวกับการหมุนนำอารมณ์
tyih	มีผลย้อนหลังแง่มุม
lo	volitiveอารมณ์
cwah	หลังจาก
nlah	โอนกันได้สมบัติ
nlih	เอาไปไม่ได้สมบัติ
cyih	อภิปรายอารมณ์
lwah	perlativeกรณี
pfih	ความก้าวหน้าแง่มุม
tsih	ที่นี่
ce	ภายใต้บริบท
pcah	นอกจากนี้ยังมี
lwih	delativeกรณี
swah	semelfactiveแง่มุม
nyih	นีโอ
fu	โฟกัส
plah	ความรัก
po	paucalจำนวน
kyih	เพราะ
ksih	เกี่ยวกับสาเหตุกรณี
gi	ชื่อ
tfah	เหมาะสมคำนาม
crih	มองเห็นได้ซึ่งเป็นพยานหลักฐาน
kceh	ดีกว่า
dwih	desiderativeอารมณ์
wo	คำ
srah	จนกระทั่ง
tweh	terminativeกรณี
nwih	inessiveกรณี
pcih	ความจำเป็นอารมณ์
crah	เชื่อ
ro	สถานะบริบท
cwih	หวัง
kwih	factiveซึ่งเป็นพยานหลักฐาน
fi	กลับ
psih	รูปประโยคประสงค์อารมณ์
tseh	ที่อาจเกิดขึ้นอารมณ์
lweh	allativeกรณี
nrih	มานุษยวิทยาเพศ
tceh	เหมือนกันเรื่องเครื่องหมาย
re	ต่างเรื่อง
croh	กลัว
mrah	เข้าใจ
cyuh	สงสัย
twuh	dubitativeอารมณ์
myih	สวย
lyih	ดอกเบี้ย
flah	counterfactualเงื่อนไข
we	VIALISกรณี
clih	หนาว
pyih	ความสงบสุข
su	ยกเว้น
kwah	ปรารถนา
le	ความยาว
bo	ความน่าจะเป็น
mlah	ปัญหา
syah	ยิ้ม
slih	การนอนหลับ
zi	ที่ยกมา
twoh	quotativeกรณี
mo	รวมทั้งคน
kcih	กรุณา
rwih	precativeอารมณ์
mrih	สุภาพการลงทะเบียน
rwah	ที่คาดหวังแง่มุม
cyeh	น่าแปลกใจ
go	gnomicแง่มุม
tsoh	เคารพ
za	inchoativeแง่มุม
jwih	jussiveอารมณ์
mwih	อนุญาตอารมณ์
sloh	ความสำเร็จ
prih	ส่วนตัว
de	เกี่ยวกับการจำหน่ายกรณี
tcoh	ความเจ็บปวด
ryah	หัวเราะ
mlih	ฉลาด
ye	อยู่ในความครอบครองเครื่องหมาย
ke	commissiveอารมณ์
creh	ไร้สาระ
mweh	completiveแง่มุม
nrah	อบอุ่น
nroh	ความโกรธ
bwah	ทั้งๆ
trah	ภูมิใจ
mroh	ศีลธรรม
slah	สุขภาพ
syih	สังคม
pe	การเลิกแง่มุม
krih	อยากรู้อยากเห็น
tfih	ยาล้างกระจกเพื่อให้หนาขึ้น
fe	ในที่สุด
prah	กัน
trih	ซึ่งเป็นพยานหลักฐาน
nwah	ซึ่งเป็นพยานหลักฐานกรณี
srih	ที่น่าเศร้า
zo	Zoicเพศ
nweh	Eventiveอารมณ์
cwoh	เหมือนกันเหตุการณ์เครื่องหมาย
plih	คูณกรณี
dwah	ต้องการ
kcoh	เหนื่อย
drah	พึงพอใจ
lu	เกี่ยวกับการพิจารณาอารมณ์
frih	คุ้นเคยการลงทะเบียน
frah	คนบาดเจ็บ
mruh	คนโง่
djih	ความเห็นอกเห็นใจ
krah	ขอบคุณ
cruh	ความอัปยศ
fyah	วลีเครื่องหมาย
ryih	ดลบันดาล
kruh	ขม
tyeh	ข้อความ
kreh	โหดร้าย
tleh	hesternalเครียด
kfah	เสียสละ
dyih	เกลียด
cloh	มีเหตุผลเพศ
nloh	เพลิดเพลิน
psah	สิ้นหวัง
sleh	พืชเพศ
nruh	ผู้บริสุทธิ์
drih	สิ่งที่น่าชมเชย
sroh	ให้อภัย
brih	ฐาน
kluh	ความสับสน
bwih	พรอารมณ์
klih	รู้สึกผิด
grih	ไม่รู้
nyeh	ความคิดริเริ่มกรณี
nleh	อ่อนน้อมถ่อมตน
dlih	ล่าช้าความจำเป็น
proh	รายงานซึ่งเป็นพยานหลักฐาน
mloh	ความเศร้าโศก
du	เอกพจน์
jrih	ความอดทน
freh	อ้างอิง
kloh	เหงา
kroh	เสน่ห์
tcuh	ความกระตือรือร้น
kcuh	นำเข้ามาอารมณ์
xa	สนทนาบริบท
nreh	หงุดหงิด
pseh	แง่มุม
ge	ตัวแทน
mu	การตักเตือนอารมณ์
byah	ความทะเยอทะยาน
pcoh	แออัด
treh	โดยตรงซึ่งเป็นพยานหลักฐาน
yo	เกรงกลัวอารมณ์
cwuh	ช็อก
tloh	เมื่อเร็วๆนี้อดีตเครียด
dlah	ชัดเจนบทความ
cluh	น่าเกลียด
myuh	อารมณ์ขัน
dyah	ปลายเป็นการสาธิต
rwuh	อิจฉา
troh	imprecatoryอารมณ์
dzih	ความไม่แยแส
swuh	assumptiveอารมณ์
bzah	ล้อเล่น
gwih	คือ
dloh	hodiernalเครียด
dweh	delimitativeแง่มุม
kweh	พิเศษคน
truh	อุณหภูมิ
tfeh	telicแง่มุม
lyeh	atelicแง่มุม
ru	ซึ่งห้ามปรามอารมณ์
kfih	หน่อมแน้ม
cyoh	พิรุธ
nluh	ความจงรักภักดี
cweh	กับดัก
nwoh	กระปรี้กระเปร่า
sruh	หวาม
ksoh	ทางเพศ
lyah	สันหลังยาว
mreh	momentaneแง่มุม
pceh	เสียใจ
bjih	อดีตตาย
pcuh	ความไม่แน่นอน
xi	เป็นนิสัยแง่มุม
blih	ล้อมรอบ
tsuh	จิ๊บจ๊อย
fwih	คู่บารมี
grah	ที่ประจบ
brah	โดยพลการ
cleh	มีเมตตา
sreh	เป็นทางการการลงทะเบียน
pfah	เป็นประโยชน์
droh	ห้องประชุมซึ่งเป็นพยานหลักฐาน
flih	อนุมานซึ่งเป็นพยานหลักฐาน
sweh	Sublativeกรณี
ksuh	ที่เปิดเผยอารมณ์
pleh	ได้รับการยกเว้น
psoh	อยู่ยงคงกระพัน
be	วาจา
mwoh	ภวังค์
kleh	ความทุเรศ
glah	โลภ
kseh	ซึ่งยืนยันอารมณ์
zrah	ความไม่พอใจ
dyoh	idiophone
syoh	กลัว
gwah	มากเกินไปกรณี
zlih	irrealisอารมณ์
zrih	ความประหม่า
byih	การปรับตัว
ryeh	สรรพนามเครื่องหมาย
fwah	ประหยัด
bjah	ซึ่งปีติยินดี
kxah	ความใจเย็น
gvih	pegativeกรณี
pxih	การปลดปล่อย
xrah	หมดอายุ
tfoh	ตั้งแต่บัดนี้เป็นต้นไป
kxih	ความโศกเศร้า
ryoh	prosecutiveกรณี
qyah	การทำให้เป็นกังวล
r6	คำกริยา
txah	รีโมทอดีตเครียด
xrih	ประวัติศาสตร์เครียด
dxah	คู่จำนวน
syuh	ซุปเปอร์
vweh	ทำงานหนักเกินไป
n6	ประสาทสัมผัสซึ่งเป็นพยานหลักฐานอารมณ์
bweh	ความคิดครอบงำ
xlih	เฮฮา
txih	ความเจ็บใจ
sluh	ความพึงพอใจในตัวเอง
txoh	การเคลื่อนไหวขึ้นเนิน
xe	มีผลย้อนหลัง
pxah	ดักจับ
vwah	การเคลื่อนไหวตกต่ำ
xyih	ผู้ลากมากดี
fleh	ที่ทำให้โค้ง
psuh	superessiveกรณี
syeh	เทพารักษ์
qi	เกี่ยวกับสกรรมกริยา
xruh	ยืนก้มตัวด้วยความอ่อนน้อมหรือกลัว
zwah	ว้าว
tr6h	การเคลื่อนไหวต้นน้ำ
qwah	มักน้อย
xlah	ทั่วโลก
tyoh	อกรรมกริยา
tluh	อาการเสื่อม
qa	ปัจจุบันความสัมพันธ์กันเครื่องหมาย
kxoh	สุนัขเหนื่อย
rwoh	ลำดับ
ve	เวกเตอร์
kyoh	กิโล
swoh	ลำดับ
pxeh	ซึ่งแบ่งแยกกรณี
txeh	ซึ่งเพิ่มขึ้น
dxih	ที่ใช้เป็นส่วนของกริยา
pxoh	prolativeกรณี
pfoh	มือโปรวลี
blah	หมดอาลัยตายอยาก
fyih	ไม่เป็นมนุษย์
xo	นักแสดงชายบทบาท
pc6h	การทดลองจำนวน
greh	ส่วนกลางกรณี
groh	เป้าหมายไก
dxoh	กลางเสียงพูด
rweh	เอียงกรณี
xwah	ผู้ป่วยกรณี
xu	hodiernalก่อน
xroh	สวมใส่ออก
ks6h	เป็นเหตุแห่ง
vi	ค่าไบนารี
dleh	เป็นกิริยาช่วยกรณี
gjeh	ถ้าที่อื่น
xreh	เพื่อนร่วมงาน
lwoh	เกี่ยวกับตำแหน่งกรณี
ml6h	multalจำนวน
gjih	กาแล็กซีเพศ
qlah	ดาวเพศ
bvih	abessiveกรณี
dvah	adessiveกรณี
je	agentiveกรณี
t6	ตัวแทนไก
kxeh	ไปยังกรณี
gxih	ร่วมกันเพศ
tc6h	การอ้างอิงฟอร์ม
ts6h	ทรานส์ตัวเลข
ryuh	โดยตรงวัตถุ
