ni	impinitibo
na	palagyokaso
ka	akusatibokaso
ta	paksakaso
ca	Kamusta
wu	vocativekaso
kcah	gutom
ti	dyenitibokaso
ci	pang-uri
wa	at
mi	ako
sa	ikaw
nyah	atin
ya	ito
ma	destinasyonkaso
yi	datibokaso
li	REALiSkalooban
tu	deontickalooban
cu	kondisyonalkalooban
si	epistemickalooban
yu	nakatulongkaso
nu	panloobkonteksto
pa	taokonteksto
tyah	sugnay
la	umaasasugnay
fa	nakakaganapanyo
ki	nakalipaspanahunan
ne	panlalakikasarian
mwah	comitativekaso
ra	kasalukuyanpanahunan
pwah	benefactivekaso
swih	essivekaso
no	patanggiquantifier
pi	ibabawkonteksto
da	adpositionalkaso
te	lugarkaso
to	spacekonteksto
ga	paraankaso
ri	patanongkalooban
ba	ato
ku	eksklusiboo
so	pinagmulankaso
pwih	ablatibokaso
ksah	kalapitan
tsah	panuro
ko	sugnaybuntot
pyah	pero
wi	pandaigdigquantifier
ji	pambabaekasarian
pu	maramihanbilang
bi	hinaharappanahunan
co	sosyalkonteksto
me	imperpektoanyo
klah	doon
twah	kamag-anakkaso
twih	ipinapahiwatiganghinuhakaso
di	direktibakalooban
tlah	elektiboquantifier
kyah	Ano
tcah	tanongsalita
ja	kopula
cyah	tao
clah	iba
do	bilang
tlih	mapamilitquantifier
se	oraskonteksto
myah	lumilipaskaso
tyuh	lamang
tcih	hortatibokalooban
tyih	nagdaananyo
lo	volitivekalooban
cwah	pagkatapos
nlah	isinasalinsaibangpangalanpag-aari
nlih	hindimaikakaitpag-aari
cyih	pampakikipanayamkalooban
lwah	perlativekaso
pfih	progresiboanyo
tsih	dito
ce	sailalimkonteksto
pcah	din
lwih	delativekaso
swah	semelfactiveanyo
nyih	neo
fu	pokus
plah	pag-ibig
po	paucalbilang
kyih	dahilsa
ksih	pananahilankaso
gi	pangalan
tfah	angkoppangngalan
crih	nakikitanagpapatibay
kceh	masmabuti
dwih	desiderativekalooban
wo	salita
srah	hanggang
tweh	terminativekaso
nwih	inessivekaso
pcih	hindimaiwasankalooban
crah	maniwala
ro	estadokonteksto
cwih	pag-asa
kwih	factivenagpapatibay
fi	pagbabalik
psih	optatibokalooban
tseh	potensyalkalooban
lweh	allativekaso
nrih	anthropickasarian
tceh	parehopaksapananda
re	ibapaksa
croh	takot
mrah	maintindihan
cyuh	duda
twuh	dubitativekalooban
myih	maganda
lyih	interes
flah	counterfactualkondisyonal
we	vialiskaso
clih	malamig
pyih	kapayapaan
su	maliban
kwah	pagnanais
le	haba
bo	bagaynamaaaringmangyari
mlah	gulo
syah	ngiti
slih	pagtulog
zi	naka-quote
twoh	quotativekaso
mo	napapabilangtao
kcih	pakiusap
rwih	precativekalooban
mrih	magalangmagparehistro
rwah	inaasahananyo
cyeh	magtaka
go	maladuwendeanyo
tsoh	respeto
za	unaanyo
jwih	JUSSIVEkalooban
mwih	mapagpahintulotkalooban
sloh	tagumpay
prih	pribado
de	nagbabaha-bahagikaso
tcoh	sakit
ryah	tumawa
mlih	matalino
ye	mapang-angkinpananda
ke	commissivekalooban
creh	walangkabuluhan
mweh	nakatataposanyo
nrah	mainit-init
nroh	galit
bwah	kulob
trah	pagmamataas
mroh	moral
slah	kalusugan
syih	sosyal
pe	pagtigilanyo
krih	mausisa
tfih	intensifier
fe	sawakas
prah	saisangtabi
trih	nagpapatibay
nwah	nagpapatibaykaso
srih	malungkot
zo	zoickasarian
nweh	eventivekalooban
cwoh	parehopangyayaripananda
plih	multiplicativekaso
dwah	ninanais
kcoh	pagod
drah	nasisiyahan
lu	mapag-isipkalooban
frih	kilalamagparehistro
frah	nasugatan
mruh	lokohin
djih	simpatya
krah	pasalamatan
cruh	kahihiyan
fyah	pariralapananda
ryih	preordained
kruh	mapait
tyeh	teksto
kreh	malupit
tleh	hesternalpanahunan
kfah	pagpapakasakit
dyih	mapoot
cloh	maytalinokasarian
nloh	masiyahan
psah	desperasyon
sleh	paranggulaykasarian
nruh	inosente
drih	paghanga
sroh	patawad
brih	base
kluh	pagkalito
bwih	basbaskalooban
klih	maykasalanan
grih	Ignorante
nyeh	pagkukusakaso
nleh	mapagpakumbaba
dlih	antalahindimaiwasan
proh	iniulatnagpapatibay
mloh	mapanglaw
du	isahan
jrih	pagtitiis
freh	referential
kloh	malungkot
kroh	alindog
tcuh	sigasig
kcuh	pasaklawkalooban
xa	diskursokonteksto
nreh	kinakabahan
pseh	anyo
ge	ahente
mu	pagpapaalaalakalooban
byah	ambisyon
pcoh	masikip
treh	tuwirannagpapatibay
yo	maunawainkalooban
cwuh	pagkabigla
tloh	kamakailanlamangnakalipaspanahunan
dlah	tiyakartikulo
cluh	pangit
myuh	katatawanan
dyah	malayosagitnapanuro
rwuh	naninibugho
troh	sumusumpakalooban
dzih	pagwawalang-bahala
swuh	nagpapalagaykalooban
bzah	pagkatuwa
gwih	namely
dloh	hodyernalpanahunan
dweh	delimitativeanyo
kweh	eksklusibotao
truh	temperatura
tfeh	TELICanyo
lyeh	atelicanyo
ru	humahadlangkalooban
kfih	parangbata
cyoh	kahina-hinala
nluh	katapatan
cweh	bitag
nwoh	animated
sruh	kiligin
ksoh	sekswal
lyah	tamad
mreh	momentaneanyo
pceh	regretted
bjih	datipumanaw
pcuh	kawalang-katiyakan
xi	kinagawiananyo
blih	bounded
tsuh	walangkuwenta
fwih	marilag
grah	nakakabigay-puri
brah	nagkataon
cleh	mapagkawanggawa
sreh	pormalmagparehistro
pfah	kapaki-pakinabang
droh	pandinignagpapatibay
flih	inferentialnagpapatibay
sweh	sublativekaso
ksuh	paturolkalooban
pleh	privileged
psoh	walangtalo
be	berbal
mwoh	paggugunamgunam
kleh	pagkaaba
glah	kasakiman
kseh	sang-ayonkalooban
zrah	samangloob
dyoh	idiophone
syoh	hanga
gwah	labiskaso
zlih	irrealiskalooban
zrih	pagkamahiyain
byih	pagbagay
ryeh	panghalippananda
fwah	matipid
bjah	kalugud-lugod
kxah	kahinahunan
gvih	pegativekaso
pxih	pagbibigay-matwid
xrah	Mag-expire
tfoh	simulangayon
kxih	pagsisisi
ryoh	prosecutivekaso
qyah	pagkaabala
r6	pandiwari
txah	malayonakalipaspanahunan
xrih	makasaysayanpanahunan
dxah	dalawahanbilang
syuh	super
vweh	overworked
n6	madalingmakaramdamnagpapatibaykalooban
bweh	kinahuhumalingan
xlih	masayang-maingay
txih	kumirot
sluh	sarilinasiyahan
txoh	galawpataas
xe	nagdaan
pxah	mabitag
vwah	galawpababa
xyih	mgapilingtao
fleh	inflected
psuh	superessivekaso
syeh	buktotnatao
qi	palipat
xruh	magyumukyok
zwah	a
tr6h	galawupriver
qwah	unambitious
