hnit	impinitibo
hnak	palagyokaso
hkak	akusatibokaso
htak	paksakaso
hpap	tatay
hmam	mom
hyat	pangmagulang
hcan	Kamusta
hwik	vocativekaso
hsuc	ninuno
htat	loloolola
hcac	gutom
hnik	dyenitibokaso
hcit	pang-uri
hwan	at
hman	ako
hnan	ikaw
hwam	atin
htit	ito
htac	destinasyonkaso
htik	datibokaso
hyit	REALiSkalooban
htim	deontickalooban
hcut	kondisyonalkalooban
hsit	epistemickalooban
hyak	nakatulongkaso
htan	panloobkonteksto
hpan	taokonteksto
htin	sugnay
hyan	umaasasugnay
hfap	nakakaganapanyo
hkat	nakalipaspanahunan
hnin	panlalakikasarian
hmak	comitativekaso
hnat	kasalukuyanpanahunan
hpak	benefactivekaso
swik	essivekaso
htut	patanggiquantifier
hsan	ibabawkonteksto
hpin	adpositionalkaso
hwin	lugarkaso
hkan	spacekonteksto
hnac	paraankaso
hyut	patanongkalooban
hnam	ato
hkit	eksklusiboo
hsuk	pinagmulankaso
hpik	ablatibokaso
hcat	kalapitan
hmat	panuro
hkuk	sugnaybuntot
hlan	pero
hsut	lahat
hyin	pandaigdigquantifier
hcin	pambabaekasarian
hpac	maramihanbilang
hyik	isa
htic	nila
hkik	sino
tcat	hinaharappanahunan
hsin	sosyalkonteksto
hkac	kailan
hmip	imperpektoanyo
klan	doon
hlak	kamag-anakkaso
hlik	ipinapahiwatiganghinuhakaso
htam	direktibakalooban
hlat	elektiboquantifier
hkam	Ano
hwat	tanongsalita
htap	kopula
hpat	tao
nyan	lalaki
hkas	maaari
tcan	iba
hnuc	bilang
twit	mapamilitquantifier
hsak	oraskonteksto
htuk	lumilipaskaso
htun	lamang
htum	hortatibokalooban
hyip	nagdaananyo
hlit	volitivekalooban
pcic	dapat
tyut	dalawa
hsat	Tingnan
hkut	kilala
hcic	pababa
hcap	pagkatapos
hpam	una
hlac	isinasalinsaibangpangalanpag-aari
hkap	hindikailanman
hnic	hindimaikakaitpag-aari
tyat	luma
tcit	pampakikipanayamkalooban
tcin	araw
hlam	dumating
hwak	patinig
hkin	pumunta
lwak	perlativekaso
hpip	progresiboanyo
