ni	mastar
na	yalındava
ka	ismin-ihalidava
ta	konudava
ca	Merhaba
wu	vokatifdava
kcah	aç
ti	-inhalidava
ci	sıfat
wa	ve
mi	bana
sa	sen
nyah	bize
ya	o
ma	hedefdava
yi	datifdava
li	realisruhhali
tu	dışsalbirruhhali
cu	şartlıruhhali
si	epistemikruhhali
yu	enstrümentaldava
nu	içbağlam
pa	kişibağlam
tyah	bağımsızfıkra
la	bağımlıfıkra
fa	tamamlanmabelirtengörünüş
ki	geçmişgergin
ne	erilcinsiyet
mwah	comitativedava
ra	mevcutgergin
pwah	benefactivedava
swih	essivedava
no	olumsuznicelik
pi	yüzeybağlam
da	adpositionaldava
te	yerdava
to	uzaybağlam
ga	yoldava
ri	soruruhhali
ba	veveya
ku	dışlamalıveya
so	kaynakdava
pwih	ablatifdava
ksah	yakınlık
tsah	inandırıcı
ko	fıkra-tail
pyah	ama
wi	evrenselnicelik
ji	kadınsıcinsiyet
pu	çoğulsayı
bi	gelecekgergin
co	sosyalbağlam
me	bitmemişlikgörünüş
klah	Orada
twah	görecelidava
twih	illativedava
di	direktifruhhali
tlah	seçmelinicelik
kyah	ne
tcah	sorusözcük
ja	bağ
cyah	kişi
clah	diğer
do	numara
tlih	iddialınicelik
se	zamanbağlam
myah	geçicidava
tyuh	sadece
tcih	gayretlendiriciruhhali
tyih	geçmişeyönelikgörünüş
lo	iradeileilgiliruhhali
cwah	sonra
nlah	devredilebilirmülk
nlih	devredilemezmülk
cyih	ihtiyatlıruhhali
lwah	perlativedava
pfih	ilericigörünüş
tsih	İşte
ce	altındabağlam
pcah	ayrıca
lwih	delativedava
swah	semelfactivegörünüş
nyih	neo
fu	odak
plah	aşk
po	paucalsayı
kyih	çünkü
ksih	nedenseldava
gi	isim
tfah	uygunisim
crih	görünürortada
kceh	dahaiyi
dwih	dilekruhhali
wo	kelime
srah	kadar
tweh	terminativedava
nwih	inessivedava
pcih	zorunluruhhali
crah	inanmak
ro	devletbağlam
cwih	umut
kwih	factiveortada
fi	dönüş
psih	dilekkipiruhhali
tseh	potansiyelruhhali
lweh	allativedava
nrih	antropikcinsiyet
tceh	aynıkonuişaretleyici
re	farklıkonu
croh	korku
mrah	iyianlamak
cyuh	şüphe
twuh	kararsızlıkbelirtenruhhali
myih	güzel
lyih	faiz
flah	counterfactualşartlı
we	vialisdava
clih	soğuk
pyih	barış
su	dışında
kwah	arzu
le	uzunluk
bo	olasılık
mlah	sorun
syah	gülümseme
slih	uyku
zi	alıntı
twoh	quotativedava
mo	dahilkişi
kcih	Lütfen
rwih	precativeruhhali
mrih	kibarkayıt
rwah	muhtemelgörünüş
cyeh	şaşkınlık
