hnit	mastar
hnak	yalındava
hkak	ismin-ihalidava
htak	konudava
hpap	baba
hmam	anne
hyat	ebeveyn
hcan	Merhaba
hwik	vokatifdava
hsuc	ata
htat	büyükbabaveyabüyükanne
hcac	aç
hnik	-inhalidava
hcit	sıfat
hwan	ve
hman	bana
hnan	sen
hwam	bize
htit	o
htac	hedefdava
htik	datifdava
hyit	realisruhhali
htim	dışsalbirruhhali
hcut	şartlıruhhali
hsit	epistemikruhhali
hyak	enstrümentaldava
htan	içbağlam
hpan	kişibağlam
htin	bağımsızfıkra
hyan	bağımlıfıkra
hfap	tamamlanmabelirtengörünüş
hkat	geçmişgergin
hnin	erilcinsiyet
hmak	comitativedava
hnat	mevcutgergin
hpak	benefactivedava
swik	essivedava
htut	olumsuznicelik
hsan	yüzeybağlam
hpin	adpositionaldava
hwin	yerdava
hkan	uzaybağlam
hnac	yoldava
hyut	soruruhhali
hnam	veveya
hkit	dışlamalıveya
hsuk	kaynakdava
hpik	ablatifdava
hcat	yakınlık
hmat	inandırıcı
hkuk	fıkra-tail
hlan	ama
hsut	tüm
hyin	evrenselnicelik
hcin	kadınsıcinsiyet
hpac	çoğulsayı
hyik	bir
htic	onların
hkik	kim
tcat	gelecekgergin
hsin	sosyalbağlam
hkac	nezaman
hmip	bitmemişlikgörünüş
klan	Orada
hlak	görecelidava
hlik	illativedava
htam	direktifruhhali
hlat	seçmelinicelik
hkam	ne
hwat	sorusözcük
htap	bağ
hpat	kişi
nyan	erkek
hkas	olabilir
tcan	diğer
hnuc	numara
twit	iddialınicelik
hsak	zamanbağlam
htuk	geçicidava
htun	sadece
htum	gayretlendiriciruhhali
hyip	geçmişeyönelikgörünüş
hlit	iradeileilgiliruhhali
pcic	şart
tyut	iki
hsat	görmek
hkut	bilmek
hcic	aşağı
hcap	sonra
hpam	ilk
hlac	devredilebilirmülk
hkap	asla
hnic	devredilemezmülk
tyat	eski
tcit	ihtiyatlıruhhali
tcin	gün
hlam	hadi
hwak	ünlü
hkin	gitmek
lwak	perlativedava
hpip	ilericigörünüş
lyan	uzun
hsac	söylemek
kyan	Nasıl
htas	tekrar
hsic	İşte
hcik	düşünmek
hcak	altındabağlam
hfan	bulundu
hsun	el
hyac	ayrıca
nwan	genç
tyit	karşı
tlan	Tanrı
twak	delativedava
hmin	hiçbirşey
hyas	birZamanlar
hlap	semelfactivegörünüş
kcac	sol
hyic	testere
hcas	ev
hwac	Dünya
tyin	üç
hnun	neo
hcuk	odak
pyan	aşk
hsis	herzaman
hyam	gece
hyap	kral
