ni	інфінітив
na	називнийвідмінок
ka	Асі
ta	темавипадок
ca	Здравствуйте
wu	вокативвипадок
kcah	голодний
ti	родовийвідмінок
ci	прикметник
wa	і
mi	мені
sa	ви
nyah	нас
ya	це
ma	випадокпризначення
yi	відмінок
li	REALiSнастрій
tu	деонтіческіенастрій
cu	умовнийспосіб
si	епістеміческінастрій
yu	оруднийвідмінок
nu	контекстінтер&#39;єру
pa	контекстлюдина
tyah	незалежнийпункт
la	підряднеречення
fa	досконалийвид
ki	Минулийчас
ne	чоловічийрід
mwah	комітатів
ra	теперішнійчас
pwah	благословляєвипадок
swih	ессів
no	квантіфікаторнегативний
pi	контекстповерхню
da	adpositionalвипадок
te	випадкурозташування
to	контекстпростору
ga	спосібкейс
ri	питальненастрій
ba	ічи
ku	Щовиключаєабо
so	джереловипадок
pwih	аблатів
ksah	близькість
tsah	демонстративний
ko	пунктхвіст
pyah	але
wi	квантор
ji	жіночийрід
pu	множина
bi	майбутнійчас
co	соціальнийконтекст
me	недосконалогоаспект
klah	там
twah	Елат
twih	іллатів
di	директиванастрій
tlah	факультативнийквантіфікатор
kyah	що
tcah	питальнеслово
ja	амбоцептор
cyah	людина
clah	інший
do	номер
tlih	напористоюквантіфікатор
se	контекстчасу
myah	скроневоївипадок
tyuh	тільки
tcih	повчальнийнастрій
tyih	ретроспективнийаспект
lo	вольовихнастрій
cwah	після
nlah	відчужуванимволодіння
nlih	невід&#39;ємнимиволодіння
cyih	дорадчимнастрій
lwah	perlativeвипадок
pfih	прогресивнийаспект
tsih	тут
ce	підконтексті
pcah	також
lwih	delativeвипадок
swah	semelfactiveаспект
nyih	нео
fu	фокус
plah	любов
po	paucalномер
kyih	оскільки
ksih	причиннийвипадок
gi	ім&#39;я
tfah	ім&#39;явласне
crih	видимимдоказательственная
kceh	краще
dwih	дезідератівнийнастрій
wo	слово
srah	до
tweh	terminativeвипадок
nwih	Інеса
pcih	наказовийспосіб
crah	вірити
ro	станконтексту
cwih	надія
kwih	фактітівнийдоказательственная
fi	повернення
psih	оптатив
tseh	потенціалнастрою
lweh	Аллат
nrih	антропнийпідлогу
tceh	тойжесуб&#39;єктмаркер
re	іншатема
croh	страх
mrah	розуміти
cyuh	сумнів
twuh	dubitativeнастрій
myih	гарний
lyih	інтерес
flah	контрфактіческіхумовне
we	випадокVialis
