hnit	інфінітив
hnak	називнийвідмінок
hkak	Асі
htak	темавипадок
hpap	Папа
hmam	мама
hyat	батьківський
hcan	Здравствуйте
hwik	вокативвипадок
hsuc	предок
htat	бабусячидідусь
hcac	голодний
hnik	родовийвідмінок
hcit	прикметник
hwan	і
hman	мені
hnan	ви
hwam	нас
htit	це
htac	випадокпризначення
htik	відмінок
hyit	REALiSнастрій
htim	деонтіческіенастрій
hcut	умовнийспосіб
hsit	епістеміческінастрій
hyak	оруднийвідмінок
htan	контекстінтер&#39;єру
hpan	контекстлюдина
htin	незалежнийпункт
hyan	підряднеречення
hfap	досконалийвид
hkat	Минулийчас
hnin	чоловічийрід
hmak	комітатів
hnat	теперішнійчас
hpak	благословляєвипадок
swik	ессів
htut	квантіфікаторнегативний
hsan	контекстповерхню
hpin	adpositionalвипадок
hwin	випадкурозташування
hkan	контекстпростору
hnac	спосібкейс
hyut	питальненастрій
hnam	ічи
hkit	Щовиключаєабо
hsuk	джереловипадок
hpik	аблатів
hcat	близькість
hmat	демонстративний
hkuk	пунктхвіст
hlan	але
hsut	всі
hyin	квантор
hcin	жіночийрід
hpac	множина
hyik	один
htic	їх
hkik	хто
tcat	майбутнійчас
hsin	соціальнийконтекст
hkac	коли
hmip	недосконалогоаспект
klan	там
hlak	Елат
hlik	іллатів
htam	директиванастрій
hlat	факультативнийквантіфікатор
hkam	що
hwat	питальнеслово
htap	амбоцептор
hpat	людина
nyan	чоловік
hkas	може
tcan	інший
hnuc	номер
twit	напористоюквантіфікатор
hsak	контекстчасу
htuk	скроневоївипадок
htun	тільки
htum	повчальнийнастрій
hyip	ретроспективнийаспект
hlit	вольовихнастрій
pcic	повинен
tyut	два
hsat	побачити
hkut	знати
hcic	вниз
hcap	після
hpam	перший
hlac	відчужуванимволодіння
hkap	ніколи
hnic	невід&#39;ємнимиволодіння
tyat	старий
tcit	дорадчимнастрій
tcin	день
hlam	прийти
hwak	голосний
hkin	йти
lwak	perlativeвипадок
hpip	прогресивнийаспект
lyan	довго
hsac	казати
kyan	як
htas	знову
hsic	тут
hcik	думати
hcak	підконтексті
hfan	знайдений
hsun	рука
hyac	також
nwan	молодий
tyit	проти
tlan	бог
twak	delativeвипадок
hmin	нічого
hyas	одинраз
hlap	semelfactiveаспект
kcac	лівий
hyic	бачив
hcas	будинок
hwac	світ
tyin	три
hnun	нео
hcuk	фокус
pyan	любов
hsis	завжди
hyam	ніч
hyap	король
hkic	між
hmas	розум
cyit	серце
pluc	paucalномер
kyik	оскільки
ksak	причиннийвипадок
tcun	зроблено
hnim	ім&#39;я
tsan	ім&#39;явласне
klac	країна
hpun	запитав
cyat	видимимдоказательственная
pcac	краще
hmac	момент
hnas	неможе
hwic	вода
twim	дезідератівнийнастрій
kwan	світло
tlat	слово
tyan	двері
hsas	ранок
syat	до
twik	terminativeвипадок
hpit	білий
pcan	гроші
hyis	бідних
mwan	смерть
hfam	форма
nwik	Інеса
kcat	разом
tsac	часто
pyat	один
psan	половина
hpim	наказовийспосіб
hyuc	круглий
hfat	надісланий
hcis	дружина
kcan	вірити
hsik	громадськості
htus	станконтексту
hpas	син
clat	діти
tyak	такимчином
cwan	надія
syin	дорогий
hkuc	висока
tyac	зчитування
syit	місто
hlic	вже
hfit	фактітівнийдоказательственная
tcac	дівчина
hcun	заслуховувати
ksan	якмінімум
hyaf	можливо
kyat	дійсно
tcic	тіло
hwit	повернення
cwat	повітря
hfaf	закон
hput	допомога
lyat	лист
ksas	чотири
hpic	оптатив
hfuk	вогонь
hcam	годину
twat	війна
kyak	кілька
tlit	другий
pcin	ззаду
hmut	втрачений
clan	тисяча
hfac	сім&#39;я
twan	душа
hwas	питання
syan	правда
htis	виготовлення
tsat	потенціалнастрою
lwik	Аллат
nyin	антропнийпідлогу
hfak	п&#39;ять
tcak	тойжесуб&#39;єктмаркер
htuc	іншатема
hnap	відповідь
hmit	море
hcuc	страх
pcat	розуміти
syas	терміни
hcaf	сумнів
twut	dubitativeнастрій
hkis	чорний
tlak	приносити
hyus	гарний
nyit	сортувати
htip	десять
ksis	історія
hpuk	книга
hlin	електронний
hkun	рахунок
lyas	інтерес
lyit	запис
pwat	ліжко
hnis	вік
hnut	контрфактіческіхумовне
slas	мистецтво
hwis	випадокVialis
pyak	брат
lyin	лінія
tyas	таблиця
hyun	річка
kyac	очей
tfan	раптом
kcin	глибоко
hmuc	мета
cyac	кров
hmap	троянда
tlin	холодний
hyif	вперед
tyam	пізно
hnaf	припускати
hkip	майже
myan	Шахта
tsin	знання
hkup	копія
hsam	чоловік
hlis	шість
cwit	живої
cyan	мир
myat	запам&#39;ятати
tyic	натуральний
hfut	падіння
swas	обслуговування
hsap	крім
pcit	авторськеправо
hyim	армія
kyas	кінь
plic	майбутнє
pcak	захід
hpis	платити
hyuk	червоний
hwun	золото
twin	бажання
plan	грати
hpus	офіс
syun	уряд
kyic	церква
htaf	сила
hlun	довжина
kyin	компанія
kyis	папір
mlan	ймовірність
hcim	особливо
cyas	нести
twac	вікно
nyat	краса
hcus	останній
htup	обов&#39;язок
htif	відстань
pyas	фут
hlas	дикий
ksin	зелений
hmaf	занепокоєння
myac	посмішка
hsim	сон
kyit	процитував
kwik	квотатіввипадок
fwan	візит
slan	слідувати
psit	наявність
hmic	солодкий
hmuf	рот
hfin	багаті
tcam	ворог
psuk	зламаний
kcap	корабель
pwan	включнолюдина
hfic	вплив
tcuc	з&#39;явитися
hkim	секрет
pyin	будьласка
pwit	прохальнийнастрій
pyit	ввічливірегістр
cwak	зло
myak	марш
tcas	місця
hlaf	залишитися
psat	замість
nlan	синій
psac	неможливо
kcuk	школа
kcit	одружений
kcak	харчування
syis	двадцять
tlac	спокійно
hcip	перспективнийаспект
kwin	дає
tsit	зупинився
pyac	мова
hsus	тиждень
hcup	зал
cyap	здивування
tfin	природжений
fyat	суд
hnip	гномічноїаспект
tsak	повага
tlas	вартість
syuc	дерево
plat	стіна
cyak	небо
twip	начінательнийаспект
mlat	команда
swit	юссів
mwas	місяць
hwaf	досконалий
tyap	досвід
ksac	обставини
syac	свіжий
hnuk	герцог
kwak	покритий
tyuk	схід
pwac	камінь
hkif	благородний
nyac	напрямок
cyis	стілець
tyuc	очікування
tsun	село
tyik	згодні
hnum	перміссів
slak	успіх
tsic	намагаючись
slat	пагорб
hmik	музика
hkus	крик
hsip	сім
hpaf	приватний
nwas	новини
tfac	сцена
fyan	сад
cwas	почати
hfik	дистрибутивнийвипадок
lyac	вчитися
syik	політична
clin	генрі
cyin	брехня
tsas	відливати
cyik	авторитет
tlap	пол
cyam	літо
tcut	релігія
tcap	Втеча
hlut	автор
pyun	коричневий
tcuk	біль
swan	весна
hmun	м&#39;який
kyun	кут
nyak	товарнийзнак
tsis	справедливість
psas	виробляти
cyaf	сміх
hwut	забувати
hyup	Європа
hwap	вісім
psak	проходження
kyap	жахливий
pyic	вимагається
hmim	середа
hsaf	дихання
hmis	мудрий
hsum	присвійниймаркер
ksat	приємний
ksit	могила
tsap	острів
kyam	табір
tcum	чіпати
cyun	стан
psic	берег
tyun	домен
mwit	commissiveнастрій
tlut	ступінь
myit	зима
kfan	поведінку
slac	біг
myin	хвилин
tyip	вести
klas	скло
pfat	дошка
cyic	марнославний
swam	справи
syam	безпечний
tsut	лікар
hlip	закінчуєаспект
kcas	темрява
nyun	теплий
hpuc	напій
tlam	приклад
hfun	гнів
tsik	озлобленість
tsam	безпосередньо
hmup	капелюх
klak	пес
slin	срібний
swac	службовець
kcam	гордість
pyik	поїзд
myut	моральний
syak	входити
swat	меч
kyuk	атака
clac	здоров&#39;я
tyaf	пункт
swic	соціальна
tfit	повернення
hkaf	офіційний
pcas	погляд
nyam	слава
tfat	дванадцять
pcut	зайнято
pwin	вино
mwat	смак
fyac	залізо
syap	поширювати
myap	торгівля
hyum	використання
fwak	суддя
klat	капітан
twap	cessativeаспект
kcic	цікавий
kwic	іноземні
hnif	интенсификатор
myun	важливість
tlic	вкінцікінців
cyuk	шия
syut	свобода
pfan	боку
kyuc	сухий
pcap	всторону
tfak	доказовий
tcik	доказательственнаявипадок
twun	віддалений
tyis	прогрес
nyap	вузький
plit	будівлю
hpif	сторінка
pwic	проведення
syic	сумний
tsip	гріх
syim	хворий
tcis	чесний
pcun	банк
ksap	приймати
lyam	потік
tcaf	ретельно
kwac	вухо
hpup	хліб
kcut	вибирати
nwam	тварина
hsup	скам&#39;янілостіпідлогу
nwit	подієвийнастрій
tcim	такийжемаркерподії
tlik	мультиплікативнийвипадок
kyus	перетинати
hmus	товстий
kfat	сміти
nwat	рости
myic	дощ
hpum	поверхню
swut	святий
clis	липень
mwun	мода
hfas	файл
cwac	плече
kwat	комфорт
nwac	хтось
tcip	бажано
kfac	трава
hmuk	малювати
plin	відкриття
kwun	червень
mlik	риба
klin	капітал
pfut	груди
twam	вимога
fyin	витрата
nlit	ваш
mlin	мільйона
pyut	молитися
hluk	стомлений
ksut	вбити
cyut	тінь
psin	вага
kcis	сірий
pyam	відважний
mwac	задоволений
klam	кажучи
ksam	національний
hfip	слабкий
klik	долина
hkum	спекулятивнінастрої
clas	жовтий
cyuc	тепла
mlac	залишки
syip	врівніймірі
pwak	коробка
tcif	загострений
psip	принцип
ksik	наслідок
tsim	сезон
flan	наука
pcam	мабуть
kcun	розточування
ksuk	дядько
mlit	список
pcik	небезпечно
kwas	серпня
hluc	популярний
klit	невідомий
flak	знайомий
fyit	знайомийрегістр
lwat	читач
plun	ходьба
twas	двічі
pcis	священик
fyas	поранений
nlat	палац
myuk	дурити
pfak	сприяти
tcuf	дев&#39;ять
cwap	співчуття
plac	вибух
pyap	здачі
lyic	заправлений
hcum	шум
lwit	література
tsuk	ранг
hfup	шторм
kcik	кишеню
nwap	Листопад
tyim	Грудень
psaf	відсутність
nlac	населення
kyaf	спасибі
slis	серія
pyaf	птах
mlak	власник
kwut	пальто
hwuc	відносини
pyis	швидко
twuc	дим
nwak	січень
mlic	машина
tlis	зуби
ksun	спалювання
clam	ганьба
klaf	якість
clit	каблучка
fyak	фраза
fyam	фразамаркер
kwap	Майдан
hwip	Неділя
psis	поезія
pwut	зумовлений
kyim	купити
clic	поля
pyip	квітня
kfap	жовтень
psut	об&#39;єкти
kcuc	гіркий
nlap	раб
hsok	вільний
htet	текст
hbat	найгірше
hrit	кредит
hzit	риси
hpet	п&#39;ятнадцять
krac	жорстокий
hduc	пилу
hrik	практичне
hron	колір
hnus	ніс
hric	доброзичливий
srik	поставка
hten	вчора
tlet	hesternalнапруженої
slap	терпітиневдачу
hban	носити
hdat	сліпий
fran	літати
hdan	диявол
htec	поступово
hmon	місія
cran	жертва
hran	совість
hmos	міністр
nrit	енергія
hcet	ненавидіти
hset	центр
hrin	раціональнепідлогу
hcot	насолоджуватися
hrip	короткий
htep	поклоніння
hcif	шкіра
hrat	дах
kran	корона
hkon	замок
tran	відчай
hmif	милі
trin	коло
hgin	в&#39;язниця
hkop	чашка
hcen	член
swin	цивільного
hrac	всюди
hris	виготовленийназамовлення
hbin	становлення
hmot	м&#39;ясо
hdut	молоко
hwen	рослиннапідлогу
nran	рідкісний
hbac	двоюріднийбрат
crut	міст
hsoc	акції
hsom	сіль
nris	невинний
hbit	уникнути
crin	схиляння
rwin	королева
hgut	рахувати
hdas	танець
hnot	готель
hdin	заповнити
hton	укладений
hdak	магазин
hlet	сходи
hson	помилування
hgek	гей
hras	пісок
hsep	Вересень
hbic	розорення
hlen	ліцензія
hcon	досить
hgit	свідок
kfon	кухня
hbak	продавати
tlim	лікування
hsot	швидкість
kyut	комп&#39;ютер
hnen	вічний
htek	бібліотека
hzan	щомістить
hbis	база
hbun	плутанина
kcus	повар
hgat	пустеля
hwus	поцілунок
hbif	лід
hbot	м&#39;яч
hrut	аргумент
hdit	benedictiveнастрій
hdis	винний
hjan	покарання
plis	поліція
hgan	приховувати
hsen	експедиція
nrin	неосвічений
hyen	хмара
frif	лютого
hdik	хвороба
hnek	ініціативавипадок
hbam	тітка
hmen	смиренний
hdip	відстроченеімператив
prat	повідомляєдоказательственная
hdet	опівночі
hjit	палець
hmoc	десь
pran	прес
kcec	регіон
hken	заостаннійчас
hloc	меланхолія
hrak	персонал
htes	вдивлятися
rwan	нагорода
hdon	жертвувати
htot	лоб
hnet	ангел
hdun	однина
croc	помилка
hlon	світанок
hyec	овець
hjin	терпіння
hrec	довідковий
mran	кукурудза
htos	більшість
hcos	заходи
hkoc	іноді
hlif	прибуток
clak	цукор
hjat	людство
tram	рамка
hdic	диск
hkok	самотньо
srat	художник
crak	чарівність
hmet	електроннапошта
hden	рішення
gran	губернатор
crac	філія
hjac	ентузіазм
hdim	індуктивнийнастрій
hcok	квапити
hyet	масло
pwap	труба
trat	друк
tcot	твердаречовина
hdoc	ой
hren	дискурсконтекст
tcon	опівдні
krin	кабіна
plam	сигналтривоги
hnes	нервовий
tcen	спостереження
hsek	аспект
plik	якийможназастосовувати
slik	шовк
hfen	цент
hgen	агент
hnon	союз
crik	ад
tcet	дефектний
mrat	змішаний
hdam	admonitiveнастрій
hgac	честолюбство
htoc	якось
hdac	адвокат
nwin	конституція
srit	інструмент
hret	твердо
nlin	онлайн
hzat	хвиля
klic	коледж
hkek	хвіст
nric	покоління
hgic	переповнений
hgak	кіт
trit	прямийдоказову
tyot	договір
hnok	зміст
crit	занедбаний
slen	одинадцять
srin	інстинкт
hpok	плем&#39;я
hyot	побоюєтьсянастрій
cric	укриття
hruc	грубий
cwin	верховаїзда
hzak	похитнути
dyit	промисловість
hpec	професія
nras	медсестра
hcec	навчання
hbut	взуття
hmec	розпливчастий
twot	діяльність
crat	субота
hkot	ємність
hnec	сонячнесвітло
hwuf	вдова
cren	пролити
nrat	зірка
hget	гість
hbik	благословити
brin	внутрішній
hpot	доступний
trac	опір
prac	виводити
hcoc	порожнистий
hpon	провінція
hwim	цивілізація
dwan	вішати
cwok	шок
hdok	водіння
crun	скарб
hzik	насіння
hrot	Недавнєминулечас
hket	бодрствующий
hcek	меблі
hrop	канат
mrac	пригода
byit	свято
trak	річний
hzin	південний
sric	церемонія
clik	полювання
trap	ліберальний
hrim	християнство
hrus	принцеса
blat	вівтар
cyon	крихітний
hwep	Web
krat	кардинальний
tris	фіолетовий
kcot	збирати
hben	вибори
trik	п&#39;яний
kfit	ліфт
tcec	обмін
nrik	визначенийартикль
grat	імператор
dran	адміністрація
hpen	попередньо
cluk	потворний
nrac	нешкідливий
ryin	навчання
hrun	рулон
nwic	дюймовий
slit	стріляти
gzat	газета
krot	різання
drit	борода
hzis	відривати
hdap	вісімнадцять
sris	історичний
mrut	брутто
nyik	бруду
bran	наречена
drat	залежати
djan	гігант
glat	простота
hpoc	осінь
pras	вуаль
hgot	збір
tret	театр
tras	порівняння
rwit	суперник
hfon	формування
klot	тренер
hmum	юмор
drac	мова
rwas	Роман
tset	помста
hdot	дистальнийдемонстративне
ryut	ревнивий
hwon	запрошення
byat	спалений
flac	спалах
prot	портрет
crek	пропонувати
htok	конфлікт
htop	прокляття
prit	imprecativeнастрій
hces	безпорадний
klup	клуб
hnos	повінь
dwin	байдужість
prin	горизонт
mrit	гаданийнастрій
tcoc	крутий
hcom	гармонія
grit	грім
tlot	дитинство
hgik	коліно
hwes	несвідомий
hzac	взаємне
hsec	програмнезабезпечення
tson	установи
ryit	отримання
dlin	дисципліна
slip	сліп
klon	революція
hfim	фермер
hpom	платформа
cyen	студент
hgec	печера
hroc	традиція
srac	уявити
ryat	трагедія
kcen	незаймана
hbap	прощальний
krik	критика
krap	бавовна
fwat	лікарня
kcet	оренда
hgas	газ
pfin	неминучий
dlit	лист
ryan	переклад
sran	похорон
mrin	борошно
hram	романтичний
dlan	долар
hzas	насміхатися
hsos	шістнадцять
klen	колонія
gyin	крило
hsif	лев
cluc	хитрість
prip	підготовка
hzut	туман
dwat	медицина
krit	читатикоректуру
sras	гніздо
hses	чотирнадцять
brat	заперечення
flat	кислота
hjic	асаме
slic	зброю
hbuc	користувач
tron	помаранчевий
byan	ванна
hrif	примітивний
tlip	встановити
blan	корзина
kris	секретар
hyon	тимчасом
tren	сьогодні
dlat	напруженоїсьогоднішній
hzic	отрута
tfic	гвинтівка
tlen	талант
hlim	клімат
dyat	мате
kcon	одкровення
dlac	мити
krak	визнання
hbas	дурниця
hkec	вугілля
hrek	відновлення
hkos	човник
hwif	віце
tric	тимчасовий
hdep	delimitativeаспект
mwak	паля
ksot	кістка
hnoc	понеділок
nlas	Вівторок
brac	середа
frap	федеральний
pfit	представник
pcoc	полюс
lyen	білизна
swak	раковина
pcen	президент
brit	кривавий
hwec	облога
hwet	шлунок
hlos	вгорупосходах
hbon	різноманітний
pcon	латунь
hsem	зустрічнавищомурівні
lwac	дешево
tsos	конкурс
kwen	ексклюзивнийлюдина
trun	посадка
trut	статуя
hrap	артилерія
hgap	заарештувати
trot	температура
grin	сусідство
hjak	охоплювати
hpek	пакет
hlus	олень
hwos	спальня
tsuc	кущ
pcuc	розряд
cris	спадкоємець
clun	дуб
hpes	неприємний
nlet	неповний
hrom	програма
pyon	піаніно
swet	умовляти
dric	невидимий
tyen	добревідомі
hruk	жорстокість
frat	призначений
hyoc	спокуса
hlep	цілеспрямованийаспект
nrot	міжнародний
nret	люто
hfif	філософ
pfic	уявлення
hmek	чутливий
hfec	добробут
myik	рибалка
truc	вкрасти
tcop	губа
rwic	йтиувідставку
htom	економіка
glan	галерея
pren	паралельно
hlek	atelicаспект
nrak	континент
truk	постукати
hjim	заборонниминастрій
rwat	галстук
hcep	клітина
dyan	яйце
jrat	штучний
nren	натхнення
ksic	криза
tsoc	пошук
lwan	обід
hpos	сосна
hcuf	поштовх
tcus	порушуватисправу
pset	продовжити
hkep	мідь
swis	матрос
prim	імперський
trip	батіг
cras	сорочка
swap	розгортка
syet	ескіз
htof	злодій
clen	канал
kwit	особистість
klok	надлишок
hrok	реформа
hguc	спрага
kcim	загрозливий
hpem	пальма
psik	динамік
frit	поріг
cret	сліди
mrak	спис
syen	сесія
tcup	вогкість
hyek	мандрівник
trim	олово
plak	скарга
hyok	кут
hgam	корова
hmok	млин
jrac	карта
kloc	комір
gyit	свідомо
hbip	пиво
mlet	оксамит
lyap	зловживання
cwen	стадо
bwan	племінниця
tses	тринадцять
jrit	обґрунтовувати
nlak	рукопис
sron	воїн
cruc	п&#39;ятниця
broc	щітка
dlot	скачати
krim	крем
pric	крок
prut	присяжні
hgon	заморожені
sram	буквально
pfot	горщик
hlot	планований
djin	монета
hlok	стрибок
hpep	яблуко
hwot	скручений
dlak	обговорювати
brik	підписуватися
nlis	транскрибувати
hbet	ставка
pris	вірус
hjik	гостинність
blit	дитячий
hjap	халат
tfik	відображати
hdaf	досягати
hpop	опера
kcaf	приховування
kcoc	лікоть
hrum	ремонт
cyim	підозрілий
dyic	освітніх
hgoc	яма
drak	розлад
plas	оплески
byin	двійковий
hzap	абатство
nlot	лояльність
mrik	механічний
hsop	успішно
crap	пастка
kyek	торт
nrut	розважати
syes	сер
hjet	сімнадцять
hjen	жіночний
hmom	мед
hdec	нажаль
lwen	легенда
slot	плита
frac	бунтувати
gwan	опуклість
mruk	поліпшувати
swot	болотний
zlan	заробляти
hnem	анімаційний
hdes	перев&#39;язувальний
prak	повчати
frin	декорації
hfet	виступатипроти
cros	хор
ryon	раціональний
tcos	урожай
tsen	обробка
hwek	вовк
nlik	відмова
klap	килим
dras	зневажати
prop	родючий
slim	свисток
hgis	сир
krut	вкусити
srot	супровід
bjan	блукати
nwen	військово-морськийфлот
myas	маска
kwaf	розвивати
twis	таксі
pcip	олівець
srap	овочевий
sren	експонат
tlun	Брюки
hrup	корупція
nrip	кабінет
srup	суп
jran	хірург
bjat	посібник
gyat	шпигун
hlem	необачний
srak	анотація
kson	акцент
cwis	четвер
sret	щиро
hraf	трафік
hres	архітектура
hsuf	видалення
rwak	тріщина
twon	орнамент
hfus	відновлення
hkom	код
djat	мисливець
nlut	бюлетень
hsef	змія
mris	демократія
bric	акумулятор
mlam	віск
zran	поділ
cron	трепет
hzen	плавати
traf	смуга
cwaf	конверт
srip	сигарета
mrot	двигун
swon	доброволець
ryak	реакція
pfun	частково
blac	багаж
mret	міністерство
hjon	сексуальне
kcok	сокиру
dram	діамант
kren	заступник
tcek	відлуння
hdif	ідентичність
tfas	посол
hfot	складатися
lwas	ледачий
hmep	momentaneаспект
kfin	кодування
mwin	уявний
hrem	промінь
pram	сходження
byac	підвал
mren	пам&#39;ятний
swen	сенат
kras	труну
hgun	ковтати
nlok	балувати
ryic	сільськогосподарське
gwin	свінг
srut	луг
hkes	комплекс
hfis	відставка
frak	неодноразово
hnom	змова
hcop	паб
hlec	перець
mlot	мелодія
zrat	кандидат
proc	покровитель
flik	лисиця
cyet	пошкодував
hgim	димохід
slet	хеджування
tcok	точність
bjit	колишнійпомерлий
brot	бутон
bwat	ковдра
hdus	свиня
gwat	кольоруслоновоїкістки
kret	екстракт
nwet	спостерігач
jwan	проспект
nwis	нігті
mwic	бджола
bzat	актор
gyan	піт
zyit	виконавчий
blic	ілюзія
pcet	невизначеність
tsot	скласти
bwit	межа
tres	стрес
hkof	споживання
nyen	кряхтеть
hles	походити
cyek	мішок
hjis	голка
gjan	явище
prec	вести
drot	контрольований
kcek	крива
twic	курка
brak	бочка
zwat	звичний
clap	хабітуаліс
tsec	експерт
bwin	враження
cwet	обмежений
hbek	пекар
zlin	оливковий
mron	фургон
drin	присвячувати
psap	викривати
gjin	деньнародження
clut	молоток
cwun	запашний
twaf	тривіальний
pcot	домашнятварина
krok	череп
dlik	законодавчавлада
cwic	нащастя
srun	насупитися
crec	руйнує
jlan	маржа
kcip	чемпіон
blin	мільярд
ryik	хімічна
mlas	пульс
flit	пілот
hzet	вузол
cwik	величний
twet	спідниця
mwik	щотижня
tfis	технічний
tlon	транспортнийзасіб
cram	утішний
grac	зміцнювати
kraf	ворона
trup	атрибут
hduk	гак
cruk	тигр
nrap	економка
crot	шосе
mlip	міліція
hfoc	фотографія
nres	цілісність
plos	плюс
tfam	прозорий
nlic	дев&#39;ятнадцять
hwok	кваліфікований
nlen	есе
fyic	коефіцієнткорисноїдії
hwuk	унікальний
hgok	органічний
flic	теологія
flot	поплавок
hboc	зобов&#39;язати
hwoc	відьма
syot	студія
cwip	шампанське
hbes	банер
lwic	розлучення
blot	болт
cwot	неволя
cwam	вена
prik	пасивна
hfum	піна
grik	гравій
zrin	фартух
gren	планета
hfuc	воскресіння
claf	полиця
flas	вентилятор
hjot	тропічний
hbim	довільний
krek	ртуті
hbec	доброзичливий
tsaf	самогубство
pwas	зривати
plot	репортер
kfak	витратити
blak	балкон
hdos	пляма
kwis	класичний
kcos	звинувачувати
psen	пенсія
kres	дієслово
hzon	мавпа
srim	підпис
glin	небажання
mlut	горезвісний
myot	імпорт
fwac	засновник
troc	факел
hgaf	граматика
hyop	яхта
ksip	вимерлий
sres	екскурсія
hnup	купол
hzun	впертий
mric	м&#39;яз
gjat	величина
hros	руб
zrac	боягузливий
tros	тост
myus	миша
dwac	діалог
byak	коза
htef	кравець
hfek	процвітати
dzan	накладати
nyon	анонімний
zrit	формальнийрегістр
pcos	спортивний
hjec	розплав
dlas	видаляти
mras	парасолька
mram	мінерал
cwut	перепочинок
hbok	качка
swun	мило
dwak	лялька
plif	вілла
slon	шиття
tfut	вітати
djac	мирити
hjas	пригнічувати
kric	кролик
kwot	провідник
gzan	гарантія
clot	гравець
ksek	комаха
psam	поза
mwut	сова
htem	постійно
clon	скрипка
dzin	резидент
rwim	відповідно
hyof	вигідний
dron	дракон
dwit	слуховідоказательственная
sroc	експорт
hzot	припинення
djik	затримуватися
kfik	кришка
ryun	регулювання
hmes	мер
rwac	апаратнізасоби
sruk	цирк
sros	меншість
bzan	бунт
kset	оркестр
bjon	бекон
hjut	необмежений
tfen	захисту
zwac	незручність
dyin	обдумування
myis	музикант
mlis	подумки
pret	неадекватний
tsek	архітектор
hlom	лимон
ksos	кашель
crok	головнийбіль
flin	фертильність
mrun	столяр
swec	випадковий
syuk	ложка
blun	повітрянакуля
tcep	крейда
fric	відпочинок
rwik	вертикальний
rwen	запобігання
flet	виведенийдоказательственная
pfac	видавець
srek	оцет
tfun	тунель
pwet	головоломка
gyik	математика
fwot	в&#39;янути
lwin	збалансований
jwin	печінку
bwik	сублатів
hdup	падіння
hnop	монополія
bwic	підводнийчовен
ryen	незважаючина
hcem	землетрус
hbos	лабораторія
nrek	працівник
ryim	ритм
nyic	інтерпретувати
dwas	посольство
rwok	провокувати
kram	нездатність
ksim	декларативнийнастрій
clok	шоколад
pcec	привілейований
nyis	відлюдник
tyoc	збіг
grak	подряпина
zlat	рукавичка
hjuk	стоятинаколінах
trif	географія
djit	систематична
pson	непереможний
mwis	інвестиції
cwec	словесний
hdek	світський
blik	яструб
sloc	психологія
brap	лом
jlat	пірат
dros	дозувати
slam	лосось
pwun	пудинг
gwik	магнітні
pcop	насос
myen	аналогічнимчином
ksen	кисень
mrap	виконроб
tfot	сертифікат
ksus	кластер
trok	риторика
tloc	сходинка
