hnit	عملکاعام
hnak	nominativeکیس
hkak	accusativeکیس
htak	موضوعکےکیس
hpap	والدصاحب
hmam	ماں
hyat	پیرنٹل
hcan	ہیلو
hwik	vocativeکیس
hsuc	پرکھا
htat	دادا،دادی
hcac	بھوکا
hnik	genitiveکیس
hcit	صفت
hwan	اور
hman	مجھے
hnan	تم
hwam	ہمیں
htit	یہ
htac	منزلکےکیس
htik	سمپردانعنصرکیس
hyit	حقیقیمزاجسے
htim	deonticکاموڈ
hcut	شرطیکاموڈ
hsit	epistemicکاموڈ
hyak	اہمکردارکےکیس
htan	داخلہوسباق
hpan	شخصسیاقوسباق
htin	آزادکیشق
hyan	انحصارکیشق
hfap	perfectiveپہلو
hkat	فعلماضی
hnin	مذکرصنفی
hmak	comitativeکیس
hnat	زمانۂحال
hpak	benefactiveکیس
swik	essiveکیس
htut	negatoryکمیت
hsan	سطحکاسیاقوسباق
hpin	adpositionalکیس
hwin	محلوقوعکےکیس
hkan	خلائیوسباق
hnac	راستہکیس
hyut	interrogativeکاموڈ
hnam	اوریا
hkit	خصوصییا
hsuk	منبعکےکیس
hpik	ablativeکیس
hcat	قربت
hmat	demonstrativeکے
hkuk	شقپونچھ
hlan	لیکن
hsut	تمام
hyin	عالمگیرکمیت
hcin	مؤنث
hpac	جمعتعداد
hyik	ایککو
htic	ان
hkik	جو
tcat	فعلمستقبل
hsin	سماجیسیاقوسباق
hkac	کب
hmip	imperfectiveپہلو
klan	وہاں
hlak	elativeکیس
hlik	نتائجکاکیس
htam	ہدایتکاموڈ
hlat	انتخابیکمیت
hkam	کیا
hwat	سواللفظ
htap	یوجک
hpat	شخص
nyan	لڑکا
hkas	کرسکتےتھے
tcan	دیگر
hnuc	تعدادکی
twit	جارحانہکمیت
hsak	وقتسیاقوسباق
htuk	دنیاویکیس
htun	صرف
htum	hortativeکاموڈ
hyip	پوروویاپیپہلو
hlit	volitiveکاموڈ
pcic	لازمی
tyut	دو
hsat	دیکھیں
hkut	جانتے
hcic	نیچے
hcap	بعد
hpam	پہلا
hlac	alienableقبضے
hkap	کبھینہیں
hnic	ناگزیرقبضے
tyat	پرانے
tcit	deliberativeکاموڈ
tcin	دن
hlam	آئے
hwak	حرفعلت
hkin	جاؤ
lwak	perlativeکیس
hpip	ترقیپسندپہلو
lyan	طویل
hsac	کاکہناہےکہ
kyan	کیسے
htas	پھرسے
hsic	یہاں
hcik	لگتاہےکہ
hcak	سیاقوسباقکےتحت
hfan	پایا
hsun	ہاتھ
hyac	بھی
nwan	نوجوان
tyit	خلاف
tlan	خدا
twak	delativeکیس
hmin	کچھبھینہیں
hyas	ایکبار
hlap	semelfactiveپہلو
kcac	بائیں
hyic	دیکھا
hcas	گھر
hwac	دنیا
tyin	تین
hnun	نو
hcuk	توجہکامرکز
pyan	محبت
hsis	ہمیشہ
hyam	رات
hyap	بادشاہ
hkic	کےدرمیان
hmas	ذہن
cyit	دل
pluc	paucalتعدادمیں
kyik	کیونکہ
ksak	اسبابکیس
tcun	کیاکیا
hnim	نام
tsan	اسممعرفہ
klac	ملک
hpun	پوچھا
cyat	دستیابثبوتوں
pcac	بہتر
hmac	لمحہ
hnas	نہیںکرسکتا
hwic	پانی
twim	desiderativeکاموڈ
kwan	روشنی
tlat	لفظ
tyan	دروازہ
hsas	صبح
syat	تک
twik	terminativeکیس
hpit	سفید
pcan	پیسے
hyis	غریب
mwan	موت
hfam	فارم
nwik	inessiveکیس
kcat	ایکساتھ
tsac	اکثر
pyat	دوست
psan	نصف
hpim	ضروریمزاجسے
hyuc	گول
hfat	بھیجا
hcis	بیوی
kcan	یقین
hsik	عوام
htus	ریاستسیاقوسباق
hpas	بیٹا
clat	بچوں
tyak	یوں
cwan	امیدہےکہ
syin	عزیز
hkuc	اعلی
tyac	پڑھ
syit	شہر
hlic	پہلےسے
hfit	factiveثبوتوں
tcac	لڑکی
hcun	سنتے
ksan	کمازکم
hyaf	شاید
kyat	یقینا
tcic	جسم
hwit	واپسی
cwat	ہوائی
hfaf	قانون
hput	مدد
lyat	خط
ksas	چار
hpic	آپٹائٹوکاموڈ
hfuk	آگکے
hcam	گھنٹہ
twat	جنگ
kyak	کئی
tlit	دوسرا
pcin	پیچھے
hmut	کھو
clan	ہزار
hfac	خاندان
twan	روح
hwas	سوال
syan	سچائی
htis	سازی
tsat	ممکنہکےموڈ
lwik	allativeکیس
nyin	anthropicصنفی
hfak	پانچ
tcak	اسیموضوعمارکر
htuc	مختلفموضوع
hnap	اسکاجواب
hmit	سمندر
hcuc	خوف
pcat	سمجھنے
syas	شرائط
hcaf	شک
twut	dubitativeکاموڈ
hkis	سیاہ
tlak	لانے
hyus	خوبصورت
nyit	چھانٹیں
htip	دس
ksis	کہانی
hpuk	کتاب
hlin	الیکٹرانک
hkun	اکاؤنٹ
lyas	دلچسپی
lyit	لکھنا
pwat	بستر
hnis	عمر
hnut	counterfactualمشروط
slas	آرٹ
hwis	vialisکیس
pyak	بھائی
lyin	لکیر
tyas	میز
hyun	دریا
kyac	آنکھ
tfan	اچانک
kcin	گہری
hmuc	مقصد
cyac	خون
hmap	گلاب
tlin	سردی
hyif	آگے
tyam	دیر
hnaf	فرضکریں
hkip	تقریبا
myan	کیکان
tsin	علم
hkup	کاپی
hsam	شوہر
hlis	چھ
cwit	زندہ
cyan	امن
myat	یاد
tyic	قدرتی
hfut	گر
swas	سروس
hsap	سوائے
pcit	حقوقنقلواشاعت
hyim	آرمی
kyas	گھوڑے
plic	مستقبل
pcak	مغرب
hpis	ادائیگیکرتےہیں
hyuk	سرخ
hwun	سونے
twin	خواہش
plan	کھیلنے
hpus	دفتر
syun	حکومت
kyic	چرچ
htaf	طاقت
hlun	لمبائی
kyin	کمپنیکے
kyis	کاغذ
mlan	امکان
hcim	خاصطورپر
cyas	برداشت
twac	ونڈو
nyat	بیوٹی
hcus	آخرالذکر
htup	ڈیوٹی
htif	فاصلے
pyas	پاؤں
hlas	جنگلی
ksin	سبز
hmaf	مصیبت
myac	مسکراہٹ
hsim	نیند
kyit	کےحوالےسےکہا
kwik	quotativeکیس
fwan	پیغاملکھنےکےلیے
slan	فالوکریں
psit	موجودگی
hmic	سویٹ
hmuf	منہ
hfin	امیر
tcam	دشمن
psuk	ٹوٹاھوا
kcap	جہاز
pwan	شاملہوںشخص
hfic	اثرورسوخ
tcuc	ظاہر
hkim	سیکرٹ
pyin	مہربانیکرکے
pwit	precativeکاموڈ
pyit	شائستہورڈ
cwak	برائی
myak	مارچ
tcas	مقامات
hlaf	رہنے
psat	بجائے
nlan	نیلے
psac	ناممکن
kcuk	اسکول
kcit	شادیکرلی
kcak	کھانا
syis	بیس
tlac	پرسکون
hcip	ممکنہپہلو
kwin	دینا
tsit	بندکردیا
pyac	زبان
hsus	ہفتہ
hcup	ہال
cyap	حیرتہے
tfin	پیداہونا
fyat	عدالت
hnip	کہاوتکاپہلو
tsak	احترام
tlas	قابل
syuc	درخت
plat	دیوار
cyak	آسمان
twip	inchoativeپہلو
mlat	کمانڈ
swit	jussiveکاموڈ
mwas	مہینہ
hwaf	کامل
tyap	تجربے
ksac	حالات
syac	تازه
hnuk	ڈیوک
kwak	احاطہکرتاہے
tyuk	مشرق
pwac	پتھر
hkif	عظیم
nyac	سمت
cyis	کرسی
tyuc	انتظارکر
tsun	گاؤں
tyik	اتفاقکرتاہوں
hnum	کرنیوالاکاموڈ
slak	کامیابی
tsic	کیکوششکررہے
slat	ہل
hmik	موسیقی
hkus	فریاد
hsip	سات
hpaf	نجی
nwas	دینیوز
tfac	منظر
fyan	گارڈن
cwas	شروع
hfik	تقسیمکےکیس
lyac	سیکھ
syik	سیاسی
clin	ہینری
cyin	جھوٹ
tsas	کاسٹ
cyik	اتھارٹی
tlap	فرش
cyam	موسمگرما
tcut	مذہب
tcap	میںفرار
hlut	مصنف
pyun	بھورا
tcuk	درد
swan	موسمبہار
hmun	نرم
kyun	کونے
nyak	ٹریڈمارک
tsis	جسٹس
psas	پیداوار
cyaf	ہنسی
hwut	بھولجاؤ
hyup	یورپ
hwap	آٹھ
psak	انتقال
kyap	خوفناک
pyic	ضرورت
hmim	درمیانہ
hsaf	سانس
hmis	عقلمند
hsum	حقجتانےمارکر
ksat	خوشگوار
ksit	قبر
tsap	جزیرے
kyam	کیمپ
tcum	چھو
cyun	خوشقسمتی
psic	ساحل
tyun	ڈومین
mwit	commissiveکاموڈ
tlut	ڈگری
myit	موسمسرما
kfan	طرزعمل
slac	چلانے
myin	منٹ
tyip	قیادتکریں
klas	گلاس
pfat	بورڈ
cyic	بیکار
swam	امور
syam	محفوظ
tsut	ڈاکٹرسے
hlip	completiveپہلو
kcas	اندھیرے
nyun	گرم
hpuc	پینے
tlam	مثال
hfun	غصے
tsik	باوجود
tsam	براہراست
hmup	ٹوپی
klak	کتا
slin	چاندی
swac	بندہ
kcam	فخر
pyik	ٹرین
myut	اخلاقی
syak	درج
swat	تلوار
kyuk	حملہ
clac	صحت
tyaf	پیراگراف
swic	سماجی
tfit	واپسکرنا
hkaf	سرکاری
pcas	نظر
nyam	جلال
tfat	بارہ
pcut	مصروف
pwin	مے
mwat	ذائقہ
fyac	لوہا
syap	تقسیم
myap	تجارت
hyum	کااستعمالکرتےہوئے
fwak	جج
klat	کپتان
twap	cessativeپہلو
kcic	متجسس
kwic	غیرملکی
hnif	intensifier
myun	اہمیت
tlic	آخر
cyuk	گردن
syut	لبرٹی
pfan	اطراف
kyuc	خشک
pcap	ایکطرف
tfak	ثبوتوں
tcik	ثبوتکےکیس
twun	دور
tyis	پیشرفت
nyap	تنگ
plit	عمارت
hpif	صفحہ
pwic	انعقاد
syic	دکھی
tsip	گناہ
syim	بیمار
tcis	ایماندار
pcun	بینک
ksap	قبولکریں
lyam	ندی
tcaf	احتیاطسے
kwac	کان
hpup	روٹی
kcut	منتخب
nwam	جانوروںسے
hsup	zoicصنفی
nwit	eventiveکاموڈ
tcim	اسیواقعہمارکر
tlik	ضربیکیس
kyus	پار
hmus	موٹی
kfat	ہمت
nwat	اگاتے
myic	بارش
hpum	سطح
swut	مقدس
clis	جولائی
mwun	فیشن
hfas	سنچکا
cwac	کندھے
kwat	آرام
nwac	کسی
tcip	خواہشظاہرکی
kfac	گھاس
hmuk	اپنیطرفمتوجہ
plin	افتتاحی
kwun	جون
mlik	مچھلی
klin	دارالحکومت
pfut	چھاتیکا
twam	دعویپر
fyin	خرچہ
nlit	تمہارا
mlin	دسلاکھ
pyut	دعا
hluk	تھکاہوا
ksut	مارنےکے
cyut	سائے
psin	وزنمیں
kcis	بالسفیدہوجانا
pyam	بہادر
mwac	مطمئن
klam	کہہ
ksam	قومی
hfip	کمزور
klik	وادی
