ni	عملکاعام
na	nominativeکیس
ka	accusativeکیس
ta	موضوعکےکیس
ca	ہیلو
wu	vocativeکیس
kcah	بھوکا
ti	genitiveکیس
ci	صفت
wa	اور
mi	مجھے
sa	تم
nyah	ہمیں
ya	یہ
ma	منزلکےکیس
yi	سمپردانعنصرکیس
li	حقیقیمزاجسے
tu	deonticکاموڈ
cu	شرطیکاموڈ
si	epistemicکاموڈ
yu	اہمکردارکےکیس
nu	داخلہوسباق
pa	شخصسیاقوسباق
tyah	آزادکیشق
la	انحصارکیشق
fa	perfectiveپہلو
ki	فعلماضی
ne	مذکرصنفی
mwah	comitativeکیس
ra	زمانۂحال
pwah	benefactiveکیس
swih	essiveکیس
no	negatoryکمیت
pi	سطحکاسیاقوسباق
da	adpositionalکیس
te	محلوقوعکےکیس
to	خلائیوسباق
ga	راستہکیس
ri	interrogativeکاموڈ
ba	اوریا
ku	خصوصییا
so	منبعکےکیس
pwih	ablativeکیس
ksah	قربت
tsah	demonstrativeکے
ko	شقپونچھ
pyah	لیکن
wi	عالمگیرکمیت
ji	مؤنث
pu	جمعتعداد
bi	فعلمستقبل
co	سماجیسیاقوسباق
me	imperfectiveپہلو
klah	وہاں
twah	elativeکیس
twih	نتائجکاکیس
di	ہدایتکاموڈ
tlah	انتخابیکمیت
kyah	کیا
tcah	سواللفظ
ja	یوجک
cyah	شخص
clah	دیگر
do	تعدادکی
tlih	جارحانہکمیت
se	وقتسیاقوسباق
myah	دنیاویکیس
tyuh	صرف
tcih	hortativeکاموڈ
tyih	پوروویاپیپہلو
lo	volitiveکاموڈ
cwah	بعد
nlah	alienableقبضے
nlih	ناگزیرقبضے
cyih	deliberativeکاموڈ
lwah	perlativeکیس
pfih	ترقیپسندپہلو
tsih	یہاں
ce	سیاقوسباقکےتحت
pcah	بھی
lwih	delativeکیس
swah	semelfactiveپہلو
nyih	نو
fu	توجہکامرکز
plah	محبت
po	paucalتعدادمیں
kyih	کیونکہ
ksih	اسبابکیس
gi	نام
tfah	اسممعرفہ
crih	دستیابثبوتوں
kceh	بہتر
dwih	desiderativeکاموڈ
wo	لفظ
srah	تک
tweh	terminativeکیس
nwih	inessiveکیس
pcih	ضروریمزاجسے
crah	یقین
ro	ریاستسیاقوسباق
cwih	امیدہےکہ
kwih	factiveثبوتوں
fi	واپسی
psih	آپٹائٹوکاموڈ
tseh	ممکنہکےموڈ
lweh	allativeکیس
nrih	anthropicصنفی
tceh	اسیموضوعمارکر
re	مختلفموضوع
croh	خوف
mrah	سمجھنے
cyuh	شک
twuh	dubitativeکاموڈ
myih	خوبصورت
lyih	دلچسپی
flah	counterfactualمشروط
we	vialisکیس
clih	سردی
pyih	امن
su	سوائے
kwah	خواہش
le	لمبائی
bo	امکان
mlah	مصیبت
syah	مسکراہٹ
slih	نیند
zi	کےحوالےسےکہا
twoh	quotativeکیس
mo	شاملہوںشخص
kcih	مہربانیکرکے
rwih	precativeکاموڈ
mrih	شائستہورڈ
rwah	ممکنہپہلو
cyeh	حیرتہے
go	کہاوتکاپہلو
tsoh	احترام
za	inchoativeپہلو
jwih	jussiveکاموڈ
mwih	کرنیوالاکاموڈ
sloh	کامیابی
prih	نجی
de	تقسیمکےکیس
tcoh	درد
ryah	ہنسی
mlih	عقلمند
ye	حقجتانےمارکر
ke	commissiveکاموڈ
creh	بیکار
mweh	completiveپہلو
nrah	گرم
nroh	غصے
bwah	باوجود
trah	فخر
mroh	اخلاقی
slah	صحت
syih	سماجی
pe	cessativeپہلو
krih	متجسس
tfih	intensifier
fe	آخر
prah	ایکطرف
trih	ثبوتوں
nwah	ثبوتکےکیس
srih	دکھی
zo	zoicصنفی
nweh	eventiveکاموڈ
cwoh	اسیواقعہمارکر
plih	ضربیکیس
dwah	خواہشظاہرکی
kcoh	تھکاہوا
drah	مطمئن
lu	قیاسآرائیپرمبنیمزاجسے
frih	واقفورڈ
frah	گھائل
mruh	بیوقوفبنانے
djih	ہمدردی
krah	شکریہادا
cruh	شرم
fyah	جملہمارکر
ryih	preordained
kruh	کڑوا
tyeh	متن
kreh	ظالمانہ
tleh	hesternalکشیدہ
kfah	قربانی
dyih	سےنفرت
cloh	عقلیصنفی
nloh	سےلطفاندوز
psah	مایوسی
sleh	پودوںصنفی
nruh	معصوم
drih	محبوبیت
sroh	معافی
brih	بنیاد
kluh	الجھن
bwih	benedictiveکاموڈ
klih	مجرم
grih	جاہل
nyeh	انیشیایٹوکیس
nleh	شائستہ
dlih	تاخیرناگزیر
proh	رپورٹکیاثبوت
mloh	اداسی
du	واحد
jrih	صبر
freh	حوالہ
kloh	تنہا
kroh	توجہ
tcuh	جوشوخروش
kcuh	آگمناتمککاموڈ
xa	مباحثےوسباق
nreh	نروس
pseh	پہلو
ge	ایجنٹ
mu	admonitiveکاموڈ
byah	مہتواکانکن
pcoh	ہجوم
treh	براہراستثبوت
yo	خدشہکاموڈ
cwuh	جھٹکا
tloh	حالیہماضی
dlah	خاصمضمون
cluh	بدصورت
myuh	مزاح
dyah	ڈسٹلdemonstrativeکے
rwuh	رشک
troh	imprecativeکاموڈ
dzih	بےحسی
swuh	assumptiveکاموڈ
bzah	مذاق
gwih	یعنی
dloh	آجکاکشیدہ
dweh	delimitativeپہلو
kweh	خصوصیشخص
truh	درجہحرارت
tfeh	telicپہلو
lyeh	atelicپہلو
ru	مانعکاموڈ
kfih	بچکانا
cyoh	مشکوک
nluh	وفاداری
cweh	ٹریپ
nwoh	متحرک
sruh	سنسنی
ksoh	جنسیطورپر
lyah	سست
mreh	momentaneپہلو
pceh	افسوسکااظہار
bjih	سابقمیت
pcuh	غیریقینیصورتحال
xi	عادتپہلو
blih	جکڑےہوئے
tsuh	معمولی
fwih	شکوہ
grah	چاپلوسی
brah	صوابدیدی
cleh	ادار
sreh	رسمیورڈ
pfah	فائدہمند
droh	سمعیثبوتوں
flih	inferentialثبوتوں
sweh	sublativeکیس
ksuh	اعلانیہکاموڈ
pleh	مراعاتیافتہطبقےکے
psoh	اجیئ
be	زبانی
mwoh	خواب
kleh	wretchednessکی
glah	لالچ
kseh	اثباتکےموڈ
zrah	عدماطمینان
dyoh	ideophone
syoh	awedمل
gwah	exessiveکیس
zlih	irrealisکاموڈ
zrih	شرم
byih	موافقت
ryeh	ضمیرمارکر
fwah	دوستوییی
bjah	خوش
kxah	تحمل
gvih	pegativeکیس
pxih	ثبوت
xrah	ختم
tfoh	ابسےآگے
kxih	contritionکے
ryoh	prosecutiveکیس
qyah	preoccupationکے
r6	کردنت
txah	دوردرازماضی
xrih	تاریخیکشیدگی
dxah	ڈبلنمبرکو
syuh	سپر
vweh	کیoverworked
n6	حسیثبوتوںکاموڈ
bweh	جنون
xlih	مزاحیہ
txih	twinge
sluh	خودمطمئن
txoh	تحریکاوپر
xe	پوروویاپی
pxah	فںسانے
vwah	تحریکڈاؤنہل
xyih	اشرافیہ
fleh	inflected
psuh	superessiveکیس
syeh	satyr
qi	ترسیلی
xruh	cower
zwah	زبردست
tr6h	تحریکupriver
qwah	unambitious
xlah	دنیابھرمیں
tyoh	اکرمک
tluh	anticlimax
qa	موجودہمطابقتمارکر
kxoh	تھکےکتے
rwoh	ORDINAL
ve	ویکٹر
kyoh	کلو
swoh	تخکرمک
pxeh	partitiveکیس
txeh	وسعتپذیر
dxih	ودیئ
pxoh	prolativeکیس
pfoh	نوازکرتے
blah	blase
fyih	غیرانسانی
xo	اداکارکردار
pc6h	ٹیسٹنمبر
greh	بنیادکیس
groh	مقصدٹرگر
dxoh	درمیانیآواز
rweh	ترچھاکیس
xwah	مریضکیس
xu	prehodiernal
xroh	باہرپہننے
ks6h	کےcausative
vi	بائنریقدر
dleh	موڈلکیس
gjeh	ورنہتو
xreh	ساتھیکارکن
