ni	noaniq
na	boshkelishikishi
ka	tushumkelishigiishi
ta	mavzuishi
ca	Salom
wu	undashkelishigiishi
kcah	och
ti	genitiveishi
ci	sifat
wa	va
mi	meni
sa	siz
nyah	bizga
ya	u
ma	joyishi
yi	jo&#39;nalish
li	realiskayfiyat
tu	deontickayfiyat
cu	shartlikayfiyat
si	axborotmanbalaridankayfiyat
yu	instrumentalishi
nu	ichkikontekst
pa	shaxskontekst
tyah	mustaqilgap
la	qaramgap
fa	perfectivejihati
ki	o&#39;tganzamon
ne	Erkaksizgender
mwah	comitativeishi
ra	hozirgizamon
pwah	benefactiveishi
swih	essiveishi
no	qarshinicelik
pi	yuzasikontekst
da	adpositionalishi
te	Manzilishi
to	kosmikkontekst
ga	yo&#39;lishi
ri	so&#39;roqkayfiyat
ba	vayoki
ku	eksklyuzivyoki
so	manbaishi
pwih	ablativeishi
ksah	yaqinlik
tsah	namoyishkorona
ko	gapdumi
pyah	lekin
wi	universalnicelik
ji	nazokatligender
pu	ko&#39;pliksoni
bi	tarangkelajak
co	ijtimoiykontekst
me	imperfectivejihati
klah	Mana
twah	elativeishi
twih	so&#39;nggiishi
di	ko&#39;rsatmakayfiyat
tlah	rejalinicelik
kyah	nima
tcah	savolso&#39;z
ja	bog&#39;lama
cyah	shaxs
clah	boshqa
do	soni
tlih	tasdiqlaydigan,nicelik
se	vaqtkontekst
myah	vaqtinchalikishi
tyuh	faqat
tcih	hortatorynasihatberuvchikayfiyat
tyih	retrospektivjihati
lo	volitivekayfiyat
cwah	so&#39;ng
nlah	begonalashtiriladiganegalik
nlih	uzviyegalik
cyih	maslahatkayfiyat
lwah	perlativeishi
pfih	progressivjihati
tsih	Buyerga
ce	ma&#39;nodaostida
pcah	ham
lwih	delativeishi
swah	semelfactivejihati
nyih	neo
fu	diqqatmarkazida
plah	sevgi
po	paucalsoni
kyih	chunki
ksih	nedenselishi
gi	ism
tfah	Propernoun
crih	ko&#39;rinadigandaliliy
kceh	yaxshiroq
dwih	desiderativekayfiyat
wo	so&#39;z
srah	gacha
tweh	terminativeishi
nwih	inessiveishi
pcih	imperativkayfiyat
crah	iymon
ro	davlatkontekst
cwih	umid
kwih	factivedaliliy
fi	Qaytish
psih	kerakkayfiyat
tseh	salohiyatikayfiyat
lweh	allativeishi
nrih	antropikgender
tceh	Shumavzumarker
re	turlimavzu
croh	qo&#39;rqinch
mrah	tushunish
cyuh	shubha
twuh	dubitativekayfiyat
myih	chiroyli
lyih	qiziqish
flah	shartlicounterfactual
we	vialisishi
clih	sovuq
pyih	tinchlik
su	tashqari
kwah	istak
le	uzunlik
bo	ehtimollik
mlah	tashvish
syah	tabassum
slih	uyqu
zi	undefined
twoh	quotativeishi
mo	inklyuzivshaxs
kcih	Iltimos
rwih	precativekayfiyat
mrih	muloyimreestri
rwah	istiqbolliyo&#39;nalishi
cyeh	hayron
go	gnomicjihati
tsoh	hurmat
za	boshlashifodaetganjihati
jwih	buyruqtarzidagikayfiyat
mwih	ruxsatkayfiyat
sloh	muvaffaqiyat
prih	shaxsiy
de	taqsimotishi
tcoh	og&#39;riq
ryah	kulmoq
mlih	dono
ye	egalikmarker
ke	commissivekayfiyat
creh	sanoqli
mweh	so&#39;nggijihati
nrah	iliq
nroh	g&#39;azab
bwah	xusumat
trah	faxr
mroh	ahloqiy
slah	sog&#39;lik
syih	ijtimoiy
pe	cessativejihati
krih	qiziquvchan
tfih	Netleştirici
fe	nihoyat
prah	chetga
trih	daliliy
nwah	daliliyishi
srih	qayg&#39;uli
zo	Paleozoyikgender
nweh	eventivekayfiyat
cwoh	Shuvoqeamarker
plih	ko&#39;pqismliishi
dwah	kerakli
kcoh	charchagan
drah	mamnun
lu	spekulyativkayfiyat
frih	tanishreestri
frah	yaralangan
mruh	ahmoq
djih	xushko&#39;rish
krah	rahmat
cruh	uyat
fyah	ifodamarker
