hnit	noaniq
hnak	boshkelishikishi
hkak	tushumkelishigiishi
htak	mavzuishi
hpap	dada
hmam	mom
hyat	ota-ona
hcan	Salom
hwik	undashkelishigiishi
hsuc	ajdod
htat	grandparent
hcac	och
hnik	genitiveishi
hcit	sifat
hwan	va
hman	meni
hnan	siz
hwam	bizga
htit	u
htac	joyishi
htik	jo&#39;nalish
hyit	realiskayfiyat
htim	deontickayfiyat
hcut	shartlikayfiyat
hsit	axborotmanbalaridankayfiyat
hyak	instrumentalishi
htan	ichkikontekst
hpan	shaxskontekst
htin	mustaqilgap
hyan	qaramgap
hfap	perfectivejihati
hkat	o&#39;tganzamon
hnin	Erkaksizgender
hmak	comitativeishi
hnat	hozirgizamon
hpak	benefactiveishi
swik	essiveishi
htut	qarshinicelik
hsan	yuzasikontekst
hpin	adpositionalishi
hwin	Manzilishi
hkan	kosmikkontekst
hnac	yo&#39;lishi
hyut	so&#39;roqkayfiyat
hnam	vayoki
hkit	eksklyuzivyoki
hsuk	manbaishi
hpik	ablativeishi
hcat	yaqinlik
hmat	namoyishkorona
hkuk	gapdumi
hlan	lekin
hsut	hamma
hyin	universalnicelik
hcin	nazokatligender
hpac	ko&#39;pliksoni
hyik	bir
htic	ularning
hkik	kim
tcat	tarangkelajak
hsin	ijtimoiykontekst
hkac	qachon
hmip	imperfectivejihati
klan	Mana
hlak	elativeishi
hlik	so&#39;nggiishi
htam	ko&#39;rsatmakayfiyat
hlat	rejalinicelik
hkam	nima
hwat	savolso&#39;z
htap	bog&#39;lama
hpat	shaxs
nyan	erkak
hkas	qo&#39;lidan
tcan	boshqa
hnuc	soni
twit	tasdiqlaydigan,nicelik
hsak	vaqtkontekst
htuk	vaqtinchalikishi
htun	faqat
htum	hortatorynasihatberuvchikayfiyat
hyip	retrospektivjihati
hlit	volitivekayfiyat
pcic	kerak
tyut	ikki
hsat	ko&#39;rish
hkut	bilaman
hcic	pastga
hcap	so&#39;ng
hpam	birinchi
hlac	begonalashtiriladiganegalik
hkap	hechqachon
hnic	uzviyegalik
tyat	qari
tcit	maslahatkayfiyat
tcin	kun
hlam	kelib
hwak	unlitovush
hkin	borib
lwak	perlativeishi
hpip	progressivjihati
lyan	uzun
hsac	deb
kyan	Qanday
htas	yana
hsic	Buyerga
hcik	debo&#39;ylayman
hcak	ma&#39;nodaostida
hfan	topildi
hsun	qo&#39;l
hyac	ham
nwan	yosh
tyit	qarshi
tlan	xudo
twak	delativeishi
hmin	hechnima
hyas	birmarta
hlap	semelfactivejihati
kcac	chap
hyic	arra
hcas	uy
hwac	dunyo
tyin	uch
hnun	neo
hcuk	diqqatmarkazida
pyan	sevgi
hsis	hardoim
hyam	tun
hyap	qirol
hkic	o&#39;rtasida
hmas	fikr
cyit	yurak
pluc	paucalsoni
kyik	chunki
ksak	nedenselishi
tcun	qilingan
hnim	ism
tsan	Propernoun
klac	mamlakat
hpun	so&#39;radi
cyat	ko&#39;rinadigandaliliy
pcac	yaxshiroq
hmac	daqiqa
hnas	mumkinemas
hwic	suv
twim	desiderativekayfiyat
kwan	yorug&#39;lik
tlat	so&#39;z
tyan	eshik
hsas	ertalab
syat	gacha
twik	terminativeishi
hpit	oqrang
pcan	pul
hyis	kambag&#39;al
mwan	o&#39;lim
hfam	shakl
nwik	inessiveishi
kcat	birga
tsac	ko&#39;pincha
pyat	do&#39;st
psan	yarim
hpim	imperativkayfiyat
hyuc	dumaloq
hfat	yuborilgan
hcis	rafiqa
kcan	iymon
hsik	ijtimoiy
htus	davlatkontekst
hpas	o&#39;g&#39;il
clat	bolalar
tyak	Shundayqilib,
cwan	umid
syin	aziz
hkuc	baland
tyac	o&#39;qib
syit	shahar
hlic	allaqachon
hfit	factivedaliliy
tcac	qiz
hcun	eshitmoq
ksan	kamida
hyaf	ehtimol
kyat	haqiqatdanham
tcic	badan
hwit	Qaytish
cwat	havo
hfaf	qonun
hput	Yordambering
lyat	xat
ksas	to&#39;rt
hpic	kerakkayfiyat
hfuk	yong&#39;in
hcam	soat
twat	urush
kyak	birnecha
tlit	ikkinchi
pcin	orqasida
hmut	yo&#39;qolgan
clan	ming
hfac	oila
twan	qalb
hwas	savol
syan	haqiqat
htis	qilish
tsat	salohiyatikayfiyat
lwik	allativeishi
nyin	antropikgender
hfak	besh
tcak	Shumavzumarker
htuc	turlimavzu
hnap	javob
hmit	dengiz
hcuc	qo&#39;rqinch
pcat	tushunish
syas	atamalar
hcaf	shubha
twut	dubitativekayfiyat
hkis	qora
tlak	olib
hyus	chiroyli
nyit	saralamoq
htip	o&#39;n
ksis	hikoya
hpuk	kitob
hlin	elektron
hkun	hisob
lyas	qiziqish
lyit	yozish
pwat	karavot
hnis	yosh
hnut	shartlicounterfactual
slas	san&#39;at
hwis	vialisishi
pyak	aka
lyin	chiziq
tyas	stol
hyun	daryo
kyac	ko&#39;z
tfan	to&#39;satdan
kcin	chuqur
hmuc	maqsadi
cyac	qon
hmap	atirgul
tlin	sovuq
hyif	olg&#39;a
tyam	kech
hnaf	deylik
hkip	deyarli
myan	meniki
tsin	bilim
hkup	nusxa
hsam	er
hlis	olti
cwit	hayot
cyan	tinchlik
myat	eslayman
tyic	tabiiy
hfut	kuz
swas	xizmat
hsap	tashqari
pcit	mualliflikhuquqi
hyim	armiya
kyas	ot
plic	kelajak
pcak	g&#39;arb
hpis	to&#39;lov
hyuk	qizil
hwun	oltin
twin	istak
plan	o&#39;yin
hpus	idora
syun	hukumat
kyic	cherkov
htaf	kuch
hlun	uzunlik
kyin	kompaniya
kyis	qog&#39;oz
mlan	ehtimollik
hcim	ayniqsa
cyas	ayiq
twac	deraza
nyat	go&#39;zallik
hcus	ikkinchisi
htup	burch
htif	masofa
pyas	oyoq
hlas	yovvoyi
ksin	yashil
hmaf	tashvish
myac	tabassum
hsim	uyqu
kyit	undefined
kwik	quotativeishi
fwan	tashrifi
slan	rioya
psit	hozirbo&#39;lish
hmic	shirin
hmuf	og&#39;iz
hfin	boy
tcam	dushman
psuk	singan
kcap	kema
pwan	inklyuzivshaxs
hfic	ta&#39;sir
tcuc	paydo
hkim	sir
pyin	Iltimos
pwit	precativekayfiyat
pyit	muloyimreestri
cwak	yomon
myak	qadamtashlamoq
tcas	joylar
hlaf	qolish
psat	o&#39;rniga
nlan	ko&#39;k
psac	imkonsiz
kcuk	maktab
kcit	uylangan
kcak	ovqat
syis	yigirma
tlac	sokin
hcip	istiqbolliyo&#39;nalishi
kwin	berib
tsit	to&#39;xtadi
pyac	til
hsus	xafta
hcup	zal
cyap	hayron
tfin	tug&#39;ma
fyat	sud
hnip	gnomicjihati
tsak	hurmat
tlas	qiymat
syuc	daraxt
plat	devor
cyak	samo
twip	boshlashifodaetganjihati
mlat	buyruq
swit	buyruqtarzidagikayfiyat
mwas	oy
hwaf	a&#39;lo
tyap	tajriba
ksac	vaziyat
syac	yangi
hnuk	Dyuk
kwak	qoplangan
tyuk	sharq
pwac	tosh
hkif	ezgu
nyac	yo&#39;nalish
cyis	stul
tyuc	kutish
tsun	qishloq
tyik	rozi
hnum	ruxsatkayfiyat
slak	muvaffaqiyat
tsic	harakat
slat	tepalik
hmik	musiqa
hkus	hayqiriq
hsip	Yetti
hpaf	shaxsiy
nwas	Yangiliklar
tfac	sahna
fyan	bog&#39;
cwas	boshlash
hfik	taqsimotishi
lyac	o&#39;rganish
syik	siyosiy
clin	Genri
cyin	yolg&#39;on
tsas	tashlab
cyik	hokimiyat
tlap	pol
cyam	yoz
tcut	din
tcap	qochish
hlut	muallif
pyun	jigarrang
tcuk	og&#39;riq
swan	bahor
hmun	yumshoq
kyun	burchak
nyak	savdobelgisi
tsis	adolatlilik
psas	mahsulot
cyaf	kulmoq
hwut	unutish
hyup	Evropa
hwap	sakkiz
psak	o&#39;lim
kyap	qo&#39;rqinchli
pyic	talab
hmim	o&#39;rta
hsaf	nafasolish
hmis	dono
hsum	egalikmarker
ksat	yoqimli
ksit	qabr
tsap	orol
kyam	lager
tcum	tegish
cyun	boylik
psic	qirg&#39;oq
tyun	domen
mwit	commissivekayfiyat
tlut	gradus
myit	qish
kfan	xulq
slac	yugurish
myin	daqiqa
tyip	qo&#39;rg&#39;oshin
klas	shisha
pfat	taxta
cyic	sanoqli
swam	ishlar
syam	xavfsiz
tsut	shifokor
hlip	so&#39;nggijihati
kcas	qorong&#39;ilik
nyun	iliq
hpuc	ichimlik
tlam	misol
hfun	g&#39;azab
tsik	xusumat
tsam	to&#39;g&#39;ridan-to&#39;g&#39;ri
hmup	shlyapa
klak	it
slin	kumush
swac	xizmatkori
kcam	faxr
pyik	poezd
myut	ahloqiy
syak	kiritish
swat	qilich
kyuk	hujum
clac	sog&#39;lik
tyaf	paragraf
swic	ijtimoiy
tfit	qoplash
hkaf	rasmiy
pcas	ko&#39;ztashlamoq
nyam	shuhrat
tfat	o&#39;nikki
pcut	shug&#39;ullanuvchi
pwin	vino
mwat	ta&#39;m
fyac	temir
syap	tarqatish
myap	savdo
hyum	foydalanish
fwak	sudya
klat	kapitan
twap	cessativejihati
kcic	qiziquvchan
kwic	ajnabiy
