hnit	bấtđịnhcách
hnak	đượcbổnhiệmtrườnghợp
hkak	đốicáchtrườnghợp
htak	chủđềtrườnghợp
hpap	cha
hmam	mẹ
hyat	củachamẹ
hcan	chàobạn
hwik	hôcáchtrườnghợp
hsuc	tổtiên
htat	ôngbà
hcac	đói
hnik	tánhcáchtrườnghợp
hcit	tínhtừ
hwan	và
hman	tôi
hnan	bạn
hwam	chúngtôi
htit	nó
htac	nơiđếntrườnghợp
htik	quyềngiámhộtrườnghợp
hyit	realistâmtrạng
htim	deontictâmtrạng
hcut	cóđiềukiệntâmtrạng
hsit	trithứctâmtrạng
hyak	instrumentaltrườnghợp
htan	Nộiđịabốicảnh
hpan	mộtngườibốicảnh
htin	mệnhđềđộclập
hyan	phụthuộcđiềukhoản
hfap	hoànbịdiệnmạo
hkat	quákhứcăng
hnin	đànôngtính
hmak	comitativetrườnghợp
hnat	hiệntạicăng
hpak	benefactivetrườnghợp
swik	essivetrườnghợp
htut	dùngđểphủđịnhlượnghóa
hsan	bềmặtbốicảnh
hpin	adpositionaltrườnghợp
hwin	vịtrítrườnghợp
hkan	khônggianbốicảnh
hnac	đườngtrườnghợp
hyut	nghivấntâmtrạng
hnam	vàhoặclà
hkit	độcquyềnhoặc
hsuk	nguồntrườnghợp
hpik	vănbiểulatinhtrườnghợp
hcat	gần
hmat	chỉthị
hkuk	khoảnđuôi
hlan	nhưng
hsut	toànbộ
hyin	thếgiớilượnghóa
hcin	giốngcáitính
hpac	sốnhiềuconsố
hyik	một
htic	củahọ
hkik	ai
tcat	Tươnglaicăng
hsin	xãhộibốicảnh
hkac	Khinào
hmip	khôngtrọnvẹndiệnmạo
klan	chỗđó
hlak	họhàngtrườnghợp
hlik	kếtthúctrườnghợp
htam	chỉthịkhísắc
hlat	khôngbắtbuộclượnghóa
hkam	cáigì
hwat	câuhỏilời
htap	liênhiệptiếptừ
hpat	mộtngười
nyan	Nam
hkas	cóthể
tcan	khác
hnuc	consố
twit	quảquyếtlượnghóa
hsak	thờigianbốicảnh
htuk	thờigiantrườnghợp
htun	chỉ
htum	cóýkhuyếnkhíchkhísắc
hyip	quákhứdiệnmạo
hlit	volitivetâmtrạng
pcic	cần
tyut	sốhai
hsat	nhìnthấy
hkut	biết
hcic	xuống
hcap	sau
hpam	Thứnhất
hlac	cóthểsangchiếmhữu
hkap	khôngbaogiờ
hnic	khôngthểchochiếmhữu
tyat	cũ
tcit	cóquyềnthảoluậntâmtrạng
tcin	ngày
hlam	đến
hwak	nguyênâm
hkin	đi
lwak	perlativetrườnghợp
hpip	cấptiếndiệnmạo
lyan	Dài
hsac	nóirằng
kyan	làmcáchnào
htas	lạimộtlầnnữa
hsic	chỗnày
hcik	nghĩ
hcak	Dướibốicảnh
hfan	tìmthấy
hsun	tay
hyac	cũngthế
nwan	trẻ
tyit	chốnglại
tlan	thần
twak	delativetrườnghợp
hmin	chẳngcógì
hyas	mộtkhi
hlap	semelfactivediệnmạo
kcac	rời
hyic	cáicưa
hcas	Nhà
hwac	thếgiới
tyin	sốba
hnun	tân
hcuk	chútrọng
pyan	thânái
hsis	luônluôn
hyam	đêm
hyap	Vua
hkic	giữa
hmas	lítrí
cyit	hìnhtráitim
pluc	paucalconsố
kyik	bởivì
ksak	nguyênnhântrườnghợp
tcun	làmxong
hnim	têngọi
tsan	đúngdanhtừ
klac	đấtnước
hpun	hỏi
cyat	cóthểnhìnthấychứngcớ
pcac	tốthơn
hmac	chốclát
hnas	khôngthể
hwic	nước
twim	desiderativetâmtrạng
kwan	nhẹ
tlat	lời
tyan	cánhcửa
hsas	buổisáng
syat	chotớikhi
twik	terminativetrườnghợp
hpit	màutrắng
pcan	tiềnbạc
hyis	nghèonàn
mwan	cáichết
hfam	mẫuđơn
nwik	inessivetrườnghợp
kcat	bênnhau
tsac	thường
pyat	bạnbè
psan	mộtnửa
hpim	bắtbuộctâmtrạng
hyuc	tròn
hfat	gởi
hcis	ngườivợ
kcan	tin
hsik	côngcộng
htus	tiểubangbốicảnh
hpas	Contrai
clat	bọntrẻ
tyak	nhưvậy
cwan	mongước
syin	kínhthưa
hkuc	cao
tyac	đọc
syit	thànhthị
hlic	rồi
hfit	factivechứngcớ
tcac	congái
hcun	Nghe
ksan	ítnhất
hyaf	cólẽ
kyat	quảthật
tcic	cơthểngười
hwit	trởvề
cwat	hàngkhông
hfaf	luậtpháp
hput	cứugiúp
lyat	láthư
ksas	bốn
hpic	nguyệnvọngpháptâmtrạng
hfuk	lửa
hcam	giờ
twat	chiếntranh
kyak	mộtsố
tlit	thứhai
pcin	phíasau
hmut	đilạc
clan	mộtngàn
hfac	giađình
twan	Linhhồn
hwas	câuhỏi
syan	sựthật
htis	chếtạo
tsat	tiềmnăngtâmtrạng
lwik	allativetrườnghợp
nyin	anthropictính
hfak	năm
tcak	giốngnhauđốitượngđánhdấu
htuc	khácnhauđốitượng
hnap	bàigiải
hmit	biển
hcuc	nỗisợ
pcat	hiểurõ
syas	cácđiềukhoản
hcaf	nghingờ
twut	dubitativetâmtrạng
hkis	màuđen
tlak	manglại
hyus	đẹp
nyit	loại
htip	mười
ksis	câuchuyện
hpuk	sách
hlin	điệntử
hkun	tàikhoản
lyas	làmquantâm,thíchthú
lyit	viết
pwat	giườngngủ
hnis	lứatuổi
hnut	đốichứngcóđiềukiện
slas	mônvẽ
hwis	vialistrườnghợp
pyak	anhem
lyin	dòng
tyas	bàn
hyun	consông
kyac	mắt
tfan	bỗngnhiên
kcin	sâu
hmuc	mụcđích
cyac	máu
hmap	bônghồng
tlin	lạnh
hyif	phíatrước
tyam	trễ,muộn
hnaf	giảsử
hkip	Gần
myan	mìn
tsin	hiểubiết
hkup	bảnsao
hsam	chồng
hlis	sáu
cwit	sống
cyan	hòabình
myat	ghinhớ
tyic	tựnhiên
hfut	gụcngã
swas	dịchvụ
hsap	ngoạitrừ
pcit	bảnquyền
hyim	quânđội
kyas	conngựa
plic	Tươnglai
pcak	hướngTây
hpis	trả
hyuk	đỏ
hwun	vàng
twin	khaokhát
plan	chơi
hpus	vănphòng
syun	chínhphủ
kyic	nhàthờ
