ni	bấtđịnhcách
na	đượcbổnhiệmtrườnghợp
ka	đốicáchtrườnghợp
ta	chủđềtrườnghợp
ca	chàobạn
wu	hôcáchtrườnghợp
kcah	đói
ti	tánhcáchtrườnghợp
ci	tínhtừ
wa	và
mi	tôi
sa	bạn
nyah	chúngtôi
ya	nó
ma	nơiđếntrườnghợp
yi	quyềngiámhộtrườnghợp
li	realistâmtrạng
tu	deontictâmtrạng
cu	cóđiềukiệntâmtrạng
si	trithứctâmtrạng
yu	instrumentaltrườnghợp
nu	Nộiđịabốicảnh
pa	mộtngườibốicảnh
tyah	mệnhđềđộclập
la	phụthuộcđiềukhoản
fa	hoànbịdiệnmạo
ki	quákhứcăng
ne	đànôngtính
mwah	comitativetrườnghợp
ra	hiệntạicăng
pwah	benefactivetrườnghợp
swih	essivetrườnghợp
no	dùngđểphủđịnhlượnghóa
pi	bềmặtbốicảnh
da	adpositionaltrườnghợp
te	vịtrítrườnghợp
to	khônggianbốicảnh
ga	đườngtrườnghợp
ri	nghivấntâmtrạng
ba	vàhoặclà
ku	độcquyềnhoặc
so	nguồntrườnghợp
pwih	vănbiểulatinhtrườnghợp
ksah	gần
tsah	chỉthị
ko	khoảnđuôi
pyah	nhưng
wi	thếgiớilượnghóa
ji	giốngcáitính
pu	sốnhiềuconsố
bi	Tươnglaicăng
co	xãhộibốicảnh
me	khôngtrọnvẹndiệnmạo
klah	chỗđó
twah	họhàngtrườnghợp
twih	kếtthúctrườnghợp
di	chỉthịkhísắc
tlah	khôngbắtbuộclượnghóa
kyah	cáigì
tcah	câuhỏilời
ja	liênhiệptiếptừ
cyah	mộtngười
clah	khác
do	consố
tlih	quảquyếtlượnghóa
se	thờigianbốicảnh
myah	thờigiantrườnghợp
tyuh	chỉ
tcih	cóýkhuyếnkhíchkhísắc
tyih	quákhứdiệnmạo
lo	volitivetâmtrạng
cwah	sau
nlah	cóthểsangchiếmhữu
nlih	khôngthểchochiếmhữu
cyih	cóquyềnthảoluậntâmtrạng
lwah	perlativetrườnghợp
pfih	cấptiếndiệnmạo
tsih	chỗnày
ce	Dướibốicảnh
pcah	cũngthế
lwih	delativetrườnghợp
swah	semelfactivediệnmạo
nyih	tân
fu	chútrọng
plah	thânái
po	paucalconsố
kyih	bởivì
ksih	nguyênnhântrườnghợp
gi	têngọi
tfah	đúngdanhtừ
crih	cóthểnhìnthấychứngcớ
kceh	tốthơn
dwih	desiderativetâmtrạng
wo	lời
srah	chotớikhi
tweh	terminativetrườnghợp
nwih	inessivetrườnghợp
pcih	bắtbuộctâmtrạng
crah	tin
ro	tiểubangbốicảnh
cwih	mongước
kwih	factivechứngcớ
fi	trởvề
psih	nguyệnvọngpháptâmtrạng
tseh	tiềmnăngtâmtrạng
lweh	allativetrườnghợp
nrih	anthropictính
tceh	giốngnhauđốitượngđánhdấu
re	khácnhauđốitượng
croh	nỗisợ
mrah	hiểurõ
cyuh	nghingờ
twuh	dubitativetâmtrạng
myih	đẹp
lyih	làmquantâm,thíchthú
flah	đốichứngcóđiềukiện
we	vialistrườnghợp
clih	lạnh
pyih	hòabình
su	ngoạitrừ
kwah	khaokhát
le	chiềudài
bo	xácsuất
mlah	rắcrối
syah	nụcười
slih	ngủ
zi	tríchdẫn
twoh	quotativetrườnghợp
mo	baohàmmộtngười
kcih	làmơn
rwih	precativetâmtrạng
mrih	lịchsựghidanh
rwah	tiềmnăngdiệnmạo
cyeh	ngạcnhiên
go	châmngôndiệnmạo
tsoh	kínhtrọng
za	mởđầudiệnmạo
jwih	JUSSIVEtâmtrạng
mwih	chophéptâmtrạng
sloh	sựthànhcông
prih	riêngtư
de	phânphốitrườnghợp
tcoh	đau
ryah	cười
mlih	khônngoan
ye	trườnghợpchiếmhửuđánhdấu
ke	commissivetâmtrạng
creh	hưkhông
mweh	đểbổxungdiệnmạo
nrah	nóng
nroh	Sựphẫnnộ
bwah	Mặcdù
trah	niềmtựhào
mroh	luânlý
slah	Sứckhỏe
syih	xãhội
pe	đìnhchỉdiệnmạo
krih	Hiếukỳ
tfih	khuếch
fe	cuốicùng
prah	quamộtbên
trih	chứngcớ
nwah	chứngcớtrườnghợp
srih	buồn
zo	zoictính
nweh	eventivetâmtrạng
cwoh	giốngnhaubiếncốđánhdấu
plih	nhângiốngtrườnghợp
dwah	mongmuốn
kcoh	mệt
drah	hàilòng
lu	đầucơtâmtrạng
frih	quenghidanh
frah	bịthương
mruh	nguxuẩn
djih	sựcảmthông
krah	cảmtạ
cruh	xấuhổ
fyah	cụmtừđánhdấu
ryih	địnhtrước
kruh	đắng
tyeh	bảnvăn
kreh	hungác
tleh	hesternalcăng
kfah	sựhysinh
dyih	chánghét
cloh	hợplýtính
nloh	hưởngthụ
psah	tuyệtvọng
sleh	thựcvậttính
nruh	vôtội
drih	sựkhâmphục
sroh	sựthathứ
brih	căncứ
kluh	nhầmlẫn
bwih	lểgiángphướckhísắc
klih	phạmtội
grih	dốt
nyeh	sángkiếntrườnghợp
nleh	khiêmtốn
dlih	bịhoãnbắtbuộc
proh	báocáochứngcớ
mloh	usầu
du	sốít
jrih	kiênnhẫn
freh	thamchiếu
kloh	côđộc
kroh	quyếnrũ
tcuh	hănghái
kcuh	dòngcảmđiệnkhísắc
xa	đàmluậnbốicảnh
nreh	lolắng
pseh	diệnmạo
ge	đạilý
mu	khuyênbảotâmtrạng
byah	Hoàibão
pcoh	Đông
treh	Chỉđườngchứngcớ
yo	nhátgantâmtrạng
cwuh	sốc
tloh	mớiđâyquákhứcăng
dlah	xácđịnhbàibáo
cluh	xấuxí
myuh	hài
dyah	xachỉthị
rwuh	ghentuông
troh	trùrủatâmtrạng
dzih	thờơ
swuh	kiêucăngtâmtrạng
bzah	đùa
gwih	cụthểlà
dloh	thuộcvềngàynaycăng
dweh	delimitativediệnmạo
kweh	độcquyềnmộtngười
truh	nhiệtđộ
tfeh	telicdiệnmạo
lyeh	atelicdiệnmạo
ru	cấmtâmtrạng
kfih	trẻcon
cyoh	khảnghi
nluh	lòngtrungthành
cweh	bẩy
nwoh	hoạthình
sruh	xúcđộng
ksoh	tìnhdục
lyah	lườibiếng
mreh	momentanediệnmạo
pceh	hốihận
bjih	trướcđâyngườichết
pcuh	tínhkhôngchắcchắn
xi	thườnglệdiệnmạo
blih	giáp
tsuh	tầmthường
fwih	Hùngvĩ
grah	sựnịnhhót
brah	độcđoán
cleh	nhântừ
sreh	chínhthứcghidanh
pfah	cólợi
droh	thínhgiácchứngcớ
flih	suyluậnchứngcớ
sweh	Sublativetrườnghợp
ksuh	khaibáotâmtrạng
pleh	đặcquyền
psoh	bấtkhảchiếnbại
be	bằnglờinói
mwoh	sựảotưởng
kleh	khốn
glah	thamlam
kseh	khẳngđịnhtâmtrạng
zrah	khôngbằnglòng
dyoh	idiophone
syoh	kinhngạc
gwah	quáđángtrườnghợp
zlih	irrealistâmtrạng
zrih	nhútnhát
byih	thíchứng
ryeh	đạidanhtừđánhdấu
fwah	thanhđạm
bjah	ngâyngất
kxah	bìnhthản
gvih	pegativetrườnghợp
pxih	sựbiệnhộ
xrah	hếthạn
tfoh	từràyvềsau
kxih	sựănnăn
ryoh	prosecutivetrườnghợp
qyah	sựlolắng
r6	phântừ
txah	xaquákhứcăng
xrih	lịchsửcăng
dxah	haiconsố
syuh	siêu
vweh	làmviệcquásức
n6	cảmchứngcớtâmtrạng
bweh	sựámảnh
xlih	vuivẻ
txih	làmđaunhức
sluh	tựhàilòng
txoh	vậnđộngkhókhăn
xe	quákhứ
pxah	lừaphỉnh
vwah	vậnđộngxuốngdốc
xyih	ưutú
fleh	biếncách
psuh	superessivetrườnghợp
syeh	ngườidâmdục
qi	tha
xruh	khúmnúm
zwah	wow
tr6h	vậnđộngthượngnguồn
qwah	khôngcóthamvọng
xlah	khắpthếgiới
tyoh	tựđộngtừ
tluh	anticlimax
qa	hiệntạiliênquanđánhdấu
kxoh	chómệtmỏi
rwoh	thứtự
ve	vector
kyoh	ký
swoh	nốitiếp
pxeh	bộphậnngữtrườnghợp
txeh	chửdùngthêmý
dxih	nhậnchắc
pxoh	prolativetrườnghợp
pfoh	procụmtừ
blah	chán
fyih	khôngNhânloại
xo	diễnviênvaitrò
pc6h	thửnghiệmconsố
greh	trungtâmtrườnghợp
groh	mụctiêucòsúng
dxoh	ởgiữagiọngnói
rweh	xiêntrườnghợp
xwah	bệnhnhântrườnghợp
xu	thuộcvềngàynaytrước
xroh	mặc-ra
ks6h	chỉnguyênnhân
vi	nhịphâncógiátrị
dleh	phươngthứctrườnghợp
gjeh	else-if
xreh	đồngnghiệp
lwoh	trườngsởcáchtrườnghợp
ml6h	multalconsố
gjih	Thiênhàtính
qlah	ngôisaotính
bvih	abessivetrườnghợp
dvah	adessivetrườnghợp
je	agentivetrườnghợp
t6	đạilýcòsúng
kxeh	đếntrườnghợp
gxih	chungtính
tc6h	tríchdẫnhìnhthức
ts6h	xuyênsố
ryuh	Chỉđườngvật
gveh	ergativetrườnghợp
pyoh	thụđộnggiọngnói
qe	cóhạnđộngtừ
xwih	tiểuhọcvật
myoh	châmngôntâmtrạng
vrih	cuốicùnghạt
va	evitativetrườnghợp
bveh	subessivetrườnghợp
dxeh	chiếmhữutrườnghợp
dvih	lativetrườnghợp
tsa7h	antessivetrườnghợp
dyeh	thuộcvềtrạngtừtrườnghợp
mleh	độngtính
pfeh	đồngcảmvuisướng
xleh	xecộtính
qlih	khoángchấttính
xloh	bằnglờinóidanhtừ
dreh	thứhaingônngữ
bvah	tựsựtựtin
qrah	thayđổicủabiếncố
fo	khácnhaubiếncố
sl6h	crastinalcăng
fyoh	phảnxạgiọngnói
bxih	vũtrụtính
jlih	thađộngtừ
kyeh	địabàntính
txuh	nghiêncứutính
s6	nghệthuậttính
preh	bệnhnhâncòsúng
sr6h	trừutượngtính
nyoh	giántiếpphátbiểu
zreh	exocentrictrườnghợp
kfeh	quákhứhoànbị
jo	nhânhóađộngtừ
kxuh	tậphợpdanhtừ
bu	absolutivetrườnghợp
qrih	hànhtinhtính
kfoh	cốtlõibenefactive
kwoh	kếthợptrườnghợp
pluh	tốithượngtrườnghợp
jrah	điệnhiệnhành
glih	vôhồntính
p6	propositivetâmtrạng
vrah	đốiứnggiọngnói
lyuh	kếtiếpđiềukhoản
gleh	SớmTươnglaicăng
lyoh	applicativegiọngnói
ps6h	antipassivegiọngnói
tfuh	vừaliêntụcdiệnmạo
nr6h	necessitativetâmtrạng
pr6h	thụđộngphântừ
sy6h	hiệnsinhđiềukhoản
qyih	chóilọicườngđộ
gluh	singulativeconsố
kwuh	quáđángthờigian
xyah	Độcthânhoạtđộngđộngtừ
vlih	tốithượngtrìnhđộ
djah	hiệntạiphântừ
m6	lượngcủavậtchất
ti7	liênkếthạt
f6	tháptựhìnhvị
tli7h	xaTươnglaicăng
si_	postpositionaltrườnghợp
l6	đoạnvănđồngý
k6	liêndiểndiệnmạo
bzih	phânphốiđạidanhtừ
tu7	floating-point-số
vo	verb-hậutố
ki7	quákhứthụđộngphântừ
ta_	trườngsởcáchhướngtrườnghợp
