ni	nfi
na	kwimekooyintloko
ka	kwimekoaccusative
ta	kwimekonesihloko
ca	mholweni
wu	kwimekosibizi
kcah	lambile
ti	kwimekogenitive
ci	isiphawuli
wa	kwaye
mi	mna
sa	nina
nyah	thina
ya	kuyo
ma	kwimekoyendawo
yi	lwenjongosenzi
li	moodrealis
tu	mooddeontic
cu	moodenemiqathango
si	moodepistemic
yu	kwimekosisixhobo
nu	elingaphakathinomxholo
pa	umntuumxholo
tyah	igatyaelizimeleyo
la	igatyaixhomekeke
fa	umbaperfective
ki	ixeshaelidlulile
ne	abangamakhwenkwe
mwah	kwimekocomitative
ra	kwisimosangoku
pwah	kwimekosihle
swih	kwimekoessive
no	quantifiernegatory
pi	kwimekoumphezulu
da	kwimekoadpositional
te	kwimekoekuyo
to	kwimekoisithuba
ga	ityalangendlela
ri	moodzogxininiso
ba	kunyeokanye
ku	kuphelaokanye
so	umthombokwimeko
pwih	kwimekoablative
ksah	ukubakufuphi
tsah	sokukhomba
ko	igatyaumsila
pyah	kodwa
wi	quantifierjikelele
ji	ubukhomokazi
pu	inaniisininzi
bi	ixeshaelizayo
co	kwimekoyentlalo
me	umbaimperfective
klah	Pha
twah	kwimekoelative
twih	kwimekoillative
di	moodumyalelo
tlah	quantifierelective
kyah	Intoni
tcah	umbuzoilizwi
ja	copula
cyah	umntu
clah	omnye
do	inani
tlih	quantifierkukuzimela
se	umxholonexesha
myah	kwimekosixunela
tyuh	kuphela
tcih	moodhortative
tyih	nkalozilandelayoukuqalela
lo	moodvolitive
cwah	emva
nlah	ilifaalienable
nlih	ilifaneemfanelo
cyih	moodyengxoxo
lwah	mzekeloka-
pfih	umbawenkqubela
tsih	Apha
ce	phantsikwemeko
pcah	ngokunjalo
lwih	kwimekodelative
swah	nombasemelfactive
nyih	neo
fu	ingqwalasela
plah	uthando
po	inanipaucal
kyih	kuba
ksih	mzekelowoko
gi	igama
tfah	soqobo
crih	nobungqinaebonakalayo
kceh	ngcono
dwih	mooddesiderative
wo	igama
srah	kude
tweh	kwimekoterminative
nwih	kwimekombeissa
pcih	moodkunyanzelekile
crah	kholelwa
ro	kwimekokarhulumente
cwih	ithemba
kwih	nobungqinafactive
fi	buya
psih	moodoptative
tseh	imoezinokubakho
lweh	kwimekoallative
nrih	isinianthropic
tceh	efanayonjengommakishikwisifundo
re	ezahlukeneyozezifundo
croh	uloyiko
mrah	qonda
cyuh	amathandabuzo
twuh	mooddubitative
myih	entle
lyih	umdla
flah	counterfactualenemiqathango
we	kwimekovialis
clih	ingqele
pyih	uxolo
su	ngaphandle
kwah	umnqweno
le	ubude
bo	linokuba
mlah	inkathazo
syah	uncumo
slih	ukulala
zi	undefined
twoh	kwimekoquotative
mo	umntuwonke
kcih	ndiyacela
rwih	moodprecative
mrih	irejistasentlonelo
rwah	nkalokuba
cyeh	ukumangaliswa
go	umbagnomic
tsoh	intlonipho
za	umbainchoative
jwih	moodjussive
mwih	moodzibhuqe
sloh	impumelelo
prih	abucala
de	kwimekokwabiwa
tcoh	intlungu
ryah	hleka
mlih	lumkile
ye	mmakishiisimnini
ke	moodcommissive
creh	ngelize
mweh	umbacompletive
nrah	efudumeleyo
nroh	umsindo
bwah	nangona
trah	iqhayiya
mroh	yokuziphatha
slah	impilo
syih	zentlalo
pe	umbacessative
krih	zobugqi
tfih	intensifier
fe	ekugqibeleni
prah	bucala
trih	nobungqina
nwah	kwimekonobungqina
srih	ukukhazeka
zo	zoicisini
nweh	eventivemood
cwoh	njengommakishiisiganekoesinye
plih	kwimekophinda
dwah	ozifunayo
kcoh	udiniwe
drah	yanelisekile
lu	moodlentelekelelo
frih	irejistaeziqhelekileyo
frah	ababuleweyo
mruh	Sidengendini
djih	uvelwano
krah	bulela
cruh	ihlazo
fyah	ibinzanaummakishi
ryih	undefined
kruh	ekrakra
tyeh	itekisi
kreh	ngenkohlakalo
tleh	hesternallangoku
kfah	umbingelelo
dyih	intiyo
cloh	isinikakhulu-
nloh	vuyela
psah	lithemba
sleh	isinivegetal
nruh	msulwa
drih	ukuncoma
sroh	xolela
brih	isiseko
kluh	isiphithiphithi
bwih	moodbenedictive
klih	netyala
grih	ningazi
nyeh	ityalainyathelo
nleh	othobekileyo
dlih	kunyanzelekileLibazisa
proh	ingxelonobungqina
mloh	ludandatheko
du	isinye
jrih	umonde
freh	Imihlathana
kloh	ndililolo
kroh	umtsalane
tcuh	ihlombe
kcuh	moodkwiimfundiso
xa	kwimekointetho
nreh	luvo
pseh	umba
ge	arhente
mu	moodadmonitive
byah	namabhongo
pcoh	ezixineneyo
treh	nobungqinangqo
yo	moodesoyika
cwuh	umothuko
tloh	yakutshanjeeladlulayo
dlah	inqakuarticle
cluh	ugly
myuh	uburharha
dyah	distalsokwalatha
rwuh	onekhwele
troh	moodimprecative
dzih	ukungakhathali
swuh	moodassumptive
bzah	nidlala
gwih	ezizezi
dloh	hodiernallangoku
dweh	umbadelimitative
kweh	umntukuphela
truh	iqondolobushushu
tfeh	umbatelic
lyeh	umbaatelic
ru	moodelixhome
kfih	-nobuntwana
cyoh	Balumkele
nluh	ukunyaniseka
cweh	umgibe
nwoh	enentshukumo
sruh	mnandi
ksoh	esini
lyah	eyonqenayo
mreh	umbamomentane
pceh	undefined
bjih	owayesakubaongasekhoyo
pcuh	ukungaqiniseki
xi	umbakobubi
blih	ongqongwe
tsuh	engenamsebenzi
fwih	iingangamsha
grah	undefined
brah	engenasizathu
cleh	undefined
sreh	irejistaesesikweni
pfah	luncedo
droh	nobungqinaozimameleyo
flih	nobungqinasokulinganisa
sweh	kwimekosublative
ksuh	moodsisibhengezo
pleh	nelungelo
psoh	undefined
be	ngomlomo
mwoh	undefined
kleh	undefined
glah	ukunyoluka
kseh	affirmativemood
zrah	ukunganeliseki
dyoh	ideophone
syoh	undefined
gwah	kwimekoexessive
zlih	moodirrealis
zrih	ukubaneentloni
byih	nolwamkelo
ryeh	isimelabizoummakishi
fwah	Yonga
bjah	undefined
kxah	equanimity
gvih	kwimekopegative
pxih	Ibango
xrah	undefined
tfoh	undefined
kxih	ukuzohlwaya
ryoh	kwimekoprosecutive
qyah	ozixakekise
r6	senzi
txah	ekudeixeshaeladlulayo
xrih	zembalilangoku
dxah	inanikabini
syuh	super
vweh	undefined
n6	moodsensorynobungqina
bweh	emntwiniothile
xlih	hilarious
txih	undefined
sluh	undefined
txoh	isindululoinduli
xe	ukuqalela
pxah	undefined
vwah	isindululolongele
xyih	elite
fleh	oluguqulweyo
psuh	kwimekosuperessive
syeh	undefined
qi	transitive
xruh	urhwaqele
zwah	Wowu
tr6h	isindululoenxuse
qwah	undefined
xlah	ehlabathinilonke
tyoh	injongosenzi
tluh	vuthondaba
qa	njengommakishiukufanelekayangoku
kxoh	undefined
rwoh	ngokulandelelanisa
ve	yomzobo
kyoh	undefined
swoh	olulandelelanayo
pxeh	kwimekopartitive
txeh	augmentative
dxih	ngetekisi
pxoh	kwimekoprolative
pfoh	ibinzanapro
blah	blase
fyih	nonoluntu
xo	indimaweqonga
pc6h	inombolokwetyala
greh	kwimekoyinkampaniebka
groh	umnyeleinjongo
dxoh	ilizwiphakathi
rweh	kwimekongokumileyo
xwah	kwimekoisigulane
xu	prehodiernal
xroh	iphelile
ks6h	enikwe
vi	ixabisoyokubini
dleh	kwimekoethumayo
gjeh	umntuukuba
xreh	naye
lwoh	kwimekolocative
ml6h	inanimultal
gjih	kumnyeleisini
qlah	starisini
bvih	kwimekoabessive
dvah	kwimekoadessive
je	kwimekoagentive
t6	arhenteumnyele
kxeh	womzekelo
gxih	isinieqhelekileyo
tc6h	ifomuesicatshuliweyo
ts6h	inaniyothutho
ryuh	intongqo
gveh	kwimekoergative
pyoh	ilizwielingavumi
qe	isenziezisikelwe
xwih	injongoephambili
myoh	moodgnomic
vrih	isuntswanalokugqibela
va	kwimekoevitative
bveh	kwimekosubessive
dxeh	ityalaophethwe
dvih	imekouku-
tsa7h	kwimekoantessive
dyeh	kwimekoizibaluli
mleh	azenziisini
pfeh	uvuyonovelwano
xleh	isithuthiisini
qlih	yezimbiwaisini
xloh	nounngomlomo
dreh	ulwimilwesibini
bvah	ukuzithemba
qrah	utshintshoisiganeko
fo	isiganekoesahluke
sl6h	crastinallangoku
fyoh	voicekumenzi
bxih	indaloisini
jlih	transitiveisenzi
kyeh	kuyoisini
txuh	isiniuphando
s6	isini,ayile
preh	umnyelenomonde
sr6h	isiniabstract
nyoh	intethongqo
zreh	kwimekoexocentric
kfeh	perfectiveelidlulileyo
jo	isenziawungomntu
kxuh	nouncollective
bu	kwimekoabsolutive
qrih	isinilanga
kfoh	sihlecore
kwoh	kwimekonxu
pluh	kwimekoolubalaseleyo
jrah	yangokuyombane
glih	isiniezingaphiliyo
p6	moodpropositive
vrah	ilizwiukunikana
lyuh	igatyaolulandelelanayo
gleh	kungekudalakwixaelidlulileyo
lyoh	ilizwiapplicative
ps6h	ilizwiantipassive
tfuh	umbacontinutive
nr6h	moodnecessitative
pr6h	senzikwisixando
sy6h	igatyaamele
qyih	ngobunzululifu
gluh	inanisingulative
kwuh	ixeshaelininzi
xyah	enyeisenzi
vlih	ngomlinganiseloongenambaliso
djah	senzi
m6	isixakweziyobisi
ti7	isuntswanalwangaphandle
f6	affixepenthetic
tli7h	elizayoekudelangoku
si_	kwimekopostpositional
l6	isivumelwanoallocutive
k6	umbafrequentative
bzih	isimelabizokwabiwa
tu7	lencophoyokudada
vo	isenziancamathisele
ki7	eladlulayokwisixando
ta_	Kwimekolocativezokwalatha
