hnit	nfi
hnak	kwimekooyintloko
hkak	kwimekoaccusative
htak	kwimekonesihloko
hpap	utata
hmam	umama
hyat	lwabazali
hcan	mholweni
hwik	kwimekosibizi
hsuc	ukhokho
htat	notamkhulu
hcac	lambile
hnik	kwimekogenitive
hcit	isiphawuli
hwan	kwaye
hman	mna
hnan	nina
hwam	thina
htit	kuyo
htac	kwimekoyendawo
htik	lwenjongosenzi
hyit	moodrealis
htim	mooddeontic
hcut	moodenemiqathango
hsit	moodepistemic
hyak	kwimekosisixhobo
htan	elingaphakathinomxholo
hpan	umntuumxholo
htin	igatyaelizimeleyo
hyan	igatyaixhomekeke
hfap	umbaperfective
hkat	ixeshaelidlulile
hnin	abangamakhwenkwe
hmak	kwimekocomitative
hnat	kwisimosangoku
hpak	kwimekosihle
swik	kwimekoessive
htut	quantifiernegatory
hsan	kwimekoumphezulu
hpin	kwimekoadpositional
hwin	kwimekoekuyo
hkan	kwimekoisithuba
hnac	ityalangendlela
hyut	moodzogxininiso
hnam	kunyeokanye
hkit	kuphelaokanye
hsuk	umthombokwimeko
hpik	kwimekoablative
hcat	ukubakufuphi
hmat	sokukhomba
hkuk	igatyaumsila
hlan	kodwa
hsut	zonke
hyin	quantifierjikelele
hcin	ubukhomokazi
hpac	inaniisininzi
hyik	Nye
htic	zabo
hkik	ngubani
tcat	ixeshaelizayo
hsin	kwimekoyentlalo
hkac	nini
hmip	umbaimperfective
klan	Pha
hlak	kwimekoelative
hlik	kwimekoillative
htam	moodumyalelo
hlat	quantifierelective
hkam	Intoni
hwat	umbuzoilizwi
htap	copula
hpat	umntu
nyan	indoda
hkas	nako
tcan	omnye
hnuc	inani
twit	quantifierkukuzimela
hsak	umxholonexesha
htuk	kwimekosixunela
htun	kuphela
htum	moodhortative
hyip	nkalozilandelayoukuqalela
hlit	moodvolitive
pcic	kufuneka
tyut	Mbini
hsat	khangela
hkut	azi
hcic	phantsi
hcap	emva
hpam	Ekuqaleni
hlac	ilifaalienable
hkap	soze
hnic	ilifaneemfanelo
