ni	infinitive
na	nọminatífùnla
ka	akusétifùnla
ta	kokonla
ca	Pẹlẹo
wu	vocativenla
kcah	ebinpa
ti	jẹnítífùnla
ci	ajẹtífù
wa	ati
mi	mi
sa	tio
nyah	wa
ya	o
ma	nloirú
yi	dátífùnla
li	gidiiṣesi
tu	deonticiṣesi
cu	àídájúiṣesi
si	epistemiciṣesi
yu	reponla
nu	inuilohunsokeotọ
pa	eniyantiotọ
tyah	ominirafunwon
la	tiogbẹkẹlefunwon
fa	perfectiveaspect
ki	tiotikọjanira
ne	akoiwa
mwah	comitativenla
ra	bayinira
pwah	benefactivenla
swih	essivenla
no	negatoryquantifier
pi	dadaotọ
da	adpositionalnla
te	iponla
to	aayetiotọ
ga	ọnairú
ri	interrogativeiṣesi
ba	kiositabi
ku	iyasototabi
so	orisunirú
pwih	ablativenla
ksah	isunmọtosi
tsah	demonstrative
ko	funwoniru
pyah	ṣugbọn
wi	gbogboquantifier
ji	aboiwa
pu	akójọpọnọmba
bi	ojoiwajunira
co	awujotiotọ
me	imperfectiveaspect
klah	Nibẹ
twah	elativenla
twih	illativenla
di	itonitiiṣesi
tlah	electivequantifier
kyah	kini
tcah	ibeereọrọ
ja	copula
cyah	eniyan
clah	miiran
do	nọmba
tlih	assertivequantifier
se	akokotiotọ
myah	igbaisisiyinla
tyuh	nikan
tcih	hortativeiṣesi
tyih	iwẹhinwoaspect
lo	volitiveiṣesi
cwah	lẹhin
nlah	alienableiní
nlih	inalienableiní
cyih	idaboiṣesi
lwah	perlativenla
pfih	onitẹsiwajuaspect
tsih	Nibi
ce	labẹotọ
pcah	tun
lwih	delativenla
swah	semelfactiveaspect
nyih	Neo
fu	idojukọ
plah	niife
po	paucalnọmba
kyih	nitori
ksih	ifẹsẹmulẹnla
gi	orukọ
tfah	daranọun
crih	hanevidential
kceh	dara
dwih	desiderativeiṣesi
wo	ọrọ
srah	titi
tweh	terminativenla
nwih	inessivenla
pcih	dandaniṣesi
crah	gbagbo
ro	ipinleotọ
cwih	lero
kwih	factiveevidential
fi	pada
psih	optativeiṣesi
tseh	opọjuiṣesi
lweh	allativenla
nrih	anthropiciwa
tceh	kannakokosibomiiran
re	oyatọsikoko
croh	iberu
mrah	oye
cyuh	iyemeji
twuh	dubitativeiṣesi
myih	lẹwa
lyih	anfani
flah	counterfactualniàídájú
we	vialisnla
clih	tutu
pyih	alafia
su	ayafi
kwah	ifẹ
le	ipari
bo	iṣeeṣe
mlah	wahala
syah	smile
slih	orun
zi	undefined
twoh	quotativenla
mo	jumoeniyan
kcih	Jowo
rwih	precativeiṣesi
mrih	niwaForukọsilẹ
rwah	ifojusọnaaspect
cyeh	Iyanu
go	gnomicaspect
tsoh	ọwọ
za	inchoativeaspect
jwih	jussiveiṣesi
mwih	permissiveiṣesi
sloh	aseyori
prih	ikọkọ
de	lilesepinkanla
tcoh	irora
ryah	rẹrìn-
mlih	ọlọgbọn
ye	ìnísibomiiran
ke	commissiveiṣesi
creh	asan
mweh	completiveaspect
nrah	gbona
nroh	ibinu
bwah	p
trah	ìgbéraga
mroh	iwa
slah	ilera
syih	awujo
pe	cessativeaspect
krih	iyanilenu
tfih	intensifier
fe	nipari
prah	akosile
trih	evidential
nwah	evidentialnla
srih	ibanuje
zo	zoiciwa
nweh	eventiveiṣesi
cwoh	kannaiṣẹlẹsibomiiran
plih	multiplicativenla
dwah	fẹ
kcoh	bani
drah	didun
lu	speculativeiṣesi
frih	faramọForukọsilẹ
frah	odaran
mruh	aṣiwere
djih	anu
krah	dúpẹlọwọ
cruh	itiju
fyah	gbolohunsibomiiran
ryih	undefined
kruh	kikorò
tyeh	ọrọ
kreh	ìkà
tleh	hesternalnira
kfah	ẹbọ
dyih	kórìíra
cloh	onipiniwa
nloh	gbadun
psah	despair
sleh	vegetaliwa
nruh	alaiṣẹ
drih	admiration
sroh	pardon
brih	mimọ
kluh	iporuru
bwih	benedictiveiṣesi
klih	jẹbi
grih	ignorant
nyeh	initiativeirú
nleh	onírẹlẹ
dlih	letidandan
proh	royinevidential
mloh	melancholy
du	okan
jrih	sũru
freh	referential
kloh	níbẹ
kroh	rẹwa
tcuh	itara
kcuh	inductiveiṣesi
xa	ibanisọrọotọ
nreh	aifọkanbalẹ
pseh	aspect
ge	oluranlowo
mu	admonitiveiṣesi
byah	okanjuwa
pcoh	gbọran
treh	taaraevidential
yo	apprehensiveiṣesi
cwuh	mọnamọna
tloh	tošẹšẹtiotikọjanira
dlah	definitearticle
cluh	ilosiwaju
myuh	takiti
dyah	jijinademonstrative
rwuh	jowú
troh	imprecativeiṣesi
dzih	ainaani
swuh	assumptiveiṣesi
bzah	niyẹyẹ
gwih	eyun
dloh	hodiernalnira
dweh	delimitativeaspect
kweh	iyasotoeniyan
truh	otutu
tfeh	telicaspect
lyeh	atelicaspect
ru	prohibitiveiṣesi
kfih	ewe
cyoh	ifura
nluh	iṣootọ
cweh	pakute
nwoh	tiereidaraya
sruh	lorun
ksoh	ibalopo
lyah	ọlẹ
mreh	momentaneaspect
pceh	undefined
bjih	teleẹbi
pcuh	aidaniloju
xi	aaroaspect
blih	didi
tsuh	bintin
fwih	ọlá
grah	undefined
brah	lainidii
cleh	undefined
sreh	lodoForukọsilẹ
pfah	anfaniti
droh	afetigbọevidential
flih	inferentialevidential
sweh	sublativenla
ksuh	declarativeiṣesi
pleh	anfani
psoh	undefined
be	isorosi
mwoh	undefined
kleh	undefined
glah	okanjuwa
kseh	affirmativeiṣesi
zrah	dissatisfaction
dyoh	ideophone
syoh	undefined
gwah	exessivenla
zlih	irrealisiṣesi
zrih	ri
byih	aṣamubadọgba
ryeh	arọpòorúkọsibomiiran
fwah	frugal
bjah	undefined
kxah	equanimity
gvih	pegativenla
pxih	vindication
xrah	undefined
tfoh	undefined
kxih	contrition
ryoh	prosecutivenla
qyah	preoccupation
r6	participle
txah	latọnatiotikọjanira
xrih	itannira
dxah	mejinọmba
syuh	Super
vweh	undefined
n6	ifarakoevidentialiṣesi
bweh	aimọkan
xlih	panilerin
txih	undefined
sluh	undefined
txoh	išipopadauphill
xe	iwẹhinwo
pxah	undefined
vwah	išipopadabosile
xyih	Gbajumo
fleh	inflected
psuh	superessivenla
syeh	undefined
qi	transitive
xruh	cower
zwah	Iroohun
tr6h	išipopadaupriver
qwah	undefined
xlah	niagbaye
tyoh	intransitive
tluh	anticlimax
qa	lọwọlọwọibaramusibomiiran
kxoh	undefined
rwoh	ordinal
ve	fekito
kyoh	undefined
swoh	lesese
pxeh	partitivenla
txeh	augmentative
dxih	predicative
pxoh	prolativenla
pfoh	progbolohun
blah	blase
fyih	tikiiedaeniyan
xo	osereipa
pc6h	trialnọmba
greh	centricnla
groh	ìlépaokunfa
dxoh	arinohùn
rweh	obliquenla
xwah	alaisannla
xu	prehodiernal
xroh	gbó
ks6h	causative
vi	alakomejiiye
dleh	iponla
gjeh	mirantiobati
xreh	coworker
lwoh	locativenla
ml6h	multalnọmba
gjih	galaxyiwa
qlah	stariwa
bvih	abessivenla
dvah	adessivenla
je	agentivenla
t6	oluranlowookunfa
kxeh	toirú
gxih	wọpọiwa
tc6h	imofọọmu
ts6h	kabonumeral
ryuh	taaraohun
gveh	ergativenla
pyoh	paloloohùn
qe	adópinìse
xwih	jcohun
myoh	gnomiciṣesi
vrih	ikpatiku
va	evitativenla
bveh	subessivenla
dxeh	tigbairú
dvih	lativenla
tsa7h	antessivenla
dyeh	adverbialnla
mleh	animateiwa
pfeh	empatheticayọ
xleh	tinšeọkọiwa
qlih	erupeiwa
xloh	isorosinọun
dreh	kejiede
bvah	araigbekele
qrah	ayipadatiiṣẹlẹ
fo	oyatọsiiṣẹlẹ
sl6h	crastinalnira
fyoh	sihinohùn
bxih	Agbayeiwa
jlih	transitive-ìse
kyeh	agbegbeiwa
txuh	iwadiiwa
s6	iṣẹọnaiwa
preh	alaisanokunfa
sr6h	áljẹbràiwa
nyoh	aiṣe-ọrọ
zreh	exocentricnla
kfeh	tiotikọjaperfective
jo	impersonalìse
kxuh	collectivenọun
bu	absolutivenla
qrih	Planetaryiwa
kfoh	mojutobenefactive
kwoh	associativenla
pluh	superlativenla
jrah	inalọwọlọwọ
glih	inanimateiwa
p6	propositiveiṣesi
vrah	pasiparoohùn
lyuh	otelefunwon
gleh	laipeojoiwajunira
lyoh	applicativeohùn
ps6h	antipassiveohùn
tfuh	continutiveaspect
nr6h	necessitativeiṣesi
pr6h	paloloparticiple
sy6h	existentialfunwon
qyih	luminouskikankikan
gluh	singulativenọmba
kwuh	nmuiye
xyah	nikanigbese-ìse
vlih	superlativeìyí
djah	bayiparticiple
m6	iyetinkanna
ti7	connectivepatiku
f6	epentheticmorpheme
tli7h	latọnaojoiwajunira
si_	postpositionalnla
l6	allocutiveadehun
k6	frequentativeaspect
bzih	lilesepinkaarọpòorúkọ
tu7	lilefoofoojuaminọmba
vo	-ìseaffix
ki7	tiotikọjapaloloparticiple
ta_	locativeitọnisọnanla
