hnit	infinitive
hnak	nọminatífùnla
hkak	akusétifùnla
htak	kokonla
hpap	baba
hmam	Mama
hyat	Obi
hcan	Pẹlẹo
hwik	vocativenla
hsuc	baba
htat	obi
hcac	ebinpa
hnik	jẹnítífùnla
hcit	ajẹtífù
hwan	ati
hman	mi
hnan	tio
hwam	wa
htit	o
htac	nloirú
htik	dátífùnla
hyit	gidiiṣesi
htim	deonticiṣesi
hcut	àídájúiṣesi
hsit	epistemiciṣesi
hyak	reponla
htan	inuilohunsokeotọ
hpan	eniyantiotọ
htin	ominirafunwon
hyan	tiogbẹkẹlefunwon
hfap	perfectiveaspect
hkat	tiotikọjanira
hnin	akoiwa
hmak	comitativenla
hnat	bayinira
hpak	benefactivenla
swik	essivenla
htut	negatoryquantifier
hsan	dadaotọ
hpin	adpositionalnla
hwin	iponla
hkan	aayetiotọ
hnac	ọnairú
hyut	interrogativeiṣesi
hnam	kiositabi
hkit	iyasototabi
hsuk	orisunirú
hpik	ablativenla
hcat	isunmọtosi
hmat	demonstrative
hkuk	funwoniru
hlan	ṣugbọn
hsut	gbogbo
hyin	gbogboquantifier
hcin	aboiwa
hpac	akójọpọnọmba
hyik	ọkan
htic	wọn
hkik	tio
tcat	ojoiwajunira
hsin	awujotiotọ
hkac	Nigbawo
hmip	imperfectiveaspect
klan	Nibẹ
hlak	elativenla
hlik	illativenla
htam	itonitiiṣesi
hlat	electivequantifier
hkam	kini
hwat	ibeereọrọ
htap	copula
hpat	eniyan
nyan	akọ
hkas	le
tcan	miiran
hnuc	nọmba
twit	assertivequantifier
hsak	akokotiotọ
htuk	igbaisisiyinla
htun	nikan
htum	hortativeiṣesi
hyip	iwẹhinwoaspect
hlit	volitiveiṣesi
pcic	gbọdọ
tyut	meji
hsat	wo
hkut	mọ
hcic	siisalẹ
hcap	lẹhin
hpam	akọkọ
hlac	alienableiní
hkap	kò
hnic	inalienableiní
tyat	atijọ
tcit	idaboiṣesi
tcin	ọjọ
hlam	wá
hwak	vowel
hkin	lọ
lwak	perlativenla
hpip	onitẹsiwajuaspect
lyan	gun
hsac	sọ
kyan	Bawo
htas	lẹẹkansi
hsic	Nibi
hcik	ro
hcak	labẹotọ
hfan	ri
hsun	ọwọ
hyac	tun
nwan	odo
tyit	lodisi
tlan	ọlọrun
twak	delativenla
hmin	ohunkohun
hyas	niketeti
hlap	semelfactiveaspect
kcac	osi
hyic	ri
hcas	ile
hwac	aye
tyin	mẹta
hnun	Neo
hcuk	idojukọ
pyan	niife
hsis	nigbagbogbo
hyam	night
hyap	ọba
hkic	laarin
hmas	okan
cyit	okan
pluc	paucalnọmba
kyik	nitori
ksak	ifẹsẹmulẹnla
tcun	ṣe
hnim	orukọ
tsan	daranọun
klac	orilẹ-ede
hpun	beere
cyat	hanevidential
pcac	dara
hmac	akoko
hnas	kole
hwic	omi
twim	desiderativeiṣesi
kwan	ina
tlat	ọrọ
tyan	enu
hsas	owurọ
syat	titi
twik	terminativenla
hpit	funfun
pcan	owo
hyis	dara
mwan	iku
hfam	fọọmu
nwik	inessivenla
kcat	jọ
tsac	igba
pyat	ore
psan	idaji
hpim	dandaniṣesi
hyuc	yika
hfat	rán
hcis	iyawo
kcan	gbagbo
hsik	àkọsílẹ
htus	ipinleotọ
hpas	ọmọ
clat	ọmọ
tyak	bayi
cwan	lero
syin	ọwọn
hkuc	ga
tyac	ka
syit	ilu
hlic	tẹlẹ
hfit	factiveevidential
tcac	girl
hcun	ngbọ
ksan	okere
hyaf	boya
kyat	nitõtọ
tcic	body
hwit	pada
cwat	air
hfaf	ofin
hput	EgbaMiO
lyat	lẹta
ksas	mẹrin
hpic	optativeiṣesi
hfuk	iná
hcam	wakati
twat	ogun
kyak	orisirisiawọn
tlit	keji
pcin	sile
hmut	sọnu
clan	ẹgbẹrun
hfac	ebi
twan	ọkàn
hwas	ibeere
syan	otitọ
htis	sise
tsat	opọjuiṣesi
lwik	allativenla
nyin	anthropiciwa
hfak	marun
tcak	kannakokosibomiiran
htuc	oyatọsikoko
hnap	idahun
hmit	okun
hcuc	iberu
pcat	oye
syas	awọnofin
hcaf	iyemeji
twut	dubitativeiṣesi
hkis	dudu
tlak	mu
hyus	lẹwa
nyit	too
htip	mẹwa
ksis	itan
hpuk	iwe
hlin	itanna
hkun	iroyin
lyas	anfani
lyit	kọ
pwat	ibusun
hnis	ori
hnut	counterfactualniàídájú
slas	art
hwis	vialisnla
pyak	arakunrin
lyin	ila
tyas	tabili
hyun	odòna
kyac	oju
tfan	lojiji
kcin	jin
hmuc	idi
cyac	ẹjẹ
hmap	dide
tlin	tutu
hyif	siwaju
tyam	pẹ
hnaf	Sawon
hkip	fere
myan	mi
tsin	imo
hkup	daakọ
hsam	ọkọ
hlis	mefa
cwit	alãye
cyan	alafia
myat	ranti
tyic	adayeba
hfut	tikuna
swas	iṣẹ
hsap	ayafi
pcit	aṣẹkikọ
hyim	ogun
kyas	ẹṣin
plic	ojoiwaju
pcak	ìwọoòrùn
hpis	san
hyuk	pupa
hwun	goolu
twin	ifẹ
plan	mu
hpus	office
syun	ijoba
kyic	ijo
htaf	agbara
hlun	ipari
kyin	ile
kyis	iwe
mlan	iṣeeṣe
hcim	paapa
cyas	rù
twac	window
nyat	ẹwa
hcus	igbehin
htup	ojuse
htif	ijinna
pyas	ẹsẹ
hlas	ẹranko
ksin	alawọewe
hmaf	wahala
myac	smile
hsim	orun
kyit	undefined
kwik	quotativenla
fwan	ibewo
slan	tẹle
psit	niwaju
hmic	dun
hmuf	ẹnu
hfin	ọlọrọ
tcam	ọtá
psuk	baje
kcap	omi
pwan	jumoeniyan
hfic	ipa
tcuc	han
hkim	ìkọkọ
pyin	Jowo
pwit	precativeiṣesi
pyit	niwaForukọsilẹ
cwak	ibi
myak	Oṣù
tcas	ibi
hlaf	duro
psat	dipo
nlan	blue
psac	soro
kcuk	ile-iwe
kcit	iyawo
kcak	ounje
syis	ogún
tlac	idakẹjẹ
hcip	ifojusọnaaspect
kwin	fifun
tsit	duro
pyac	ede
hsus	ọsẹ
hcup	alabagbepo
cyap	Iyanu
tfin	Bí
fyat	ejo
hnip	gnomicaspect
tsak	ọwọ
tlas	tọ
syuc	igi
plat	odi
cyak	ọrun
twip	inchoativeaspect
mlat	pipaṣẹ
swit	jussiveiṣesi
mwas	osù
hwaf	pipe
tyap	iriri
ksac	ayidayida
syac	alabapade
hnuk	Duke
kwak	bo
tyuk	-õrùn
pwac	okuta
hkif	ọlọla
nyac	itọsọna
cyis	alaga
tyuc	nduro
tsun	abule
tyik	gba
hnum	permissiveiṣesi
slak	aseyori
tsic	gbiyanju
slat	òke
hmik	music
hkus	igbe
hsip	meje
hpaf	ikọkọ
nwas	awọniroyin
tfac	sinmu
fyan	ọgba
cwas	bẹrẹ
hfik	lilesepinkanla
lyac	kọ
syik	oselu
clin	Henry
cyin	luba
tsas	Simẹnti
cyik	aṣẹ
tlap	pakà
cyam	ooru
tcut	esin
tcap	onaabayo
hlut	onkowe
pyun	brown
tcuk	irora
swan	orisun
hmun	asọ
kyun	igun
nyak	-iṣowo
tsis	idajo
psas	mujade
cyaf	rẹrìn-
hwut	gbagbe
hyup	europe
hwap	mẹjọ
psak	gbako.leyin
kyap	ẹru
pyic	beere
hmim	alabọde
hsaf	ìmí
hmis	ọlọgbọn
hsum	ìnísibomiiran
ksat	dídùn
ksit	sin
tsap	erekusu
kyam	ibudó
tcum	ọwọ
cyun	Fortune
psic	tera
tyun	domain
mwit	commissiveiṣesi
tlut	ìyí
myit	igbaotutu
kfan	iwa
slac	yen
myin	iseju
tyip	yorisi
klas	gilasi
pfat	ọkọ
cyic	asan
swam	àlámọrí
syam	ailewu
tsut	dokita
hlip	completiveaspect
kcas	òkunkun
nyun	gbona
hpuc	mimu
tlam	apẹẹrẹ
hfun	ibinu
tsik	p
tsam	taara
hmup	ijanilaya
klak	aja
slin	fadaka
swac	iranṣẹ
kcam	ìgbéraga
pyik	reluwe
myut	iwa
syak	tẹ
swat	idà
kyuk	kolu
clac	ilera
tyaf	ìpínrọ
swic	awujo
tfit	agbapada
hkaf	osise
pcas	kokan
nyam	ogo
tfat	mejila
pcut	išẹti
pwin	waini
mwat	lenu
fyac	iron
syap	kaakiri
myap	isowo
hyum	lilo
fwak	onidajọ
klat	balogun
twap	cessativeaspect
kcic	iyanilenu
kwic	ajeji
hnif	intensifier
myun	pataki
tlic	nipari
cyuk	ọrùn
syut	ominira
pfan	mejeji
kyuc	gbẹ
pcap	akosile
tfak	evidential
tcik	evidentialnla
