hnit	动词不定式
hnak	主格外壳
hkak	宾格外壳
htak	主题外壳
hpap	爸
hmam	妈妈
hyat	父母
hcan	您好
hwik	呼外壳
hsuc	祖先
htat	祖父母
hcac	饥饿
hnik	所有格外壳
hcit	形容词
hwan	和
hman	我
hnan	您
hwam	我们
htit	它
htac	目的地外壳
htik	格外壳
hyit	realis心情
htim	道义心情
hcut	有条件的心情
hsit	认知心情
hyak	仪器的外壳
htan	室内背景
hpan	人背景
htin	独立条款
hyan	依赖的条款
hfap	完成式方面
hkat	过去紧张
hnin	男性性别
hmak	comitative外壳
hnat	当下紧张
hpak	benefactive外壳
swik	essive外壳
htut	否定性量词
hsan	表面背景
hpin	adpositional案件
hwin	位置案件
hkan	空间背景
hnac	办法案件
hyut	疑问心情
hnam	和要么
hkit	异或
hsuk	资源外壳
hpik	夺格外壳
hcat	接近
hmat	指示代词
hkuk	从句尾
hlan	但
hsut	所有
hyin	普遍量词
hcin	女人性别
hpac	复数数
hyik	一
htic	其
hkik	谁
tcat	未来紧张
hsin	社会背景
hkac	什么时候
hmip	未完成方面
klan	那里
hlak	相对的外壳
hlik	illative外壳
htam	指示心情
hlat	选修量词
hkam	什么
hwat	题字
htap	系词
hpat	人
nyan	男
hkas	可以
tcan	其他
hnuc	数
twit	断言的量词
hsak	时间背景
htuk	颞外壳
htun	只要
htum	忠告的心情
hyip	回顾方面
hlit	意愿式心情
pcic	必须
tyut	二
hsat	看到
hkut	知道
hcic	向下
hcap	后
hpam	第一
hlac	离间的所有权
hkap	决不
hnic	不可分割所有权
tyat	旧
tcit	审议心情
tcin	日
hlam	来
hwak	元音
hkin	走
lwak	perlative外壳
hpip	进步方面
lyan	长
hsac	说
kyan	怎么样
htas	再次
hsic	这里
hcik	认为
hcak	下背景
hfan	发现
hsun	手
hyac	也
nwan	年轻
tyit	针对
tlan	神
twak	delative外壳
hmin	没什么
hyas	一旦
hlap	semelfactive方面
kcac	剩下
hyic	锯
hcas	房子
hwac	世界
tyin	三
hnun	新
hcuk	焦点
pyan	爱
hsis	总是
hyam	晚
hyap	王
hkic	之间
hmas	心神
cyit	心
pluc	paucal数
kyik	因为
ksak	因果外壳
tcun	DONE
hnim	名称
tsan	正确名词
klac	国家
hpun	问
cyat	可见证据
pcac	更好
