ni	动词不定式
na	主格外壳
ka	宾格外壳
ta	主题外壳
ca	您好
wu	呼外壳
kcah	饥饿
ti	所有格外壳
ci	形容词
wa	和
mi	我
sa	您
nyah	我们
ya	它
ma	目的地外壳
yi	格外壳
li	realis心情
tu	道义心情
cu	有条件的心情
si	认知心情
yu	仪器的外壳
nu	室内背景
pa	人背景
tyah	独立条款
la	依赖的条款
fa	完成式方面
ki	过去紧张
ne	男性性别
mwah	comitative外壳
ra	当下紧张
pwah	benefactive外壳
swih	essive外壳
no	否定性量词
pi	表面背景
da	adpositional案件
te	位置案件
to	空间背景
ga	办法案件
ri	疑问心情
ba	和要么
ku	异或
so	资源外壳
pwih	夺格外壳
ksah	接近
tsah	指示代词
ko	从句尾
pyah	但
wi	普遍量词
ji	女人性别
pu	复数数
bi	未来紧张
co	社会背景
me	未完成方面
klah	那里
twah	相对的外壳
twih	illative外壳
di	指示心情
tlah	选修量词
kyah	什么
tcah	题字
ja	系词
cyah	人
clah	其他
do	数
tlih	断言的量词
se	时间背景
myah	颞外壳
tyuh	只要
tcih	忠告的心情
tyih	回顾方面
lo	意愿式心情
cwah	后
nlah	离间的所有权
nlih	不可分割所有权
cyih	审议心情
lwah	perlative外壳
pfih	进步方面
tsih	这里
ce	下背景
pcah	也
lwih	delative外壳
swah	semelfactive方面
nyih	新
fu	焦点
plah	爱
po	paucal数
kyih	因为
ksih	因果外壳
gi	名称
tfah	正确名词
crih	可见证据
kceh	更好
dwih	desiderative心情
wo	字
srah	直到
tweh	终结外壳
nwih	内格外壳
pcih	势在必行心情
crah	相信
ro	州背景
cwih	希望
kwih	事实性证据
fi	返回
psih	表愿望的心情
tseh	潜在心情
lweh	allative外壳
nrih	择性别
tceh	相同学科标记
re	不同学科
croh	恐惧
mrah	理解
cyuh	怀疑
twuh	dubitative心情
myih	美丽
lyih	利益
flah	反有条件的
we	vialis外壳
clih	冷
pyih	和平
su	除
kwah	欲望
le	长度
bo	可能性
mlah	麻烦
syah	微笑
slih	睡觉
zi	引
twoh	quotative外壳
mo	包容性人
kcih	请
rwih	precative心情
mrih	有礼貌寄存器
rwah	预期方面
cyeh	奇迹
go	格言方面
tsoh	尊重
za	发端的方面
jwih	命令的心情
mwih	宽容心情
sloh	成功
prih	私人
de	分配的外壳
tcoh	疼痛
ryah	笑
mlih	明智
ye	所有格标记
ke	承诺性心情
creh	徒然
mweh	completive方面
nrah	暖
nroh	愤怒
bwah	尽管
trah	自豪
mroh	道德
slah	健康
syih	社会
pe	戒烟方面
krih	好奇
tfih	增强
fe	最后
prah	在旁边
trih	证据
nwah	证据外壳
srih	伤心
zo	宙性别
nweh	eventive心情
cwoh	相同事件标记
plih	乘法外壳
dwah	期望
kcoh	累
drah	满意
lu	投机心情
frih	熟寄存器
frah	负伤
mruh	傻子
djih	同情
krah	感谢
cruh	耻辱
fyah	短语标记
ryih	注定
kruh	苦
tyeh	文本
kreh	残忍
tleh	hesternal紧张
kfah	牺牲
dyih	讨厌
cloh	合理的性别
nloh	享受
psah	绝望
sleh	植物性性别
nruh	无辜
drih	钦佩
sroh	赦免
brih	基础
kluh	混乱
bwih	祝福心情
klih	有罪
grih	无知
nyeh	倡议外壳
nleh	谦卑
dlih	延迟势在必行
proh	报道证据
mloh	愁绪
du	单数
jrih	忍耐
freh	参考
kloh	孤独
kroh	魅力
tcuh	热情
kcuh	归纳的心情
xa	演讲背景
nreh	紧张
pseh	方面
ge	经纪人
mu	警告心情
byah	志向
pcoh	挤
treh	直接证据
yo	忧虑心情
cwuh	休克
tloh	最近过去紧张
dlah	定文章
cluh	丑陋
myuh	幽默
dyah	远端指示代词
rwuh	妒
troh	咒诅心情
dzih	漠不关心
swuh	憍心情
bzah	笑话
gwih	亦即
dloh	hodiernal紧张
dweh	定界方面
kweh	独家人
truh	温度
tfeh	TELIC方面
lyeh	atelic方面
ru	令人望而却步心情
kfih	幼稚
cyoh	可疑
nluh	忠诚
cweh	陷阱
nwoh	动画
sruh	颤抖
ksoh	有性
lyah	懒
mreh	momentane方面
pceh	后悔
bjih	前任的死者
pcuh	不确定
xi	惯常的方面
blih	界
tsuh	不重要的
fwih	雄伟
grah	谄媚的
brah	随意
cleh	仁慈
sreh	正式寄存器
pfah	有利
droh	听觉证据
flih	推理证据
sweh	至格外壳
ksuh	陈述心情
pleh	特权
psoh	不可战胜的
be	口头
mwoh	梦想
kleh	可怜
glah	贪心
kseh	肯定心情
zrah	不满
dyoh	idiophone
syoh	慑于
gwah	过多外壳
zlih	非现实心情
zrih	害羞
byih	适应
ryeh	代词标记
fwah	节俭
bjah	欣喜若狂
kxah	泰然处之
gvih	pegative外壳
pxih	平反
xrah	到期
tfoh	从今以后
kxih	悔悟
ryoh	检举外壳
qyah	当务之急
r6	分词
txah	远程过去紧张
xrih	历史性紧张
dxah	双重数
syuh	超
vweh	瘁
n6	感觉的证据心情
bweh	困扰
xlih	欢闹的
txih	刺痛
sluh	自我满足
txoh	运动上坡
xe	回顾
pxah	坑害
vwah	运动下坡
xyih	精英
fleh	屈折
psuh	superessive外壳
syeh	色狼
qi	及物
xruh	退缩
zwah	哇
tr6h	运动上游
qwah	胸无大志
xlah	全世界
tyoh	不及物动词
tluh	虎头蛇尾
qa	当前关联标记
kxoh	狗累了
rwoh	序数词
ve	向量
kyoh	公斤
swoh	顺序
pxeh	表分词外壳
txeh	强化的
dxih	表语
pxoh	prolative外壳
pfoh	亲短语
blah	偷着乐
fyih	非人的
xo	演员角色
pc6h	审讯数
greh	中心外壳
groh	目标触发
dxoh	中间语音
rweh	斜外壳
xwah	患者外壳
xu	预hodiernal
xroh	磨损
ks6h	致病
vi	二值
dleh	语气外壳
gjeh	否则，如果
xreh	同事
lwoh	方位外壳
ml6h	multal数
gjih	星系性别
qlah	星性别
bvih	abessive外壳
dvah	adessive外壳
je	施事外壳
t6	代理人触发
kxeh	至外壳
gxih	共同性别
tc6h	引用形成
ts6h	反式数字
ryuh	直接目的
gveh	作格外壳
pyoh	被动语音
qe	有限动词
xwih	主目的
myoh	格言心情
vrih	最终粒子
va	evitative外壳
bveh	subessive外壳
dxeh	附身案件
dvih	lative外壳
tsa7h	antessive外壳
dyeh	状语外壳
mleh	赋予生命性别
pfeh	移情喜悦
xleh	车辆性别
qlih	矿物性别
xloh	口头名词
dreh	第二语言
bvah	自置信度
qrah	更改的事件
fo	不同事件
sl6h	crastinal紧张
fyoh	反思语音
bxih	宇宙性别
jlih	及物动词
kyeh	局部性性别
txuh	研究性别
s6	艺术的性别
preh	患者触发
sr6h	抽象性别
nyoh	间接言语
zreh	exocentric外壳
kfeh	过去完成式
jo	非人的动词
kxuh	集体名词
bu	absolutive外壳
qrih	行星性别
kfoh	核心benefactive
kwoh	联想外壳
pluh	最高级外壳
jrah	电动当前
glih	老成性别
p6	propositive心情
vrah	倒数语音
lyuh	连续条款
gleh	不久未来紧张
lyoh	合用的语音
ps6h	antipassive语音
tfuh	接续方面
nr6h	necessitative心情
pr6h	被动分词
sy6h	存在条款
qyih	发光的强度
gluh	singulative数
