hnit	kwekusebentisa
hnak	icalanominative
hkak	icalaumenziwawesenzo
htak	isihlokoicala
hpap	Ubaba
hmam	umama
hyat	kwabazali
hcan	Sawubona
hwik	icalayokubiza
hsuc	amadlozi
htat	umkhulu
hcac	ulambile
hnik	icalagenitive
hcit	Isiphawulo
hwan	futhi
hman	me
hnan	wena
hwam	nathi
htit	it
htac	destinationicala
htik	icalaumenziwaongaqondenengqonomlandi
hyit	kwemizwarealis
htim	kwemizwadeontic
hcut	kwemizwaokunemibandela
hsit	kwemizwaepistemic
hyak	icalainstrumental
htan	ingaphakathiumongo
hpan	umuntuumongo
htin	umshwanaezimele
hyan	umshwanaMondliwa
hfap	isiciperfective
hkat	sikhatsilesengcile
hnin	ubulilibesilisa
hmak	icalacomitative
hnat	Inkathiyamanje
hpak	icalabenefactive
swik	icalaessive
htut	Umphelelisinegatory
hsan	surfaceumongo
hpin	icalaadpositional
hwin	icalaindawo
hkan	isikhalaumongo
hnac	indlelaicala
hyut	kwemizwainterrogative
hnam	futhinoma
hkit	okukhethekilenoma
hsuk	umthomboicala
hpik	icalaablative
hcat	ukusondela
hmat	tekukhomba
hkuk	umshwanaumsila
hlan	kodwa
hsut	konke
hyin	Umphelelisiuniversal
hcin	ubulilinjengabesifazane
hpac	inomboloplural
hyik	one
htic	zabo
hkik	ngubani
tcat	lesitako
hsin	umongosocial
hkac	nini
hmip	isiciimperfective
klan	Lapho
hlak	icalaelative
hlik	icalaillative
htam	kwemizwaumyalelo
hlat	Umphelelisilezindikimba
hkam	ini
hwat	umbuzoizwi
htap	copula
hpat	umuntu
nyan	wesilisa
hkas	ayengakwenza
tcan	nezinye
hnuc	inombolo
twit	Umphelelisiqina
hsak	isikhathiumongo
htuk	icalatemporal
htun	kuphela
htum	kwemizwahortative
hyip	isicizokuhlola
hlit	kwemizwavolitive
pcic	kumele
tyut	ezimbili
hsat	bheka
hkut	ukwazi
hcic	phansi
hcap	ngemuva
hpam	kuqala
hlac	yifaalienable
hkap	never
hnic	yifainalienable
tyat	old
tcit	kwemizwaelifanele
tcin	usuku
hlam	woza
hwak	unkamisa
hkin	hamba
lwak	icalaperlative
hpip	isicilesichubekako
lyan	eside
hsac	uthi
kyan	Kanjani
htas	aphinde
hsic	lapha
hcik	cabanga
hcak	ngaphansiumongo
hfan	ezitholakele
hsun	isandla
hyac	futhi
nwan	young
tyit	ngokumelene
tlan	unkulunkulu
twak	icaladelative
hmin	lutho
hyas	once
hlap	isicisemelfactive
kcac	kwesokunxele
hyic	isaha
hcas	indlu
hwac	izwe
tyin	ezintathu
hnun	neo
hcuk	Ukugxila
pyan	ukuthanda
hsis	njalo
hyam	ebusuku
hyap	inkosi
hkic	phakathi
hmas	ingqondo
cyit	inhliziyo
pluc	inombolopaucal
kyik	ngoba
ksak	icalaesiyimbangela
tcun	kwenziwe
hnim	Igama
tsan	ibizoefanele
klac	izwe
hpun	kubuza
cyat	ebufakaziniebonakalayo
pcac	kangcono
hmac	mzuzu
hnas	bengayi
hwic	amanzi
twim	kwemizwadesiderative
kwan	ukukhanya
tlat	izwi
tyan	umnyango
hsas	ekuseni
syat	kuze
twik	icalaterminative
hpit	white
pcan	imali
hyis	abampofu
mwan	ukufa
hfam	ifomu
nwik	icalainessive
kcat	ndawonye
tsac	ngokuvamile
pyat	umngane
psan	isigamu
hpim	kwemizwakuphoqelekile
hyuc	round
hfat	wathumela
hcis	unkosikazi
kcan	bakholelwa
hsik	umphakathi
htus	umongostate
hpas	indodana
clat	izingane
tyak	Ngaleyondlela
cwan	Sethemba
syin	othandekayo
hkuc	high
tyac	funda
syit	idolobha
hlic	kakade
hfit	ebufakazinifactive
tcac	intombazane
hcun	zizwe
ksan	okungenani
hyaf	mhlawumbe
kyat	ngempela
tcic	umzimba
hwit	ukubuya
cwat	air
hfaf	umthetho
hput	Usizo
lyat	incwadi
ksas	ezine
hpic	kwemizwaoptative
hfuk	umlilo
hcam	ihora
twat	impi
kyak	eziningana
tlit	yesibili
pcin	ngemuva
hmut	lost
clan	ayizinkulungwane
hfac	umndeni
twan	umphefumulo
hwas	umbuzo
syan	iqiniso
htis	making
tsat	amabizoahlukeneanomqondoohambisanayo
lwik	icalaallative
nyin	ubuliliAnthropic
hfak	ezinhlanu
tcak	efanayondabamarker
htuc	kuncikeezahlukene
hnap	impendulo
hmit	sea
hcuc	ukwesaba
pcat	ukuqonda
syas	ngokwemibandela
hcaf	Ngokungangabazeki
twut	kwemizwadubitative
hkis	black
tlak	ukuletha
hyus	enhle
nyit	inhlobo
htip	eziyishumi
ksis	indaba
hpuk	ibhuku
hlin	electronic
hkun	i-akhawunti
lyas	intshisekelo
lyit	bhala
pwat	Embhedeni
hnis	age
hnut	counterfactualokunemibandela
slas	art
hwis	vialisicala
pyak	umzalwane
lyin	umugqa
tyas	ithebula
hyun	emfuleni
kyac	iso
tfan	kungazelelwe
kcin	deep
hmuc	inhloso
cyac	igazi
hmap	rose
tlin	amakhaza
hyif	phambili
tyam	sekwephuzile
hnaf	akesithi
hkip	ecisheibe
myan	imayini
tsin	ulwazi
hkup	ikhophi
hsam	umyeni
hlis	eziyisithupha
cwit	ephilayo
