ni	kwekusebentisa
na	icalanominative
ka	icalaumenziwawesenzo
ta	isihlokoicala
ca	Sawubona
wu	icalayokubiza
kcah	ulambile
ti	icalagenitive
ci	Isiphawulo
wa	futhi
mi	me
sa	wena
nyah	nathi
ya	it
ma	destinationicala
yi	icalaumenziwaongaqondenengqonomlandi
li	kwemizwarealis
tu	kwemizwadeontic
cu	kwemizwaokunemibandela
si	kwemizwaepistemic
yu	icalainstrumental
nu	ingaphakathiumongo
pa	umuntuumongo
tyah	umshwanaezimele
la	umshwanaMondliwa
fa	isiciperfective
ki	sikhatsilesengcile
ne	ubulilibesilisa
mwah	icalacomitative
ra	Inkathiyamanje
pwah	icalabenefactive
swih	icalaessive
no	Umphelelisinegatory
pi	surfaceumongo
da	icalaadpositional
te	icalaindawo
to	isikhalaumongo
ga	indlelaicala
ri	kwemizwainterrogative
ba	futhinoma
ku	okukhethekilenoma
so	umthomboicala
pwih	icalaablative
ksah	ukusondela
tsah	tekukhomba
ko	umshwanaumsila
pyah	kodwa
wi	Umphelelisiuniversal
ji	ubulilinjengabesifazane
pu	inomboloplural
bi	lesitako
co	umongosocial
me	isiciimperfective
klah	Lapho
twah	icalaelative
twih	icalaillative
di	kwemizwaumyalelo
tlah	Umphelelisilezindikimba
kyah	ini
tcah	umbuzoizwi
ja	copula
cyah	umuntu
clah	nezinye
do	inombolo
tlih	Umphelelisiqina
se	isikhathiumongo
myah	icalatemporal
tyuh	kuphela
tcih	kwemizwahortative
tyih	isicizokuhlola
lo	kwemizwavolitive
cwah	ngemuva
nlah	yifaalienable
nlih	yifainalienable
cyih	kwemizwaelifanele
lwah	icalaperlative
pfih	isicilesichubekako
tsih	lapha
ce	ngaphansiumongo
pcah	futhi
lwih	icaladelative
swah	isicisemelfactive
nyih	neo
fu	Ukugxila
plah	ukuthanda
po	inombolopaucal
kyih	ngoba
ksih	icalaesiyimbangela
gi	Igama
tfah	ibizoefanele
crih	ebufakaziniebonakalayo
kceh	kangcono
dwih	kwemizwadesiderative
wo	izwi
srah	kuze
tweh	icalaterminative
nwih	icalainessive
pcih	kwemizwakuphoqelekile
crah	bakholelwa
ro	umongostate
cwih	Sethemba
kwih	ebufakazinifactive
fi	ukubuya
psih	kwemizwaoptative
tseh	amabizoahlukeneanomqondoohambisanayo
lweh	icalaallative
nrih	ubuliliAnthropic
tceh	efanayondabamarker
re	kuncikeezahlukene
croh	ukwesaba
mrah	ukuqonda
cyuh	Ngokungangabazeki
twuh	kwemizwadubitative
myih	enhle
lyih	intshisekelo
flah	counterfactualokunemibandela
we	vialisicala
clih	amakhaza
pyih	ukuthula
su	ngaphandle
kwah	isifiso
le	ubude
bo	ematfuba
mlah	enkingeni
syah	smile
slih	ubuthongo
zi	undefined
twoh	icalaquotative
mo	umuntuobandakanyawonkeumuntu
kcih	Ngiyacela
rwih	kwemizwaprecative
mrih	irejistaesinenhlonipho
rwah	isiciabazoba
cyeh	bayazibuza
go	isicignomic
tsoh	inhlonipho
za	isiciinchoative
jwih	kwemizwajussive
mwih	kwemizwazokuyekelela
sloh	impumelelo
prih	yangasese
de	icalawokusakaza
tcoh	ubuhlungu
ryah	laugh
mlih	ohlakaniphile
ye	sebuniyomarker
ke	kwemizwacommissive
creh	ngeze
mweh	isicicompletive
nrah	afudumele
nroh	intukuthelo
bwah	Naphezu
trah	ukuqhosha
mroh	zokuziphatha
slah	impilo
syih	social
pe	isicicessative
krih	curious
tfih	intensifier
fe	ekugcineni
prah	eceleni
trih	ebufakazini
nwah	icalaebufakazini
srih	sad
zo	zoicubulili
nweh	eventivekwemizwa
cwoh	esifanayoisehlakalomarker
plih	icalaokuguquliwe
dwah	wayefisa
kcoh	ukhathele
drah	wanelisekile
lu	kwemizwazokucabangela
frih	irejistaajwayelekile
frah	alimele
mruh	fool
djih	ukuzwelwa
krah	ngiyabonga
cruh	ihlazo
fyah	ibinzanamarker
ryih	undefined
kruh	okumunyu
tyeh	umbhalo
kreh	unonya
tleh	hesternalesishubile
kfah	umhlatshelo
dyih	zonda
cloh	ubuliliokunengqondo
nloh	ukujabulela
psah	uphelelwayithemba
sleh	ubulilivegetal
nruh	abangenacala
drih	ngokumthanda
sroh	baxolelwe
brih	base
kluh	ukudideka
bwih	kwemizwabenedictive
klih	unecala
grih	ngenalwazi
nyeh	isinyatheloicala
nleh	ithobekile
dlih	ilibelekuphoqelekile
proh	ebufakazinilibike
mloh	melancholy
du	elisebunyeni
jrih	ukubekezela
freh	Ticukatsilwati
kloh	lonely
kroh	charm
tcuh	nomdlandla
kcuh	kwemizwaexhasa
xa	umongoinkulumo
nreh	kwemizwa
pseh	isici
ge	agent
mu	kwemizwaadmonitive
byah	Isifisosokuvelelasalezize-
pcoh	ophithizelayo
treh	ebufakaziningqo
yo	kwemizwanexhala
cwuh	shock
tloh	yamuvasikhatsilesengcile
dlah	eliwumunci
cluh	ugly
myuh	amahlaya
dyah	distalsekukhomba
rwuh	nomhawu
troh	kwemizwaimprecative
dzih	nandaba
swuh	kwemizwaassumptive
bzah	jest
gwih	okungukuthi
dloh	hodiernalesishubile
dweh	isicidelimitative
kweh	umuntuokukhethekile
truh	lokushisa
tfeh	isicitelic
lyeh	isiciatelic
ru	kwemizwaezimba
kfih	uyingane
cyoh	osolisayo
nluh	ukwethembeka
