ni	infinitive
na	nominative_case
ka	accusative_case
ta	topic_case
ca	hello
wu	vocative_case
kcah	hungry
ti	genitive_case
ci	adjective
wa	and
mi	me
sa	you
nyah	us
ya	it
ma	destination_case
yi	dative_case
li	realis_mood
tu	deontic_mood
cu	conditional_mood
si	epistemic_mood
yu	instrumental_case
nu	interior_context
pa	person_context
tyah	independent_clause
la	dependent_clause
fa	perfective_aspect
ki	past_tense
ne	masculine_gender
mwah	comitative_case
ra	present_tense
pwah	benefactive_case
swih	essive_case
no	negatory_quantifier
pi	surface_context
da	adpositional_case
te	location_case
to	space_context
ga	way_case
ri	interrogative_mood
ba	and_or
ku	exclusive_or
so	source_case
pwih	ablative_case
ksah	proximity
tsah	demonstrative
ko	clause_tail
pyah	but
wi	universal_quantifier
ji	feminine_gender
pu	plural_number
bi	future_tense
co	social_context
me	imperfective_aspect
klah	there
twah	elative_case
twih	illative_case
di	directive_mood
tlah	elective_quantifier
kyah	what
tcah	question_word
ja	copula
cyah	person
clah	other
do	number
tlih	assertive_quantifier
se	time_context
myah	temporal_case
tyuh	only
tcih	hortative_mood
tyih	retrospective_aspect
lo	volitive_mood
cwah	after
nlah	alienable_possession
nlih	inalienable_possession
cyih	deliberative_mood
lwah	perlative_case
pfih	progressive_aspect
tsih	here
ce	under_context
pcah	also
lwih	delative_case
swah	semelfactive_aspect
nyih	neo
fu	focus
plah	love
po	paucal_number
kyih	because
ksih	causal_case
gi	name
tfah	proper_noun
crih	visible_evidential
kceh	better
dwih	desiderative_mood
wo	word
srah	until
tweh	terminative_case
nwih	inessive_case
pcih	imperative_mood
crah	believe
ro	state_context
cwih	hope
kwih	factive_evidential
fi	return
prih	letter
psih	optative_mood
tseh	potential_mood
lweh	allative_case
nrih	anthropic_gender
tceh	same_subject_marker
re	different_subject
croh	fear
mrah	understand
cyuh	doubt
twuh	dubitative_mood
myih	beautiful
lyih	interest
flah	counterfactual_conditional
we	vialis_case
clih	cold
pyih	peace
trah	natural
su	except
kwah	desire
le	length
bo	probability
mlah	trouble
syah	smile
slih	sleep
zi	quoted
twoh	quotative_case
mo	inclusive_person
kcih	please
rwih	precative_mood
mrih	polite_register
rwah	prospective_aspect
cyeh	wonder
go	gnomic_aspect
tsoh	respect
za	inchoative_aspect
jwih	jussive_mood
mwih	permissive_mood
sloh	success
plih	private
de	distributive_case
tcoh	pain
ryah	laugh
mlih	wise
ye	possessive_marker
ke	commissive_mood
creh	vain
mweh	completive_aspect
nrah	warm
nroh	anger
bwah	spite
krah	pride
mroh	moral
slah	health
syih	social
pe	cessative_aspect
krih	curious
tfih	intensifier
fe	finally
prah	aside
trih	evidential
nwah	evidential_case
srih	sad
zo	zoic_gender
nweh	eventive_mood
cwoh	same_event_marker
tloh	multiplicative_case
dwah	desired
kcoh	tired
drah	satisfied
lu	speculative_mood
pcoh	pointed
frih	familiar_register
frah	wounded
mruh	fool
djih	sympathy
dyah	thank
sreh	series
cruh	shame
fyah	phrase_marker
ryih	preordained
kruh	bitter
tyeh	text
kreh	cruel
tleh	hesternal_tense
kfah	sacrifice
dyih	hate
cloh	rational_gender
nloh	enjoy
psah	despair
sleh	vegetal_gender
nruh	innocent
drih	admiration
sroh	pardon
brih	base
kluh	confusion
bwih	benedictive_mood
klih	guilty
grih	ignorant
nyeh	initiative_case
nleh	humble
dlih	delayed_imperative
proh	reported_evidential
mloh	melancholy
du	singular
jrih	patience
freh	referential
kloh	lonely
kroh	charm
tcuh	enthusiasm
kcuh	inductive_mood
xa	discourse_context
nreh	nervous
pseh	aspect
ge	agent
mu	admonitive_mood
byah	ambition
glih	crowded
treh	direct_evidential
yo	apprehensive_mood
cwuh	shock
cleh	recent_past_tense
dlah	definite_article
cluh	ugly
myuh	humour
lyah	distal_demonstrative
rwuh	jealous
troh	imprecative_mood
dzih	indifference
swuh	assumptive_mood
bzah	jest
gwih	namely
dloh	hodiernal_tense
dweh	delimitative_aspect
kweh	exclusive_person
truh	temperature
tfeh	telic_aspect
lyeh	atelic_aspect
ru	prohibitive_mood
kfih	childish
cyoh	suspicious
nluh	loyalty
cweh	trap
nwoh	animated
sruh	thrill
ksoh	sexual
lwuh	lazy
mreh	momentane_aspect
pceh	regretted
bjih	former_deceased
pcuh	uncertainty
xi	habitual_aspect
blih	bounded
tsuh	trivial
fwih	majestic
grah	flattering
brah	arbitrary
bleh	benevolent
zrih	formal_register
pfah	beneficial
droh	auditory_evidential
flih	inferential_evidential
sweh	sublative_case
ksuh	declarative_mood
pleh	privileged
psoh	invincible
be	verbal
mwoh	reverie
kleh	wretchedness
glah	greed
kseh	affirmative_mood
zrah	dissatisfaction
dyoh	ideophone
syoh	awed
gwah	exessive_case
zlih	irrealis_mood
byih	shyness
xyih	adaptation
qa	pronoun_marker
txih	frugal
kxah	ecstatic
txah	equanimity
gvih	pegative_case
pxih	vindication
xrah	expiring
tfoh	henceforward
kxih	contrition
ryoh	prosecutive_case
qyah	preoccupation
r6	participle
dxah	remote_past_tense
xrih	historic_tense
dluh	dual_number
syuh	super
vweh	overworked
n6	sensory_evidential_mood
bweh	obsession
xlih	hilarious
txoh	twinge
sluh	self_satisfied
tyoh	motion_uphill
xe	retrospective
pxah	entrap
vwah	motion_downhill
fyih	elite
fleh	inflected
psuh	superessive_case
syeh	satyr
qi	transitive
xruh	cower
zwah	wow
tr6h	motion_upriver
qwah	unambitious
xlah	worldwide
t6	intransitive
tluh	anticlimax
qrah	current_relevance_marker
kxoh	dog_tired
rwoh	ordinal
ve	vector
kyoh	kilo
swoh	sequential
pxeh	partitive_case
txeh	augmentative
dxih	predicative
pxoh	prolative_case
vi	verb_affix
gjeh	else_if
jyih	non_human
pc6h	trial_number
ks6h	causative
greh	centric_case
groh	goal_trigger
dxoh	middle_voice
rweh	oblique_case
xwah	patient_case
xo	prehodiernal
ploh	pro_sentence
blah	blase
vrih	binary_value
xroh	wear_out
va	at_case
lwoh	locative_case
ml6h	multal_number
gjih	galaxy_gender
bvih	abessive_case
dvah	adessive_case
je	agentive_case
l6	agent_trigger
gxih	common_gender
tc6h	citation_form
nyoh	actor_role
ts6h	trans_numeral
ryeh	direct_object
gveh	ergative_case
pyoh	passive_voice
xu	primary_object
qlah	star_gender
fo	final_particle
vwih	evitative_case
bveh	subessive_case
dxeh	possessed_case
tsa7h	antessive_case
dyeh	adverbial_case
mleh	animate_gender
pfeh	empathetic_joy
qe	finite_verb
xleh	vehicle_gender
qlih	mineral_gender
myoh	gnomic_mood
dreh	second_language
dvih	lative_case
qrih	change_of_event
fwah	self_confidence
bxih	different_event
sl6h	crastinal_tense
fyoh	reflexive_voice
vlih	universe_gender
jlih	transitive_verb
kxeh	locality_gender
txuh	research_gender
s6	artistic_gender
xreh	patient_trigger
sr6h	abstract_gender
gyih	indirect_speech
zreh	exocentric_case
kfeh	past_perfective
xwih	collective_noun
xloh	verbal_noun
bu	absolutive_case
