hnit	infinitive
hnak	nominative_case
hkak	accusative_case
htak	topic_case
hpap	dad
hmam	mom
hyat	parental
hcan	hello
hwik	vocative_case
hsuc	ancestor
htat	grandparent
hcac	hungry
hnik	genitive_case
hcit	adjective
hwan	and
hman	me
hnan	you
hwam	us
htit	it
htac	destination_case
htik	dative_case
hyit	realis_mood
htim	deontic_mood
hcut	conditional_mood
hsit	epistemic_mood
hyak	instrumental_case
htan	interior_context
hpan	person_context
htin	independent_clause
hyan	dependent_clause
hfap	perfective_aspect
hkat	past_tense
hnin	masculine_gender
hmak	comitative_case
hnat	present_tense
hpak	benefactive_case
swik	essive_case
htut	negatory_quantifier
hsan	surface_context
hpin	adpositional_case
hwin	location_case
hkan	space_context
hnac	way_case
hyut	interrogative_mood
hnam	and_or
hkit	exclusive_or
hsuk	source_case
hpik	ablative_case
hcat	proximity
hmat	demonstrative
hkuk	clause_tail
hlan	but
hsut	all
hyin	universal_quantifier
hcin	feminine_gender
hpac	plural_number
hyik	one
htic	their
hkik	who
tcat	future_tense
hsin	social_context
hkac	when
hmip	imperfective_aspect
klan	there
hlak	elative_case
hlik	illative_case
htam	directive_mood
hlat	elective_quantifier
hkam	what
hwat	question_word
htap	copula
hpat	person
nyan	male
hkas	could
tcan	other
hnuc	number
twit	assertive_quantifier
hsak	time_context
htuk	temporal_case
htun	only
htum	hortative_mood
hyip	retrospective_aspect
hlit	volitive_mood
pcic	must
tyut	two
hsat	see
hkut	know
hcic	down
hcap	after
hpam	first
hlac	alienable_possession
hkap	never
hnic	inalienable_possession
tyat	old
tcit	deliberative_mood
tcin	day
hlam	come
hwak	vowel
hkin	go
lwak	perlative_case
hpip	progressive_aspect
lyan	long
hsac	say
kyan	how
htas	again
hsic	here
hcik	think
hcak	under_context
hfan	found
hsun	hand
hyac	also
nwan	young
tyit	against
tlan	god
twak	delative_case
hmin	nothing
hyas	once
hlap	semelfactive_aspect
kcac	left
hyic	saw
hcas	house
hwac	world
tyin	three
hnun	neo
hcuk	focus
pyan	love
hsis	always
hyam	night
hyap	king
hkic	between
hmas	mind
cyit	heart
pluc	paucal_number
kyik	because
ksak	causal_case
tcun	done
hnim	name
tsan	proper_noun
klac	country
hpun	asked
cyat	visible_evidential
pcac	better
hmac	moment
hnas	cannot
